trade_id,factor_id,level
128,901,87569.739
128,902,5.72
128,903,3.101
129,901,20144.977
129,902,1.316
129,903,0.713
130,901,387240.226
130,902,25.295
130,903,13.714
131,901,7440.849
131,902,0.486
131,903,0.264
132,901,23875.488
132,902,1.56
132,903,0.846
133,901,17373.256
133,902,1.135
133,903,0.615
134,901,106073.66
134,902,6.929
134,903,3.757
135,901,57324.193
135,902,3.744
135,903,2.03
136,901,36841.408
136,902,2.407
136,903,1.305
137,901,6225.017
137,902,0.407
137,903,0.22
138,901,1490512.898
138,902,97.362
138,903,52.785
139,901,46716.099
139,902,3.052
139,903,1.654
140,901,100486.108
140,902,6.564
140,903,3.559
141,901,718821.708
141,902,46.954
141,903,25.457
142,901,20219.691
142,902,1.321
142,903,0.716
143,901,25395.839
143,902,1.659
143,903,0.899
144,901,1123857.197
144,902,73.411
144,903,39.801
145,901,154086.382
145,902,10.065
145,903,5.457
146,901,26213.315
146,902,1.712
146,903,0.928
147,901,10484.931
147,902,0.685
147,903,0.371
148,901,22829.428
148,902,1.491
148,903,0.808
149,901,23361.617
149,902,1.526
149,903,0.827
150,901,33090.516
150,902,2.162
150,903,1.172
151,901,13990.16
151,902,0.914
151,903,0.495
152,901,30150.996
152,902,1.969
152,903,1.068
153,901,18864.929
153,902,1.232
153,903,0.668
154,901,6626.824
154,902,0.433
154,903,0.235
155,901,8268.519
155,902,0.54
155,903,0.293
156,901,826990.498
156,902,54.02
156,903,29.287
157,901,102762.773
157,902,6.713
157,903,3.639
158,901,12240.762
158,902,0.8
158,903,0.433
159,901,117960.884
159,902,7.705
159,903,4.177
160,901,24029.046
160,902,1.57
160,903,0.851
161,901,119702.976
161,902,7.819
161,903,4.239
162,901,8597.54
162,902,0.562
162,903,0.304
163,901,11025.35
163,902,0.72
163,903,0.39
164,901,237706.758
164,902,15.527
164,903,8.418
165,901,397336.912
165,902,25.954
165,903,14.071
166,901,316175.825
166,902,20.653
166,903,11.197
167,901,699381.211
167,902,45.684
167,903,24.768
168,901,1262366.521
168,902,82.459
168,903,44.706
169,901,76023.942
169,902,4.966
169,903,2.692
170,901,190288.793
170,902,12.43
170,903,6.739
171,901,327989.142
171,902,21.425
171,903,11.615
172,901,5852.638
172,902,0.382
172,903,0.207
173,901,15495.795
173,902,1.012
173,903,0.549
174,901,23058.382
174,902,1.506
174,903,0.817
175,901,44574.786
175,902,2.912
175,903,1.579
176,901,308354.18
176,902,20.142
176,903,10.92
177,901,72915.988
177,902,4.763
177,903,2.582
178,901,5902.107
178,902,0.386
178,903,0.209
179,901,20362.955
179,902,1.33
179,903,0.721
180,901,45039.393
180,902,2.942
180,903,1.595
181,901,736608.194
181,902,48.116
181,903,26.086
182,901,5838.899
182,902,0.381
182,903,0.207
183,901,86553.069
183,902,5.654
183,903,3.065
184,901,406706.902
184,902,26.566
184,903,14.403
185,901,247459.05
185,902,16.164
185,903,8.764
186,901,43103.597
186,902,2.288
186,903,0.793
187,901,20251.971
187,902,1.443
187,903,0.392
188,901,17027.259
188,902,1.213
188,903,0.33
189,901,21002.5
189,902,1.497
189,903,0.407
190,901,1758491.995
190,902,125.305
190,903,34.041
191,901,19878.411
191,902,1.416
191,903,0.385
192,901,29594.542
192,902,2.109
192,903,0.573
193,901,89462.287
193,902,6.375
193,903,1.732
194,901,69301.813
194,902,4.938
194,903,1.342
195,901,213907.894
195,902,15.242
195,903,4.141
196,901,18752.674
196,902,1.336
196,903,0.363
197,901,19943.808
197,902,5.133
197,903,2.266
198,901,10979.836
198,902,2.826
198,903,1.248
199,901,12589.687
199,902,3.24
199,903,1.43
200,901,7466.702
200,902,1.922
200,903,0.848
201,901,48505.467
201,902,3.858
201,903,0.913
202,901,464599.243
202,902,36.957
202,903,8.748
203,901,61459.284
203,902,4.889
203,903,1.157
204,901,429663.565
204,902,34.178
204,903,8.09
205,901,368515.109
205,902,29.314
205,903,6.939
206,901,307835.219
206,902,24.487
206,903,5.796
207,901,9792.01
207,902,0.779
207,903,0.184
208,901,17935.051
208,902,1.427
208,903,0.338
209,901,719291.204
209,902,57.216
209,903,13.543
210,901,7400.989
210,902,0.589
210,903,0.139
211,901,310162.446
211,902,24.672
211,903,5.84
212,901,24132.18
212,902,1.92
212,903,0.454
213,901,80163.056
213,902,6.377
213,903,1.509
214,901,5468737.666
214,902,435.011
214,903,102.97
215,901,42735.809
215,902,3.399
215,903,0.805
216,901,173020.28
216,902,13.763
216,903,3.258
217,901,192389.19
217,902,15.304
217,903,3.622
218,901,585342.567
218,902,46.561
218,903,11.021
219,901,30558.062
219,902,2.431
219,903,0.575
220,901,15507.324
220,902,1.234
220,903,0.292
221,901,222230.165
221,902,17.677
221,903,4.184
222,901,15837.543
222,902,1.26
222,903,0.298
223,901,9812.237
223,902,0.781
223,903,0.185
224,901,331163.69
224,902,26.342
224,903,6.235
225,901,10474.422
225,902,0.833
225,903,0.197
226,901,9527.692
226,902,0.758
226,903,0.179
227,901,347506.103
227,902,27.642
227,903,6.543
228,901,8073.659
228,902,0.642
228,903,0.152
229,901,27434.705
229,902,2.182
229,903,0.517
230,901,366156.408
230,902,29.126
230,903,6.894
231,901,169412.817
231,902,13.476
231,903,3.19
232,901,326290.397
232,902,25.955
232,903,6.144
233,901,1325331.793
233,902,105.423
233,903,24.955
234,901,25505.321
234,902,2.029
234,903,0.48
235,901,58042.367
235,902,4.617
235,903,1.093
236,901,14246.896
236,902,1.133
236,903,0.268
237,901,138255.662
237,902,10.998
237,903,2.603
238,901,8894.095
238,902,0.707
238,903,0.167
239,901,29060.123
239,902,2.312
239,903,0.547
240,901,7538.776
240,902,0.6
240,903,0.142
241,901,236634.826
241,902,18.823
241,903,4.456
242,901,9327.675
242,902,0.742
242,903,0.176
243,901,32042.307
243,902,2.549
243,903,0.603
244,901,30977.238
244,902,2.464
244,903,0.583
245,901,281733.636
245,902,22.41
245,903,5.305
246,901,200901.473
246,902,15.981
246,903,3.783
247,901,34172.385
247,902,2.718
247,903,0.643
248,901,18544.304
248,902,1.475
248,903,0.349
249,901,34794.913
249,902,2.768
249,903,0.655
250,901,11428.836
250,902,0.909
250,903,0.215
251,901,109087.892
251,902,8.677
251,903,2.054
252,901,33994.977
252,902,2.704
252,903,0.64
253,901,22598.952
253,902,1.798
253,903,0.426
254,901,29914.919
254,902,2.38
254,903,0.563
255,901,12468.579
255,902,0.992
255,903,0.235
256,901,17208.066
256,902,1.369
256,903,0.324
257,901,1515057.654
257,902,120.515
257,903,28.527
258,901,39976.846
258,902,3.18
258,903,0.753
259,901,67876.757
259,902,5.399
259,903,1.278
260,901,266241.017
260,902,21.178
260,903,5.013
261,901,208706.486
261,902,16.602
261,903,3.93
262,901,61950.142
262,902,4.928
262,903,1.166
263,901,10455.971
263,902,0.832
263,903,0.197
264,901,202424.023
264,902,16.102
264,903,3.811
265,901,986908.077
265,902,78.504
265,903,18.582
266,901,154741.154
266,902,12.309
266,903,2.914
267,901,940877.705
267,902,74.842
267,903,17.716
268,901,51841.022
268,902,4.124
268,903,0.976
269,901,26393.092
269,902,2.099
269,903,0.497
270,901,38242.088
270,902,3.042
270,903,0.72
271,901,7992.404
271,902,0.636
271,903,0.15
272,901,13257.498
272,902,1.055
272,903,0.25
273,901,14078.361
273,902,1.12
273,903,0.265
274,901,33522.203
274,902,2.667
274,903,0.631
275,901,224154.594
275,902,17.83
275,903,4.221
276,901,102694.821
276,902,8.169
276,903,1.934
277,901,83985.926
277,902,6.681
277,903,1.581
278,901,94906.194
278,902,7.549
278,903,1.787
279,901,27337.161
279,902,2.175
279,903,0.515
280,901,756446.502
280,902,60.172
280,903,14.243
281,901,730917.029
281,902,58.141
281,903,13.762
282,901,4960.105
282,902,0.303
282,903,0.164
283,901,5043.089
283,902,0.308
283,903,0.166
284,901,17334.546
284,902,1.06
284,903,0.572
285,901,10122.918
285,902,0.619
285,903,0.334
286,901,15537.483
286,902,0.95
286,903,0.513
287,901,790669.278
287,902,48.339
287,903,26.082
288,901,7846.443
288,902,0.48
288,903,0.259
289,901,6212.512
289,902,0.38
289,903,0.205
290,901,4312.918
290,902,0.264
290,903,0.142
291,901,9383.984
291,902,0.574
291,903,0.31
292,901,10167.388
292,902,0.622
292,903,0.335
293,901,7975.877
293,902,0.488
293,903,0.263
294,901,4797.399
294,902,0.293
294,903,0.158
295,901,30237.725
295,902,1.849
295,903,0.997
296,901,20474.677
296,902,1.252
296,903,0.675
297,901,4347.161
297,902,0.266
297,903,0.143
298,901,13139.343
298,902,0.803
298,903,0.433
299,901,24722.087
299,902,1.511
299,903,0.816
300,901,39232.037
300,902,2.398
300,903,1.294
301,901,10771.308
301,902,0.659
301,903,0.355
302,901,8866.942
302,902,0.542
302,903,0.292
303,901,12223.008
303,902,0.747
303,903,0.403
304,901,41303.314
304,902,2.525
304,903,1.362
305,901,5034.48
305,902,0.308
305,903,0.166
306,901,12258.832
306,902,0.749
306,903,0.404
307,901,6783.611
307,902,0.415
307,903,0.224
308,901,14454.705
308,902,0.884
308,903,0.477
309,901,29263.68
309,902,1.391
309,903,0.782
310,901,542232.873
310,902,25.779
310,903,14.497
311,901,47504.043
311,902,2.258
311,903,1.27
312,901,24197.551
312,902,1.15
312,903,0.647
313,901,18940.329
313,902,0.9
313,903,0.506
314,901,21657.583
314,902,1.03
314,903,0.579
315,901,3843.001
315,902,0.749
315,903,0.313
316,901,64162.542
316,902,12.502
316,903,5.232
317,901,21303.732
317,902,4.151
317,903,1.737
318,901,96391.864
318,902,18.782
318,903,7.86
319,901,2398.362
319,902,0.467
319,903,0.196
320,901,2380.175
320,902,0.464
320,903,0.194
321,901,12142.424
321,902,2.366
321,903,0.99
322,901,3727.426
322,902,0.726
322,903,0.304
323,901,130820.565
323,902,25.49
323,903,10.667
324,901,2175.469
324,902,0.424
324,903,0.177
325,901,7625.914
325,902,1.486
325,903,0.622
326,901,40144.726
326,902,7.822
326,903,3.273
327,901,1914.768
327,902,0.373
327,903,0.156
328,901,4820.632
328,902,0.939
328,903,0.393
329,901,1958.167
329,902,0.382
329,903,0.16
330,901,1741.183
330,902,0.339
330,903,0.142
331,901,2111.434
331,902,0.411
331,903,0.172
332,901,39285.074
332,902,7.655
332,903,3.203
333,901,18573.528
333,902,3.619
333,903,1.514
334,901,24851.246
334,902,4.842
334,903,2.026
335,901,130464.434
335,902,25.421
335,903,10.638
336,901,1799.338
336,902,0.351
336,903,0.147
337,901,12154.523
337,902,2.368
337,903,0.991
338,901,3522.666
338,902,0.686
338,903,0.287
339,901,45643.867
339,902,8.894
339,903,3.722
340,901,10556.043
340,902,2.057
340,903,0.861
341,901,49572.933
341,902,9.659
341,903,4.042
342,901,3082.152
342,902,0.601
342,903,0.251
343,901,8232.095
343,902,1.604
343,903,0.671
344,901,129104.768
344,902,5.551
344,903,2.276
345,901,283889.117
345,902,12.206
345,903,5.005
346,901,256200.12
346,902,11.016
346,903,4.517
347,901,31686.349
347,902,1.362
347,903,0.559
348,901,358760.958
348,902,15.426
348,903,6.325
349,901,79170.072
349,902,3.404
349,903,1.396
350,901,53298.38
350,902,2.292
350,903,0.94
351,901,44568.877
351,902,1.916
351,903,0.786
352,901,3350568.725
352,902,144.065
352,903,59.07
353,901,47717.42
353,902,2.052
353,903,0.841
354,901,793475.948
354,902,34.117
354,903,13.989
355,901,67399.534
355,902,2.898
355,903,1.188
356,901,959494.957
356,902,41.256
356,903,16.916
357,901,202865.403
357,902,8.723
357,903,3.577
358,901,114814.613
358,902,4.937
358,903,2.024
359,901,3450637.835
359,902,148.367
359,903,60.835
360,901,1927494.201
360,902,82.877
360,903,33.982
361,901,74572.369
361,902,3.206
361,903,1.315
362,901,50294.688
362,902,2.163
362,903,0.887
363,901,1211522.185
363,902,52.092
363,903,21.359
364,901,229282.817
364,902,9.858
364,903,4.042
365,901,21322.951
365,902,0.917
365,903,0.376
366,901,69688.554
366,902,2.996
366,903,1.229
367,901,4932640.715
367,902,212.089
367,903,86.962
368,901,67799.687
368,902,2.915
368,903,1.195
369,901,33860.541
369,902,1.456
369,903,0.597
370,901,20306.335
370,902,0.873
370,903,0.358
371,901,168350.421
371,902,7.239
371,903,2.968
372,901,853249.852
372,902,36.687
372,903,15.043
373,901,26842.693
373,902,1.154
373,903,0.473
374,901,46950.012
374,902,2.019
374,903,0.828
375,901,5683846.043
375,902,244.389
375,903,100.206
376,901,171220.8
376,902,7.362
376,903,3.019
377,901,46969.615
377,902,2.02
377,903,0.828
378,901,196333.718
378,902,8.442
378,903,3.461
379,901,492548.789
379,902,21.178
379,903,8.684
380,901,29379.111
380,902,1.263
380,903,0.518
381,901,20391648.773
381,902,876.782
381,903,359.504
382,901,108546.841
382,902,4.667
382,903,1.914
383,901,2972800.549
383,902,127.822
383,903,52.41
384,901,244693.555
384,902,10.521
384,903,4.314
385,901,31055.946
385,902,1.335
385,903,0.548
386,901,290094.39
386,902,12.473
386,903,5.114
387,901,27963.315
387,902,1.202
387,903,0.493
388,901,23827.116
388,902,1.024
388,903,0.42
389,901,21226.931
389,902,0.913
389,903,0.374
390,901,33364.22
390,902,1.435
390,903,0.588
391,901,713540.281
391,902,30.68
391,903,12.58
392,901,673279.49
392,902,28.949
392,903,11.87
393,901,30962.078
393,902,1.331
393,903,0.546
394,901,49965.015
394,902,2.148
394,903,0.881
395,901,1048435.957
395,902,45.08
395,903,18.484
396,901,42205.584
396,902,1.815
396,903,0.744
397,901,223135.451
397,902,9.594
397,903,3.934
398,901,21101.618
398,902,0.907
398,903,0.372
399,901,734575.428
399,902,31.585
399,903,12.951
400,901,630253.94
400,902,27.099
400,903,11.111
401,901,319527.276
401,902,13.739
401,903,5.633
402,901,2522037.445
402,902,108.44
402,903,44.463
403,901,1036667.893
403,902,44.574
403,903,18.276
404,901,934737.823
404,902,40.191
404,903,16.479
405,901,4515443.758
405,902,194.151
405,903,79.607
406,901,130265.638
406,902,5.601
406,903,2.297
407,901,29908.247
407,902,1.286
407,903,0.527
408,901,155042.444
408,902,6.666
408,903,2.733
409,901,57397.686
409,902,2.468
409,903,1.012
410,901,823731.996
410,902,35.418
410,903,14.522
411,901,205458.852
411,902,8.834
411,903,3.622
412,901,18360537.23
412,902,789.45
412,903,323.696
413,901,82269.382
413,902,3.537
413,903,1.45
414,901,20291.922
414,902,0.872
414,903,0.358
415,901,1658047.581
415,902,71.291
415,903,29.231
416,901,125270.178
416,902,5.386
416,903,2.209
417,901,93653.269
417,902,4.306
417,903,1.723
418,901,221678.83
418,902,10.193
418,903,4.08
419,901,323181.592
419,902,14.86
419,903,5.947
420,901,631095.782
420,902,29.017
420,903,11.614
421,901,741896.0
421,902,34.112
421,903,13.653
422,901,36673.44
422,902,1.686
422,903,0.675
423,901,270310.214
423,902,12.429
423,903,4.974
424,901,35722.363
424,902,1.642
424,903,0.657
425,901,33448.727
425,902,1.538
425,903,0.616
426,901,125128.862
426,902,5.753
426,903,2.303
427,901,279275.05
427,902,12.841
427,903,5.139
428,901,4674435.197
428,902,214.927
428,903,86.023
429,901,102556.206
429,902,4.715
429,903,1.887
430,901,613349.353
430,902,28.201
430,903,11.287
431,901,30313.957
431,902,1.394
431,903,0.558
432,901,42855.59
432,902,1.97
432,903,0.789
433,901,34869.878
433,902,1.603
433,903,0.642
434,901,42288.866
434,902,1.944
434,903,0.778
435,901,965776.729
435,902,44.406
435,903,17.773
436,901,5223203.269
436,902,240.159
436,903,96.122
437,901,172620.511
437,902,7.937
437,903,3.177
438,901,1338953.54
438,902,61.564
438,903,24.641
439,901,34859.801
439,902,1.603
439,903,0.642
440,901,183797.069
440,902,8.451
440,903,3.382
441,901,209572.141
441,902,9.636
441,903,3.857
442,901,10002869.814
442,902,459.924
442,903,184.082
443,901,21102.294
443,902,0.97
443,903,0.388
444,901,3992486.255
444,902,183.571
444,903,73.473
445,901,58735.191
445,902,2.701
445,903,1.081
446,901,601775.751
446,902,27.669
446,903,11.074
447,901,132840.417
447,902,6.108
447,903,2.445
448,901,545695.341
448,902,25.091
448,903,10.042
449,901,1614137.092
449,902,74.217
449,903,29.705
450,901,100398.627
450,902,4.616
450,903,1.848
451,901,32014.314
451,902,1.472
451,903,0.589
452,901,135581.901
452,902,6.234
452,903,2.495
453,901,805733.772
453,902,37.047
453,903,14.828
454,901,20106.234
454,902,0.924
454,903,0.37
455,901,35050.38
455,902,1.612
455,903,0.645
456,901,101373.808
456,902,4.661
456,903,1.866
457,901,22037.352
457,902,1.013
457,903,0.406
458,901,31488.277
458,902,1.448
458,903,0.579
459,901,236667.634
459,902,10.882
459,903,4.355
460,901,114570.404
460,902,5.268
460,903,2.108
461,901,202271.89
461,902,9.3
461,903,3.722
462,901,39060.187
462,902,1.796
462,903,0.719
463,901,200362.606
463,902,9.213
463,903,3.687
464,901,100265.156
464,902,4.61
464,903,1.845
465,901,93923.237
465,902,4.319
465,903,1.728
466,901,1027082.089
466,902,47.224
466,903,18.901
467,901,160028.417
467,902,7.358
467,903,2.945
468,901,19116.485
468,902,0.879
468,903,0.352
469,901,593454.479
469,902,27.287
469,903,10.921
470,901,454272.725
470,902,20.887
470,903,8.36
471,901,15888.13
471,902,0.731
471,903,0.292
472,901,21820.352
472,902,1.003
472,903,0.402
473,901,54473.411
473,902,2.505
473,903,1.002
474,901,74303.856
474,902,3.416
474,903,1.367
475,901,71555.787
475,902,3.29
475,903,1.317
476,901,18247.445
476,902,0.839
476,903,0.336
477,901,31245.99
477,902,1.437
477,903,0.575
478,901,1030528.606
478,902,47.383
478,903,18.965
479,901,15091.943
479,902,0.694
479,903,0.278
480,901,195037.7
480,902,8.968
480,903,3.589
481,901,67834.403
481,902,3.119
481,903,1.248
482,901,18046.27
482,902,0.83
482,903,0.332
483,901,682379.593
483,902,31.375
483,903,12.558
484,901,354686.026
484,902,16.308
484,903,6.527
485,901,62119.63
485,902,3.468
485,903,1.251
486,901,17102.071
486,902,0.955
486,903,0.344
487,901,7728.036
487,902,0.431
487,903,0.156
488,901,15051.383
488,902,0.84
488,903,0.303
489,901,6923.575
489,902,0.386
489,903,0.139
490,901,10991.881
490,902,0.614
490,903,0.221
491,901,82688.753
491,902,4.616
491,903,1.665
492,901,15873.529
492,902,0.886
492,903,0.32
493,901,329782.597
493,902,18.409
493,903,6.641
494,901,68815.429
494,902,3.841
494,903,1.386
495,901,55267.974
495,902,3.085
495,903,1.113
496,901,10314.428
496,902,0.576
496,903,0.208
497,901,166064.146
497,902,9.27
497,903,3.344
498,901,56501.777
498,902,3.154
498,903,1.138
499,901,10534.672
499,902,0.588
499,903,0.212
500,901,5353.793
500,902,0.299
500,903,0.108
501,901,10205.576
501,902,0.57
501,903,0.206
502,901,9633.558
502,902,0.538
502,903,0.194
503,901,8977.737
503,902,0.501
503,903,0.181
504,901,81118.986
504,902,4.528
504,903,1.633
505,901,13890.097
505,902,0.775
505,903,0.28
506,901,19072.662
506,902,1.065
506,903,0.384
507,901,5422.253
