trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,land,material,water,impact_intensity
3429678,CA,CA,NONME,CONST,7470.58,5857272242.875,7,7,5857167795.04,107.0,27218.0,76873.0,249.835,784045.180277
3433753,CA,CA,WHOLE,RETA1,22306.61,5619581211.353,7,7,5619552776.093,437.0,20107.0,7732.0,159.26,251924.48388
3433419,CA,CA,CONST,CONST,16719.2,5471461551.513,7,7,5471404764.336,252.0,42910.0,13428.0,197.177,327256.181606
3424533,CA,CA,RAWMI,DAIRY,5812.46,3836786514.237,7,7,3836707856.171,150.0,75036.0,3293.0,179.066,660096.846127
3433436,CA,CA,CONST,REALE,11677.34,3821480499.2,7,7,3821440837.484,176.0,29970.0,9378.0,137.716,327256.078799
3431569,CA,CA,ELEC1,CHEM1,158.81,3730462538.11,7,7,3730461299.628,2.0,202.0,537.0,497.482,23490098.470562
3431215,CA,CA,MOTO1,MOTO1,7159.8,3546084019.213,7,7,3546071674.829,125.0,7349.0,4701.0,169.384,495276.965727
3424938,CA,CA,NATUR,REALE,283.03,3441193593.193,7,7,3441191178.712,2.0,807.0,1602.0,3.481,12158405.798654
3436194,CA,CA,BUSIN,CONST,15851.89,3365087160.266,7,7,3365074173.302,240.0,10037.0,2617.0,92.964,212283.024943
3434765,CA,CA,AIRTR,PUBLI,2274.93,3330045861.759,7,7,3330043874.026,32.0,1028.0,897.0,30.733,1463801.462796
3429812,CA,CA,BASIC,CONST,2608.67,3261082656.448,7,7,3261073413.646,43.0,1939.0,7008.0,252.802,1250093.977563
3436215,CA,CA,BUSIN,BUSIN,14243.02,3023552717.614,7,7,3023541049.085,216.0,9018.0,2351.0,83.529,212283.119564
3434754,CA,CA,AIRTR,AIRTR,1936.26,2834296005.554,7,7,2834294312.396,28.0,875.0,764.0,26.158,1463799.286023
3427113,CA,CA,WOODW,CONST,5010.5,2797127462.333,7,7,2796784094.752,79.0,336764.0,6346.0,178.581,558253.160829
3430289,CA,CA,FOUND,CRUDE,1250.34,2728966125.416,7,7,2728957687.758,21.0,996.0,7375.0,45.658,2182579.23878
3424621,CA,CA,FORES,WOODW,3719.78,2584168047.206,7,7,2582815114.884,48.0,1351889.0,952.0,43.322,694709.914889
3433749,CA,CA,WHOLE,CONST,10224.59,2575825072.481,7,7,2575812039.482,200.0,9216.0,3544.0,72.999,251924.534136
3424599,CA,CA,FORES,FORES,3600.99,2501643345.516,7,7,2500333619.577,46.0,1308717.0,921.0,41.939,694709.884092
3424268,CA,CA,CATTL,MEATC,3484.79,2493447146.305,7,7,2493311465.951,98.0,132964.0,2539.0,79.354,715522.928585
3424929,CA,CA,NATUR,TRAN2,203.32,2472121125.954,7,7,2472119392.454,1.0,579.0,1151.0,2.5,12158770.04699
3436216,CA,CA,BUSIN,PUBLI,11143.11,2365494022.254,7,7,2365484891.905,169.0,7056.0,1840.0,65.349,212283.10788
3434152,CA,CA,RAILW,WHOLE,1595.52,2355014703.856,7,7,2355013753.002,19.0,503.0,412.0,16.854,1476017.037615
3431762,CA,CA,ELEC2,DIST1,171.44,2185988125.231,7,7,2185986934.221,2.0,433.0,689.0,67.01,12750747.347358
3432257,CA,CA,ELEC6,CEREA,258.28,1978619432.13,7,7,1978609741.543,4.0,9254.0,317.0,115.587,7660753.570273
3424942,CA,CA,NATUR,BUSIN,162.66,1977728474.742,7,7,1977727086.742,1.0,464.0,921.0,2.0,12158665.158871
3423938,CA,CA,CEREA,FOOD5,1830.49,1945395550.149,7,7,1945373840.746,17.0,21062.0,574.0,56.403,1062773.110014
3424846,CA,CA,CRUDE,MOTOR,3639.78,1766021776.576,7,7,1766020442.28,22.0,529.0,751.0,32.296,485200.143024
3436606,CA,CA,HEALT,HEALT,19333.41,1759180421.452,7,7,1759171501.204,416.0,4578.0,3826.0,100.248,90991.729935
3433538,CA,CA,SALEM,MOTO1,5600.44,1694159346.77,7,7,1694153710.27,50.0,3055.0,2475.0,56.5,302504.686555
3434746,CA,CA,AIRTR,WHOLE,1108.24,1622243157.431,7,7,1622242188.459,16.0,501.0,437.0,14.972,1463801.304258
3428055,CA,CA,GASDI,LANDT,2023.57,1616701066.057,7,7,1616698714.077,20.0,1166.0,1105.0,60.98,798935.083074
3436211,CA,CA,BUSIN,REALE,7561.8,1605241704.843,7,7,1605235510.497,114.0,4788.0,1248.0,44.346,212283.015267
