trade_id,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_intensity
1203,CA,CA,CHEMI,KEROS,1.21,397.0,1.0,1.0,397.0,328.099174
784,CA,CA,BUSIN,REALE,3693.9,393.0,1.0,1.0,393.0,0.106392
1975,CA,CA,DISTR,SALEM,713.61,390.0,1.0,1.0,390.0,0.546517
1491,CA,CA,CONST,LANDT,658.12,389.0,1.0,1.0,389.0,0.591078
1018,CA,CA,CEREA,RAWMI,561.82,389.0,1.0,1.0,389.0,0.692393
3803,CA,CA,GLASS,TEXTI,51.9,389.0,1.0,1.0,389.0,7.495183
6862,CA,CA,RESEA,CONST,238.06,386.0,1.0,1.0,386.0,1.62144
5607,CA,CA,PAPER,BEVER,650.96,385.0,1.0,1.0,385.0,0.591434
1235,CA,CA,CHEMI,REFI1,1.18,385.0,1.0,1.0,385.0,326.271186
6357,CA,CA,RADIO,CONST,963.12,383.0,1.0,1.0,383.0,0.397666
4240,CA,CA,KEROS,LANDT,342.39,381.0,1.0,1.0,381.0,1.112766
1096,CA,CA,CHEM1,LANDT,156.73,380.0,1.0,1.0,380.0,2.424552
3809,CA,CA,GLASS,WOODW,50.6,379.0,1.0,1.0,379.0,7.490119
6752,CA,CA,RECRE,REALE,1042.28,378.0,1.0,1.0,378.0,0.362666
3042,CA,CA,FABRI,MOTO1,663.41,378.0,1.0,1.0,378.0,0.569783
3358,CA,CA,FOOD5,RETA1,296.09,374.0,1.0,1.0,374.0,1.263129
3389,CA,CA,FORES,FORES,1458.28,374.0,1.0,1.0,374.0,0.256467
684,CA,CA,BUSIN,AUXIL,3473.84,369.0,1.0,1.0,369.0,0.106223
3595,CA,CA,FURNI,WEARI,275.39,368.0,1.0,1.0,368.0,1.336287
3617,CA,CA,GASDI,CEREA,324.27,368.0,1.0,1.0,368.0,1.134857
6114,CA,CA,PRECI,ELEC6,0.14,358.0,1.0,1.0,358.0,2557.142857
5328,CA,CA,NONF1,NONME,110.96,356.0,1.0,1.0,356.0,3.208363
4411,CA,CA,LEAD1,LEAD1,207.83,355.0,1.0,1.0,355.0,1.708127
5430,CA,CA,NONME,NONME,201.71,354.0,1.0,1.0,354.0,1.754995
7428,CA,CA,SANDC,NONSP,0.66,349.0,1.0,1.0,349.0,528.787879
168,CA,CA,ALUM1,FURNI,178.72,349.0,1.0,1.0,349.0,1.952775
5128,CA,CA,MOTOR,OILSE,306.68,346.0,1.0,1.0,346.0,1.128212
281,CA,CA,AUXIL,CONST,8242.53,344.0,1.0,1.0,344.0,0.041735
7385,CA,CA,SANDC,BITU1,0.64,341.0,1.0,1.0,341.0,532.8125
6390,CA,CA,RADIO,RADIO,844.81,336.0,1.0,1.0,336.0,0.397723
3973,CA,CA,INLAN,CONST,831.96,334.0,1.0,1.0,334.0,0.401462
2695,CA,CA,ELEC5,REALE,46.61,328.0,1.0,1.0,328.0,7.037116
6097,CA,CA,PREC1,PREC1,5.3,324.0,1.0,1.0,324.0,61.132075
3018,CA,CA,FABRI,FURNI,562.8,321.0,1.0,1.0,321.0,0.570362
1710,CA,CA,CRUDE,LIQUE,661.14,320.0,1.0,1.0,320.0,0.484012
5148,CA,CA,MOTOR,RESEA,281.74,318.0,1.0,1.0,318.0,1.1287
5271,CA,CA,NICKE,BIOGA,0.04,316.0,1.0,1.0,316.0,7900.0
630,CA,CA,BIOGA,ELEC2,101.86,315.0,1.0,1.0,315.0,3.09248
203,CA,CA,ALUM1,TRANS,161.17,315.0,1.0,1.0,315.0,1.954458
4674,CA,CA,MEAT4,HOTEL,128.02,314.0,1.0,1.0,314.0,2.452742
1179,CA,CA,CHEMI,CHEMI,0.96,313.0,1.0,1.0,313.0,326.041667
8315,CA,CA,WOODW,PULP5,856.06,312.0,1.0,1.0,312.0,0.36446
7518,CA,CA,SEACO,SEACO,2542.93,306.0,1.0,1.0,306.0,0.120334
3116,CA,CA,FINAN,CONST,9087.6,306.0,1.0,1.0,306.0,0.033672
5366,CA,CA,NONFE,ELEC5,1.64,305.0,1.0,1.0,305.0,185.97561
2690,CA,CA,ELEC5,PUBLI,43.18,304.0,1.0,1.0,304.0,7.040296
951,CA,CA,CERAM,RETA1,3.9,304.0,1.0,1.0,304.0,77.948718
1117,CA,CA,CHEM1,NONME,125.11,303.0,1.0,1.0,303.0,2.421869
5362,CA,CA,NONFE,ELEC1,1.61,299.0,1.0,1.0,299.0,185.714286
6972,CA,CA,RETA1,BASIC,1847.82,298.0,1.0,1.0,298.0,0.161271
4405,CA,CA,LEAD1,FOUND,174.06,297.0,1.0,1.0,297.0,1.706308
5149,CA,CA,MOTOR,RETA1,261.84,296.0,1.0,1.0,296.0,1.130461
7552,CA,CA,STONE,FOUND,8.03,296.0,1.0,1.0,296.0,36.861768
5144,CA,CA,MOTOR,REALE,261.08,295.0,1.0,1.0,295.0,1.129922
5307,CA,CA,NONF1,FOUND,91.95,295.0,1.0,1.0,295.0,3.208265
5258,CA,CA,NFERT,RETA1,8.92,294.0,1.0,1.0,294.0,32.959641
2926,CA,CA,ELECT,CRUDE,359.41,294.0,1.0,1.0,294.0,0.818007
1186,CA,CA,CHEMI,DAIRY,0.9,294.0,1.0,1.0,294.0,326.666667
1211,CA,CA,CHEMI,MEATC,0.89,293.0,1.0,1.0,293.0,329.213483
332,CA,CA,AUXIL,MOTO1,6966.91,291.0,1.0,1.0,291.0,0.041769
7479,CA,CA,SEACO,HOTEL,2411.15,290.0,1.0,1.0,290.0,0.120275
1888,CA,CA,DISTR,BUSIN,527.43,289.0,1.0,1.0,289.0,0.54794
1142,CA,CA,CHEM1,RUBBE,118.21,287.0,1.0,1.0,287.0,2.427883
1704,CA,CA,CRUDE,HEAVY,587.68,285.0,1.0,1.0,285.0,0.484958
462,CA,CA,BASIC,NATUR,75.06,283.0,1.0,1.0,283.0,3.770317
3930,CA,CA,HYDRO,KEROS,551.01,282.0,1.0,1.0,282.0,0.511787
7688,CA,CA,SUPPO,CHEM1,443.96,282.0,1.0,1.0,282.0,0.635192
448,CA,CA,BASIC,HYDRO,74.51,281.0,1.0,1.0,281.0,3.771306
6547,CA,CA,REALE,CONST,9898.17,280.0,1.0,1.0,280.0,0.028288
65,CA,CA,AIRTR,AIRTR,2224.62,279.0,1.0,1.0,279.0,0.125415
497,CA,CA,BASIC,WOODW,73.67,278.0,1.0,1.0,278.0,3.773585
1874,CA,CA,DISTR,93197,505.47,277.0,1.0,1.0,277.0,0.548005
5070,CA,CA,MOTOR,CRUDE,245.37,277.0,1.0,1.0,277.0,1.128907
5096,CA,CA,MOTOR,HEALT,243.66,275.0,1.0,1.0,275.0,1.128622
3949,CA,CA,HYDRO,REFI1,534.4,274.0,1.0,1.0,274.0,0.512725
1580,CA,CA,COPP1,ELECT,211.73,273.0,1.0,1.0,273.0,1.289378
1045,CA,CA,CHEM1,BIOGA,112.35,272.0,1.0,1.0,272.0,2.421006
5311,CA,CA,NONF1,HEALT,84.47,271.0,1.0,1.0,271.0,3.20824
1187,CA,CA,CHEMI,ELECT,0.82,269.0,1.0,1.0,269.0,328.04878
736,CA,CA,BUSIN,HEALT,2519.25,268.0,1.0,1.0,268.0,0.106381
6380,CA,CA,RADIO,MOTO1,659.62,262.0,1.0,1.0,262.0,0.397198
5145,CA,CA,MOTOR,RECRE,232.33,262.0,1.0,1.0,262.0,1.127706
1581,CA,CA,COPP1,FABRI,202.13,260.0,1.0,1.0,260.0,1.286301
1175,CA,CA,CHEMI,BUSIN,0.79,259.0,1.0,1.0,259.0,327.848101
1198,CA,CA,CHEMI,HEAVY,0.79,258.0,1.0,1.0,258.0,326.582278
7276,CA,CA,SALEM,EDUCA,5301.73,257.0,1.0,1.0,257.0,0.048475
8038,CA,CA,VEGET,BEVER,213.47,257.0,1.0,1.0,257.0,1.203916
2635,CA,CA,ELEC5,CRUDE,36.51,257.0,1.0,1.0,257.0,7.039167
5013,CA,CA,MOTO1,LANDT,449.2,256.0,1.0,1.0,256.0,0.569902
3527,CA,CA,FURNI,FABRI,190.0,254.0,1.0,1.0,254.0,1.336842
1922,CA,CA,DISTR,HOTEL,463.57,254.0,1.0,1.0,254.0,0.547922
3690,CA,CA,GASDI,PUBLI,224.11,254.0,1.0,1.0,254.0,1.133372
4438,CA,CA,LEAD1,TRANS,148.25,253.0,1.0,1.0,253.0,1.706577
484,CA,CA,BASIC,RUBBE,67.21,253.0,1.0,1.0,253.0,3.764321
6469,CA,CA,RAILW,RAILW,431.29,250.0,1.0,1.0,250.0,0.579656
3805,CA,CA,GLASS,TRANS,33.17,248.0,1.0,1.0,248.0,7.476636
7393,CA,CA,SANDC,CONST,0.47,247.0,1.0,1.0,247.0,525.531915
7378,CA,CA,SANDC,AIRTR,0.46,246.0,1.0,1.0,246.0,534.782609
4349,CA,CA,LANDT,POSTT,1091.59,245.0,1.0,1.0,245.0,0.224443
6707,CA,CA,RECRE,HEALT,673.58,244.0,1.0,1.0,244.0,0.362244
8307,CA,CA,WOODW,PAPER,668.01,243.0,1.0,1.0,243.0,0.363767
4282,CA,CA,LANDT,CONST,1077.76,242.0,1.0,1.0,242.0,0.22454
3583,CA,CA,FURNI,RUBBE,181.68,242.0,1.0,1.0,242.0,1.332012
5783,CA,CA,PFERT,DIST1,72.55,239.0,1.0,1.0,239.0,3.29428
1277,CA,CA,COKIN,BASIC,993.62,239.0,1.0,1.0,239.0,0.240535
446,CA,CA,BASIC,HEALT,63.09,238.0,1.0,1.0,238.0,3.772389
3694,CA,CA,GASDI,RAWMI,207.99,236.0,1.0,1.0,236.0,1.13467
550,CA,CA,BIODI,EDUCA,75.65,234.0,1.0,1.0,234.0,3.093192
5573,CA,CA,OILSE,FOOD5,265.38,233.0,1.0,1.0,233.0,0.877986
1773,CA,CA,DAIRY,RETA1,568.93,232.0,1.0,1.0,232.0,0.407783
6686,CA,CA,RECRE,EDUCA,635.13,230.0,1.0,1.0,230.0,0.362131
517,CA,CA,BEVER,HOTEL,462.29,229.0,1.0,1.0,229.0,0.49536
4701,CA,CA,MEAT4,RETA1,92.88,228.0,1.0,1.0,228.0,2.45478
5270,CA,CA,NICKE,BIODI,0.03,228.0,1.0,1.0,228.0,7600.0
1072,CA,CA,CHEM1,ELEC4,94.08,228.0,1.0,1.0,228.0,2.423469
2581,CA,CA,ELEC4,REALE,463.7,226.0,1.0,1.0,226.0,0.487384
7414,CA,CA,SANDC,LANDT,0.43,225.0,1.0,1.0,225.0,523.255814
5090,CA,CA,MOTOR,FORES,199.67,225.0,1.0,1.0,225.0,1.126859
4754,CA,CA,MEATC,HOTEL,416.08,225.0,1.0,1.0,225.0,0.540761
626,CA,CA,BIOGA,DISTR,72.56,224.0,1.0,1.0,224.0,3.0871
1529,CA,CA,CONST,RAILW,378.46,224.0,1.0,1.0,224.0,0.591872
1077,CA,CA,CHEM1,ELECT,92.56,224.0,1.0,1.0,224.0,2.420052
4402,CA,CA,LEAD1,FABRI,129.91,222.0,1.0,1.0,222.0,1.708875
2681,CA,CA,ELEC5,PAPER,31.37,221.0,1.0,1.0,221.0,7.044947
5385,CA,CA,NONME,CEMEN,125.21,220.0,1.0,1.0,220.0,1.757048
1170,CA,CA,CHEMI,BEVER,0.67,218.0,1.0,1.0,218.0,325.373134
2349,CA,CA,ELEC2,RESEA,230.77,218.0,1.0,1.0,218.0,0.944664
7163,CA,CA,RUBBE,FOOD5,777.91,217.0,1.0,1.0,217.0,0.278953
8121,CA,CA,WEARI,WEARI,410.06,217.0,1.0,1.0,217.0,0.529191
859,CA,CA,CEMEN,BASIC,62.19,216.0,1.0,1.0,216.0,3.473227
4089,CA,CA,INSUR,INSUR,8654.83,216.0,1.0,1.0,216.0,0.024957
8052,CA,CA,VEGET,HOTEL,178.4,215.0,1.0,1.0,215.0,1.205157
6088,CA,CA,PREC1,HEALT,3.52,215.0,1.0,1.0,215.0,61.079545
529,CA,CA,BEVER,RECRE,433.71,215.0,1.0,1.0,215.0,0.495723
920,CA,CA,CERAM,ALUM1,2.75,215.0,1.0,1.0,215.0,78.181818
3315,CA,CA,FOOD5,FISHF,168.35,213.0,1.0,1.0,213.0,1.265221
1212,CA,CA,CHEMI,MEATP,0.65,213.0,1.0,1.0,213.0,327.692308
8132,CA,CA,WHEAT,CATTL,161.87,212.0,1.0,1.0,212.0,1.309693
2576,CA,CA,ELEC4,PUBLI,434.08,212.0,1.0,1.0,212.0,0.488389
5043,CA,CA,MOTOR,93197,185.86,210.0,1.0,1.0,210.0,1.129883
5104,CA,CA,MOTOR,LANDT,186.11,210.0,1.0,1.0,210.0,1.128365
7222,CA,CA,RUBBE,RUBBE,748.05,209.0,1.0,1.0,209.0,0.279393
284,CA,CA,AUXIL,CRUDE,4980.02,208.0,1.0,1.0,208.0,0.041767
1486,CA,CA,CONST,HOTEL,350.34,207.0,1.0,1.0,207.0,0.590855
1115,CA,CA,CHEM1,NONF1,85.29,207.0,1.0,1.0,207.0,2.427014
3409,CA,CA,FORES,PUBLI,803.89,206.0,1.0,1.0,206.0,0.256254
1088,CA,CA,CHEM1,GLASS,85.14,206.0,1.0,1.0,206.0,2.419544
6624,CA,CA,REALE,REALE,7142.78,202.0,1.0,1.0,202.0,0.02828
1191,CA,CA,CHEMI,FISHF,0.62,202.0,1.0,1.0,202.0,325.806452
3360,CA,CA,FOOD5,RUBBE,159.0,201.0,1.0,1.0,201.0,1.264151
2638,CA,CA,ELEC5,EDUCA,28.18,199.0,1.0,1.0,199.0,7.061746
863,CA,CA,CEMEN,CEMEN,57.18,199.0,1.0,1.0,199.0,3.480238
1536,CA,CA,CONST,RETA1,337.25,199.0,1.0,1.0,199.0,0.590067
