factor_id,unit,stressor,extension
1,kg,As - combustion - air,air_emissions
2,kg,B(a)P - combustion - air,air_emissions
3,kg,B(b)F - combustion - air,air_emissions
4,kg,B(k)F - combustion - air,air_emissions
5,kg,CH4 - combustion - air,air_emissions
6,kg,CH4_bio - combustion - air,air_emissions
7,kg,CO - combustion - air,air_emissions
8,kg,CO2 - combustion - air,air_emissions
9,kg,CO2_bio - combustion - air,air_emissions
10,kg,Cd - combustion - air,air_emissions
11,kg,Cr - combustion - air,air_emissions
12,kg,Cu - combustion - air,air_emissions
13,kg,HCB - combustion - air,air_emissions
14,kg,Hg - combustion - air,air_emissions
15,kg,Indeno - combustion - air,air_emissions
16,kg,N2O - combustion - air,air_emissions
17,kg,N2O_bio - combustion - air,air_emissions
18,kg,NH3 - combustion - air,air_emissions
19,kg,NMVOC - combustion - air,air_emissions
20,kg,NOx - combustion - air,air_emissions
21,kg,Ni - combustion - air,air_emissions
22,kg,PCB - combustion - air,air_emissions
23,kg,PCDD/F - combustion - air,air_emissions
24,kg,PM10 - combustion - air,air_emissions
25,kg,PM2_5 - combustion - air,air_emissions
26,kg,Pb - combustion - air,air_emissions
27,kg,SO2 - combustion - air,air_emissions
28,kg,SOx - combustion - air,air_emissions
29,kg,Se - combustion - air,air_emissions
30,kg,TSP - combustion - air,air_emissions
31,kg,Zn - combustion - air,air_emissions
32,kg,As - non combustion - Agglomeration plant - pellets - air,air_emissions
33,kg,As - non combustion - Agglomeration plant - sinter - air,air_emissions
34,kg,As - non combustion - Glass production - air,air_emissions
35,kg,As - non combustion - Production of coke oven coke - air,air_emissions
36,kg,As - non combustion - Production of gascoke - air,air_emissions
37,kg,As - non combustion - Steel production: basic oxygen furnace - air,air_emissions
38,kg,As - non combustion - Steel production: electric arc furnace - air,air_emissions
39,kg,As - non combustion - Steel production: open hearth furnace - air,air_emissions
40,kg,B(a)P - non combustion - Primary aluminium production - air,air_emissions
41,kg,B(a)P - non combustion - Production of coke oven coke - air,air_emissions
42,kg,B(a)P - non combustion - Production of gascoke - air,air_emissions
43,kg,B(b)F - non combustion - Primary aluminium production - air,air_emissions
44,kg,B(b)F - non combustion - Production of coke oven coke - air,air_emissions
45,kg,B(b)F - non combustion - Production of gascoke - air,air_emissions
46,kg,B(k)F - non combustion - Primary aluminium production - air,air_emissions
47,kg,B(k)F - non combustion - Production of coke oven coke - air,air_emissions
48,kg,B(k)F - non combustion - Production of gascoke - air,air_emissions
49,kg,CH4 - non combustion - Extraction/production of (natural) gas - air,air_emissions
50,kg,CH4 - non combustion - Extraction/production of crude oil - air,air_emissions
51,kg,CH4 - non combustion - Mining of antracite - air,air_emissions
52,kg,CH4 - non combustion - Mining of bituminous coal - air,air_emissions
53,kg,CH4 - non combustion - Mining of coking coal - air,air_emissions
54,kg,CH4 - non combustion - Mining of lignite (brown coal) - air,air_emissions
55,kg,CH4 - non combustion - Mining of sub-bituminous coal - air,air_emissions
56,kg,CH4 - non combustion - Oil refinery - air,air_emissions
57,kg,CO - non combustion - Agglomeration plant - sinter - air,air_emissions
58,kg,CO - non combustion - Bricks production - air,air_emissions
59,kg,CO - non combustion - Carbon black production - air,air_emissions
60,kg,CO - non combustion - Cement production - air,air_emissions
61,kg,"CO - non combustion - Chemical wood pulp, dissolving grades - air",air_emissions
62,kg,"CO - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air",air_emissions
63,kg,"CO - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air",air_emissions
64,kg,CO - non combustion - Glass production - air,air_emissions
65,kg,CO - non combustion - Lime production - air,air_emissions
66,kg,CO - non combustion - Oil refinery - air,air_emissions
67,kg,"CO - non combustion - Pig iron production, blast furnace - air",air_emissions
68,kg,CO - non combustion - Primary aluminium production - air,air_emissions
69,kg,CO - non combustion - Production of coke oven coke - air,air_emissions
70,kg,CO - non combustion - Production of gascoke - air,air_emissions
71,kg,"CO - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air",air_emissions
72,kg,CO - non combustion - Steel production: basic oxygen furnace - air,air_emissions
73,kg,CO - non combustion - Steel production: electric arc furnace - air,air_emissions
74,kg,CO2 - non combustion - Cement production - air,air_emissions
75,kg,CO2 - non combustion - Lime production - air,air_emissions
76,kg,Cd - non combustion - Agglomeration plant - pellets - air,air_emissions
77,kg,Cd - non combustion - Agglomeration plant - sinter - air,air_emissions
78,kg,Cd - non combustion - Glass production - air,air_emissions
79,kg,"Cd - non combustion - Nickel, unwrought - air",air_emissions
80,kg,Cd - non combustion - Production of coke oven coke - air,air_emissions
81,kg,Cd - non combustion - Production of gascoke - air,air_emissions
82,kg,"Cd - non combustion - Refined copper; unwrought, not alloyed - air",air_emissions
83,kg,"Cd - non combustion - Refined lead, unwrought - air",air_emissions
84,kg,Cd - non combustion - Steel production: basic oxygen furnace - air,air_emissions
85,kg,Cd - non combustion - Steel production: electric arc furnace - air,air_emissions
86,kg,Cd - non combustion - Steel production: open hearth furnace - air,air_emissions
87,kg,Cd - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,air_emissions
88,kg,"Cd - non combustion - Zinc, unwrought, not alloyed - air",air_emissions
89,kg,Cr - non combustion - Agglomeration plant - pellets - air,air_emissions
90,kg,Cr - non combustion - Agglomeration plant - sinter - air,air_emissions
91,kg,Cr - non combustion - Glass production - air,air_emissions
92,kg,"Cr - non combustion - Pig iron production, blast furnace - air",air_emissions
93,kg,Cr - non combustion - Steel production: basic oxygen furnace - air,air_emissions
94,kg,Cr - non combustion - Steel production: electric arc furnace - air,air_emissions
95,kg,Cr - non combustion - Steel production: open hearth furnace - air,air_emissions
96,kg,Cu - non combustion - Agglomeration plant - pellets - air,air_emissions
97,kg,Cu - non combustion - Agglomeration plant - sinter - air,air_emissions
98,kg,Cu - non combustion - Glass production - air,air_emissions
99,kg,"Cu - non combustion - Pig iron production, blast furnace - air",air_emissions
100,kg,Cu - non combustion - Steel production: basic oxygen furnace - air,air_emissions
101,kg,Cu - non combustion - Steel production: electric arc furnace - air,air_emissions
102,kg,Cu - non combustion - Steel production: open hearth furnace - air,air_emissions
103,kg,HCB - non combustion - Agglomeration plant - pellets - air,air_emissions
104,kg,HCB - non combustion - Agglomeration plant - sinter - air,air_emissions
105,kg,Hg - non combustion - Agglomeration plant - pellets - air,air_emissions
106,kg,Hg - non combustion - Agglomeration plant - sinter - air,air_emissions
107,kg,Hg - non combustion - Glass production - air,air_emissions
108,kg,"Hg - non combustion - Nickel, unwrought - air",air_emissions
109,kg,"Hg - non combustion - Pig iron production, blast furnace - air",air_emissions
110,kg,Hg - non combustion - Production of coke oven coke - air,air_emissions
111,kg,Hg - non combustion - Production of gascoke - air,air_emissions
112,kg,"Hg - non combustion - Refined copper; unwrought, not alloyed - air",air_emissions
113,kg,"Hg - non combustion - Refined lead, unwrought - air",air_emissions
114,kg,HCB - non combustion - Secondary aluminium production - air,air_emissions
115,kg,Hg - non combustion - Steel production: basic oxygen furnace - air,air_emissions
116,kg,Hg - non combustion - Steel production: electric arc furnace - air,air_emissions
117,kg,Hg - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,air_emissions
118,kg,"Hg - non combustion - Zinc, unwrought, not alloyed - air",air_emissions
119,kg,Indeno - non combustion - Primary aluminium production - air,air_emissions
120,kg,Indeno - non combustion - Production of coke oven coke - air,air_emissions
121,kg,Indeno - non combustion - Production of gascoke - air,air_emissions
122,kg,NH3 - non combustion - N- fertilizer production - air,air_emissions
123,kg,NMVOC - non combustion - Beef and veal - air,air_emissions
124,kg,NMVOC - non combustion - Coil coating (coating of aluminum and steel) - air,air_emissions
125,kg,NMVOC - non combustion - Decorative paint applicatoin - air,air_emissions
126,kg,NMVOC - non combustion - Degreasing - air,air_emissions
127,kg,NMVOC - non combustion - Diesel distribution - transport and depots (used in mobile sources) - air,air_emissions
128,kg,NMVOC - non combustion - Diesel distribution - transport and depots (used in stationary sources) - air,air_emissions
129,kg,NMVOC - non combustion - Dry cleaning - air,air_emissions
130,kg,"NMVOC - non combustion - Extraction, proc. and distribution of gaseous fuels - air",air_emissions
131,kg,"NMVOC - non combustion - Extraction, proc. and distribution of liquid fuels - air",air_emissions
132,kg,NMVOC - non combustion - Extraction/production of (natural) gas - air,air_emissions
133,kg,NMVOC - non combustion - Extraction/production of crude oil - air,air_emissions
134,kg,"NMVOC - non combustion - Fat, edible and non-edible oil extraction - air",air_emissions
135,kg,"NMVOC - non combustion - Fish, dried, salted or in brine; smoked fish; edible fish meal - air",air_emissions
136,kg,"NMVOC - non combustion - Fish, fish fillets, other fish meat and fish livers and roes, frozen - air",air_emissions
137,kg,"NMVOC - non combustion - Fish, otherwise prepared or preserved; caviar - air",air_emissions
138,kg,NMVOC - non combustion - Flexography and rotogravure in packaging - air,air_emissions
139,kg,NMVOC - non combustion - Gasoline distribution - service stations - air,air_emissions
140,kg,NMVOC - non combustion - Gasoline distribution - transport and depots (used in mobile sources) - air,air_emissions
141,kg,NMVOC - non combustion - Gasoline distribution - transport and depots (used in stationary sources) - air,air_emissions
142,kg,NMVOC - non combustion - Industrial application of adhesives (use of high performance solvent based adhesives) - air,air_emissions
143,kg,NMVOC - non combustion - Industrial application of adhesives (use of traditional solvent based adhesives) - air,air_emissions
144,kg,"NMVOC - non combustion - Industrial paint application, general industry (continuous processes) - air",air_emissions
145,kg,"NMVOC - non combustion - Industrial paint application, general industry (plastic parts) - air",air_emissions
146,kg,"NMVOC - non combustion - Industrial paint application, general industry - air",air_emissions
