flow_uuid,flowable,context,unit,compartment,flow_class,preferred,external_reference,cas_number,formula,synonyms,trade_relevance
42a50d5b-5823-5701-a853-5360f61d61a7,"Employment (people, jobs-scope — see exiobase_factors.py)",economic,1000 persons,economic,economic,True,Exiobase,,,factor_id:906; extension:employment,20
c3af8816-e9f1-5074-97cd-10d6c6be8e25,"Energy (gross use, ENRG-scope — see exiobase_factors.py)",resource/energy,terajoules,energy,resource,True,Exiobase,,,factor_id:907; extension:energy,14
87c73fb0-70a4-5e54-9cd0-7dccb5a3c824,"Water (blue withdrawal, WATR-scope — see exiobase_factors.py)",resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:910; extension:water,14
b6f010fb-a764-3063-af2d-bcb8309a97b7,Carbon dioxide,emission/air,kg,air,Chemicals,False,https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=46795,124-38-9,CO2,,13
94c434c1-b50d-3065-91cc-4e2debe66ab0,Diphenylmethane,emission/air,kg,air,Chemicals,False,https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=47820,101-81-5,C13H12,"Benzene, 1,1'-methylenebis-",13
aab83476-ec6c-3742-af85-15d320b7ce80,Methane,emission/air,kg,air,Chemicals,False,https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=48548,74-82-8,CH4,,13
34b32c7c-dfdc-5ed1-a95f-1296598d2e0f,Domestic Extraction Used - Fossil Fuels - Anthracite,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:470; extension:material,9
87b27f0f-c495-52d1-8d7a-48ccb46b7e3a,Domestic Extraction Used - Fossil Fuels - Coking Coal,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:471; extension:material,9
62bf3cd1-5e10-5066-b15f-58c89263d222,Domestic Extraction Used - Fossil Fuels - Crude oil,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:476; extension:material,9
84b12fa2-822f-50d1-870c-b6e3cc9c8ac3,Domestic Extraction Used - Fossil Fuels - Lignite (brown coal),resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:474; extension:material,9
60f2941f-5e8f-598f-9163-b12d59071f04,Domestic Extraction Used - Fossil Fuels - Natural gas,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:478; extension:material,9
1eb40b08-04f7-5cc1-9fce-3f58ffb63105,Domestic Extraction Used - Fossil Fuels - Natural gas liquids,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:479; extension:material,9
ccc6f69b-d1fc-5321-91e7-ab165d971248,Domestic Extraction Used - Fossil Fuels - Oil shale and tar sands,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:477; extension:material,9
f536758e-d45f-54e0-aea6-22f320e37f0c,Domestic Extraction Used - Fossil Fuels - Other Bituminous Coal,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:472; extension:material,9
1d756fd9-ff85-56a2-be60-0d29a1ba88e2,Domestic Extraction Used - Fossil Fuels - Other Sub-Bituminous Coal,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:473; extension:material,9
763a356e-5a0e-5f5d-b56b-fe2f90560195,Domestic Extraction Used - Fossil Fuels - Peat,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:475; extension:material,9
8d090762-ab95-5de2-a919-c70ca60aaf08,Domestic Extraction Used - Non-Metallic Minerals - Chalk,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:496; extension:material,9
12afbcf2-765e-50e1-9804-011017534093,Domestic Extraction Used - Non-Metallic Minerals - Chemical minerals n.e.c.,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:505; extension:material,9
b13518fc-3e1e-59db-8662-5335d2e7a15b,Domestic Extraction Used - Non-Metallic Minerals - Dolomite,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:497; extension:material,9
4f19adaa-1aff-5ded-96ef-50391147dda9,Domestic Extraction Used - Non-Metallic Minerals - Fertilizer minerals n.e.c.,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:504; extension:material,9
