trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,material,impact_intensity
4266762,AU,KR,IRONO,BASIC,52.15,31262.0,1.0,1.0,31262.0,599.463087
3493980,CN,KR,COPP1,COPP1,1389.59,30239.0,1.0,1.0,30239.0,21.761095
3494437,CN,KR,RADIO,OFFIC,2649.47,19641.0,1.0,1.0,19641.0,7.413181
3494439,CN,KR,RADIO,RADIO,2647.03,19623.0,1.0,1.0,19623.0,7.413214
4266779,AU,KR,PRECI,PREC1,1038.3,15930.0,1.0,1.0,15930.0,15.342387
4266768,AU,KR,COPPE,COPP1,558.75,9506.0,1.0,1.0,9506.0,17.012975
3493221,CN,KR,CHEM1,PLAST,5580.69,9345.0,1.0,1.0,9345.0,1.674524
3494466,CN,KR,RADIO,RESEA,1139.99,8451.0,1.0,1.0,8451.0,7.413223
3493793,CN,KR,BASIC,CONST,5879.34,8114.0,1.0,1.0,8114.0,1.380087
5190451,WL,KR,COPP1,COPP1,3227.69,7821.0,1.0,1.0,7821.0,2.423095
4266798,AU,KR,SANDC,CERAM,30.6,6718.0,1.0,1.0,6718.0,219.542484
5032211,WA,KR,OFFIC,OFFIC,3022.64,6631.0,1.0,1.0,6631.0,2.193778
3493279,CN,KR,CHEM1,HEALT,3704.85,6204.0,1.0,1.0,6204.0,1.674562
3493775,CN,KR,BASIC,BASIC,4349.33,6002.0,1.0,1.0,6002.0,1.379983
5031809,WA,KR,BASIC,CONST,1920.05,5527.0,1.0,1.0,5527.0,2.878571
3494167,CN,KR,FABRI,CONST,2931.6,5506.0,1.0,1.0,5506.0,1.878155
5606286,WM,KR,CRUDE,GASDI,20728.8,5417.0,1.0,1.0,5417.0,0.261327
4266800,AU,KR,SANDC,CEMEN,23.98,5265.0,1.0,1.0,5265.0,219.557965
3493830,CN,KR,PREC1,PREC1,121.33,4382.0,1.0,1.0,4382.0,36.116377
5031794,WA,KR,BASIC,BASIC,1420.39,4089.0,1.0,1.0,4089.0,2.878787
5030524,WA,KR,WOODW,CONST,1438.12,3930.0,1.0,1.0,3930.0,2.732734
5032236,WA,KR,OFFIC,BUSIN,1754.09,3848.0,1.0,1.0,3848.0,2.19373
3494348,CN,KR,ELECT,CONST,2116.47,3788.0,1.0,1.0,3788.0,1.789773
5190155,WL,KR,CHEM1,PLAST,336.91,3704.0,1.0,1.0,3704.0,10.994034
5030522,WA,KR,WOODW,FURNI,1348.38,3685.0,1.0,1.0,3685.0,2.732909
3494441,CN,KR,RADIO,MOTO1,491.78,3646.0,1.0,1.0,3646.0,7.413884
3493705,CN,KR,NONME,CONST,1682.0,3643.0,1.0,1.0,3643.0,2.165874
3493224,CN,KR,CHEM1,CHEM1,2120.85,3551.0,1.0,1.0,3551.0,1.674329
5031285,WA,KR,CHEM1,PLAST,297.24,3363.0,1.0,1.0,3363.0,11.31409
3494464,CN,KR,RADIO,REALE,446.94,3313.0,1.0,1.0,3313.0,7.412628
3493625,CN,KR,CERAM,CONST,1425.38,3291.0,1.0,1.0,3291.0,2.308858
5606927,WM,KR,GASDI,LANDT,3233.48,3255.0,1.0,1.0,3255.0,1.006655
3494229,CN,KR,OFFIC,OFFIC,2762.08,3214.0,1.0,1.0,3214.0,1.163616
5032234,WA,KR,OFFIC,COMPU,1422.81,3122.0,1.0,1.0,3122.0,2.194249
5030908,WA,KR,GASDI,LANDT,1782.77,3029.0,1.0,1.0,3029.0,1.699041
3493989,CN,KR,COPP1,CONST,138.82,3021.0,1.0,1.0,3021.0,21.761994
3493228,CN,KR,CHEM1,RUBBE,1794.59,3005.0,1.0,1.0,3005.0,1.674477
5606291,WM,KR,CRUDE,NAPHT,11190.04,2924.0,1.0,1.0,2924.0,0.261304
3361891,JP,KR,BASIC,CONST,5095.22,2895.0,1.0,1.0,2895.0,0.56818
3493213,CN,KR,CHEM1,TEXTI,1729.22,2895.0,1.0,1.0,2895.0,1.674165
5031735,WA,KR,NONME,CONST,1410.16,2751.0,1.0,1.0,2751.0,1.950842
