interstate_id,state_industry_exports_total,state_destination_share,state_export_intensity,state_destination_count,state_export_concentration
1,122682.61,1.1e-05,0.009644,41,0.048312
2,122682.61,0.0,0.009644,41,0.048312
3,122682.61,2e-06,0.009644,41,0.048312
4,122682.61,0.0,0.009644,41,0.048312
5,122682.61,7.6e-05,0.009644,41,0.048312
6,122682.61,1e-05,0.009644,41,0.048312
7,14346.07,0.005199,0.001128,41,0.058927
8,14346.07,1e-05,0.001128,41,0.058927
9,14346.07,0.001401,0.001128,41,0.058927
10,14346.07,0.0,0.001128,41,0.058927
11,14346.07,0.007915,0.001128,41,0.058927
12,14346.07,1.7e-05,0.001128,41,0.058927
13,53765.63,4.2e-05,0.004226,41,0.009213
14,53765.63,1e-06,0.004226,41,0.009213
15,53765.63,0.000592,0.004226,41,0.009213
16,53765.63,6.7e-05,0.004226,41,0.009213
17,53765.63,0.0,0.004226,41,0.009213
18,53765.63,0.00061,0.004226,41,0.009213
19,53765.63,3.3e-05,0.004226,41,0.009213
20,53765.63,1e-06,0.004226,41,0.009213
21,53765.63,0.000435,0.004226,41,0.009213
22,67758.26,0.000335,0.005326,41,0.022978
23,67758.26,0.000217,0.005326,41,0.022978
24,67758.26,0.000697,0.005326,41,0.022978
25,301353.11,0.0,0.023689,41,0.005676
26,301353.11,4.1e-05,0.023689,41,0.005676
27,301353.11,2.9e-05,0.023689,41,0.005676
28,301353.11,9e-05,0.023689,41,0.005676
29,301353.11,2e-06,0.023689,41,0.005676
30,301353.11,9e-06,0.023689,41,0.005676
31,301353.11,7e-06,0.023689,41,0.005676
32,301353.11,5e-05,0.023689,41,0.005676
33,301353.11,6e-06,0.023689,41,0.005676
34,301353.11,4.1e-05,0.023689,41,0.005676
35,301353.11,3.4e-05,0.023689,41,0.005676
36,301353.11,0.000211,0.023689,41,0.005676
37,392528.38,1.3e-05,0.030856,41,0.012117
38,392528.38,0.0,0.030856,41,0.012117
39,392528.38,0.000365,0.030856,41,0.012117
40,392528.38,2.2e-05,0.030856,41,0.012117
41,392528.38,1e-06,0.030856,41,0.012117
42,392528.38,0.0,0.030856,41,0.012117
43,392528.38,1.7e-05,0.030856,41,0.012117
44,392528.38,1e-06,0.030856,41,0.012117
45,392528.38,1e-06,0.030856,41,0.012117
46,392528.38,0.0,0.030856,41,0.012117
47,392528.38,6.3e-05,0.030856,41,0.012117
48,392528.38,9e-06,0.030856,41,0.012117
49,288991.04,0.00028,0.022717,41,0.007215
50,288991.04,4.3e-05,0.022717,41,0.007215
51,288991.04,2.2e-05,0.022717,41,0.007215
52,288991.04,1.2e-05,0.022717,41,0.007215
53,288991.04,0.000639,0.022717,41,0.007215
54,288991.04,4.1e-05,0.022717,41,0.007215
55,240017.64,2.9e-05,0.018868,41,0.003478
