interstate_id,state_industry_imports_total,state_source_share,state_import_intensity,state_supplier_count,state_import_concentration
1,5992.07,0.000235,0.000471,21,0.055688
2,5992.07,0.0,0.000471,21,0.055688
3,1784.48,0.000164,0.00014,21,0.046884
4,1784.48,8e-06,0.00014,21,0.046884
5,7364.47,0.00126,0.000579,21,0.082265
6,7364.47,0.000161,0.000579,21,0.082265
7,5992.07,0.012448,0.000471,21,0.055688
8,5992.07,2.4e-05,0.000471,21,0.055688
9,1784.48,0.011265,0.00014,21,0.046884
10,1784.48,1e-06,0.00014,21,0.046884
11,7364.47,0.015419,0.000579,21,0.082265
12,7364.47,3.2e-05,0.000579,21,0.082265
13,5992.07,0.000377,0.000471,21,0.055688
14,5992.07,7e-06,0.000471,21,0.055688
15,5992.07,0.005315,0.000471,21,0.055688
16,1784.48,0.002016,0.00014,21,0.046884
17,1784.48,0.0,0.00014,21,0.046884
18,1784.48,0.018378,0.00014,21,0.046884
19,7364.47,0.000237,0.000579,21,0.082265
20,7364.47,8e-06,0.000579,21,0.082265
21,7364.47,0.003177,0.000579,21,0.082265
22,5992.07,0.003788,0.000471,21,0.055688
23,1784.48,0.008243,0.00014,21,0.046884
24,7364.47,0.006414,0.000579,21,0.082265
25,5992.07,4e-06,0.000471,21,0.055688
26,5992.07,0.002039,0.000471,21,0.055688
27,5992.07,0.001438,0.000471,21,0.055688
28,5992.07,0.004548,0.000471,21,0.055688
29,1784.48,0.000375,0.00014,21,0.046884
30,1784.48,0.001454,0.00014,21,0.046884
31,1784.48,0.001132,0.00014,21,0.046884
32,1784.48,0.008479,0.00014,21,0.046884
33,7364.47,0.000262,0.000579,21,0.082265
34,7364.47,0.001661,0.000579,21,0.082265
35,7364.47,0.001394,0.000579,21,0.082265
36,7364.47,0.008638,0.000579,21,0.082265
37,5992.07,0.000831,0.000471,21,0.055688
38,5992.07,1e-06,0.000471,21,0.055688
39,5992.07,0.02393,0.000471,21,0.055688
40,5992.07,0.001465,0.000471,21,0.055688
41,1784.48,0.000133,0.00014,21,0.046884
42,1784.48,1.1e-05,0.00014,21,0.046884
43,1784.48,0.003819,0.00014,21,0.046884
