interstate_id,trade_id,state1,state2,sector1,sector2,state_industry_code,amount,commodity_code,industry_code,economic_multiplier
1,3010760,CA,AK,11,21,agriculture,1.405969411904871,,,1.0
2,3011060,CA,AK,11,21,services,0.0005435610335480718,,,1.0
3,3010723,CA,AK,11,22,agriculture,0.2917986202379041,,,1.0
4,3011109,CA,AK,11,22,services,0.013521080709508285,,,1.0
5,3010697,CA,AK,11,31ND,agriculture,9.282792756880848,,,1.0
6,3011078,CA,AK,11,31ND,services,1.182245247967056,,,1.0
7,3011880,CA,AK,21,21,mining,74.5899218050833,,,1.0
8,3012653,CA,AK,21,21,services,0.14468915261757734,,,1.0
9,3011886,CA,AK,21,22,mining,20.10205123070799,,,1.0
10,3012659,CA,AK,21,22,services,0.0017835596413296106,,,1.0
11,3011905,CA,AK,21,31ND,mining,113.55207067455993,,,1.0
12,3012685,CA,AK,21,31ND,services,0.237790965894983,,,1.0
13,3012381,CA,AK,22,21,mining,2.2607227882179672,,,1.0
14,3012653,CA,AK,22,21,services,0.04141255624344371,,,1.0
15,3020701,CA,AK,22,21,utilities,31.846864325831174,,,1.0
16,3012387,CA,AK,22,22,mining,3.596939950648227,,,1.0
17,3012659,CA,AK,22,22,services,0.0005945198804432035,,,1.0
18,3020707,CA,AK,22,22,utilities,32.795114178338935,,,1.0
19,3012414,CA,AK,22,31ND,mining,1.7474748382570984,,,1.0
20,3012685,CA,AK,22,31ND,services,0.056003772737749764,,,1.0
21,3020735,CA,AK,22,31ND,utilities,23.39647272404619,,,1.0
22,3022881,CA,AK,23,21,construction,22.699127845711946,,,1.0
23,3022884,CA,AK,23,22,construction,14.708913885045293,,,1.0
24,3022915,CA,AK,23,31ND,construction,47.23616013306316,,,1.0
25,3013320,CA,AK,31ND,21,agriculture,0.02412718136761826,,,1.0
26,3013753,CA,AK,31ND,21,manufacturing,12.219563405970645,,,1.0
27,3015187,CA,AK,31ND,21,mining,8.618991792861008,,,1.0
28,3013913,CA,AK,31ND,21,services,27.253036676927422,,,1.0
29,3013367,CA,AK,31ND,22,agriculture,0.6691645697446869,,,1.0
30,3013800,CA,AK,31ND,22,manufacturing,2.5943163248653263,,,1.0
31,3015193,CA,AK,31ND,22,mining,2.0202319047697506,,,1.0
32,3013931,CA,AK,31ND,22,services,15.129730714646804,,,1.0
33,3013340,CA,AK,31ND,31ND,agriculture,1.9301745094094607,,,1.0
34,3013775,CA,AK,31ND,31ND,manufacturing,12.23242529641364,,,1.0
35,3015222,CA,AK,31ND,31ND,mining,10.268209085448921,,,1.0
36,3013937,CA,AK,31ND,31ND,services,63.615023857300635,,,1.0
37,3014693,CA,AK,33DG,21,agriculture,4.977577790449924,,,1.0
38,3017840,CA,AK,33DG,21,construction,0.005779151077915043,,,1.0
39,3017611,CA,AK,33DG,21,manufacturing,143.3889606304666,,,1.0
40,3014367,CA,AK,33DG,21,services,8.77943738786897,,,1.0
41,3014699,CA,AK,33DG,22,agriculture,0.2377088461951506,,,1.0
42,3017890,CA,AK,33DG,22,construction,0.02042862706611829,,,1.0
43,3017679,CA,AK,33DG,22,manufacturing,6.815656189979403,,,1.0
44,3014371,CA,AK,33DG,22,services,0.5563366052011512,,,1.0
45,3014725,CA,AK,33DG,31ND,agriculture,0.3400249281110852,,,1.0
46,3017858,CA,AK,33DG,31ND,construction,0.034607707036351715,,,1.0
47,3017634,CA,AK,33DG,31ND,manufacturing,24.677145302877573,,,1.0
48,3014396,CA,AK,33DG,31ND,services,3.383086125509202,,,1.0
49,3023220,CA,AK,44RT,21,manufacturing,80.90589915766542,,,1.0
50,3025865,CA,AK,44RT,21,services,12.489769620845804,,,1.0
51,3023226,CA,AK,44RT,22,manufacturing,6.24917511282777,,,1.0
52,3025871,CA,AK,44RT,22,services,3.4861889899627174,,,1.0
53,3023257,CA,AK,44RT,31ND,manufacturing,184.66010580235843,,,1.0
54,3025904,CA,AK,44RT,31ND,services,11.714474080356236,,,1.0
55,3024364,CA,AK,48TW,21,manufacturing,6.9056127806881324,,,1.0
56,3024533,CA,AK,48TW,21,services,13.71628791499535,,,1.0
57,3023689,CA,AK,48TW,21,transportation,84.23487712662374,,,1.0
58,3024370,CA,AK,48TW,22,manufacturing,15.345517820494447,,,1.0
59,3024539,CA,AK,48TW,22,services,4.040036916070687,,,1.0
60,3023726,CA,AK,48TW,22,transportation,37.92210595141155,,,1.0
61,3024402,CA,AK,48TW,31ND,manufacturing,37.930665399969385,,,1.0
62,3024571,CA,AK,48TW,31ND,services,12.721033607767637,,,1.0
63,3023739,CA,AK,48TW,31ND,transportation,251.77022888797063,,,1.0
64,3025544,CA,AK,51,21,manufacturing,18.174946474693684,,,1.0
65,3024533,CA,AK,51,21,services,11.020436204549284,,,1.0
66,3025550,CA,AK,51,22,manufacturing,4.785829478136877,,,1.0
67,3024539,CA,AK,51,22,services,5.082435877713807,,,1.0
68,3025583,CA,AK,51,31ND,manufacturing,9.948866398732267,,,1.0
69,3024571,CA,AK,51,31ND,services,8.740513304824377,,,1.0
70,3024702,CA,AK,52,21,services,159.2501122965394,,,1.0
71,3024708,CA,AK,52,22,services,25.38590122380157,,,1.0
72,3024740,CA,AK,52,31ND,services,45.91854132129884,,,1.0
