region,industry_code,direct_jobs,indirect_jobs,induced_jobs,total_output_impact,tax_revenue_impact
US-CA,agriculture,0.0,0.0,0.0,500673.1448103561,60080.777377242724
US-CA,construction,0.0,0.0,0.0,175326.7558613911,21039.210703366934
US-CA,manufacturing,0.0,0.0,0.0,2081009.7567901404,249721.17081481684
US-CA,mining,0.0,0.0,0.0,62675.44564734781,7521.053477681738
US-CA,services,0.0,0.0,0.0,2807482.6915266607,336897.9229831993
US-CA,transportation,0.0,0.0,0.0,287007.07434416114,34440.84892129934
US-CA,utilities,0.0,0.0,0.0,108981.14024381597,13077.736829257916
US-CO,mining,0.0,0.0,0.0,118316.47538847677,14197.977046617212
US-FL,agriculture,0.0,0.0,0.0,103127.86361357306,12375.343633628767
US-FL,construction,0.0,0.0,0.0,98764.84921065369,11851.781905278442
US-FL,services,0.0,0.0,0.0,1304149.8155334566,156497.97786401477
US-FL,transportation,0.0,0.0,0.0,137937.3775025136,16552.485300301632
US-FL,utilities,0.0,0.0,0.0,56140.33495282953,6736.840194339543
US-GA,construction,0.0,0.0,0.0,49150.44767703783,5898.05372124454
US-GA,transportation,0.0,0.0,0.0,90080.8949633383,10809.707395600595
US-GA,utilities,0.0,0.0,0.0,34839.85443161779,4180.782531794134
US-IA,agriculture,0.0,0.0,0.0,113159.24784288522,13579.109741146225
US-IL,agriculture,0.0,0.0,0.0,79471.6664646191,9536.599975754292
US-IL,construction,0.0,0.0,0.0,49556.35526281841,5946.7626315382095
US-IL,manufacturing,0.0,0.0,0.0,767741.2219158488,92128.94662990185
US-IL,services,0.0,0.0,0.0,975457.7157907217,117054.9258948866
US-IL,transportation,0.0,0.0,0.0,130663.6313638599,15679.635763663187
US-IL,utilities,0.0,0.0,0.0,46316.71429502906,5558.005715403487
US-IN,manufacturing,0.0,0.0,0.0,716374.8047288732,85964.97656746478
US-LA,mining,0.0,0.0,0.0,84516.49791343306,10141.979749611966
US-MI,manufacturing,0.0,0.0,0.0,692770.5412712529,83132.46495255035
US-NC,manufacturing,0.0,0.0,0.0,649600.3364809543,77952.04037771451
US-ND,mining,0.0,0.0,0.0,84776.40052569933,10173.168063083918
US-NE,agriculture,0.0,0.0,0.0,109424.29354536232,13130.915225443478
US-NJ,services,0.0,0.0,0.0,743538.5150454041,89224.62180544848
US-NJ,transportation,0.0,0.0,0.0,88296.49561115257,10595.579473338308
US-NM,mining,0.0,0.0,0.0,72195.82846006329,8663.499415207594
US-NY,construction,0.0,0.0,0.0,86306.54369801182,10356.78524376142
US-NY,services,0.0,0.0,0.0,2063794.8717085463,247655.38460502555
US-NY,transportation,0.0,0.0,0.0,124446.61494649324,14933.593793579188
US-NY,utilities,0.0,0.0,0.0,73920.70789241935,8870.484947090321
US-OH,construction,0.0,0.0,0.0,43856.46064779201,5262.775277735041
US-OH,manufacturing,0.0,0.0,0.0,767285.1075498463,92074.21290598155
US-OH,services,0.0,0.0,0.0,722203.2983581608,86664.39580297928
US-OH,utilities,0.0,0.0,0.0,33281.53052523435,3993.7836630281226
US-OK,mining,0.0,0.0,0.0,193520.771350741,23222.492562088923
US-PA,construction,0.0,0.0,0.0,52076.8277288333,6249.219327459995
US-PA,manufacturing,0.0,0.0,0.0,654521.3776462612,78542.56531755136
US-PA,mining,0.0,0.0,0.0,84631.64787299489,10155.797744759386
US-PA,services,0.0,0.0,0.0,868595.1188974046,104231.41426768855
US-PA,transportation,0.0,0.0,0.0,107061.09554946699,12847.331465936039
US-PA,utilities,0.0,0.0,0.0,39278.74836145903,4713.449803375083
US-TX,agriculture,0.0,0.0,0.0,133983.8860648464,16078.066327781566
US-TX,construction,0.0,0.0,0.0,142176.23896327984,17061.14867559358
US-TX,manufacturing,0.0,0.0,0.0,1409976.2492581867,169197.14991098238
US-TX,mining,0.0,0.0,0.0,835953.9619191088,100314.47543029304
US-TX,services,0.0,0.0,0.0,1666780.4420125736,200013.6530415088
US-TX,transportation,0.0,0.0,0.0,218548.07535573727,26225.769042688473
US-TX,utilities,0.0,0.0,0.0,88167.1140476799,10580.053685721588
US-WA,agriculture,0.0,0.0,0.0,127089.82927414351,15250.779512897221
US-WI,agriculture,0.0,0.0,0.0,76086.31287723735,9130.357545268482
