trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,land,material,water,impact_intensity
72113,FR,ID,TEXTI,BIODI,0.02,2241.71,3,3,2241.71,0.0,0.0,0.0,0.0,112085.5
37735,FR,DE,ELEC3,OILSE,0.01,2241.697,3,3,2241.697,0.0,0.0,0.0,0.0,224169.7
57254,FR,FI,SALEM,FOUND,0.02,2241.429,3,3,2241.429,0.0,0.0,0.0,0.0,112071.45
78101,FR,IT,BIOGA,CERAM,0.01,2241.335,3,3,2241.335,0.0,0.0,0.0,0.0,224133.5
138904,FR,US,93197,BASIC,0.04,2241.313,3,3,2241.313,0.0,0.0,0.0,0.0,56032.825
85010,FR,JP,BUSIN,NONSP,0.03,2241.052,3,3,2241.052,0.0,0.0,0.0,0.0,74701.733333
142054,FR,US,OILHA,FOOD4,0.01,2240.988,3,3,2240.988,0.0,0.0,0.0,0.0,224098.8
39165,FR,DE,HOTEL,RAWMI,0.02,2240.88,3,3,2240.88,0.0,0.0,0.0,0.0,112044.0
123236,FR,RU,RENTI,COLLE,0.02,2240.711,3,3,2240.711,0.0,0.0,0.0,0.0,112035.55
158434,FR,WF,PUBLI,WOODW,0.04,2240.626,3,3,2240.626,0.0,0.0,0.0,0.0,56015.65
87246,FR,JP,PUBLI,LANDT,0.04,2240.495,3,3,2240.495,0.0,0.0,0.0,0.0,56012.375
100059,FR,MX,MOTO1,INSUR,0.01,2240.453,3,3,2240.453,0.0,0.0,0.0,0.0,224045.3
98784,FR,MX,BUSIN,MEAT4,0.03,2240.351,3,3,2240.351,0.0,0.0,0.0,0.0,74678.366667
105684,FR,NL,TEXT1,SEWAG,0.01,2240.28,3,3,2240.28,0.0,0.0,0.0,0.0,224028.0
42745,FR,DE,TEXT1,COLLE,0.01,2240.229,3,3,2240.229,0.0,0.0,0.0,0.0,224022.9
64564,FR,GR,RECRE,TOBAC,0.02,2240.076,3,3,2240.076,0.0,0.0,0.0,0.0,112003.8
94762,FR,LU,INTER,PUBLI,0.01,2239.957,3,3,2239.957,0.0,0.0,0.0,0.0,223995.7
134105,FR,TR,FINAN,BIODI,0.04,2239.903,3,3,2239.903,0.0,0.0,0.0,0.0,55997.575
122916,FR,RU,POSTT,MOTO1,0.04,2239.74,3,3,2239.74,0.0,0.0,0.0,0.0,55993.5
70842,FR,ID,CONST,LEATH,0.01,2239.518,3,3,2239.518,0.0,0.0,0.0,0.0,223951.8
155926,FR,WF,FOOD5,NONME,0.01,2239.373,3,3,2239.373,0.0,0.0,0.0,0.0,223937.3
139932,FR,US,COMPU,MEAT4,0.04,2239.361,3,3,2239.361,0.0,0.0,0.0,0.0,55984.025
35524,FR,CZ,TEXTI,BEVER,0.02,2239.282,3,3,2239.282,0.0,0.0,0.0,0.0,111964.1
108572,FR,NO,RUBBE,TEXT2,0.01,2239.143,3,3,2239.143,0.0,0.0,0.0,0.0,223914.3
149700,FR,WA,SUPPO,KERO1,0.02,2238.996,3,3,2238.996,0.0,0.0,0.0,0.0,111949.8
22402,FR,CH,ELEC3,FOUND,0.01,2238.977,3,3,2238.977,0.0,0.0,0.0,0.0,223897.7
172329,FR,WM,WOOD2,HOTEL,0.01,2238.798,3,3,2238.798,0.0,0.0,0.0,0.0,223879.8
49723,FR,ES,FINAN,BITU1,0.04,2238.587,3,3,2238.587,0.0,0.0,0.0,0.0,55964.675
97709,FR,MT,LANDT,SALEM,0.01,2238.506,3,3,2238.506,0.0,0.0,0.0,0.0,223850.6
164679,FR,WL,RUBBE,WOOLS,0.01,2238.423,3,3,2238.423,0.0,0.0,0.0,0.0,223842.3
168322,FR,WM,INTER,MEATA,0.01,2238.206,3,3,2238.206,0.0,0.0,0.0,0.0,223820.6
71871,FR,ID,RESEA,FABRI,0.03,2238.164,3,3,2238.164,0.0,0.0,0.0,0.0,74605.466667
64646,FR,GR,RETA1,DIST1,0.02,2238.152,3,3,2238.152,0.0,0.0,0.0,0.0,111907.6
123368,FR,RU,RETA1,PAPER,0.02,2238.093,3,3,2238.093,0.0,0.0,0.0,0.0,111904.65
145486,FR,WA,FABRI,COKEO,0.01,2237.925,3,3,2237.925,0.0,0.0,0.0,0.0,223792.5
104259,FR,NL,OILHA,TEXTI,0.01,2237.858,3,3,2237.858,0.0,0.0,0.0,0.0,223785.8
172316,FR,WM,WOOD2,CATTL,0.01,2237.819,3,3,2237.819,0.0,0.0,0.0,0.0,223781.9
85832,FR,JP,FOOD5,MEDIC,0.01,2237.772,3,3,2237.772,0.0,0.0,0.0,0.0,223777.2
59566,FR,GB,FORES,MEATP,0.02,2237.639,4,4,2236.639,0.0,1.0,0.0,0.0,111881.95
141053,FR,US,INERT,MOTOR,0.01,2237.605,3,3,2237.605,0.0,0.0,0.0,0.0,223760.5
22819,FR,CH,FINAN,FOOD5,0.04,2237.6,3,3,2237.6,0.0,0.0,0.0,0.0,55940.0
75763,FR,IN,INSUR,AIRTR,0.04,2237.597,3,3,2237.597,0.0,0.0,0.0,0.0,55939.925
70141,FR,HU,TRANS,HEALT,0.02,2237.584,3,3,2237.584,0.0,0.0,0.0,0.0,111879.2
101288,FR,MX,WHOLE,PLANT,0.01,2237.537,3,3,2237.537,0.0,0.0,0.0,0.0,223753.7
163876,FR,WL,POSTT,CEREA,0.04,2237.477,3,3,2237.477,0.0,0.0,0.0,0.0,55936.925
169702,FR,WM,PAPE1,RECRE,0.01,2237.279,3,3,2237.279,0.0,0.0,0.0,0.0,223727.9
164567,FR,WL,RETAI,PLAST,0.02,2237.193,3,3,2237.193,0.0,0.0,0.0,0.0,111859.65
78860,FR,IT,ELE10,BASIC,0.01,2237.174,3,3,2237.174,0.0,0.0,0.0,0.0,223717.4
119890,FR,RO,RETAI,BRICK,0.02,2237.168,3,3,2237.168,0.0,0.0,0.0,0.0,111858.4
99157,FR,MX,CROPS,WHOLE,0.03,2237.162,3,3,2237.162,0.0,0.0,0.0,0.0,74572.066667
135666,FR,TR,PUBLI,93197,0.04,2237.15,3,3,2237.15,0.0,0.0,0.0,0.0,55928.75
123243,FR,RU,RENTI,EDUCA,0.02,2237.044,3,3,2237.044,0.0,0.0,0.0,0.0,111852.2
25835,FR,CH,SALEM,RAILW,0.02,2237.028,3,3,2237.028,0.0,0.0,0.0,0.0,111851.4
29633,FR,CN,PAPE4,VEGET,0.01,2236.918,3,3,2236.918,0.0,0.0,0.0,0.0,223691.8
122393,FR,RU,MACHI,PROCE,0.02,2236.797,3,3,2236.797,0.0,0.0,0.0,0.0,111839.85
