trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,impact_intensity
15643,CN,GB,CHEM1,HEALT,1169.1,1520709044.631,7,7,1300751.898581
17709,CN,GB,RUBBE,RUBBE,842.92,1209870417.706,7,7,1435332.436893
94191,US,GB,CRUDE,KEROS,1461.28,1202207414.223,7,7,822708.457122
47484,IE,GB,ELEC2,DISTR,311.92,1182326555.753,7,7,3790480.109493
17132,CN,GB,OFFIC,PUBLI,959.39,944579472.799,7,7,984562.558291
94187,US,GB,CRUDE,GASDI,998.47,821452821.773,7,7,822711.570476
17087,CN,GB,OFFIC,HEALT,814.4,801826074.114,7,7,984560.503578
94195,US,GB,CRUDE,MOTOR,947.88,779830593.502,7,7,822710.251827
15882,CN,GB,ELECT,AIRTR,603.98,755368361.694,7,7,1250651.282648
17673,CN,GB,RUBBE,MOTO1,499.27,716619156.515,7,7,1435333.900525
73251,NO,GB,NATUR,ELEC2,2074.25,653919494.924,7,7,315255.873171
15950,CN,GB,ELECT,MOTO1,518.88,648932418.163,7,7,1250640.64555
70231,NL,GB,PLAST,RUBBE,659.83,634903106.016,7,7,962222.248179
67660,NL,GB,ELEC2,DISTR,112.13,634744150.703,7,7,5660787.931
23906,DE,GB,MOTO1,MOTO1,2569.08,612730459.979,7,7,238501.899504
47128,IE,GB,COMPU,BUSIN,5475.81,552763235.351,7,7,100946.386991
110455,WM,GB,KEROS,AIRTR,238.85,543840041.696,7,7,2276910.369253
49238,IE,GB,PIGS9,FOOD5,400.18,530091863.9,7,7,1324633.574641
16351,CN,GB,FURNI,HEALT,505.34,522920605.209,7,7,1034789.656882
96853,US,GB,TRAN2,FOOD3,22.53,483325265.872,6,6,21452519.56822
93843,US,GB,CHEM1,HEALT,1473.72,463446501.247,7,7,314473.917194
47137,IE,GB,COMPU,COMPU,4500.73,454332341.811,7,7,100946.366881
15508,CN,GB,CEMEN,CEMEN,109.5,429369533.751,7,7,3921182.95663
47535,IE,GB,ELEC2,WHOLE,111.08,421032335.99,7,7,3790352.32256
72298,NO,GB,CRUDE,KEROS,1995.2,416177976.33,7,7,208589.603213
110037,WM,GB,FURNI,HEALT,56.66,414633774.933,7,7,7317927.549118
102303,WE,GB,KEROS,AIRTR,272.25,411183112.373,7,7,1510314.462343
16026,CN,GB,FABRI,CONST,278.12,383154567.164,7,7,1377659.165698
100692,WA,GB,SEACO,SEACO,225.66,381342418.707,7,7,1689898.159652
109211,WM,GB,CHEM1,HEALT,182.95,374900321.207,7,7,2049195.524498
15902,CN,GB,ELECT,CONST,296.2,370438250.11,7,7,1250635.550675
100694,WA,GB,SEACO,SUPPO,204.13,344961163.623,7,7,1689909.193274
98864,WA,GB,HEALT,HEALT,1525.52,318450816.971,7,7,208749.027853
99965,WA,GB,PUBLI,ELEC2,942.5,316962245.851,7,7,336299.465094
97760,WA,GB,CEMEN,CEMEN,39.91,305454730.268,7,7,7653588.831571
110122,WM,GB,GASDI,LANDT,131.57,296311088.645,7,7,2252117.417686
100511,WA,GB,RUBBE,RUBBE,389.09,295855210.365,7,7,760377.31724
94179,US,GB,CRUDE,CRUDE,353.93,291181435.012,7,7,822709.10918
21552,DE,GB,BASIC,MOTO1,234.33,284521990.33,7,7,1214193.617249
72294,NO,GB,CRUDE,GASDI,1363.3,284369045.18,7,7,208588.751691
46896,IE,GB,CEMEN,CEMEN,399.52,276475202.268,7,7,692018.427783
15968,CN,GB,ELECT,POSTT,219.39,274379329.027,7,7,1250646.46988
93598,US,GB,BUSIN,BUSIN,3517.99,274075390.045,7,7,77906.813278
72302,NO,GB,CRUDE,MOTOR,1294.22,269960337.79,7,7,208589.218054
45831,ID,GB,NONF1,CHEM1,70.39,266253644.381,7,7,3782549.287981
18090,CN,GB,WOODW,WOODW,380.38,255849242.669,7,7,672614.865842
100650,WA,GB,SEACO,KEROS,150.47,254279241.92,7,7,1689899.926364
91431,TR,GB,PREC1,FURNI,470.42,253432917.327,7,7,538737.547993
49224,IE,GB,PIGS9,BEVER,189.0,250358502.884,7,7,1324648.163407
93036,TW,GB,SEACO,SEACO,44.53,241423011.103,7,7,5421581.205996
73250,NO,GB,NATUR,DIST1,765.39,241294834.978,7,7,315257.365497
98956,WA,GB,HOTEL,BUSIN,642.24,239371283.751,7,7,372713.134889
97121,US,GB,WOODW,WOODW,573.71,239250264.623,7,7,417022.998768
15893,CN,GB,ELECT,BUSIN,190.23,237910251.49,7,7,1250645.279346
16066,CN,GB,FABRI,MOTO1,164.44,226536974.95,7,7,1377626.945694
5256,BE,GB,ELEC2,DISTR,33.62,226381662.941,6,6,6733541.431916
67705,NL,GB,ELEC2,WHOLE,39.93,226035531.803,7,7,5660794.685775
95800,US,GB,PLAST,RUBBE,324.37,225941584.535,7,7,696555.120803
93037,TW,GB,SEACO,SUPPO,40.28,218390504.487,7,7,5421809.942577
94193,US,GB,CRUDE,LIQUE,257.05,211473435.254,7,7,822693.776518
28491,DK,GB,SEACO,SEACO,93.22,208044193.392,7,7,2231754.917314
47530,IE,GB,ELEC2,TRAN1,54.23,205555399.626,7,7,3790437.020579
57379,JP,GB,COKEO,BASIC,63.96,203124965.263,7,7,3175812.465025
71149,NL,GB,SEACO,SEACO,92.64,196331399.324,7,7,2119294.034154
51985,IN,GB,HOTEL,BUSIN,392.27,196243812.593,7,7,500277.392085
24500,DE,GB,PLAST,RUBBE,612.95,189728806.972,7,7,309533.904841
97345,WA,GB,BASIC,MOTO1,82.86,189198303.033,7,7,2283349.059051
28492,DK,GB,SEACO,SUPPO,84.33,188196129.603,7,7,2231662.867343
82496,RU,GB,CRUDE,KEROS,217.33,185786626.187,7,7,854859.550854
98664,WA,GB,FURNI,HEALT,148.81,183580498.457,7,7,1233657.001929
