trade_id,factor_id,level
112,902,0.066
112,903,0.045
113,901,2610.303
113,902,0.127
113,903,0.087
114,901,18057.246
114,902,0.88
114,903,0.605
115,901,4269.966
115,902,0.208
115,903,0.143
116,901,1192.456
116,902,0.058
116,903,0.04
117,901,2637.51
117,902,0.129
117,903,0.088
118,901,43135.836
118,902,2.103
118,903,1.445
119,901,5068.555
119,902,0.247
119,903,0.17
120,901,23816.789
120,902,1.161
120,903,0.798
121,901,14491.222
121,902,0.706
121,903,0.485
122,901,516854.278
122,902,21.619
122,903,7.632
123,901,26294.67
123,902,1.1
123,903,0.388
124,901,20369.122
124,902,0.852
124,903,0.301
125,901,62871.603
125,902,2.63
125,903,0.928
126,901,999.775
126,902,0.049
126,903,0.026
127,901,896.129
127,902,0.044
127,903,0.024
128,901,45602.088
128,902,2.215
128,903,1.209
129,901,1743.97
129,902,0.085
129,903,0.046
130,901,1180.883
130,902,0.057
130,903,0.031
131,901,757.816
131,902,0.037
131,903,0.02
132,901,1425.854
132,902,0.069
132,903,0.038
133,901,2262.719
133,902,0.11
133,903,0.06
134,901,704.966
134,902,0.034
134,903,0.019
135,901,2382.181
135,902,0.116
135,903,0.063
136,901,707.032
136,902,0.034
136,903,0.019
137,901,833.679
137,902,0.04
137,903,0.022
138,901,10932.87
138,902,0.482
138,903,0.247
139,901,281081.517
139,902,12.404
139,903,6.345
140,901,19949.037
140,902,0.88
140,903,0.45
141,901,9493.39
141,902,0.419
141,903,0.214
142,901,38095.168
142,902,1.681
142,903,0.86
143,901,6246.37
143,902,0.276
143,903,0.141
144,901,8006.14
144,902,0.353
144,903,0.181
145,901,7006.873
145,902,0.309
145,903,0.158
146,901,7392.821
146,902,0.326
146,903,0.167
147,901,16953.256
147,902,0.748
147,903,0.383
148,901,6376.822
148,902,0.281
148,903,0.144
149,901,51625.958
149,902,2.278
149,903,1.165
150,901,151930.142
150,902,4.347
150,903,1.816
151,901,13310.325
151,902,0.381
151,903,0.159
152,901,40814.971
152,902,1.893
152,903,3.514
153,901,13551.695
153,902,0.628
153,903,1.167
154,901,61316.635
154,902,2.843
154,903,5.279
155,901,7724.019
155,902,0.358
155,903,0.665
156,901,83217.364
156,902,3.859
156,903,7.165
157,901,25536.797
157,902,1.184
157,903,2.199
158,901,24989.957
158,902,1.159
158,903,2.152
159,901,11814.962
159,902,0.548
159,903,1.017
160,901,15808.334
160,902,0.733
160,903,1.361
161,901,82990.822
161,902,3.848
161,903,7.145
162,901,7731.715
162,902,0.359
162,903,0.666
163,901,29034.902
163,902,1.346
163,903,2.5
164,901,6714.893
164,902,0.311
164,903,0.578
165,901,31534.253
165,902,1.462
165,903,2.715
166,901,15364.108
166,902,0.72
166,903,0.408
167,901,9646.677
167,902,0.452
167,903,0.256
168,901,24822.804
