trade_id,factor_id,level
3562187,909,1
3562202,909,3
3562249,909,1
3562278,909,1
3562283,909,1
3562285,909,21
3562287,909,2
3562289,909,5
3562291,909,2
3562295,909,1
3562306,909,3
3562311,909,2
3562325,909,2
3562326,909,1
3562327,909,3
3562329,909,1
3562353,909,1
3562357,909,1
3562474,909,1
3562485,909,1
3562512,909,1
3562558,909,2
3562602,909,1
3562615,909,1
3562618,909,1
3562619,909,1
3562621,909,1
3562625,909,1
3562629,909,1
3562641,909,1
3562642,909,3
3562647,909,1
3562649,909,1
3562655,909,2
3562658,909,1
3562660,909,7
3562661,909,3
3562667,909,1
3562668,909,1
3562671,909,5
3562672,909,2
3562674,909,5
3562692,909,1
3562715,909,1
3562716,909,8
3562799,909,1
3562802,909,1
3562803,909,1
3562804,909,2
3562806,909,1
3562813,909,2
3562814,909,1
3562816,909,2
3562817,909,1
3562820,909,1
3562821,909,2
3562822,909,3
3562823,909,1
3562866,909,1
3562932,909,1
3562954,909,1
3562961,909,1
3562995,909,2
3563008,909,1
3563108,909,1
3563137,909,1
3563139,909,1
3563142,909,1
3563145,909,2
3563146,909,7
3563149,909,3
3563150,909,9
3563160,909,1
3563226,909,2
3563319,909,1
3563322,909,1
3563430,909,1
3563512,909,1
3563577,909,2
3563606,909,1
3563686,909,1
3563687,909,1
3563697,909,1
3563700,909,1
3563702,909,1
3563704,909,2
3563729,909,1
3563794,909,4
3563795,909,1
3563802,909,1
3563808,909,1
3563817,909,1
3563818,909,1
3563822,909,3
3563823,909,2
3563824,909,2
3563827,909,1
3563833,909,1
3563839,909,1
3563859,909,2
3563917,909,6
3563921,909,19
3563922,909,3
3563925,909,1
3563930,909,3
3563940,909,4
3563953,909,3
3563954,909,3
3563955,909,2
3563956,909,1
3563960,909,13
3563961,909,14
3563962,909,19
3563966,909,3
3563973,909,6
3563975,909,2
3563976,909,4
3563980,909,6
3564002,909,1
3564035,909,1
3564098,909,1
3564110,909,1
3564137,909,1
3564187,909,1
3564232,909,1
3564233,909,1
3564235,909,1
3564313,909,1
3564427,909,1
3564428,909,1
3564429,909,6
3564431,909,1
3564433,909,1
3564434,909,1
3564438,909,1
3564460,909,1
3564516,909,1
3564533,909,2
3564535,909,1
3564536,909,2
3564540,909,2
3564543,909,1
3564544,909,2
3564546,909,1
3564548,909,1
3564550,909,1
3564556,909,19
3564557,909,5
3564560,909,6
3564563,909,1
3564566,909,1
3564567,909,1
3564568,909,1
3564574,909,1
3564575,909,1
3564576,909,1
3564578,909,2
3564579,909,1
3564583,909,1
3564584,909,3
3564586,909,2
3564588,909,6
3564590,909,4
3564591,909,1
3564592,909,1
3564595,909,1
3564601,909,1
3564602,909,5
3564603,909,5
3564604,909,1
3564605,909,23
3564606,909,1
3564607,909,1
3564609,909,2
3564612,909,1
3564617,909,1
3564624,909,2
3564650,909,1
3564669,909,1
3564713,909,1
3564720,909,1
3564726,909,1
3564727,909,1
3564728,909,3
3564736,909,14
3564742,909,2
3564744,909,1
3564747,909,1
3564757,909,1
3564758,909,1
3564759,909,1
3564765,909,1
3564767,909,2
3564787,909,2
3564792,909,2
3564793,909,1
3564797,909,1
3564804,909,1
3564814,909,1
3564816,909,1
3564817,909,1
3564842,909,4
3564845,909,1
3564861,909,1
3564868,909,1
3564871,909,26
3564873,909,3
3564874,909,1
3564881,909,1
3564898,909,9
3564912,909,6
3564913,909,2
3564916,909,3
3564921,909,1
3564922,909,8
3564923,909,5
3564924,909,44
3564925,909,2
3564926,909,107
3564927,909,34
