flow_uuid,flowable,context,unit,compartment,flow_class,preferred,external_reference,cas_number,formula,synonyms,trade_relevance
42a50d5b-5823-5701-a853-5360f61d61a7,"Employment (people, jobs-scope — see exiobase_factors.py)",economic,1000 persons,economic,economic,True,Exiobase,,,factor_id:906; extension:employment,20
0fbb8aaa-3afc-5618-b1b2-f58c89044ccd,Employment hours: High-skilled female,economic,M.hr,economic,economic,True,Exiobase,,,factor_id:432; extension:employment,20
b1f02ce7-029e-54e5-b0a7-76cf6a424e08,Employment hours: High-skilled male,economic,M.hr,economic,economic,True,Exiobase,,,factor_id:431; extension:employment,20
759edb79-aaa3-5efa-b92e-0bbb118af81f,Employment hours: Low-skilled female,economic,M.hr,economic,economic,True,Exiobase,,,factor_id:428; extension:employment,20
cf343ab6-8f37-59b3-8aee-a5e9d58e6991,Employment hours: Low-skilled male,economic,M.hr,economic,economic,True,Exiobase,,,factor_id:427; extension:employment,20
bdef48c7-b79d-5582-b804-d4fbd81ea343,Employment hours: Medium-skilled female,economic,M.hr,economic,economic,True,Exiobase,,,factor_id:430; extension:employment,20
0a4a3b38-2e4f-5715-b744-518fa0c1a582,Employment hours: Medium-skilled male,economic,M.hr,economic,economic,True,Exiobase,,,factor_id:429; extension:employment,20
a5cd928d-67eb-53e6-9cc3-c052fe426c47,Employment people: High-skilled female,economic,1000 p,economic,economic,True,Exiobase,,,factor_id:426; extension:employment,20
92c939bc-58d2-5a2a-995e-51cddb4393df,Employment people: High-skilled male,economic,1000 p,economic,economic,True,Exiobase,,,factor_id:425; extension:employment,20
a5e9a1c3-7081-5846-8909-b061c7eaac1b,Employment people: Low-skilled female,economic,1000 p,economic,economic,True,Exiobase,,,factor_id:422; extension:employment,20
9c32ea50-7faf-567d-a719-5f5af4a7b9ca,Employment people: Low-skilled male,economic,1000 p,economic,economic,True,Exiobase,,,factor_id:421; extension:employment,20
98d76daf-ad03-574b-b687-0685e1e13c3d,Employment people: Medium-skilled female,economic,1000 p,economic,economic,True,Exiobase,,,factor_id:424; extension:employment,20
4977079d-97c5-5ded-9c0e-003c49a13484,Employment people: Medium-skilled male,economic,1000 p,economic,economic,True,Exiobase,,,factor_id:423; extension:employment,20
c3af8816-e9f1-5074-97cd-10d6c6be8e25,"Energy (gross use, ENRG-scope — see exiobase_factors.py)",resource/energy,terajoules,energy,resource,True,Exiobase,,,factor_id:907; extension:energy,14
426d8212-3c2a-56ca-a069-da5bda4e8b62,Energy use - Emission relevant,resource/energy,TJ,energy,resource,True,Exiobase,,,factor_id:433; extension:energy,14
2fb56c77-b607-54bf-bab1-f6a7acb62d45,Energy use - Final,resource/energy,TJ,energy,resource,True,Exiobase,,,factor_id:434; extension:energy,14
c84396a5-098d-5d65-85d3-16f7f5781255,Energy use - Gross,resource/energy,TJ,energy,resource,True,Exiobase,,,factor_id:435; extension:energy,14
e5480613-7d69-531a-a48b-ee345abb67e9,Energy use - Net,resource/energy,TJ,energy,resource,True,Exiobase,,,factor_id:436; extension:energy,14
87c73fb0-70a4-5e54-9cd0-7dccb5a3c824,"Water (blue withdrawal, WATR-scope — see exiobase_factors.py)",resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:910; extension:water,14
282d587a-310f-577a-834d-d11e641ff531,Water Consumption Blue - Agriculture - fibres,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:548; extension:water,14
84522f4b-ba31-5183-bf34-d11ad03255e5,Water Consumption Blue - Agriculture - fodder crops,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:550; extension:water,14
4364d96d-4ee7-5feb-ad0e-48024dd73847,Water Consumption Blue - Agriculture - fruits,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:547; extension:water,14
8fbf5485-a257-59c5-bec4-67f5d8969ba9,Water Consumption Blue - Agriculture - nuts,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:544; extension:water,14
a08856f1-dce4-567e-a96a-a1dfcb39e479,Water Consumption Blue - Agriculture - oil crops,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:545; extension:water,14
f0ce9bde-3c01-5a9a-9cf8-1040d220be30,Water Consumption Blue - Agriculture - other cereals,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:540; extension:water,14
