trade_id,region1,region2,industry1,industry2,amount
11473,IN,IN,WHOLE,SUGA1,2128.61
3982,IN,IN,FABRI,FABRI,2067.72
1273,IN,IN,BUSIN,REALE,2037.39
4899,IN,IN,GASDI,WHOLE,2002.71
9474,IN,IN,RENTI,WHOLE,1994.15
5181,IN,IN,HOTEL,EDUCA,1985.42
7638,IN,IN,PAPER,PRINT,1977.72
9548,IN,IN,RETA1,HOTEL,1966.20
5192,IN,IN,HOTEL,FINAN,1962.96
5173,IN,IN,HOTEL,COMPU,1932.58
4077,IN,IN,FINAN,BUSIN,1931.43
7402,IN,IN,OFFIC,PUBLI,1930.37
7786,IN,IN,PFERT,GASDI,1921.80
11483,IN,IN,WHOLE,WEARI,1903.51
7829,IN,IN,PFERT,WHEAT,1899.75
10471,IN,IN,SUPPO,LANDT,1896.87
3893,IN,IN,ELECT,MOTO1,1867.56
11399,IN,IN,WHOLE,FABRI,1856.42
6761,IN,IN,MOTOR,GASDI,1854.05
247,IN,IN,AIRTR,SUPPO,1845.65
11451,IN,IN,WHOLE,POSTT,1844.44
1231,IN,IN,BUSIN,LANDT,1839.92
8292,IN,IN,PREC1,PREC1,1824.38
11356,IN,IN,WHOLE,ANIMA,1808.08
4586,IN,IN,FOUND,ELECT,1800.79
11036,IN,IN,VEGE1,HOTEL,1798.57
2741,IN,IN,DISTR,EDUCA,1793.33
11443,IN,IN,WHOLE,PADDY,1787.56
2312,IN,IN,COPP1,ELECT,1762.74
8157,IN,IN,POSTT,REALE,1760.26
11469,IN,IN,WHOLE,RUBBE,1731.66
2463,IN,IN,CROPS,TOBAC,1727.77
10457,IN,IN,SUPPO,FOOD5,1713.93
9319,IN,IN,RECRE,RECRE,1698.74
980,IN,IN,BITUM,FABRI,1696.41
8153,IN,IN,POSTT,PUBLI,1693.65
4098,IN,IN,FINAN,EDUCA,1678.52
7795,IN,IN,PFERT,MOTOR,1655.51
2490,IN,IN,CRUDE,NAPHT,1654.06
1646,IN,IN,CHEM1,MOTO1,1649.06
1610,IN,IN,CHEM1,CONST,1644.08
9615,IN,IN,RETA1,VEGE1,1639.90
5575,IN,IN,LANDT,FURNI,1620.63
4605,IN,IN,FOUND,MACHI,1617.41
11418,IN,IN,WHOLE,LANDT,1609.11
2857,IN,IN,EDUCA,EDUCA,1601.63
6784,IN,IN,MOTOR,MOTOR,1599.07
9943,IN,IN,SALEM,RENTI,1590.15
3988,IN,IN,FABRI,FOUND,1585.06
5645,IN,IN,LANDT,SUPPO,1584.65
4067,IN,IN,FINAN,BASIC,1578.39
11465,IN,IN,WHOLE,RENTI,1576.24
9913,IN,IN,SALEM,MOTO1,1565.99
2184,IN,IN,CONST,EDUCA,1557.39
9418,IN,IN,RENTI,LANDT,1556.50
5581,IN,IN,LANDT,HOTEL,1552.71
9618,IN,IN,RETA1,WEARI,1548.28
2486,IN,IN,CRUDE,LIQUE,1540.04
5611,IN,IN,LANDT,PADDY,1539.80
2382,IN,IN,CROPS,BEVER,1537.14
9782,IN,IN,RUBBE,FURNI,1527.92
11454,IN,IN,WHOLE,PRINT,1521.87
5174,IN,IN,HOTEL,CONST,1520.48
8375,IN,IN,PRINT,EDUCA,1515.89
9008,IN,IN,RAILW,RAILW,1508.02
4587,IN,IN,FOUND,FABRI,1498.03
4609,IN,IN,FOUND,MOTO1,1490.39
7446,IN,IN,OILSE,FOOD5,1480.86
8920,IN,IN,RAILW,BASIC,1476.88
8200,IN,IN,POULT,HOTEL,1465.29
8367,IN,IN,PRINT,COMPU,1453.14
4176,IN,IN,FINAN,RETA1,1444.09
1532,IN,IN,CEREA,HOTEL,1434.13
7525,IN,IN,PADDY,PROCE,1424.08
2452,IN,IN,CROPS,RAWMI,1411.53
9392,IN,IN,RENTI,CHEM1,1395.39
1279,IN,IN,BUSIN,RETA1,1389.91
4805,IN,IN,GASDI,CRUDE,1385.94
1695,IN,IN,CHEM1,WEARI,1381.00
10420,IN,IN,SUPPO,BITUM,1374.62
405,IN,IN,ANIMA,HOTEL,1369.71
4674,IN,IN,FURNI,CONST,1362.91
11407,IN,IN,WHOLE,FURNI,1356.00
4371,IN,IN,FOOD5,BEVER,1350.53
4644,IN,IN,FOUND,TRANS,1348.79
228,IN,IN,AIRTR,PUBLI,1346.44
4869,IN,IN,GASDI,PUBLI,1344.61
11455,IN,IN,WHOLE,PROCE,1343.93
11444,IN,IN,WHOLE,PAPER,1338.26
4429,IN,IN,FOOD5,POULT,1337.41
4174,IN,IN,FINAN,RENTI,1334.35
1060,IN,IN,BLAST,BASIC,1334.20
4293,IN,IN,FISHF,FISHF,1333.77
11456,IN,IN,WHOLE,PUBLI,1331.81
9578,IN,IN,RETA1,PADDY,1330.41
3917,IN,IN,ELECT,RADIO,1323.69
11479,IN,IN,WHOLE,TRANS,1323.62
6944,IN,IN,NATUR,BASIC,1322.15
7792,IN,IN,PFERT,LIQUE,1318.51
11477,IN,IN,WHOLE,TOBAC,1318.10
1287,IN,IN,BUSIN,SUPPO,1298.03
4126,IN,IN,FINAN,LANDT,1292.96
11378,IN,IN,WHOLE,COKEO,1279.27
11281,IN,IN,WEARI,WEARI,1277.49
4491,IN,IN,FORES,FURNI,1274.66
11375,IN,IN,WHOLE,CHEM1,1268.00
1277,IN,IN,BUSIN,RENTI,1265.04
6656,IN,IN,MOTO1,LANDT,1260.36
9756,IN,IN,RUBBE,CHEM1,1257.46
4140,IN,IN,FINAN,MOTO1,1243.04
1966,IN,IN,COLLE,COLLE,1240.63
5274,IN,IN,HOTEL,WHOLE,1239.16
6852,IN,IN,NAPHT,ELEC1,1233.26
1225,IN,IN,BUSIN,HOTEL,1228.18
2957,IN,IN,ELEC1,EDUCA,1219.58
6805,IN,IN,MOTOR,PUBLI,1215.32
9790,IN,IN,RUBBE,LANDT,1211.83
10351,IN,IN,SUGAR,FOOD5,1208.98
11064,IN,IN,VEGE1,PROCE,1207.21
2318,IN,IN,COPP1,FOUND,1202.16
5624,IN,IN,LANDT,PUBLI,1197.10
5112,IN,IN,HEALT,PUBLI,1192.96
9595,IN,IN,RETA1,RAWMI,1192.61
10583,IN,IN,TEXTI,FURNI,1180.10
5529,IN,IN,LANDT,BEVER,1179.89
1245,IN,IN,BUSIN,MOTO1,1178.69
4159,IN,IN,FINAN,POSTT,1177.95
5807,IN,IN,LEATH,MOTO1,1163.28
9492,IN,IN,RETA1,ANIMA,1160.92
8253,IN,IN,PREC1,FABRI,1146.67
1136,IN,IN,BRICK,CONST,1134.09
2128,IN,IN,COMPU,PUBLI,1127.21
1653,IN,IN,CHEM1,NONME,1125.88
4301,IN,IN,FISHF,HOTEL,1121.73
7797,IN,IN,PFERT,NFERT,1121.42
2313,IN,IN,COPP1,FABRI,1115.83
7959,IN,IN,PLANT,RETA1,1105.37
5592,IN,IN,LANDT,MACHI,1101.08
9590,IN,IN,RETA1,PROCE,1088.12
4681,IN,IN,FURNI,EDUCA,1079.02
9582,IN,IN,RETA1,PFERT,1077.72
973,IN,IN,BITUM,COPP1,1075.46
8568,IN,IN,PRIVA,PRIVA,1075.43
9453,IN,IN,RENTI,RECRE,1075.39
722,IN,IN,BEVER,HOTEL,1072.47
7961,IN,IN,PLANT,RUBBE,1063.74
4790,IN,IN,GASDI,BUSIN,1062.62
7670,IN,IN,PAPER,WOODW,1048.83
5557,IN,IN,LANDT,EDUCA,1043.64
5567,IN,IN,LANDT,FABRI,1042.85
2261,IN,IN,CONST,RETA1,1042.56
5637,IN,IN,LANDT,RUBBE,1029.46
8437,IN,IN,PRINT,PUBLI,1024.99
29,IN,IN,93197,CONST,1021.50
1,IN,IN,93197,93197,1018.51
1456,IN,IN,CERAM,CERAM,1018.21
4889,IN,IN,GASDI,SUPPO,1017.80
2125,IN,IN,COMPU,POSTT,1011.78
10732,IN,IN,TRAN1,DISTR,1009.83
11486,IN,IN,WHOLE,WOODW,1007.09
2824,IN,IN,DISTR,TRAN1,1003.73
4965,IN,IN,GLASS,GLASS,1000.85
3862,IN,IN,ELECT,ELECT,995.12
5203,IN,IN,HOTEL,HEALT,988.74
951,IN,IN,BITUM,ALUM1,987.68
1338,IN,IN,CATTL,MEATC,987.36
9847,IN,IN,RUBBE,TEXTI,986.29
11371,IN,IN,WHOLE,CEMEN,984.43
2195,IN,IN,CONST,FINAN,984.03
2950,IN,IN,ELEC1,CONST,980.95
8386,IN,IN,PRINT,FINAN,976.54
5628,IN,IN,LANDT,RAWMI,974.92
3759,IN,IN,ELEC8,FISH5,974.84
476,IN,IN,AUXIL,CONST,969.81
5833,IN,IN,LEATH,TEXTI,969.47
1599,IN,IN,CHEM1,BUSIN,967.48
5607,IN,IN,LANDT,NONME,966.02
963,IN,IN,BITUM,CEMEN,964.69
5210,IN,IN,HOTEL,LANDT,962.62
5558,IN,IN,LANDT,ELEC1,955.88
3981,IN,IN,FABRI,ELECT,952.24
4195,IN,IN,FINAN,WEARI,947.69
639,IN,IN,BASIC,FURNI,937.60
1274,IN,IN,BUSIN,RECRE,933.55
8182,IN,IN,POSTT,WHOLE,932.91
11390,IN,IN,WHOLE,ELEC1,931.66
5635,IN,IN,LANDT,RETA1,922.45
11462,IN,IN,WHOLE,RECRE,918.63
4800,IN,IN,GASDI,COMPU,909.08
8071,IN,IN,POSTT,BUSIN,908.51
4625,IN,IN,FOUND,PREC1,907.00
9743,IN,IN,RUBBE,BEVER,899.47
11527,IN,IN,WOODW,FURNI,888.41
11475,IN,IN,WHOLE,SUPPO,883.28
9457,IN,IN,RENTI,RETA1,877.92
4808,IN,IN,GASDI,EDUCA,875.10
2485,IN,IN,CRUDE,KEROS,872.22
