trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,land,material,water,impact_intensity
3611376,IN,IN,ELEC1,DISTR,4466.75,125714140962.308,7,7,125714131902.319,328.0,1508.0,3723.0,3500.989,28144431.849176
3609693,IN,IN,BASIC,CONST,31284.58,117104433174.57,7,7,117104389065.753,3114.0,12548.0,23657.0,4789.817,3743199.786431
3609520,IN,IN,CEMEN,CONST,16344.93,61268809928.139,7,7,61268768315.997,1898.0,7326.0,31484.0,904.142,3748490.200211
3609674,IN,IN,BASIC,MOTO1,14574.81,54556425441.964,7,7,54556404892.492,1451.0,5846.0,11021.0,2231.472,3743199.770149
3608890,IN,IN,PFERT,PFERT,27396.23,43194117803.157,7,7,43193962032.571,2879.0,61282.0,79159.0,12450.586,1576644.589535
3609671,IN,IN,BASIC,ELECT,10348.57,38736778821.736,7,7,38736764230.321,1030.0,4151.0,7826.0,1584.415,3743201.120709
3612987,IN,IN,CONST,CONST,34970.21,35571377344.563,7,7,35571293889.686,7085.0,37662.0,37350.0,1357.877,1017190.841707
3611404,IN,IN,ELEC1,EDUCA,1219.58,34324299149.995,7,7,34324296675.104,90.0,412.0,1017.0,955.891,28144360.476553
3609669,IN,IN,BASIC,MACHI,8432.08,31562940270.658,7,7,31562928382.668,839.0,3382.0,6376.0,1290.99,3743197.440093
3611382,IN,IN,ELEC1,CONST,980.95,27608153748.458,7,7,27608151758.604,72.0,331.0,818.0,768.854,28144302.715182
3609668,IN,IN,BASIC,FABRI,6944.57,25994900660.706,7,7,25994890870.46,691.0,2785.0,5251.0,1063.246,3743198.018121
3612397,IN,IN,DISTR,DISTR,5689.9,23834151024.004,7,7,23834143917.25,302.0,1353.0,4776.0,675.754,4188852.356633
3604463,IN,IN,PADDY,PADDY,33404.99,22854700145.199,7,7,22854466967.821,10872.0,204622.0,15800.0,1883.378,684170.243583
3611375,IN,IN,ELEC1,TRAN1,784.34,22074678160.781,7,7,22074676569.027,58.0,265.0,654.0,614.754,28144271.82189
3610312,IN,IN,FABRI,CONST,14290.49,21006202729.518,7,7,21006165903.97,1771.0,8701.0,23601.0,2752.548,1469942.789192
3610896,IN,IN,MOTO1,MOTO1,16025.97,18260440784.373,7,7,18260409590.541,1867.0,7243.0,21259.0,824.832,1139428.114765
3608217,IN,IN,GASDI,CONST,12627.51,17154954084.953,7,7,17154936940.106,590.0,5392.0,10269.0,893.847,1358538.150827
