trade_id,industry_imports_total,source_share,import_intensity,supplier_count,import_concentration_hhi
97770,276.13,7.2e-05,0.001962,47,0.034455
97771,3189.19,1.3e-05,0.022664,48,0.01706
97772,477.14,0.000147,0.003391,48,0.05437
97773,550.5,0.000926,0.003912,47,0.065517
97774,274.83,0.001128,0.001953,47,0.023432
97775,313.87,6.4e-05,0.00223,47,0.02787
97776,212.76,9.4e-05,0.001512,47,0.020498
97777,688.89,0.000711,0.004896,48,0.021536
97778,3231.79,6e-06,0.022967,48,0.027109
97779,729.3,2.7e-05,0.005183,48,0.056792
97780,722.84,6.9e-05,0.005137,48,0.052432
97781,136.92,0.000146,0.000973,47,0.147694
97782,3189.19,0.000881,0.022664,48,0.01706
97783,805.67,0.003016,0.005725,48,0.061331
97784,3597.21,6e-06,0.025563,48,0.029081
97785,477.14,2.1e-05,0.003391,48,0.05437
97786,18436.59,2e-06,0.131019,48,0.021615
97787,2742.42,0.000113,0.019489,48,0.007784
97788,2309.24,9e-06,0.01641,48,0.010574
97789,3762.02,1.6e-05,0.026735,48,0.015983
97790,3189.19,6e-06,0.022664,48,0.01706
97791,1287.67,8e-06,0.009151,48,0.016971
97792,276.13,3.6e-05,0.001962,47,0.034455
97793,550.5,3.6e-05,0.003912,47,0.065517
97794,1947.25,2.6e-05,0.013838,48,0.052418
97795,224.55,0.015631,0.001596,47,0.078669
97796,274.83,3.6e-05,0.001953,47,0.023432
97797,22.57,0.000443,0.00016,41,0.42775
97798,63.9,0.031768,0.000454,44,0.280057
97799,688.89,0.000145,0.004896,48,0.021536
97800,198.21,0.000151,0.001409,48,0.010308
97801,15.7,0.002548,0.000112,39,0.016982
97802,729.3,4.1e-05,0.005183,48,0.056792
97803,722.84,0.00018,0.005137,48,0.052432
97804,136.92,0.000365,0.000973,47,0.147694
97805,739.71,0.030039,0.005257,48,0.249631
97806,1058.87,1.9e-05,0.007525,48,0.033073
97807,42.49,0.000235,0.000302,45,0.024343
97808,124.22,0.000403,0.000883,47,0.044435
97809,3189.19,0.002662,0.022664,48,0.01706
97810,1703.86,2.9e-05,0.012108,48,0.080583
97811,487.73,4.1e-05,0.003466,48,0.067356
97812,559.55,5.4e-05,0.003976,48,0.053598
97813,805.67,2.5e-05,0.005725,48,0.061331
97814,818.13,0.000306,0.005814,48,0.011882
97815,795.76,6.3e-05,0.005655,48,0.029345
97816,3597.21,0.000239,0.025563,48,0.029081
97817,130.45,0.027213,0.000927,45,0.206688
97818,18436.59,1e-05,0.131019,48,0.021615
97819,2742.42,0.000653,0.019489,48,0.007784
97820,1127.96,3.5e-05,0.008016,48,0.0087
97821,1401.84,0.000442,0.009962,48,0.012195
97822,1425.03,7e-06,0.010127,48,0.045291
97823,2558.52,1.2e-05,0.018182,48,0.023026
97824,2309.24,1.7e-05,0.01641,48,0.010574
97825,3762.02,8e-06,0.026735,48,0.015983
97826,2582.23,4.3e-05,0.01835,48,0.014653
97827,380.92,0.00021,0.002707,48,0.009937
97828,3897.98,7.7e-05,0.027701,48,0.046765
97829,140.06,0.000857,0.000995,46,0.082905
97830,1266.02,8e-06,0.008997,48,0.01949
97831,274.83,0.001819,0.001953,47,0.023432
97832,688.89,0.000218,0.004896,48,0.021536
97833,104.8,0.000859,0.000745,47,0.016738
97834,86.22,0.000696,0.000613,46,0.017864
