interstate_id,state_industry_exports_total,state_destination_share,state_export_intensity,state_destination_count,state_export_concentration
1,204088.03,4.1e-05,0.006073,41,0.038033
2,204088.03,0.0,0.006073,41,0.038033
3,204088.03,1e-06,0.006073,41,0.038033
4,204088.03,7.6e-05,0.006073,41,0.038033
5,204088.03,1e-06,0.006073,41,0.038033
6,24264.0,0.002124,0.000722,41,0.025909
7,24264.0,5e-06,0.000722,41,0.025909
8,24264.0,0.000149,0.000722,41,0.025909
9,38512.59,1.9e-05,0.001146,41,0.007283
10,38512.59,9.5e-05,0.001146,41,0.007283
11,38512.59,0.0,0.001146,41,0.007283
12,38512.59,1.3e-05,0.001146,41,0.007283
13,38512.59,2.5e-05,0.001146,41,0.007283
14,38512.59,7.5e-05,0.001146,41,0.007283
15,24386.64,0.007944,0.000726,41,0.034182
16,24386.64,0.000778,0.000726,41,0.034182
17,24386.64,0.000814,0.000726,41,0.034182
18,932160.61,0.0,0.027736,41,0.006198
19,932160.61,0.000118,0.027736,41,0.006198
20,932160.61,0.0002,0.027736,41,0.006198
21,932160.61,0.0,0.027736,41,0.006198
22,932160.61,3e-06,0.027736,41,0.006198
23,932160.61,1.1e-05,0.027736,41,0.006198
24,932160.61,2e-06,0.027736,41,0.006198
25,932160.61,3.6e-05,0.027736,41,0.006198
26,932160.61,0.000288,0.027736,41,0.006198
27,713623.59,1e-06,0.021234,41,0.008258
28,713623.59,1e-06,0.021234,41,0.008258
29,713623.59,0.000636,0.021234,41,0.008258
30,713623.59,5.3e-05,0.021234,41,0.008258
31,713623.59,0.0,0.021234,41,0.008258
32,713623.59,2e-05,0.021234,41,0.008258
33,713623.59,1e-06,0.021234,41,0.008258
34,713623.59,2e-06,0.021234,41,0.008258
35,713623.59,0.0,0.021234,41,0.008258
36,713623.59,0.000232,0.021234,41,0.008258
37,713623.59,1.2e-05,0.021234,41,0.008258
38,492071.66,5e-06,0.014642,41,0.021168
39,492071.66,6.2e-05,0.014642,41,0.021168
40,492071.66,0.0,0.014642,41,0.021168
41,492071.66,3e-06,0.014642,41,0.021168
42,492071.66,6e-06,0.014642,41,0.021168
43,492071.66,1.2e-05,0.014642,41,0.021168
44,1240522.21,1e-06,0.036912,41,0.044121
45,1240522.21,2.6e-05,0.036912,41,0.044121
46,1240522.21,4.9e-05,0.036912,41,0.044121
47,1240522.21,2e-06,0.036912,41,0.044121
48,1240522.21,1e-06,0.036912,41,0.044121
49,1240522.21,1e-06,0.036912,41,0.044121
50,1240522.21,5e-06,0.036912,41,0.044121
51,1240522.21,2.3e-05,0.036912,41,0.044121
52,1240522.21,6.3e-05,0.036912,41,0.044121
53,345840.93,6.5e-05,0.01029,41,0.012783
54,345840.93,3.6e-05,0.01029,41,0.012783
55,345840.93,4e-06,0.01029,41,0.012783
56,345840.93,2e-06,0.01029,41,0.012783
57,345840.93,1.2e-05,0.01029,41,0.012783
58,345840.93,0.000523,0.01029,41,0.012783
59,778962.11,4.5e-05,0.023178,41,0.018302
60,778962.11,4e-06,0.023178,41,0.018302
61,778962.11,2.9e-05,0.023178,41,0.018302
