region1,region2,industry_code,direct_jobs,indirect_jobs,induced_jobs,total_output_impact,tax_revenue_impact
US-CA,US-CA,agriculture,0.0,0.0,0.0,786616.9358679728,94394.03230415673
US-CA,US-CA,construction,0.0,0.0,0.0,54007.408790011075,6480.889054801329
US-CA,US-CA,manufacturing,0.0,0.0,0.0,4118338.6811414096,494200.6417369691
US-CA,US-CA,services,0.0,0.0,0.0,8321932.631557725,998631.9157869271
US-CA,US-CA,transportation,0.0,0.0,0.0,2143226.072574564,257187.12870894765
US-CA,US-CA,utilities,0.0,0.0,0.0,83140.15872891093,9976.819047469311
US-CO,US-CO,mining,0.0,0.0,0.0,196438.61641463867,23572.63396975664
US-FL,US-FL,agriculture,0.0,0.0,0.0,121334.43343604986,14560.132012325983
US-FL,US-FL,construction,0.0,0.0,0.0,32930.00336900008,3951.6004042800096
US-FL,US-FL,services,0.0,0.0,0.0,3820429.222141096,458451.50665693154
US-FL,US-FL,transportation,0.0,0.0,0.0,1012588.2901527938,121510.59481833524
US-FL,US-FL,utilities,0.0,0.0,0.0,40636.80676028182,4876.4168112338175
US-GA,US-GA,construction,0.0,0.0,0.0,15857.532556591956,1902.9039067910346
US-GA,US-GA,transportation,0.0,0.0,0.0,602707.2744090195,72324.87292908232
US-GA,US-GA,utilities,0.0,0.0,0.0,19879.773025799095,2385.5727630958913
US-IA,US-IA,agriculture,0.0,0.0,0.0,223575.94834936198,26829.11380192344
US-IL,US-IL,agriculture,0.0,0.0,0.0,164599.6146595527,19751.953759146323
US-IL,US-IL,construction,0.0,0.0,0.0,14180.5648267823,1701.667779213876
US-IL,US-IL,manufacturing,0.0,0.0,0.0,1438853.5880193922,172662.43056232706
US-IL,US-IL,services,0.0,0.0,0.0,2365074.2409683764,283808.9089162051
US-IL,US-IL,transportation,0.0,0.0,0.0,808775.5400934854,97053.06481121824
US-IL,US-IL,utilities,0.0,0.0,0.0,29368.88032430098,3524.2656389161175
US-IN,US-IN,manufacturing,0.0,0.0,0.0,1357805.0382118407,162936.60458542086
US-LA,US-LA,mining,0.0,0.0,0.0,132065.29735761552,15847.835682913863
US-MI,US-MI,manufacturing,0.0,0.0,0.0,1230097.7925473053,147611.73510567663
US-MN,US-MN,agriculture,0.0,0.0,0.0,136795.6357494832,16415.476289937982
US-NC,US-NC,construction,0.0,0.0,0.0,14232.503860259105,1707.9004632310925
US-NC,US-NC,manufacturing,0.0,0.0,0.0,1120272.4082251443,134432.68898701732
US-NC,US-NC,utilities,0.0,0.0,0.0,20568.86766943174,2468.2641203318085
US-ND,US-ND,mining,0.0,0.0,0.0,138379.76243604647,16605.571492325576
US-NE,US-NE,agriculture,0.0,0.0,0.0,145146.6488927955,17417.597867135457
US-NJ,US-NJ,services,0.0,0.0,0.0,1839659.178155023,220759.10137860276
US-NJ,US-NJ,transportation,0.0,0.0,0.0,538416.1350863026,64609.93621035631
US-NM,US-NM,mining,0.0,0.0,0.0,206988.96384830255,24838.675661796304
US-NY,US-NY,construction,0.0,0.0,0.0,23214.01978351765,2785.682374022118
US-NY,US-NY,services,0.0,0.0,0.0,5344147.141280011,641297.6569536014
US-NY,US-NY,transportation,0.0,0.0,0.0,850090.341804196,102010.84101650352
US-NY,US-NY,utilities,0.0,0.0,0.0,42015.278579176316,5041.833429501158
US-OH,US-OH,manufacturing,0.0,0.0,0.0,1419111.5040973776,170293.38049168533
US-OK,US-OK,mining,0.0,0.0,0.0,244193.54110896925,29303.224933076308
US-PA,US-PA,construction,0.0,0.0,0.0,14224.422920210189,1706.9307504252226
US-PA,US-PA,manufacturing,0.0,0.0,0.0,1162572.252101313,139508.67025215755
US-PA,US-PA,mining,0.0,0.0,0.0,161565.88497516676,19387.90619702001
US-PA,US-PA,services,0.0,0.0,0.0,2081535.2430808847,249784.22916970614
US-PA,US-PA,transportation,0.0,0.0,0.0,635279.7170708133,76233.5660484976
US-PA,US-PA,utilities,0.0,0.0,0.0,21478.902047103227,2577.468245652387
US-TX,US-TX,agriculture,0.0,0.0,0.0,259747.30618656287,31169.676742387543
US-TX,US-TX,construction,0.0,0.0,0.0,47251.742909115615,5670.209149093874
US-TX,US-TX,manufacturing,0.0,0.0,0.0,3567030.1767603946,428043.6212112473
US-TX,US-TX,mining,0.0,0.0,0.0,2365749.9924080847,283889.9990889702
US-TX,US-TX,services,0.0,0.0,0.0,5057310.969358896,606877.3163230675
US-TX,US-TX,transportation,0.0,0.0,0.0,1707667.6294903143,204920.1155388377
US-TX,US-TX,utilities,0.0,0.0,0.0,61067.94026047579,7328.1528312570945
US-WA,US-WA,agriculture,0.0,0.0,0.0,133370.7235357107,16004.486824285284
US-WA,US-WA,services,0.0,0.0,0.0,1804169.0127792722,216500.28153351267
US-WV,US-WV,mining,0.0,0.0,0.0,162470.5590144072,19496.46708172886
