trade_id,factor_id,level
112,901,14559.872
112,902,0.558
112,903,0.216
113,901,6532.301
113,902,0.25
113,903,0.097
114,901,8681.91
114,902,1.122
114,903,0.483
115,901,5552.534
115,902,0.718
115,903,0.309
116,901,15203.734
116,902,1.965
116,903,0.847
117,901,51084.937
117,902,2.299
117,903,1.246
118,901,887.395
118,902,0.04
118,903,0.022
119,901,815.126
119,902,0.037
119,903,0.02
120,901,2371.976
120,902,0.107
120,903,0.058
121,901,292.609
121,902,0.013
121,903,0.007
122,901,430.273
122,902,0.019
122,903,0.01
123,901,739675.84
123,902,20.666
123,903,7.231
124,901,9386986.279
124,902,262.259
124,903,91.763
125,901,16770.82
125,902,0.469
125,903,0.164
126,901,12588.07
126,902,0.352
126,903,0.123
127,901,9426.569
127,902,0.263
127,903,0.092
128,901,1504684.44
128,902,42.039
128,903,14.709
129,901,971541.263
129,902,27.144
129,903,9.497
130,901,11995.836
130,902,0.335
130,903,0.117
131,901,102441.174
131,902,2.862
131,903,1.001
132,901,10769.381
132,902,0.301
132,903,0.105
133,901,49893.642
133,902,1.394
133,903,0.488
134,901,818994.432
134,902,22.882
134,903,8.006
135,901,9593958.192
135,902,268.042
135,903,93.786
136,901,351523.438
136,902,9.821
136,903,3.436
137,901,193839.105
137,902,5.416
137,903,1.895
138,901,40275.98
138,902,1.125
138,903,0.394
139,901,63349.029
139,902,1.77
139,903,0.619
140,901,36035.124
140,902,1.007
140,903,0.352
141,901,456120.34
141,902,12.743
141,903,4.459
142,901,12988.204
142,902,0.363
142,903,0.127
143,901,23846321.511
143,902,666.233
143,903,233.111
144,901,70465.505
144,902,1.969
144,903,0.689
145,901,10250.255
145,902,0.286
145,903,0.1
146,901,9813.642
146,902,0.274
146,903,0.096
147,901,4275462.804
147,902,119.451
147,903,41.795
148,901,536158.409
148,902,14.98
148,903,5.241
149,901,272021.12
149,902,7.6
149,903,2.659
150,901,10915.603
150,902,0.305
150,903,0.107
151,901,124065.474
151,902,3.466
151,903,1.213
152,901,17723.667
152,902,0.495
152,903,0.173
153,901,82685.782
153,902,2.31
153,903,0.808
154,901,13516.065
154,902,0.378
154,903,0.132
155,901,39806.806
155,902,1.112
155,903,0.389
156,901,28230.059
156,902,0.789
156,903,0.276
157,901,26942.719
157,902,0.753
157,903,0.263
158,901,7922985.906
158,902,221.357
158,903,77.452
159,901,7658178.63
159,902,213.959
159,903,74.863
160,901,52167.407
160,902,1.457
160,903,0.51
161,901,4929501.14
161,902,137.723
161,903,48.189
162,901,165398.295
162,902,4.621
162,903,1.617
163,901,11113446.337
163,902,310.494
163,903,108.64
164,901,14885.259
164,902,0.416
164,903,0.146
165,901,11367.799
165,902,0.318
165,903,0.111
166,901,2651909.661
166,902,74.091
166,903,25.924
167,901,12254.538
167,902,0.342
167,903,0.12
168,901,438480.585
168,902,12.251
168,903,4.286
169,901,141750.016
169,902,3.96
169,903,1.386
170,901,52633.704
170,902,1.471
170,903,0.515
171,901,31982.046
171,902,0.894
171,903,0.313
172,901,120983.181
172,902,3.38
172,903,1.183
173,901,9284.946
173,902,0.259
173,903,0.091
174,901,98558.677
174,902,2.754
174,903,0.963
175,901,10762.905
175,902,0.301
175,903,0.105
176,901,231443.955
176,902,6.466
176,903,2.262
177,901,2288568.878
177,902,63.939
177,903,22.372
178,901,247893.07
178,902,6.926
178,903,2.423
179,901,2457354.587
179,902,68.655
179,903,24.022
180,901,106766.227
180,902,2.983
180,903,1.044
181,901,20626.232
181,902,0.576
181,903,0.202
182,901,51532.308
182,902,1.44
182,903,0.504
183,901,164990.767
183,902,4.61
183,903,1.613
184,901,25917.178
184,902,0.724
184,903,0.253
185,901,40128.996
185,902,1.121
185,903,0.392
186,901,90645.818
186,902,2.533
186,903,0.886
187,901,286841.13
187,902,8.014
187,903,2.804
188,901,17760.048
188,902,0.496
188,903,0.174
189,901,1205161.251
189,902,33.671
189,903,11.781
190,901,1265329.017
190,902,35.352
190,903,12.369
191,901,1139288.784
191,902,31.83
191,903,11.137
192,901,11014.466
192,902,0.544
192,903,0.219
193,901,3658.247
193,902,0.181
193,903,0.073
194,901,52542.622
194,902,2.596
194,903,1.043
195,901,4406.217
195,902,0.218
195,903,0.087
196,901,3229.418
196,902,0.16
196,903,0.064
197,901,5209.42
197,902,0.257
197,903,0.103
198,901,23678.286
198,902,1.17
198,903,0.47
199,901,15331.664
199,902,0.758
199,903,0.304
200,901,33208.453
200,902,1.641
200,903,0.659
201,901,12006.492
201,902,0.593
201,903,0.238
202,901,4872.39
202,902,0.241
202,903,0.097
203,901,15153.665
203,902,0.749
203,903,0.301
204,901,4285.851
204,902,0.212
204,903,0.085
205,901,84112.156
205,902,4.156
205,903,1.669
206,901,4159.48
206,902,0.206
206,903,0.083
207,901,207199.108
207,902,10.238
207,903,4.111
208,901,146655.459
208,902,7.247
208,903,2.91
209,901,26070.928
209,902,1.288
209,903,0.517
210,901,886039.571
210,902,43.782
210,903,17.581
211,901,224713.277
211,902,11.104
211,903,4.459
212,901,9044.776
212,902,0.447
212,903,0.179
213,901,51586.676
213,902,2.549
213,903,1.024
214,901,8783.945
214,902,0.434
214,903,0.174
215,901,167133.404
215,902,8.259
215,903,3.316
216,901,10070.132
216,902,0.498
216,903,0.2
217,901,2998.757
217,902,0.148
217,903,0.06
218,901,14098.857
218,902,0.697
218,903,0.28
219,901,163665.314
219,902,8.087
219,903,3.247
220,901,11453.721
220,902,0.566
220,903,0.227
221,901,7279.959
221,902,0.36
221,903,0.144
222,901,4092.265
222,902,0.202
222,903,0.081
223,901,15989.1
223,902,0.79
223,903,0.317
224,901,13517.623
224,902,0.668
224,903,0.268
225,901,14575.774
225,902,0.72
225,903,0.289
226,901,4528.132
226,902,0.224
226,903,0.09
227,901,19290.983
227,902,0.953
227,903,0.383
228,901,21432.407
228,902,1.059
228,903,0.425
229,901,8108.007
229,902,0.401
229,903,0.161
230,901,10359.6
230,902,0.512
230,903,0.206
231,901,16174.079
231,902,0.799
231,903,0.321
232,901,6424.246
232,902,0.317
232,903,0.127
233,901,20843.342
233,902,1.06
233,903,0.24
234,901,22606.703
234,902,1.149
234,903,0.26
235,901,16813.89
235,902,0.855
235,903,0.194
236,901,10669.25
236,902,0.542
236,903,0.123
237,901,1402952.732
237,902,78.677
237,903,24.236
238,901,13905.293
238,902,0.78
238,903,0.24
239,901,169256.382
239,902,9.492
239,903,2.924
240,901,50528346.225
240,902,2833.595
240,903,872.875
241,901,20767.695
241,902,1.165
241,903,0.359
242,901,13364.538
242,902,0.749
242,903,0.231
243,901,112513.002
243,902,6.31
243,903,1.944
244,901,8800178.87
244,902,493.508
244,903,152.023
245,901,3352227.245
245,902,187.991
245,903,57.91
246,901,8052806.427
246,902,451.596
246,903,139.112
247,901,8695.412
247,902,0.488
247,903,0.15
248,901,124698.962
248,902,6.993
248,903,2.154
249,901,19124.44
249,902,1.072
249,903,0.33
250,901,285564.905
250,902,16.014
250,903,4.933
251,901,31559.858
251,902,1.77
251,903,0.545
252,901,1322729.725
252,902,74.178
252,903,22.85
253,901,8223326.089
253,902,461.159
253,903,142.058
254,901,612137.88
254,902,34.328
254,903,10.575
255,901,211687.203
255,902,11.871
255,903,3.657
256,901,29571778.714
256,902,1658.365
256,903,510.851
257,901,156266.89
257,902,8.763
257,903,2.7
258,901,100412.969
258,902,5.631
258,903,1.735
259,901,13108.634
259,902,0.735
259,903,0.226
260,901,3609632.641
260,902,202.426
260,903,62.356
261,901,593365.436
261,902,33.276
261,903,10.25
262,901,72666.47
262,902,4.075
262,903,1.255
263,901,3584921.665
263,902,201.04
263,903,61.929
264,901,47068.205
264,902,2.64
264,903,0.813
265,901,64456.933
265,902,3.615
265,903,1.113
266,901,8447.261
266,902,0.474
266,903,0.146
267,901,312713.76
267,902,17.537
267,903,5.402
268,901,429356.337
268,902,24.078
268,903,7.417
269,901,286584.387
269,902,16.071
269,903,4.951
270,901,68299036.459
270,902,3830.164
270,903,1179.862
271,901,43060.59
271,902,2.415
271,903,0.744
272,901,1374980.673
272,902,77.108
272,903,23.753
273,901,77426.784
273,902,4.342
273,903,1.338
274,901,34672064.692
274,902,1944.386
274,903,598.958
275,901,55910.917
275,902,3.135
275,903,0.966
276,901,372664.204
276,902,20.899
276,903,6.438
277,901,4072701.516
277,902,228.394
277,903,70.356
278,901,2879882.838
278,902,161.502
278,903,49.75
279,901,191644.052
279,902,10.747
279,903,3.311
280,901,364039.241
280,902,20.415
280,903,6.289
281,901,308832.157
281,902,17.319
281,903,5.335
282,901,64744.282
282,902,3.631
282,903,1.118
283,901,25913.94
283,902,1.453
283,903,0.448
284,901,737199.547
284,902,41.342
284,903,12.735
285,901,58787.576
285,902,3.297
285,903,1.016
286,901,219912.39
286,902,12.333
286,903,3.799
287,901,211102.179
287,902,11.838
287,903,3.647
288,901,8322692.302
288,902,466.731
288,903,143.774
289,901,51339.357
289,902,2.879
289,903,0.887
290,901,29977.207
290,902,1.681
290,903,0.518
291,901,42023.052
291,902,2.357
291,903,0.726
292,901,2093960.488
292,902,117.428
292,903,36.173
293,901,57368.159
293,902,3.217
293,903,0.991
294,901,1421589.036
294,902,79.722
294,903,24.558
295,901,193136.695
295,902,10.831
295,903,3.336
296,901,1220620.154
296,902,68.452
296,903,21.086
297,901,78067.069
297,902,4.378
297,903,1.349
298,901,223177.651
298,902,12.516
298,903,3.855
299,901,429813.805
299,902,24.104
299,903,7.425
300,901,771539.663
300,902,43.267
300,903,13.328
301,901,32284.604
301,902,1.81
301,903,0.558
302,901,1008264.573
302,902,56.543
302,903,17.418
303,901,4871751.511
303,902,273.205
303,903,84.159
304,901,4908874.673
304,902,275.286
304,903,84.801
305,901,391927.563
305,902,21.979
305,903,6.771
306,901,1054368.971
306,902,59.128
306,903,18.214
307,901,2216712.679
307,902,124.312
307,903,38.294
308,901,282193.769
308,902,15.825
308,903,4.875
309,901,12672.776
309,902,0.711
309,903,0.219
310,901,779170.795
310,902,43.695
310,903,13.46
311,901,376592.726
311,902,21.119
311,903,6.506
312,901,82674.382
312,902,4.636
312,903,1.428
313,901,643453.954
313,902,36.084
313,903,11.116
314,901,10055.588
314,902,0.564
314,903,0.174
315,901,481690.493
315,902,27.013
315,903,8.321
316,901,92579.823
316,902,5.192
316,903,1.599
317,901,248208.145
317,902,13.919
317,903,4.288
318,901,9237.26
318,902,0.518
318,903,0.16
319,901,11182.677
319,902,0.627
319,903,0.193
320,901,445504.306
320,902,24.984
320,903,7.696
321,901,81846.597
321,902,4.59
321,903,1.414
322,901,57367921.875
322,902,3217.154
322,903,991.028
323,901,209888.087
323,902,11.77
323,903,3.626
324,901,1192577.651
324,902,66.879
324,903,20.602
325,901,503311.21
325,902,28.225
325,903,8.695
326,901,6107203.161
326,902,342.488
326,903,105.502
327,901,127824.183
327,902,5.737
327,903,4.008
328,901,777716.059
328,902,34.908
328,903,24.388
329,901,383510.48
329,902,17.214
329,903,12.026
330,901,283464.833
330,902,12.724
330,903,8.889
331,901,5088.282
331,902,0.228
331,903,0.16
332,901,146927.553
332,902,6.595
332,903,4.607
333,901,629956.291
333,902,28.276
333,903,19.754
334,901,66333.294
334,902,2.977
334,903,2.08
335,901,60331.414
335,902,2.708
335,903,1.892
336,901,7541.41
336,902,0.339
336,903,0.236
337,901,16234.223
337,902,0.729
337,903,0.509
338,901,937476.507
338,902,42.079
338,903,29.398
339,901,554423.457
339,902,24.886
339,903,17.386
340,901,9240.595
340,902,0.415
340,903,0.29
341,901,521867.085
341,902,23.424
341,903,16.365
342,901,27221.703
342,902,1.222
342,903,0.854
343,901,14584.406
343,902,0.655
343,903,0.457
344,901,920.573
344,902,0.041
344,903,0.029
345,901,2046798.704
345,902,91.872
345,903,64.184
346,901,1061292.196
346,902,47.637
346,903,33.28
347,901,64582.204
347,902,2.899
347,903,2.025
348,901,58310.625
348,902,2.617
348,903,1.829
349,901,419584.716
349,902,18.833
349,903,13.158
350,901,144064.398
350,902,6.466
350,903,4.518
351,901,111138.37
351,902,4.989
351,903,3.485
352,901,95273.728
352,902,4.276
352,903,2.988
353,901,1305.083
353,902,0.059
353,903,0.041
354,901,11494.736
354,902,0.516
354,903,0.36
355,901,250895.016
355,902,11.262
355,903,7.868
356,901,14608.0
356,902,0.656
356,903,0.458
357,901,976.345
357,902,0.044
357,903,0.031
358,901,1018.426
358,902,0.046
358,903,0.032
359,901,2721.46
359,902,0.122
359,903,0.085
360,901,1495.826
360,902,0.067
360,903,0.047
361,901,753926.991
361,902,33.841
361,903,23.642
362,901,354192.624
362,902,15.898
362,903,11.107
363,901,3318.671
363,902,0.149
363,903,0.104
364,901,11916.131
364,902,0.535
364,903,0.374
365,901,1468.391
365,902,0.066
365,903,0.046
366,901,1143667.793
366,902,51.334
366,903,35.864
367,901,2872.456
367,902,0.129
367,903,0.09
368,901,69162.382
368,902,3.104
368,903,2.169
369,901,414667.674
369,902,18.613
369,903,13.003
370,901,356879.942
370,902,16.019
370,903,11.191
371,901,10938.776
371,902,0.491
371,903,0.343
372,901,111479.173
372,902,5.004
372,903,3.496
373,901,83814.221
373,902,3.762
373,903,2.628
374,901,995011.427
374,902,44.662
374,903,31.202
375,901,1500.226
375,902,0.067
375,903,0.047
376,901,51252.024
376,902,2.3
376,903,1.607
377,901,24615.263
377,902,1.105
377,903,0.772
378,901,1219.715
378,902,0.055
378,903,0.038
379,901,1058.225
379,902,0.047
379,903,0.033
380,901,260653.407
380,902,11.7
380,903,8.174
381,901,166084.03
381,902,7.455
381,903,5.208
382,901,4687.447
382,902,0.21
382,903,0.147
383,901,146632.546
383,902,6.582
383,903,4.598
384,901,11339.241
384,902,0.509
384,903,0.356
385,901,860003.801
385,902,38.602
385,903,26.968
386,901,83203.62
386,902,3.735
386,903,2.609
387,901,20047.622
387,902,0.9
387,903,0.629
388,901,164322.25
388,902,7.376
388,903,5.153
389,901,1133279.488
389,902,50.868
389,903,35.538
390,901,57406.338
390,902,2.577
390,903,1.8
391,901,2840317.694
391,902,127.49
391,903,89.068
392,901,192868.834
392,902,8.657
392,903,6.048
393,901,11627.917
393,902,0.522
393,903,0.365
394,901,35795.846
394,902,1.607
394,903,1.123
395,901,22302.599
395,902,1.001
395,903,0.699
396,901,41700.919
396,902,1.872
396,903,1.308
397,901,38371.228
397,902,1.722
397,903,1.203
398,901,41686.647
398,902,1.871
398,903,1.307
399,901,4612750.597
399,902,207.047
399,903,144.649
400,901,4674.324
400,902,0.21
400,903,0.147
401,901,3977.281
401,902,0.179
401,903,0.125
402,901,42283.63
402,902,1.898
402,903,1.326
403,901,9919.59
403,902,0.445
403,903,0.311
404,901,8024.827
404,902,0.36
404,903,0.252
405,901,2066938.272
405,902,92.776
405,903,64.816
406,901,186704.418
406,902,8.38
406,903,5.855
407,901,28100.088
407,902,1.261
407,903,0.881
408,901,186222.884
408,902,8.359
408,903,5.84
409,901,25975.196
409,902,1.166
409,903,0.815
410,901,311152.843
410,902,13.966
410,903,9.757
411,901,3027.358
411,902,0.136
411,903,0.095
412,901,26570.394
412,902,1.193
412,903,0.833
413,901,434889.265
413,902,19.52
413,903,13.637
414,901,1728671.306
414,902,77.593
414,903,54.208
415,901,1785.632
415,902,0.08
415,903,0.056
416,901,634745.174
416,902,28.491
416,903,19.905
417,901,1415319.885
417,902,63.528
417,903,44.382
418,901,2260506.492
418,902,101.465
418,903,70.886
419,901,149383.013
419,902,6.705
419,903,4.684
420,901,476628.515
420,902,21.394
420,903,14.946
421,901,605462.477
421,902,27.177
421,903,18.986
422,901,41459.163
422,902,1.861
422,903,1.3
423,901,1318.558
423,902,0.059
423,903,0.041
424,901,4195.626
424,902,0.188
424,903,0.132
425,901,153364.515
425,902,6.884
425,903,4.809
426,901,8404.563
426,902,0.377
426,903,0.264
427,901,78702.546
427,902,3.533
427,903,2.468
428,901,591142.676
428,902,26.534
428,903,18.537
429,901,159536.888
429,902,7.161
429,903,5.003
430,901,11634.395
430,902,0.522
430,903,0.365
431,901,48374.949
431,902,2.171
431,903,1.517
432,901,141616.365
432,902,6.357
432,903,4.441
433,901,1018176.163
433,902,45.702
433,903,31.928
434,901,9311.653
434,902,0.418
434,903,0.292
435,901,2775.371
435,902,0.125
435,903,0.087
436,901,348743.642
436,902,15.654
436,903,10.936
437,901,4487490.378
437,902,201.424
437,903,140.721
438,901,1426.781
438,902,0.064
438,903,0.045
439,901,477176.62
439,902,21.418
439,903,14.964
440,901,76649.456
440,902,2.554
440,903,1.618
441,901,177024.635
441,902,5.899
441,903,3.738
442,901,26928.41
442,902,0.897
442,903,0.569
443,901,5436.678
443,902,0.223
443,903,0.105
444,901,56111.417
444,902,2.302
444,903,1.085
445,901,50351.291
445,902,2.066
445,903,0.974
446,901,62639.438
446,902,2.57
446,903,1.211
447,901,47153.498
447,902,1.934
447,903,0.912
448,901,4077212.775
448,902,167.256
448,903,78.853
449,901,1484295.643
449,902,60.889
449,903,28.706
450,901,176635.743
450,902,7.246
450,903,3.416
451,901,10697.439
451,902,0.439
451,903,0.207
452,901,34113.91
452,902,1.399
452,903,0.66
453,901,4216.867
453,902,0.173
453,903,0.082
454,901,18678.536
454,902,0.766
454,903,0.361
455,901,3902.766
455,902,0.16
455,903,0.075
456,901,245076.103
456,902,10.054
456,903,4.74
457,901,6043.006
457,902,0.248
457,903,0.117
458,901,17677.442
458,902,0.725
458,903,0.342
459,901,64121.055
459,902,2.63
459,903,1.24
460,901,7958.685
460,902,0.326
460,903,0.154
461,901,6011.518
461,902,0.247
461,903,0.116
462,901,13585.058
462,902,0.557
462,903,0.263
463,901,37723.364
463,902,1.547
463,903,0.73
464,901,24223.119
464,902,0.994
464,903,0.468
465,901,685664.24
465,902,28.127
465,903,13.261
466,901,7625.44
466,902,0.313
466,903,0.147
467,901,22027.649
467,902,0.904
467,903,0.426
468,901,23151.83
468,902,0.95
468,903,0.448
469,901,6141.716
469,902,0.252
469,903,0.119
470,901,76472.276
470,902,3.137
470,903,1.479
471,901,32242.292
471,902,1.323
471,903,0.624
472,901,1567220.647
472,902,64.291
472,903,30.31
473,901,12646.963
473,902,0.519
473,903,0.245
474,901,143693.738
474,902,5.895
474,903,2.779
475,901,261503.148
475,902,10.727
475,903,5.057
476,901,4716.753
476,902,0.193
476,903,0.091
477,901,6848.638
477,902,0.281
477,903,0.132
478,901,56645.689
478,902,2.324
478,903,1.096
479,901,18788.218
479,902,0.771
479,903,0.363
480,901,15994.544
480,902,1.584
480,903,0.739
481,901,9791.889
481,902,0.97
481,903,0.453
482,901,67292.015
482,902,6.664
482,903,3.111
483,901,66347.835
483,902,6.571
483,903,3.067
484,901,61453.287
484,902,6.086
484,903,2.841
485,901,39466.63
485,902,3.909
485,903,1.825
486,901,10728.048
486,902,1.062
486,903,0.496
487,901,7765.193
487,902,0.769
487,903,0.359
488,901,9027.896
488,902,0.894
488,903,0.417
