trade_id,industry_imports_total,source_share,import_intensity,supplier_count,import_concentration_hhi
58533,451.13,2.2e-05,0.002595,48,0.032846
37491,500.18,2e-05,0.002877,48,0.017409
56043,259.12,3.9e-05,0.00149,44,0.048887
72074,58.52,0.000171,0.000337,40,0.089508
31445,225.67,4.4e-05,0.001298,48,0.024616
51335,1889.16,5e-06,0.010867,48,0.035484
27991,2437.2,4e-06,0.014019,48,0.012417
23162,59.75,0.000167,0.000344,40,0.046784
2576,1338.01,7e-06,0.007696,48,0.270449
23274,554.13,1.8e-05,0.003187,48,0.021784
32283,152.15,6.6e-05,0.000875,46,0.057382
61217,666.3,1.5e-05,0.003833,44,0.185626
10778,50.31,0.000199,0.000289,42,0.019083
71622,189.6,5.3e-05,0.001091,40,0.132156
49791,1889.16,5e-06,0.010867,48,0.035484
20124,15.79,0.000633,9.1e-05,34,0.09709
808,1871.48,5e-06,0.010765,48,0.04897
60862,1929.37,5e-06,0.011098,44,0.199805
24137,6787.58,1e-06,0.039042,48,0.116888
10996,59.75,0.000167,0.000344,40,0.046784
57435,225.67,4.4e-05,0.001298,48,0.024616
28081,1035.42,1e-05,0.005956,48,0.019169
63963,703.99,1.4e-05,0.004049,44,0.091447
58461,559.7,1.8e-05,0.003219,46,0.404362
73344,883.45,1.1e-05,0.005082,48,0.032943
8320,1871.48,5e-06,0.010765,48,0.04897
68346,225.91,4.4e-05,0.001299,46,0.052491
48215,1740.3,6e-06,0.01001,48,0.046669
11988,838.9,1.2e-05,0.004825,48,0.029121
12520,189.6,5.3e-05,0.001091,40,0.132156
63271,4.95,0.00202,2.8e-05,17,0.165791
76982,3.02,0.003311,1.7e-05,19,0.118986
8163,1118.25,9e-06,0.006432,48,0.125328
29643,2076.97,5e-06,0.011947,48,0.021557
55077,1829.11,5e-06,0.010521,48,0.013564
14303,1805.08,6e-06,0.010383,48,0.039769
44755,112.73,8.9e-05,0.000648,40,0.086068
854,2095.6,5e-06,0.012054,48,0.018759
49967,504.36,2e-05,0.002901,40,0.876379
76603,8.55,0.00117,4.9e-05,26,0.085202
11727,7653.51,1e-06,0.044023,48,0.01983
36368,225.91,4.4e-05,0.001299,46,0.052491
22262,1823.67,5e-06,0.01049,48,0.036352
51906,128.05,7.8e-05,0.000737,44,0.276791
52472,59.83,0.000167,0.000344,45,0.015273
