trade_id,industry_exports_total,destination_share,export_intensity,destination_count,export_concentration_hhi
84919,3488.1,4.9e-05,0.010376,38,0.107874
54393,1363.54,0.000125,0.004056,44,0.003963
68010,24340.51,7e-06,0.072407,42,0.004677
59661,2614.1,6.5e-05,0.007776,42,0.041564
108530,8955.18,1.9e-05,0.026639,33,0.025587
59327,10678.08,1.6e-05,0.031765,43,0.00664
19306,502.28,0.000338,0.001494,44,0.06417
110012,859.75,0.000198,0.002558,41,0.09672
92565,284.68,0.000597,0.000847,32,0.037935
49362,2572.66,6.6e-05,0.007653,45,0.014234
27462,10678.08,1.6e-05,0.031765,43,0.00664
31647,231.57,0.000734,0.000689,44,0.00908
107374,1836.6,9.3e-05,0.005463,45,0.00693
67192,9249.33,1.8e-05,0.027514,45,0.006681
66132,5808.38,2.9e-05,0.017278,44,0.022508
88156,3399.5,5e-05,0.010113,44,0.011416
32384,193.54,0.000878,0.000576,20,0.099479
93945,1699.72,0.0001,0.005056,39,0.103717
117079,781.76,0.000217,0.002326,45,0.007115
4795,24340.51,7e-06,0.072407,42,0.004677
13696,4710.18,3.6e-05,0.014012,37,0.057681
97751,337.87,0.000503,0.001005,32,0.048678
29745,22235.86,8e-06,0.066146,44,0.038118
115953,934.33,0.000182,0.002779,40,0.175579
84941,1138.49,0.000149,0.003387,45,0.006017
59462,1238.25,0.000137,0.003683,45,0.016745
66354,132.04,0.001287,0.000393,45,0.002523
76572,22235.86,8e-06,0.066146,44,0.038118
50628,966.2,0.000176,0.002874,43,0.02435
41361,1579.11,0.000108,0.004697,45,0.006045
14232,3518.97,4.8e-05,0.010468,44,0.022309
121398,5808.38,2.9e-05,0.017278,44,0.022508
99480,5808.38,2.9e-05,0.017278,44,0.022508
2015,9897.74,1.7e-05,0.029443,43,0.039485
83235,16163.5,1.1e-05,0.048082,42,0.013194
63740,1836.6,9.3e-05,0.005463,45,0.00693
107286,2572.66,6.6e-05,0.007653,45,0.014234
84384,966.2,0.000176,0.002874,43,0.02435
