trade_id,region1,region2,industry1,industry2,amount,total_resources_value,resources_count
14229,IT,IT,REALE,WHOLE,1801.07,0,0
1615,IT,IT,CEMEN,CEMEN,1800.38,0,0
4468,IT,IT,ELEC4,DISTR,1748.86,0,0
14595,IT,IT,RENTI,POSTT,1724.22,0,0
3346,IT,IT,DAIRY,HOTEL,1717.56,0,0
14104,IT,IT,REALE,CONST,1714.64,0,0
17903,IT,IT,WEARI,WEARI,1693.78,0,0
15193,IT,IT,RUBBE,MOTO1,1693.37,0,0
14297,IT,IT,RECRE,HOTEL,1683.76,0,0
14857,IT,IT,RETA1,HEALT,1676.62,0,0
1384,IT,IT,BUSIN,AUXIL,1669.48,0,0
14637,IT,IT,RENTI,WHOLE,1664.33,0,0
5485,IT,IT,FABRI,WHOLE,1652.22,0,0
6558,IT,IT,FOOD5,MEAT1,1644.87,0,0
8617,IT,IT,LANDT,HEALT,1618.34,0,0
7898,IT,IT,HOTEL,SUPPO,1614.82,0,0
18060,IT,IT,WHOLE,CHEM1,1587.58,0,0
8252,IT,IT,INSUR,INSUR,1587.3,0,0
14103,IT,IT,REALE,COMPU,1571.21,0,0
5458,IT,IT,FABRI,RESEA,1560.58,0,0
1530,IT,IT,BUSIN,WEARI,1549.0,0,0
18102,IT,IT,WHOLE,HOTEL,1546.18,0,0
8584,IT,IT,LANDT,CONST,1543.41,0,0
18123,IT,IT,WHOLE,MOTO1,1540.01,0,0
16395,IT,IT,SUPPO,FOOD5,1516.32,0,0
568,IT,IT,AUXIL,AUXIL,1505.2,0,0
970,IT,IT,BEVER,FOOD5,1500.91,0,0
12879,IT,IT,POSTT,PUBLI,1497.72,0,0
1412,IT,IT,BUSIN,DIST1,1496.36,0,0
2848,IT,IT,CONST,PUBLI,1487.34,0,0
1526,IT,IT,BUSIN,TRANS,1472.67,0,0
16369,IT,IT,SUPPO,CONST,1451.57,0,0
5519,IT,IT,FINAN,CONST,1441.75,0,0
2697,IT,IT,COMPU,RECRE,1440.97,0,0
7829,IT,IT,HOTEL,LANDT,1430.52,0,0
1490,IT,IT,BUSIN,PLAST,1420.52,0,0
14545,IT,IT,RENTI,HEALT,1408.68,0,0
15375,IT,IT,SALEM,SALEM,1396.57,0,0
10076,IT,IT,MOTO1,MACHI,1394.46,0,0
14192,IT,IT,REALE,PUBLI,1386.39,0,0
14215,IT,IT,REALE,SUPPO,1378.34,0,0
12309,IT,IT,PIGS9,MEATP,1339.54,0,0
11040,IT,IT,OFFIC,BUSIN,1329.44,0,0
2793,IT,IT,CONST,HEALT,1329.32,0,0
12784,IT,IT,POSTT,BUSIN,1317.45,0,0
14611,IT,IT,RENTI,RETA1,1310.1,0,0
15339,IT,IT,SALEM,MOTO1,1302.66,0,0
5554,IT,IT,FINAN,HOTEL,1300.87,0,0
12830,IT,IT,POSTT,HOTEL,1294.34,0,0
14606,IT,IT,RENTI,RECRE,1291.48,0,0
16449,IT,IT,SUPPO,POSTT,1285.54,0,0
5518,IT,IT,FINAN,COMPU,1275.09,0,0
5340,IT,IT,FABRI,BASIC,1264.43,0,0
1569,IT,IT,CATTL,MEATC,1261.14,0,0
18046,IT,IT,WHOLE,BASIC,1249.32,0,0
1437,IT,IT,BUSIN,FURNI,1248.74,0,0
18168,IT,IT,WHOLE,RUBBE,1243.0,0,0
14123,IT,IT,REALE,FINAN,1233.74,0,0
13975,IT,IT,RAILW,RAILW,1217.25,0,0
14198,IT,IT,REALE,RECRE,1214.55,0,0
14142,IT,IT,REALE,INSUR,1214.46,0,0
8633,IT,IT,LANDT,MACHI,1196.91,0,0
2604,IT,IT,COMPU,CONST,1186.48,0,0
14554,IT,IT,RENTI,LANDT,1180.98,0,0
13029,IT,IT,POULT,WHOLE,1159.22,0,0
7794,IT,IT,HOTEL,EDUCA,1155.25,0,0
5708,IT,IT,FISH5,HOTEL,1149.3,0,0
14623,IT,IT,RENTI,SUPPO,1141.91,0,0
1509,IT,IT,BUSIN,RUBBE,1140.77,0,0
6490,IT,IT,FOOD5,BEVER,1138.97,0,0
1491,IT,IT,BUSIN,POSTT,1136.77,0,0
14547,IT,IT,RENTI,HOTEL,1134.07,0,0
5617,IT,IT,FINAN,RENTI,1123.96,0,0
14850,IT,IT,RETA1,FOOD5,1123.84,0,0
5552,IT,IT,FINAN,HEALT,1117.27,0,0
18097,IT,IT,WHOLE,FURNI,1115.7,0,0
12881,IT,IT,POSTT,RADIO,1108.19,0,0
689,IT,IT,AUXIL,RETA1,1101.7,0,0
8614,IT,IT,LANDT,FURNI,1101.45,0,0
15263,IT,IT,RUBBE,WHOLE,1100.63,0,0
18169,IT,IT,WHOLE,SALEM,1082.43,0,0
14724,IT,IT,RESEA,MOTO1,1078.16,0,0
1386,IT,IT,BUSIN,BASIC,1078.02,0,0
578,IT,IT,AUXIL,BUSIN,1076.6,0,0
2913,IT,IT,COPP1,COPP1,1068.44,0,0
6911,IT,IT,FOUND,BASIC,1066.12,0,0
8564,IT,IT,LANDT,BEVER,1060.46,0,0
7820,IT,IT,HOTEL,HEALT,1057.57,0,0
12889,IT,IT,POSTT,RETA1,1056.83,0,0
