trade_id,region1,region2,industry1,industry2,amount,total_employment_value,employment_count,unique_employment_factors,economic/employment,employment_intensity
35014,IN,CA,FISH5,FISH5,157.03,125.0,1.0,1.0,125.0,0.796026
11354,CN,CA,RUBBE,CONST,1760.85,97.0,1.0,1.0,97.0,0.055087
9911,CN,CA,ELECT,CONST,2277.06,94.0,1.0,1.0,94.0,0.041281
9991,CN,CA,FABRI,CONST,2064.65,86.0,1.0,1.0,86.0,0.041654
67955,US,CA,RUBBE,CONST,5787.38,71.0,1.0,1.0,71.0,0.012268
71248,WA,CA,RUBBE,CONST,580.19,66.0,1.0,1.0,66.0,0.113756
64367,US,CA,CHEM1,PUBLI,6103.18,58.0,1.0,1.0,58.0,0.009503
65314,US,CA,FABRI,CONST,5309.35,56.0,1.0,1.0,56.0,0.010547
32188,ID,CA,WHOLE,WHOLE,4.49,54.0,1.0,1.0,54.0,12.026726
63572,US,CA,ALUM1,ALUM1,4845.36,53.0,1.0,1.0,53.0,0.010938
69617,WA,CA,FABRI,CONST,555.48,43.0,1.0,1.0,43.0,0.077411
64635,US,CA,CRUDE,MOTOR,3817.24,42.0,1.0,1.0,42.0,0.011003
35017,IN,CA,FISH5,HOTEL,50.09,40.0,1.0,1.0,40.0,0.798563
31890,ID,CA,RETA1,EDUCA,3.22,39.0,1.0,1.0,39.0,12.111801
10105,CN,CA,FISH5,FISH5,328.98,37.0,1.0,1.0,37.0,0.112469
32160,ID,CA,WHOLE,CHEM1,2.88,35.0,1.0,1.0,35.0,12.152778
73612,WF,CA,CROPS,RAWMI,66.44,34.0,1.0,1.0,34.0,0.51174
65616,US,CA,FOOD5,FOOD5,1773.44,34.0,1.0,1.0,34.0,0.019172
68698,US,CA,WOODW,CONST,1645.62,32.0,1.0,1.0,32.0,0.019446
64621,US,CA,CRUDE,GASDI,2973.38,32.0,1.0,1.0,32.0,0.010762
68946,WA,CA,BASIC,BASIC,524.72,30.0,1.0,1.0,30.0,0.057173
6311,BR,CA,ALUM1,ALUM1,961.45,29.0,1.0,1.0,29.0,0.030163
64326,US,CA,CHEM1,HEALT,3046.23,29.0,1.0,1.0,29.0,0.00952
71708,WA,CA,VEGET,HOTEL,97.52,27.0,1.0,1.0,27.0,0.276866
9913,CN,CA,ELECT,CRUDE,640.64,27.0,1.0,1.0,27.0,0.042145
68961,WA,CA,BASIC,CRUDE,448.01,26.0,1.0,1.0,26.0,0.058034
73653,WF,CA,CRUDE,MOTOR,541.03,26.0,1.0,1.0,26.0,0.048056
64561,US,CA,COPP1,COPP1,2075.05,26.0,1.0,1.0,26.0,0.01253
9653,CN,CA,CHEM1,PUBLI,663.34,26.0,1.0,1.0,26.0,0.039196
69389,WA,CA,CONST,REALE,184.51,25.0,1.0,1.0,25.0,0.135494
11345,CN,CA,RUBBE,BUSIN,451.0,25.0,1.0,1.0,25.0,0.055432
66144,US,CA,KEROS,AIRTR,2328.33,25.0,1.0,1.0,25.0,0.010737
31897,ID,CA,RETA1,HEALT,1.96,24.0,1.0,1.0,24.0,12.244898
67189,US,CA,PAPER,PRINT,1565.63,24.0,1.0,1.0,24.0,0.015329
10635,CN,CA,MEDIC,RESEA,393.23,24.0,1.0,1.0,24.0,0.061033
65495,US,CA,FINAN,REALE,2852.62,23.0,1.0,1.0,23.0,0.008063
32161,ID,CA,WHOLE,COMPU,1.81,22.0,1.0,1.0,22.0,12.154696
65731,US,CA,GASDI,CRUDE,1923.9,22.0,1.0,1.0,22.0,0.011435
9220,CN,CA,ALUM1,ALUM1,695.04,21.0,1.0,1.0,21.0,0.030214
69790,WA,CA,FISH5,FISH5,93.42,21.0,1.0,1.0,21.0,0.224791
73641,WF,CA,CRUDE,GASDI,421.43,21.0,1.0,1.0,21.0,0.04983
71475,WA,CA,SUPPO,EDUCA,233.56,21.0,1.0,1.0,21.0,0.089913
65622,US,CA,FOOD5,HOTEL,1038.59,20.0,1.0,1.0,20.0,0.019257
74811,WF,CA,VEGET,HOTEL,29.63,20.0,1.0,1.0,20.0,0.674992
75367,WL,CA,COPP1,COPP1,522.77,20.0,1.0,1.0,20.0,0.038258
11854,CN,CA,WOODW,CONST,506.73,19.0,1.0,1.0,19.0,0.037495
67493,US,CA,PRINT,EDUCA,1426.1,19.0,1.0,1.0,19.0,0.013323
70038,WA,CA,HEALT,PUBLI,317.42,19.0,1.0,1.0,19.0,0.059858
34633,IN,CA,CHEM1,PUBLI,168.39,18.0,1.0,1.0,18.0,0.106895
67946,US,CA,RUBBE,BUSIN,1482.29,18.0,1.0,1.0,18.0,0.012143
34870,IN,CA,FABRI,CONST,141.72,17.0,1.0,1.0,17.0,0.119955
69447,WA,CA,CROPS,RAWMI,47.49,17.0,1.0,1.0,17.0,0.35797
63764,US,CA,BASIC,BASIC,2106.21,17.0,1.0,1.0,17.0,0.008071
71240,WA,CA,RUBBE,BUSIN,148.6,17.0,1.0,1.0,17.0,0.114401
