trade_id,region1,region2,industry1,industry2,amount,total_employment_value,employment_count,unique_employment_factors,economic/employment,employment_intensity
10210,DE,DE,MOTO1,MOTO1,117644.75,1492.0,1.0,1.0,1492.0,0.012682
12788,DE,DE,POSTT,POSTT,44724.86,701.0,1.0,1.0,701.0,0.015674
683,DE,DE,AUXIL,INSUR,41129.42,547.0,1.0,1.0,547.0,0.013299
9605,DE,DE,MACHI,MACHI,46420.16,541.0,1.0,1.0,541.0,0.011654
5474,DE,DE,FABRI,FABRI,37024.05,473.0,1.0,1.0,473.0,0.012775
3020,DE,DE,CONST,CONST,31070.65,446.0,1.0,1.0,446.0,0.014354
6525,DE,DE,FOOD5,FOOD5,23918.21,394.0,1.0,1.0,394.0,0.016473
5455,DE,DE,FABRI,CONST,26333.27,337.0,1.0,1.0,337.0,0.012797
12655,DE,DE,PLAST,RUBBE,34171.08,336.0,1.0,1.0,336.0,0.009833
14428,DE,DE,RESEA,PUBLI,19396.26,300.0,1.0,1.0,300.0,0.015467
2861,DE,DE,COMPU,COMPU,22035.28,291.0,1.0,1.0,291.0,0.013206
5507,DE,DE,FABRI,MACHI,22688.27,290.0,1.0,1.0,290.0,0.012782
1888,DE,DE,CEMEN,CONST,20863.91,284.0,1.0,1.0,284.0,0.013612
1681,DE,DE,BUSIN,BUSIN,25672.57,279.0,1.0,1.0,279.0,0.010868
5636,DE,DE,FINAN,FINAN,27116.01,278.0,1.0,1.0,278.0,0.010252
7544,DE,DE,HEALT,HEALT,12881.9,276.0,1.0,1.0,276.0,0.021425
15235,DE,DE,SEACO,SEACO,20922.9,259.0,1.0,1.0,259.0,0.012379
10205,DE,DE,MOTO1,MACHI,19678.02,250.0,1.0,1.0,250.0,0.012705
13760,DE,DE,RAWMI,DAIRY,14696.94,247.0,1.0,1.0,247.0,0.016806
13427,DE,DE,PULP5,PAPER,22560.76,236.0,1.0,1.0,236.0,0.010461
14347,DE,DE,RESEA,CHEM1,14658.22,227.0,1.0,1.0,227.0,0.015486
3867,DE,DE,EDUCA,EDUCA,13045.82,224.0,1.0,1.0,224.0,0.01717
5514,DE,DE,FABRI,MOTO1,17180.28,220.0,1.0,1.0,220.0,0.012805
