trade_id,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_intensity
97244,RO,GB,SANDC,CONST,0.03,10219.0,1.0,1.0,10219.0,340633.333333
97243,RO,GB,SANDC,CEMEN,0.03,7949.0,1.0,1.0,7949.0,264966.666667
20329,CN,GB,MEDIC,HEALT,223.98,5115.0,1.0,1.0,5115.0,22.83686
19195,CN,GB,ELECT,CONST,1375.7,4020.0,1.0,1.0,4020.0,2.922149
60106,IE,GB,SANDC,CONST,78.45,3790.0,1.0,1.0,3790.0,48.311026
18253,CN,GB,ALUM1,ALUM1,191.21,3604.0,1.0,1.0,3604.0,18.848387
19323,CN,GB,FABRI,CONST,957.36,3077.0,1.0,1.0,3077.0,3.214047
18803,CN,GB,CHEM1,HEALT,1712.33,3009.0,1.0,1.0,3009.0,1.757255
60102,IE,GB,SANDC,CEMEN,61.03,2948.0,1.0,1.0,2948.0,48.304113
55819,IE,GB,CEMEN,CONST,568.61,2797.0,1.0,1.0,2797.0,4.919013
115876,WA,GB,BASIC,FABRI,834.98,2548.0,1.0,1.0,2548.0,3.05157
21498,CN,GB,RUBBE,CONST,1581.68,2363.0,1.0,1.0,2363.0,1.493981
18280,CN,GB,ALUM1,FABRI,98.38,1854.0,1.0,1.0,1854.0,18.845294
20701,CN,GB,OFFIC,EDUCA,1565.62,1814.0,1.0,1.0,1814.0,1.158646
116290,WA,GB,CEMEN,CONST,71.68,1776.0,1.0,1.0,1776.0,24.776786
12572,BR,GB,PREC1,PREC1,25.63,1695.0,1.0,1.0,1695.0,66.133437
19269,CN,GB,ELECT,RAILW,449.56,1314.0,1.0,1.0,1314.0,2.922858
86514,NO,GB,CRUDE,MOTOR,4147.57,1240.0,1.0,1.0,1240.0,0.29897
86504,NO,GB,CRUDE,GASDI,3842.28,1148.0,1.0,1.0,1148.0,0.298781
61586,IN,GB,ELECT,CONST,105.68,1127.0,1.0,1.0,1127.0,10.664269
123375,WF,GB,ALUM1,ALUM1,214.82,1100.0,1.0,1.0,1100.0,5.120566
61152,IN,GB,CERAM,CONST,29.82,1080.0,1.0,1.0,1080.0,36.217304
132244,WM,GB,RESEA,RESEA,361.29,1078.0,1.0,1.0,1078.0,2.983753
119705,WA,GB,RUBBE,CONST,691.71,1059.0,1.0,1.0,1059.0,1.530988
20307,CN,GB,MEDIC,CONST,44.4,1014.0,1.0,1.0,1014.0,22.837838
