trade_id,industry_exports_total,destination_share,export_intensity,destination_count,export_concentration_hhi
2925187,19120.12,1e-06,0.015321,43,0.085191
2925188,19120.12,6e-06,0.015321,43,0.085191
2925189,19120.12,1e-06,0.015321,43,0.085191
2925190,19120.12,4e-06,0.015321,43,0.085191
2925191,19120.12,1e-06,0.015321,43,0.085191
2925192,19120.12,5e-06,0.015321,43,0.085191
2925193,19120.12,3e-06,0.015321,43,0.085191
2925194,19120.12,1e-06,0.015321,43,0.085191
2925195,19120.12,1e-06,0.015321,43,0.085191
2925196,10945.42,2e-05,0.00877,47,0.067883
2925197,10945.42,5e-05,0.00877,47,0.067883
2925198,10945.42,4.9e-05,0.00877,47,0.067883
2925199,10945.42,5e-06,0.00877,47,0.067883
2925200,10945.42,2e-05,0.00877,47,0.067883
2925201,10945.42,5e-06,0.00877,47,0.067883
2925202,10945.42,1e-06,0.00877,47,0.067883
2925203,21857.98,6e-06,0.017514,43,0.040065
2925204,21857.98,2.1e-05,0.017514,43,0.040065
2925205,21857.98,1e-06,0.017514,43,0.040065
2925206,21857.98,1e-06,0.017514,43,0.040065
2925207,21857.98,7e-06,0.017514,43,0.040065
2925208,21857.98,6e-06,0.017514,43,0.040065
2925209,21857.98,2e-06,0.017514,43,0.040065
2925210,21857.98,3e-06,0.017514,43,0.040065
2925211,21857.98,3.7e-05,0.017514,43,0.040065
2925212,21857.98,5e-06,0.017514,43,0.040065
2925213,21857.98,5e-06,0.017514,43,0.040065
2925214,21857.98,0.000474,0.017514,43,0.040065
2925215,21857.98,6.5e-05,0.017514,43,0.040065
2925216,21857.98,1e-06,0.017514,43,0.040065
2925217,21857.98,0.000151,0.017514,43,0.040065
2925218,21857.98,2.3e-05,0.017514,43,0.040065
2925219,21857.98,0.000623,0.017514,43,0.040065
2925220,21857.98,5.5e-05,0.017514,43,0.040065
2925221,21857.98,2.1e-05,0.017514,43,0.040065
2925222,21857.98,1e-06,0.017514,43,0.040065
2925223,21857.98,4.5e-05,0.017514,43,0.040065
2925224,21857.98,8e-06,0.017514,43,0.040065
2925225,21857.98,1e-06,0.017514,43,0.040065
2925226,21857.98,9.4e-05,0.017514,43,0.040065
2925227,21857.98,0.0,0.017514,43,0.040065
