trade_id,industry_exports_total,destination_share,export_intensity,destination_count,export_concentration_hhi
480204,1115.58,9e-05,0.001395,32,0.033238
480205,1115.58,1.8e-05,0.001395,32,0.033238
480206,1115.58,2.7e-05,0.001395,32,0.033238
480207,1115.58,1.8e-05,0.001395,32,0.033238
480208,1115.58,3.6e-05,0.001395,32,0.033238
480209,1115.58,3.6e-05,0.001395,32,0.033238
480210,1115.58,9e-06,0.001395,32,0.033238
480211,1115.58,1.8e-05,0.001395,32,0.033238
480212,1115.58,9e-06,0.001395,32,0.033238
480213,1115.58,2.7e-05,0.001395,32,0.033238
480214,1115.58,2.7e-05,0.001395,32,0.033238
480215,1115.58,0.002071,0.001395,32,0.033238
480216,1115.58,0.000323,0.001395,32,0.033238
480217,1115.58,0.001327,0.001395,32,0.033238
480218,1115.58,8.1e-05,0.001395,32,0.033238
480219,1115.58,1.8e-05,0.001395,32,0.033238
480220,1115.58,9e-06,0.001395,32,0.033238
480221,1115.58,9e-06,0.001395,32,0.033238
480222,1115.58,6.3e-05,0.001395,32,0.033238
480223,1115.58,0.000179,0.001395,32,0.033238
480224,1115.58,6.3e-05,0.001395,32,0.033238
480225,1115.58,0.0013,0.001395,32,0.033238
480226,1115.58,0.000619,0.001395,32,0.033238
480227,1115.58,9e-06,0.001395,32,0.033238
480228,1115.58,2.7e-05,0.001395,32,0.033238
480229,1115.58,5.4e-05,0.001395,32,0.033238
480230,1115.58,2.7e-05,0.001395,32,0.033238
480231,1115.58,0.000278,0.001395,32,0.033238
480232,1115.58,0.000242,0.001395,32,0.033238
480233,1115.58,1.8e-05,0.001395,32,0.033238
480234,1115.58,0.000152,0.001395,32,0.033238
480235,1115.58,2.7e-05,0.001395,32,0.033238
480236,1115.58,9e-06,0.001395,32,0.033238
480237,626.88,8e-05,0.000784,40,0.024046
480238,626.88,3.2e-05,0.000784,40,0.024046
480239,626.88,0.00016,0.000784,40,0.024046
480240,626.88,0.000239,0.000784,40,0.024046
480241,626.88,0.000207,0.000784,40,0.024046
480242,626.88,3.2e-05,0.000784,40,0.024046
480243,626.88,1.6e-05,0.000784,40,0.024046
480244,626.88,0.000782,0.000784,40,0.024046
480245,626.88,0.000112,0.000784,40,0.024046
480246,626.88,9.6e-05,0.000784,40,0.024046
480247,626.88,3.2e-05,0.000784,40,0.024046
480248,626.88,4.8e-05,0.000784,40,0.024046
480249,626.88,3.2e-05,0.000784,40,0.024046
480250,626.88,6.4e-05,0.000784,40,0.024046
480251,626.88,6.4e-05,0.000784,40,0.024046
480252,626.88,0.005982,0.000784,40,0.024046
480253,626.88,0.000941,0.000784,40,0.024046
480254,626.88,1.6e-05,0.000784,40,0.024046
480255,626.88,0.004195,0.000784,40,0.024046
480256,626.88,0.000255,0.000784,40,0.024046
480257,626.88,4.8e-05,0.000784,40,0.024046
480258,626.88,1.6e-05,0.000784,40,0.024046
480259,626.88,1.6e-05,0.000784,40,0.024046
480260,626.88,3.2e-05,0.000784,40,0.024046
480261,626.88,1.6e-05,0.000784,40,0.024046
480262,626.88,3.2e-05,0.000784,40,0.024046
480263,626.88,1.6e-05,0.000784,40,0.024046
480264,626.88,0.000191,0.000784,40,0.024046
480265,626.88,3.2e-05,0.000784,40,0.024046
480266,626.88,1.6e-05,0.000784,40,0.024046
480267,626.88,0.00059,0.000784,40,0.024046
480268,626.88,0.000191,0.000784,40,0.024046
480269,626.88,0.005472,0.000784,40,0.024046
480270,626.88,0.003158,0.000784,40,0.024046
480271,626.88,8e-05,0.000784,40,0.024046
480272,626.88,9.6e-05,0.000784,40,0.024046
480273,626.88,0.000191,0.000784,40,0.024046
480274,626.88,8e-05,0.000784,40,0.024046
480275,626.88,0.000925,0.000784,40,0.024046
480276,626.88,0.000766,0.000784,40,0.024046
480277,626.88,1.6e-05,0.000784,40,0.024046
480278,626.88,4.8e-05,0.000784,40,0.024046
480279,626.88,0.000495,0.000784,40,0.024046
480280,626.88,9.6e-05,0.000784,40,0.024046
480281,626.88,4.8e-05,0.000784,40,0.024046
480282,1161.82,0.007454,0.001453,47,0.039271
480283,1161.82,9e-06,0.001453,47,0.039271
480284,1161.82,9e-06,0.001453,47,0.039271
480285,1161.82,0.000318,0.001453,47,0.039271
480286,1161.82,0.000284,0.001453,47,0.039271
480287,1161.82,8.6e-05,0.001453,47,0.039271
480288,1161.82,0.000129,0.001453,47,0.039271
480289,1161.82,9.5e-05,0.001453,47,0.039271
480290,1161.82,0.000189,0.001453,47,0.039271
480291,1161.82,0.000198,0.001453,47,0.039271
480292,1161.82,0.018703,0.001453,47,0.039271
480293,1161.82,0.018213,0.001453,47,0.039271
480294,1161.82,0.00167,0.001453,47,0.039271
480295,1161.82,0.000103,0.001453,47,0.039271
480296,1161.82,0.000112,0.001453,47,0.039271
480297,1161.82,1.7e-05,0.001453,47,0.039271
480298,1161.82,1.7e-05,0.001453,47,0.039271
480299,1161.82,1.7e-05,0.001453,47,0.039271
480300,1161.82,6.9e-05,0.001453,47,0.039271
480301,1161.82,9e-06,0.001453,47,0.039271
480302,1161.82,0.000267,0.001453,47,0.039271
480303,1161.82,0.000121,0.001453,47,0.039271
480304,1161.82,0.007308,0.001453,47,0.039271
480305,1161.82,1.7e-05,0.001453,47,0.039271
480306,1161.82,9.5e-05,0.001453,47,0.039271
480307,1161.82,6.9e-05,0.001453,47,0.039271
480308,1161.82,7.7e-05,0.001453,47,0.039271
480309,1161.82,0.001704,0.001453,47,0.039271
480310,1161.82,0.000456,0.001453,47,0.039271
480311,1161.82,9e-06,0.001453,47,0.039271
480312,1161.82,0.000103,0.001453,47,0.039271
480313,1161.82,0.000103,0.001453,47,0.039271
480314,1161.82,5.2e-05,0.001453,47,0.039271
480315,374.05,0.00016,0.000468,44,0.022648
480316,374.05,0.000561,0.000468,44,0.022648
480317,374.05,0.000187,0.000468,44,0.022648
480318,374.05,0.000187,0.000468,44,0.022648
480319,374.05,5.3e-05,0.000468,44,0.022648
480320,374.05,8e-05,0.000468,44,0.022648
480321,374.05,0.001016,0.000468,44,0.022648
480322,374.05,0.000134,0.000468,44,0.022648
480323,374.05,0.000107,0.000468,44,0.022648
480324,374.05,0.012913,0.000468,44,0.022648
480325,374.05,0.001764,0.000468,44,0.022648
480326,374.05,2.7e-05,0.000468,44,0.022648
480327,374.05,0.004117,0.000468,44,0.022648
480328,374.05,0.000615,0.000468,44,0.022648
480329,374.05,0.017003,0.000468,44,0.022648
480330,374.05,0.001497,0.000468,44,0.022648
480331,374.05,0.000588,0.000468,44,0.022648
480332,374.05,2.7e-05,0.000468,44,0.022648
480333,374.05,0.00123,0.000468,44,0.022648
480334,374.05,0.000214,0.000468,44,0.022648
480335,374.05,2.7e-05,0.000468,44,0.022648
480336,374.05,0.002567,0.000468,44,0.022648
480337,374.05,0.000401,0.000468,44,0.022648
480338,374.05,0.001016,0.000468,44,0.022648
480339,374.05,0.00016,0.000468,44,0.022648
480340,374.05,0.002994,0.000468,44,0.022648
480341,374.05,5.3e-05,0.000468,44,0.022648
480342,374.05,0.000454,0.000468,44,0.022648
480343,374.05,5.3e-05,0.000468,44,0.022648
480344,374.05,8e-05,0.000468,44,0.022648
480345,374.05,0.000294,0.000468,44,0.022648
480346,374.05,0.000134,0.000468,44,0.022648
480347,374.05,0.00147,0.000468,44,0.022648
480348,374.05,0.000909,0.000468,44,0.022648
480349,374.05,0.000241,0.000468,44,0.022648
480350,374.05,8e-05,0.000468,44,0.022648
480351,15.33,0.000652,1.9e-05,11,0.138051
480352,350.63,0.013775,0.000438,28,0.038206
480353,350.63,0.000884,0.000438,28,0.038206
480354,350.63,0.000884,0.000438,28,0.038206
480355,350.63,0.000143,0.000438,28,0.038206
480356,350.63,0.006046,0.000438,28,0.038206
480357,350.63,0.000114,0.000438,28,0.038206
480358,350.63,0.000171,0.000438,28,0.038206
480359,350.63,0.000998,0.000438,28,0.038206
480360,189.51,0.250119,0.000237,22,0.124267
480361,189.51,0.030447,0.000237,22,0.124267
480362,189.51,0.001372,0.000237,22,0.124267
480363,189.51,0.000317,0.000237,22,0.124267
480364,189.51,0.000106,0.000237,22,0.124267
480365,189.51,0.005224,0.000237,22,0.124267
480366,189.51,0.010395,0.000237,22,0.124267
480367,189.51,0.017994,0.000237,22,0.124267
480368,189.51,0.000211,0.000237,22,0.124267
480369,189.51,0.000264,0.000237,22,0.124267
480370,189.51,0.000264,0.000237,22,0.124267
480371,189.51,0.002902,0.000237,22,0.124267
480372,189.51,5.3e-05,0.000237,22,0.124267
480373,630.45,0.024665,0.000788,38,0.257906
480374,630.45,0.001015,0.000788,38,0.257906
480375,630.45,3.2e-05,0.000788,38,0.257906
480376,630.45,0.000206,0.000788,38,0.257906
480377,630.45,3.2e-05,0.000788,38,0.257906
480378,630.45,0.002649,0.000788,38,0.257906
480379,630.45,0.000841,0.000788,38,0.257906
