trade_id,region1,region2,industry1,industry2,amount,total_materials_value,materials_count
36309,DE,FR,TRANS,TRANS,3979.88,0,0
43649,ES,FR,HOTEL,BUSIN,2991.6,0,0
20282,CH,FR,HOTEL,BUSIN,2771.28,0,0
7844,BE,FR,HOTEL,BUSIN,2633.61,0,0
136720,WF,FR,PRIVA,DIST1,2503.37,0,0
145065,WM,FR,PRIVA,DIST1,2058.96,0,0
33468,DE,FR,MACHI,CONST,1983.37,0,0
52135,GB,FR,HOTEL,BUSIN,1955.67,0,0
125701,US,FR,TRANS,TRANS,1866.58,0,0
63648,IE,FR,COMPU,COMPU,1688.76,0,0
32669,DE,FR,HOTEL,BUSIN,1446.24,0,0
35637,DE,FR,RUBBE,LEATH,1405.04,0,0
72381,IT,FR,HOTEL,BUSIN,1377.88,0,0
33754,DE,FR,MOTO1,MOTO1,1247.25,0,0
126919,WA,FR,CRUDE,MOTOR,1214.05,0,0
45437,ES,FR,PRIVA,DIST1,1209.41,0,0
135334,WF,FR,HOTEL,BUSIN,1182.75,0,0
31633,DE,FR,FABRI,CONST,1079.68,0,0
95696,NO,FR,NATUR,ELEC2,1052.56,0,0
140709,WL,FR,PRIVA,DIST1,992.72,0,0
143801,WM,FR,HOTEL,BUSIN,962.31,0,0
33511,DE,FR,MACHI,MACHI,957.53,0,0
126896,WA,FR,CRUDE,GASDI,938.48,0,0
120353,TW,FR,HOTEL,BUSIN,925.21,0,0
50118,GB,FR,BUSIN,BUSIN,889.68,0,0
73109,IT,FR,MACHI,CONST,830.45,0,0
134220,WF,FR,CRUDE,MOTOR,814.79,0,0
122164,US,FR,BUSIN,BUSIN,803.43,0,0
25843,CN,FR,TRANS,TRANS,786.89,0,0
46657,ES,FR,TRANS,TRANS,767.52,0,0
101706,PT,FR,HOTEL,BUSIN,758.99,0,0
44657,ES,FR,MOTO1,MOTO1,728.95,0,0
8432,BE,FR,LANDT,WHOLE,717.18,0,0
89250,NL,FR,BUSIN,BUSIN,715.64,0,0
30388,DE,FR,BUSIN,BUSIN,698.11,0,0
33569,DE,FR,MACHI,TRANS,687.33,0,0
16812,CA,FR,HOTEL,BUSIN,686.75,0,0
123478,US,FR,HOTEL,BUSIN,686.38,0,0
35599,DE,FR,RUBBE,CONST,635.21,0,0
134199,WF,FR,CRUDE,GASDI,629.85,0,0
71514,IT,FR,FABRI,CONST,616.71,0,0
126872,WA,FR,CRUDE,CHEM1,599.15,0,0
5780,BE,FR,BUSIN,BUSIN,596.7,0,0
33796,DE,FR,MOTO1,SALEM,592.85,0,0
10534,BE,FR,RUBBE,LEATH,590.39,0,0
25757,CN,FR,TEXTI,TEXTI,588.97,0,0
30120,DE,FR,BASIC,CONST,585.57,0,0
74745,IT,FR,RUBBE,LEATH,568.99,0,0
64872,IE,FR,LANDT,WHOLE,566.87,0,0
56855,GR,FR,HOTEL,BUSIN,563.59,0,0
91828,NL,FR,OFFIC,HEALT,536.8,0,0
95762,NO,FR,NATUR,STEAM,535.9,0,0
25702,CN,FR,TEXTI,HEALT,527.69,0,0
30124,DE,FR,BASIC,FABRI,523.81,0,0
109976,SE,FR,BUSIN,BUSIN,521.79,0,0
30147,DE,FR,BASIC,OFFIC,519.92,0,0
