trade_id,industry_imports_total,source_share,import_intensity,supplier_count,import_concentration_hhi
35760,16622.36,0.436249,0.026869,48,0.212644
31593,68127.38,0.072469,0.110123,48,0.02016
34831,14564.97,0.336406,0.023543,48,0.127746
35187,68127.38,0.068641,0.110123,48,0.02016
30219,25256.46,0.179987,0.040825,48,0.061222
30760,68127.38,0.059505,0.110123,48,0.02016
161609,25256.46,0.117417,0.040825,48,0.061222
34850,6342.66,0.449745,0.010252,48,0.215187
32036,68127.38,0.028977,0.110123,48,0.02016
30256,13305.08,0.138428,0.021507,48,0.042988
166935,16622.36,0.105695,0.026869,48,0.212644
94201,25256.46,0.067874,0.040825,48,0.061222
185096,68127.38,0.023264,0.110123,48,0.02016
94674,68127.38,0.022196,0.110123,48,0.02016
96512,8522.86,0.167529,0.013777,48,0.06802
36413,68127.38,0.020437,0.110123,48,0.02016
163462,9818.27,0.139521,0.01587,48,0.040089
100046,16622.36,0.078816,0.026869,48,0.212644
166390,68127.38,0.019015,0.110123,48,0.02016
34848,16926.48,0.075693,0.02736,48,0.013073
31539,16493.66,0.076087,0.026661,48,0.013158
96147,68127.38,0.018364,0.110123,48,0.02016
17646,23259.34,0.05314,0.037597,48,0.015121
196012,23259.34,0.052596,0.037597,48,0.015121
161645,13305.08,0.090305,0.021507,48,0.042988
152271,23259.34,0.05118,0.037597,48,0.015121
34774,68127.38,0.017326,0.110123,48,0.02016
30958,8828.93,0.132325,0.014271,48,0.044153
163090,68127.38,0.016799,0.110123,48,0.02016
177708,25256.46,0.044019,0.040825,48,0.061222
32279,68127.38,0.015804,0.110123,48,0.02016
31457,4912.43,0.203964,0.007941,48,0.05104
107668,25256.46,0.039357,0.040825,48,0.061222
149457,8522.86,0.114895,0.013777,48,0.06802
111925,25256.46,0.038612,0.040825,48,0.061222
33776,14564.97,0.066391,0.023543,48,0.127746
30913,14903.2,0.063395,0.02409,48,0.012654
31497,13305.08,0.070812,0.021507,48,0.042988
35669,9783.58,0.09302,0.015814,48,0.015637
163367,9826.76,0.091495,0.015884,48,0.01872
183623,68127.38,0.013015,0.110123,48,0.02016
179507,68127.38,0.012893,0.110123,48,0.02016
176598,7400.92,0.117554,0.011963,48,0.041855
184224,16622.36,0.052302,0.026869,48,0.212644
30015,4935.28,0.175376,0.007978,48,0.055981
32794,4348.55,0.195826,0.007029,48,0.077812
34858,16493.66,0.051357,0.026661,48,0.013158
31597,9414.7,0.088127,0.015218,48,0.017782
35641,68127.38,0.011937,0.110123,48,0.02016
95630,68127.38,0.011662,0.110123,48,0.02016
99061,14564.97,0.054265,0.023543,48,0.127746
31506,14564.97,0.054253,0.023543,48,0.127746
35684,4348.55,0.181621,0.007029,48,0.077812
147739,25256.46,0.030599,0.040825,48,0.061222
184526,23259.34,0.033126,0.037597,48,0.015121
185457,25256.46,0.029926,0.040825,48,0.061222
180397,8522.86,0.087921,0.013777,48,0.06802
170462,8828.93,0.082753,0.014271,48,0.044153
148534,3099.19,0.235607,0.00501,48,0.090111
148533,68127.38,0.01067,0.110123,48,0.02016
178916,8522.86,0.084259,0.013777,48,0.06802
180046,68127.38,0.010505,0.110123,48,0.02016
94237,13305.08,0.052202,0.021507,48,0.042988
152438,68127.38,0.010133,0.110123,48,0.02016
101221,25256.46,0.026476,0.040825,48,0.061222
33595,68127.38,0.009743,0.110123,48,0.02016
99431,68127.38,0.009513,0.110123,48,0.02016
171199,68127.38,0.009424,0.110123,48,0.02016
163433,6689.37,0.095345,0.010813,48,0.021462
163432,5406.79,0.116454,0.00874,48,0.028488
178922,6582.79,0.094141,0.010641,48,0.026537
171700,9818.27,0.062795,0.01587,48,0.040089
110349,28584.51,0.021314,0.046205,48,0.004735
47225,68127.38,0.008924,0.110123,48,0.02016
42998,8828.93,0.068278,0.014271,48,0.044153
94953,8828.93,0.0673,0.014271,48,0.044153
63348,68127.38,0.008702,0.110123,48,0.02016
170417,14903.2,0.039646,0.02409,48,0.012654
31529,16926.48,0.034761,0.02736,48,0.013073
31447,9414.7,0.062015,0.015218,48,0.017782
165110,68127.38,0.008555,0.110123,48,0.02016
43612,68127.38,0.008532,0.110123,48,0.02016
