trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,land,material,water,impact_intensity
2304,CN,CN,DISTR,DISTR,78538.17,1215862633016.276,7,7,1215861415277.257,2503.0,61424.0,1110764.0,43048.019,15481168.36713
2627,CN,CN,ELEC1,DISTR,43762.0,968199712289.764,7,7,968199468675.569,1500.0,42844.0,166116.0,33154.195,22124210.783094
499,CN,CN,BASIC,CONST,350320.49,790034687145.6,7,7,790033845702.14,10285.0,205340.0,610592.0,15226.46,2255176.929975
480,CN,CN,BASIC,BASIC,321320.65,724634912116.776,7,7,724634140327.776,9434.0,188342.0,560047.0,13966.0,2255176.914763
1239,CN,CN,CERAM,CONST,359100.08,620056843598.239,7,7,620054968626.868,9896.0,755371.0,1091242.0,18462.371,1726696.478592
2630,CN,CN,ELEC1,FABRI,26481.57,585883700086.969,7,7,585883552669.474,908.0,25926.0,100521.0,20062.495,22124205.630065
1190,CN,CN,CEMEN,CONST,184536.52,554523175077.263,7,7,554522596285.207,3696.0,144071.0,421881.0,9144.056,3004950.863261
7096,CN,CN,OFFIC,OFFIC,847302.1,421160699417.258,7,7,421159218192.589,44091.0,441257.0,981622.0,14254.669,497060.846913
2377,CN,CN,DISTR,TRAN1,25498.18,394741681113.176,7,7,394741285762.216,813.0,19942.0,360620.0,13975.96,15481170.856633
506,CN,CN,BASIC,ELECT,172516.63,389055523320.155,7,7,389055108947.828,5065.0,101121.0,300688.0,7498.327,2255176.925959
6849,CN,CN,NONME,CONST,143781.41,341258862738.197,7,7,341258343763.612,3022.0,124471.0,382492.0,8989.585,2373456.086835
6350,CN,CN,MOTO1,MOTO1,398550.05,328300379446.211,7,7,328299435084.819,17729.0,276388.0,640947.0,9297.392,823736.891881
2600,CN,CN,ELEC1,ALUM1,14642.56,323955118263.117,7,7,323955036750.878,502.0,14335.0,55582.0,11093.239,22124213.133709
3746,CN,CN,FABRI,FABRI,200293.61,321520561785.169,7,7,321519644748.421,8381.0,251882.0,643816.0,12957.748,1605246.227202
2710,CN,CN,ELEC1,TRAN1,14501.44,320832917634.142,7,7,320832836907.817,497.0,14197.0,55046.0,10986.325,22124210.949681
2604,CN,CN,ELEC1,BASIC,14011.77,309999262887.918,7,7,309999184887.571,480.0,13718.0,53187.0,10615.347,22124204.357331
528,CN,CN,BASIC,MOTO1,133828.16,301806179807.267,7,7,301805858362.51,3929.0,78443.0,233256.0,5816.757,2255176.93591
2670,CN,CN,ELEC1,NONME,13164.5,291254108098.299,7,7,291254034814.845,451.0,12888.0,49971.0,9973.454,22124205.864127
5618,CN,CN,LANDT,CONST,511935.28,266486392959.672,7,7,266486108400.246,28227.0,86679.0,162718.0,6935.426,520547.036648
1305,CN,CN,CHEM1,CHEM1,185235.24,256138517335.62,7,7,256137837742.288,7161.0,337855.0,325547.0,9030.332,1382774.235268
7643,CN,CN,PLAST,RUBBE,254658.9,255275695639.777,7,7,255274661467.312,12761.0,718105.0,284837.0,18469.465,1002422.046274
8932,CN,CN,RUBBE,RUBBE,144771.35,232905656818.55,7,7,232905110241.138,8000.0,314484.0,216240.0,7853.412,1608782.793132
4184,CN,CN,FOOD5,FOOD5,352400.64,224451783565.592,7,7,224450106303.612,33184.0,1284344.0,350944.0,8789.98,636922.179158
4754,CN,CN,GLASS,GLASS,181474.34,199675590961.345,7,7,199675099663.739,3769.0,189452.0,291522.0,6554.606,1100296.55411
2616,CN,CN,ELEC1,CHEM1,8864.95,196129919754.32,7,7,196129870405.216,304.0,8679.0,33650.0,6716.104,22124199.206349
9453,CN,CN,TEXTI,TEXTI,432582.24,188173453906.486,7,7,188172387898.281,27166.0,716859.0,313171.0,8812.205,435000.414965
7317,CN,CN,PAPER,PAPER,166326.72,184879683568.841,7,7,184877215802.311,7727.0,2147405.0,302505.0,10129.53,1111545.298127
3594,CN,CN,ELECT,CONST,147693.62,180956016735.541,7,7,180955439109.599,6118.0,134449.0,431550.0,5508.942,1225212.14346
3614,CN,CN,ELECT,ELECT,144052.35,176494693091.266,7,7,176494129706.142,5967.0,131134.0,420911.0,5373.124,1225212.175235
2700,CN,CN,ELEC1,RUBBE,7503.86,166016983700.72,7,7,166016941928.778,257.0,7346.0,28484.0,5684.942,22124211.232715
4742,CN,CN,GLASS,CONST,150653.42,165763441053.449,7,7,165763033196.052,3129.0,157276.0,242011.0,5441.397,1100296.568465
2614,CN,CN,ELEC1,CERAM,7007.73,155040480766.437,7,7,155040441755.365,240.0,6861.0,26601.0,5309.072,22124208.661926
9787,CN,CN,TRANS,TRANS,121073.92,138331836754.277,7,7,138330994737.839,4918.0,112603.0,720539.0,3956.438,1142540.332008
3725,CN,CN,FABRI,CONST,86121.57,138246325159.025,7,7,138245930854.496,3604.0,108303.0,276826.0,5571.529,1605246.225296
2111,CN,CN,CRUDE,MOTOR,82371.12,132623890723.849,7,7,132623670792.926,2094.0,47230.0,166973.0,3633.923,1610077.545672
7531,CN,CN,PFERT,VEGET,116412.35,121598043808.732,7,7,121597822276.151,3925.0,84659.0,130341.0,2607.581,1044545.90779
174,CN,CN,ALUM1,ALUM1,45182.58,120266560363.651,7,7,120265667688.141,1352.0,36010.0,851507.0,3806.51,2661790.459147
2689,CN,CN,ELEC1,PUBLI,5319.18,117682538434.064,7,7,117682508823.245,182.0,5208.0,20191.0,4029.819,22124188.020346
9867,CN,CN,VEGET,FOOD5,265774.51,117525813701.923,7,7,117525242042.919,32458.0,325034.0,211270.0,2897.004,442201.224271
9004,CN,CN,SEACO,CONST,127390.49,116529030701.338,7,7,116528926546.428,4405.0,58554.0,40128.0,1067.91,914738.852966
2625,CN,CN,ELEC1,CRUDE,5181.5,114636531752.345,7,7,114636502907.831,178.0,5073.0,19668.0,3925.514,22124197.964363
1592,CN,CN,COKEO,BASIC,83036.73,113328353938.856,7,7,113328208458.789,1589.0,76587.0,66097.0,1207.067,1364797.89051
190,CN,CN,ALUM1,FABRI,41521.64,110521902078.838,7,7,110521081731.752,1243.0,33092.0,782514.0,3498.086,2661790.383974
2675,CN,CN,ELEC1,PAPER,4835.6,106983731614.592,7,7,106983704696.133,166.0,4734.0,18355.0,3663.459,22124189.679583
925,CN,CN,BITUM,ELEC1,187458.46,99817824950.832,7,7,99817458210.698,3446.0,212311.0,148261.0,2722.134,532479.702174
9458,CN,CN,TEXTI,WEARI,229060.26,99641308999.623,7,7,99640744528.398,14385.0,379590.0,165830.0,4666.225,435000.418665
4450,CN,CN,FURNI,FURNI,109798.26,98396890370.196,7,7,98396312170.581,3364.0,396938.0,175084.0,2813.615,896160.743988
8847,CN,CN,RUBBE,CHEM1,60821.09,97847914812.272,7,7,97847685185.91,3361.0,132120.0,90846.0,3299.362,1608782.657665
7552,CN,CN,PIGS9,MEATP,136213.44,95849064079.433,7,7,95848393833.447,12395.0,512233.0,141590.0,4027.986,703668.184868
2672,CN,CN,ELEC1,OFFIC,4285.57,94814865859.193,7,7,94814842001.435,147.0,4196.0,16268.0,3246.758,22124213.549001
3745,CN,CN,FABRI,ELECT,58302.87,93590452601.713,7,7,93590185663.881,2440.0,73320.0,187406.0,3771.832,1605246.064245
3642,CN,CN,ELECT,MOTO1,76365.87,93564392813.594,7,7,93564094149.162,3163.0,69517.0,223136.0,2848.432,1225212.163675
189,CN,CN,ALUM1,ELECT,34124.59,90832504661.598,7,7,90831830459.694,1021.0,27197.0,643109.0,2874.904,2661790.358847
2708,CN,CN,ELEC1,TEXTI,4088.7,90459242358.617,7,7,90459219598.009,140.0,4003.0,15520.0,3097.608,22124206.314627
6841,CN,CN,NONME,CERAM,38033.0,90269653459.712,7,7,90269516180.791,799.0,32925.0,101177.0,2377.921,2373456.037118
6464,CN,CN,MOTOR,LANDT,76220.04,88601120752.079,7,7,88601007947.361,1582.0,25240.0,82532.0,3450.718,1162438.654612
1236,CN,CN,CERAM,CERAM,50293.79,86842112128.698,7,7,86841849528.949,1386.0,105794.0,152834.0,2585.749,1726696.519167
1276,CN,CN,CEREA,FOOD5,103103.75,85951283014.0,7,7,85950811145.716,8777.0,337628.0,123755.0,1708.284,833638.766912
2613,CN,CN,ELEC1,CEMEN,3858.59,85368357017.467,7,7,85368335537.187,132.0,3778.0,14647.0,2923.28,22124236.318828
2099,CN,CN,CRUDE,GASDI,52751.53,84934062614.265,7,7,84933921767.054,1341.0,30247.0,106932.0,2327.211,1610077.709865
137,CN,CN,AIRTR,CONST,56440.45,84161436995.708,7,7,84161344788.946,2320.0,23475.0,65049.0,1362.762,1491154.606239
6826,CN,CN,NONME,ALUM1,34459.89,81789027254.645,7,7,81788902873.124,724.0,29832.0,91671.0,2154.521,2373455.842565
9681,CN,CN,TRAN1,TRAN1,5034.47,78577730736.576,7,7,78577653333.884,162.0,3964.0,70479.0,2797.692,15607944.97466
4206,CN,CN,FOOD5,PIGS9,122879.7,78264809406.594,7,7,78264224556.588,11571.0,447842.0,122372.0,3065.006,636922.204454
2698,CN,CN,ELEC1,RESEA,3512.22,77705048050.848,7,7,77705028498.983,120.0,3439.0,13332.0,2660.865,22124197.245858
1917,CN,CN,CONST,CONST,78276.85,77172987596.895,7,7,77172791138.995,3340.0,59050.0,132109.0,1958.9,985897.971072
2661,CN,CN,ELEC1,MOTO1,3404.2,75315295838.084,7,7,75315276887.052,117.0,3333.0,12922.0,2579.032,22124227.671137
9446,CN,CN,TEXTI,RESEA,168774.68,73417055593.473,7,7,73416639683.336,10599.0,279687.0,122186.0,3438.137,435000.41353
8861,CN,CN,RUBBE,ELECT,44031.06,70836414437.335,7,7,70836248199.782,2433.0,95648.0,65768.0,2388.553,1608782.855496
8862,CN,CN,RUBBE,FABRI,43429.92,69869311404.613,7,7,69869147436.67,2400.0,94342.0,64870.0,2355.943,1608782.871454
7782,CN,CN,POULT,MEAT1,105218.49,69180680928.273,7,7,69180251295.409,14673.0,324577.0,87768.0,2614.864,657495.473735
6897,CN,CN,NONME,NONME,29134.98,69150590591.639,7,7,69150485430.045,612.0,25222.0,77506.0,1821.594,2373455.914219
2621,CN,CN,ELEC1,CONST,2964.88,65595585225.926,7,7,65595568720.727,102.0,2903.0,11254.0,2246.199,22124195.659159
566,CN,CN,BASIC,TRANS,28839.92,65039126248.211,7,7,65039056975.702,847.0,16905.0,50267.0,1253.509,2255177.068737
8869,CN,CN,RUBBE,FURNI,39959.62,64286351506.975,7,7,64286200641.285,2208.0,86804.0,59686.0,2167.69,1608782.853965
5580,CN,CN,KEROS,PUBLI,54619.3,63491583351.269,7,7,63491502515.484,1134.0,18087.0,59142.0,2472.785,1162438.613297
2638,CN,CN,ELEC1,GLASS,2759.03,61041246842.858,7,7,61041231483.614,95.0,2701.0,10473.0,2090.244,22124169.306915
9671,CN,CN,TRAN1,RUBBE,3901.84,60899735213.199,7,7,60899675223.917,126.0,3072.0,54623.0,2168.282,15607952.969163
8699,CN,CN,RESEA,MOTO1,113434.4,60460508862.116,7,7,60460115132.432,6644.0,239302.0,145393.0,2390.684,532999.767814
5129,CN,CN,HOTEL,PUBLI,174501.59,56292877843.24,7,7,56292210431.715,15647.0,518639.0,130945.0,2180.525,322592.34912
3716,CN,CN,FABRI,CERAM,34881.74,55993783415.708,7,7,55993623710.077,1460.0,43866.0,112123.0,2256.631,1605246.281169
2104,CN,CN,CRUDE,KEROS,34427.0,55430138100.21,7,7,55430046180.412,875.0,19740.0,69786.0,1518.798,1610077.500224
9639,CN,CN,TRAN1,NONME,3506.45,54728479236.128,7,7,54728425325.568,113.0,2761.0,49088.0,1948.56,15607945.139993
6539,CN,CN,NAPHT,PLAST,46789.52,54389948008.594,7,7,54389878761.287,971.0,15494.0,50664.0,2118.307,1162438.683034
2301,CN,CN,DISTR,CRUDE,3480.15,53876864491.77,7,7,53876810531.242,111.0,2722.0,49220.0,1907.528,15481190.319891
5770,CN,CN,LEATH,LEATH,83063.16,53623090210.871,7,7,53622823914.458,6169.0,189430.0,68446.0,2251.413,645570.072351
510,CN,CN,BASIC,FOUND,23516.19,53033174156.317,7,7,53033117672.201,690.0,13784.0,40988.0,1022.116,2255177.142059
2641,CN,CN,ELEC1,HOTEL,2350.15,51995164125.362,7,7,51995151041.885,81.0,2301.0,8921.0,1780.477,22124189.57316
7470,CN,CN,PFERT,CEREA,49748.62,51964716920.104,7,7,51964622248.759,1677.0,36179.0,55701.0,1114.345,1044545.897356
