trade_id,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_intensity
2773827,GB,GB,MACHI,NATUR,117.9,73.0,1.0,1.0,73.0,0.619169
2774339,GB,GB,RADIO,LANDT,253.69,73.0,1.0,1.0,73.0,0.287753
2771998,GB,GB,PLAST,HOTEL,166.63,73.0,1.0,1.0,73.0,0.438096
2777385,GB,GB,HOTEL,RECRE,669.48,73.0,1.0,1.0,73.0,0.10904
2773849,GB,GB,MACHI,WOODW,115.59,72.0,1.0,1.0,72.0,0.622891
2776982,GB,GB,WHOLE,WOODW,573.17,72.0,1.0,1.0,72.0,0.125617
2778317,GB,GB,FINAN,FOOD5,1207.9,72.0,1.0,1.0,72.0,0.059608
2771942,GB,GB,PLAST,PRINT,165.38,72.0,1.0,1.0,72.0,0.435361
2773629,GB,GB,FOUND,WHOLE,31.89,72.0,1.0,1.0,72.0,2.257761
2773051,GB,GB,NONME,FOOD4,5.14,72.0,1.0,1.0,72.0,14.007782
2770830,GB,GB,PAPER,CONST,264.61,72.0,1.0,1.0,72.0,0.272099
2774643,GB,GB,FURNI,REALE,126.28,72.0,1.0,1.0,72.0,0.570162
2772657,GB,GB,GLASS,TRANS,33.77,71.0,1.0,1.0,71.0,2.102458
2776681,GB,GB,CONST,FOOD4,46.59,71.0,1.0,1.0,71.0,1.523932
2769243,GB,GB,STONE,PAPE4,0.1,71.0,1.0,1.0,71.0,710.0
2771983,GB,GB,PLAST,MACHI,163.57,71.0,1.0,1.0,71.0,0.434065
2773904,GB,GB,MACHI,ELEC5,112.31,70.0,1.0,1.0,70.0,0.623275
2774623,GB,GB,FURNI,DISTR,122.76,70.0,1.0,1.0,70.0,0.570218
2772515,GB,GB,RUBBE,WOODW,127.97,70.0,1.0,1.0,70.0,0.547003
2776628,GB,GB,CONST,ELEC2,45.84,70.0,1.0,1.0,70.0,1.527051
2773843,GB,GB,MACHI,BEVER,113.16,70.0,1.0,1.0,70.0,0.618593
2774456,GB,GB,MOTO1,RENTI,188.94,70.0,1.0,1.0,70.0,0.370488
2770874,GB,GB,PAPER,RECRE,255.13,70.0,1.0,1.0,70.0,0.27437
2778373,GB,GB,FINAN,TRANS,1181.5,70.0,1.0,1.0,70.0,0.059247
2769327,GB,GB,CHEMI,RUBBE,3.94,70.0,1.0,1.0,70.0,17.766497
2774638,GB,GB,FURNI,SUPPO,122.96,70.0,1.0,1.0,70.0,0.569291
2769271,GB,GB,SANDC,FURNI,0.07,69.0,1.0,1.0,69.0,985.714286
2769185,GB,GB,STONE,SANDC,0.1,69.0,1.0,1.0,69.0,690.0
2775962,GB,GB,DISTR,EDUCA,385.34,69.0,1.0,1.0,69.0,0.179063
2774325,GB,GB,RADIO,DISTR,239.43,69.0,1.0,1.0,69.0,0.288184
2768436,GB,GB,SUGAR,WHOLE,237.4,69.0,1.0,1.0,69.0,0.290649
2772099,GB,GB,PFERT,VEGET,108.02,69.0,1.0,1.0,69.0,0.638771
2774627,GB,GB,FURNI,SALEM,122.47,69.0,1.0,1.0,69.0,0.563403
2768377,GB,GB,OILSE,FOOD5,361.07,69.0,1.0,1.0,69.0,0.191099
2769238,GB,GB,STONE,SEWAG,0.09,68.0,1.0,1.0,68.0,755.555556
2773054,GB,GB,NONME,INERT,4.87,68.0,1.0,1.0,68.0,13.963039
2779113,GB,GB,COMPU,FURNI,687.89,68.0,1.0,1.0,68.0,0.098853
2772136,GB,GB,CHEM1,VEGET,134.64,68.0,1.0,1.0,68.0,0.505051
2776684,GB,GB,CONST,INERT,44.1,67.0,1.0,1.0,67.0,1.519274
2779323,GB,GB,BUSIN,OFFIC,590.63,67.0,1.0,1.0,67.0,0.113438
2776485,GB,GB,COLLE,COLLE,816.15,67.0,1.0,1.0,67.0,0.082093
2772565,GB,GB,RUBBE,SUPPO,122.08,67.0,1.0,1.0,67.0,0.54882
2770103,GB,GB,BEVER,FOOD5,319.42,66.0,1.0,1.0,66.0,0.206625
2768162,GB,GB,WHEAT,BEVER,203.94,66.0,1.0,1.0,66.0,0.323625
