trade_id,region1,region2,industry1,industry2,amount,total_employment_value,employment_count
77564,WM,JP,CRUDE,GASDI,26923.83,0,0
77570,WM,JP,CRUDE,MOTOR,17549.65,0,0
1653,AU,JP,BITUM,ELEC1,16536.65,0,0
71340,WA,JP,SEACO,LANDT,9626.57,0,0
77566,WM,JP,CRUDE,KERO1,8893.03,0,0
77565,WM,JP,CRUDE,HEAVY,8546.02,0,0
64867,US,JP,BUSIN,CONST,7754.9,0,0
1639,AU,JP,BITUM,BASIC,7414.65,0,0
77567,WM,JP,CRUDE,KEROS,7195.65,0,0
68981,WA,JP,FABRI,CONST,6971.11,0,0
71749,WA,JP,WOODW,CONST,6367.96,0,0
70159,WA,JP,MOTO1,MOTO1,5904.62,0,0
77571,WM,JP,CRUDE,NAPHT,5804.45,0,0
64458,TW,JP,WHOLE,WHOLE,5622.09,0,0
13901,CN,JP,FABRI,CONST,4877.79,0,0
64998,US,JP,CEREA,FOOD5,4823.68,0,0
68294,WA,JP,BUSIN,CONST,4481.69,0,0
77568,WM,JP,CRUDE,LIQUE,4075.01,0,0
1671,AU,JP,BITUM,NONME,3975.18,0,0
19033,DE,JP,MOTO1,MOTO1,3824.66,0,0
65081,US,JP,CHEM1,PLAST,3683.59,0,0
71734,WA,JP,WHOLE,WHOLE,3496.47,0,0
13447,CN,JP,CHEM1,PLAST,3475.08,0,0
13832,CN,JP,ELECT,MOTO1,3448.65,0,0
14161,CN,JP,FURNI,FURNI,3401.7,0,0
65049,US,JP,CHEM1,HEALT,3232.29,0,0
15845,CN,JP,TEXTI,WEARI,3215.07,0,0
42579,KR,JP,BASIC,BASIC,3094.96,0,0
1676,AU,JP,BITUM,PLAST,3068.94,0,0
13415,CN,JP,CHEM1,HEALT,3049.33,0,0
71376,WA,JP,SEACO,SEACO,3022.15,0,0
14738,CN,JP,MOTO1,MOTO1,2788.24,0,0
67678,US,JP,TRANS,PUBLI,2315.25,0,0
15840,CN,JP,TEXTI,TEXTI,2239.63,0,0
67794,US,JP,WHOLE,WHOLE,2212.32,0,0
34089,ID,JP,BITUM,ELEC1,1909.4,0,0
69790,WA,JP,LANDT,SANDC,1860.5,0,0
10018,CA,JP,OILSE,FOOD5,1797.91,0,0
28570,FR,JP,TRANS,PUBLI,1789.84,0,0
70002,WA,JP,MEAT4,HOTEL,1719.24,0,0
66778,US,JP,PLAST,RUBBE,1702.98,0,0
66592,US,JP,OILSE,FOOD5,1678.39,0,0
15641,CN,JP,RUBBE,MOTO1,1648.57,0,0
16011,CN,JP,WOODW,CONST,1648.22,0,0
37850,IE,JP,WHOLE,WHOLE,1628.87,0,0
64866,US,JP,BUSIN,COMPU,1560.84,0,0
69269,WA,JP,FURNI,FURNI,1560.49,0,0
65538,US,JP,FINAN,FINAN,1554.89,0,0
21360,DK,JP,SEACO,LANDT,1544.45,0,0
66426,US,JP,MOTO1,MOTO1,1485.12,0,0
71241,WA,JP,RUBBE,MOTO1,1479.26,0,0
68162,WA,JP,BASIC,BASIC,1419.67,0,0
70529,WA,JP,PLAST,RUBBE,1359.79,0,0
78006,WM,JP,GASDI,LANDT,1346.96,0,0
71626,WA,JP,VEGET,FOOD5,1321.82,0,0
12875,CH,JP,WHOLE,WHOLE,1320.04,0,0
65582,US,JP,FINAN,REALE,1286.46,0,0
42590,KR,JP,BASIC,FABRI,1261.66,0,0
43171,KR,JP,FABRI,CONST,1232.85,0,0
14873,CN,JP,OFFIC,OFFIC,1229.89,0,0
68410,WA,JP,CERAM,CONST,1201.18,0,0
71450,WA,JP,SUPPO,LANDT,1189.13,0,0
67779,US,JP,WHEAT,FOOD5,1182.01,0,0
70014,WA,JP,MEAT4,WEARI,1173.11,0,0
15671,CN,JP,RUBBE,RUBBE,1170.91,0,0
66335,US,JP,MEATC,HOTEL,1156.43,0,0
64858,US,JP,BUSIN,BUSIN,1151.82,0,0
30812,GB,JP,SEACO,LANDT,1140.92,0,0
13490,CN,JP,COKEO,BASIC,1120.81,0,0
44847,KR,JP,SEACO,LANDT,1117.81,0,0
14197,CN,JP,FURNI,RETA1,1099.16,0,0
64886,US,JP,BUSIN,FINAN,1092.88,0,0
15860,CN,JP,TRANS,PUBLI,1083.91,0,0
71554,WA,JP,TEXTI,WEARI,1083.45,0,0
15079,CN,JP,PLAST,RUBBE,1073.45,0,0
14196,CN,JP,FURNI,RESEA,1072.94,0,0
71270,WA,JP,RUBBE,RUBBE,1050.66,0,0
15240,CN,JP,PRIVA,NONFE,1046.47,0,0
36378,IE,JP,CHEM1,PLAST,1019.68,0,0
67474,US,JP,SEACO,LANDT,1010.35,0,0
35995,ID,JP,WOODW,CONST,989.26,0,0
14066,CN,JP,FOOD5,FOOD5,989.2,0,0
67954,WA,JP,AIRTR,EDUCA,985.07,0,0
29830,GB,JP,INSUR,LANDT,976.02,0,0
29025,GB,JP,BUSIN,CONST,974.05,0,0
13097,CN,JP,BASIC,BASIC,970.86,0,0
29569,GB,JP,FINAN,FINAN,962.85,0,0
65950,US,JP,INSUR,LANDT,962.66,0,0
44409,KR,JP,PRIVA,NONFE,961.49,0,0
69995,WA,JP,MEAT4,EDUCA,960.92,0,0
78691,WM,JP,NATU1,GASDI,955.54,0,0
15296,CN,JP,RADIO,OFFIC,954.86,0,0
68785,WA,JP,CRUDE,GASDI,950.47,0,0
44246,KR,JP,PLAST,RUBBE,949.9,0,0
68997,WA,JP,FABRI,FABRI,947.67,0,0
14055,CN,JP,FOOD5,BEVER,942.63,0,0
13862,CN,JP,ELECT,RESEA,934.97,0,0
78623,WM,JP,MOTO1,MOTO1,931.84,0,0
13787,CN,JP,ELECT,CONST,927.19,0,0
78323,WM,JP,KEROS,AIRTR,921.0,0,0
65095,US,JP,CHEM1,RESEA,919.91,0,0
69998,WA,JP,MEAT4,FOOD5,902.86,0,0
68293,WA,JP,BUSIN,COMPU,902.03,0,0
36349,IE,JP,CHEM1,HEALT,894.75,0,0
13461,CN,JP,CHEM1,RESEA,867.84,0,0
68003,WA,JP,AIRTR,POSTT,864.13,0,0
43504,KR,JP,GASDI,LANDT,862.72,0,0
14144,CN,JP,FURNI,EDUCA,860.84,0,0
34078,ID,JP,BITUM,BASIC,856.13,0,0
64898,US,JP,BUSIN,INSUR,840.54,0,0
3923,AU,JP,WOODW,CONST,838.71,0,0
64817,US,JP,BITUM,ELEC1,829.31,0,0
57154,RU,JP,BITUM,ELEC1,825.44,0,0
