trade_id,region1,region2,industry1,industry2,amount,total_materials_value,materials_count
48988,CA,US,CRUDE,MOTOR,19603.99,0,0
48959,CA,US,CRUDE,GASDI,13147.22,0,0
52088,CA,US,MOTO1,MOTO1,5976.77,0,0
48928,CA,US,CRUDE,CHEM1,5784.16,0,0
48938,CA,US,CRUDE,CRUDE,4580.12,0,0
50316,CA,US,FOOD5,FOOD5,3172.87,0,0
55197,CA,US,WOODW,WOODW,2938.49,0,0
53415,CA,US,PRIVA,FOOD3,2883.84,0,0
47550,CA,US,ALUM1,ALUM1,2661.05,0,0
53097,CA,US,PFERT,PFERT,2567.52,0,0
48976,CA,US,CRUDE,LIQUE,2542.05,0,0
48971,CA,US,CRUDE,KEROS,2449.16,0,0
52360,CA,US,NATUR,CRUDE,2393.52,0,0
48991,CA,US,CRUDE,NATUR,2254.41,0,0
52958,CA,US,PAPER,PAPER,2153.71,0,0
51202,CA,US,INSUR,INSUR,2132.22,0,0
55099,CA,US,WOODW,CONST,1912.24,0,0
49984,CA,US,FABRI,CONST,1862.73,0,0
54222,CA,US,RUBBE,MOTO1,1778.28,0,0
9226,CA,CN,WHEAT,PIGS9,1693.49,0,0
30716,CA,JP,PRIVA,BUSIN,1599.45,0,0
48831,CA,US,COPP1,COPP1,1578.4,0,0
47814,CA,US,BASIC,FABRI,1539.77,0,0
47574,CA,US,ALUM1,FABRI,1517.15,0,0
54164,CA,US,RUBBE,CONST,1467.74,0,0
47783,CA,US,BASIC,BASIC,1415.95,0,0
54823,CA,US,TRANS,TRANS,1344.21,0,0
52265,CA,US,MOTOR,PUBLI,1252.14,0,0
49032,CA,US,CRUDE,RUBBE,1240.35,0,0
48270,CA,US,CATTL,MEATC,1178.07,0,0
48116,CA,US,BUSIN,BUSIN,1136.94,0,0
47597,CA,US,ALUM1,MOTO1,1109.14,0,0
51454,CA,US,LEAD1,BASIC,1082.73,0,0
49006,CA,US,CRUDE,PFERT,1044.13,0,0
55155,CA,US,WOODW,PAPER,1037.06,0,0
51278,CA,US,KEROS,AIRTR,1036.58,0,0
52912,CA,US,PAPER,FOOD5,1008.21,0,0
48990,CA,US,CRUDE,NATU1,1006.03,0,0
47842,CA,US,BASIC,MACHI,1004.05,0,0
50653,CA,US,GASDI,PUBLI,942.82,0,0
53007,CA,US,PAPER,WOODW,926.32,0,0
8683,CA,CN,PULP5,PAPER,898.39,0,0
50041,CA,US,FABRI,MOTO1,886.49,0,0
47849,CA,US,BASIC,MOTO1,883.77,0,0
48935,CA,US,CRUDE,CONST,881.37,0,0
58493,CA,WA,OILSE,VEGE1,861.83,0,0
48163,CA,US,BUSIN,HEALT,858.5,0,0
50256,CA,US,FISHF,FISH5,847.62,0,0
49029,CA,US,CRUDE,RESEA,766.11,0,0
67312,CA,WL,WHEAT,FOOD5,707.85,0,0
18283,CA,FR,HOTEL,BUSIN,686.75,0,0
7775,CA,CN,MEATP,MEATP,682.83,0,0
50287,CA,US,FOOD5,BEVER,659.41,0,0
48292,CA,US,CEMEN,CONST,655.12,0,0
30408,CA,JP,OILSE,FOOD5,641.56,0,0
49038,CA,US,CRUDE,STEAM,632.3,0,0
52434,CA,US,NATUR,PUBLI,631.56,0,0
9340,CA,CN,WOODW,WOODW,621.34,0,0
50582,CA,US,GASDI,EDUCA,612.54,0,0
49011,CA,US,CRUDE,PLAST,606.09,0,0
6603,CA,CN,CEREA,FOOD5,603.06,0,0
50107,CA,US,FABRI,WOODW,602.32,0,0
52129,CA,US,MOTO1,SALEM,587.22,0,0
55121,CA,US,WOODW,FURNI,580.38,0,0
52855,CA,US,OILSE,OILSE,575.87,0,0
52589,CA,US,NONME,CONST,571.02,0,0
9091,CA,CN,VEGET,FOOD5,570.85,0,0
35910,CA,MX,OILSE,FOOD5,559.27,0,0
8701,CA,CN,PULP5,WOODW,535.3,0,0
48222,CA,US,BUSIN,REALE,531.41,0,0
53555,CA,US,PULP5,PAPER,531.03,0,0
48545,CA,US,CHEM1,RESEA,530.54,0,0
54046,CA,US,RESEA,PUBLI,528.5,0,0
54252,CA,US,RUBBE,PUBLI,526.91,0,0
48599,CA,US,COMPU,BUSIN,519.01,0,0
53748,CA,US,RAILW,RETAI,509.13,0,0
50321,CA,US,FOOD5,HOTEL,509.12,0,0
30462,CA,JP,OILSE,VEGE1,498.92,0,0
53634,CA,US,RADIO,MOTO1,495.36,0,0
48255,CA,US,BUSIN,WHOLE,481.61,0,0
51834,CA,US,MEATP,MEATP,479.4,0,0
48150,CA,US,BUSIN,FINAN,460.22,0,0
47582,CA,US,ALUM1,FOUND,456.47,0,0
48698,CA,US,COMPU,PUBLI,456.04,0,0
48050,CA,US,BITU1,ELEC1,454.49,0,0
50137,CA,US,FINAN,FINAN,451.14,0,0
54720,CA,US,TEXTI,RETA1,437.21,0,0
5337,CA,BR,PFERT,PFERT,436.39,0,0
53044,CA,US,PFERT,CEREA,427.7,0,0
48529,CA,US,CHEM1,PLAST,425.46,0,0
8663,CA,CN,PULP5,FURNI,424.2,0,0
24199,CA,ID,WHEAT,FOOD5,411.92,0,0
48918,CA,US,CRUDE,BIOGA,410.28,0,0
54755,CA,US,TRAN2,MOTO1,409.48,0,0
48127,CA,US,BUSIN,CONST,394.36,0,0
52080,CA,US,MOTO1,MACHI,392.23,0,0
48228,CA,US,BUSIN,RETA1,386.04,0,0
54809,CA,US,TRANS,PUBLI,378.94,0,0
47552,CA,US,ALUM1,BEVER,378.11,0,0
47800,CA,US,BASIC,CONST,377.06,0,0
31557,CA,JP,WHEAT,FOOD5,376.81,0,0
8286,CA,CN,OILSE,PLAST,376.36,0,0
48227,CA,US,BUSIN,RESEA,376.03,0,0
48400,CA,US,CEREA,CEREA,374.04,0,0
53004,CA,US,PAPER,WHOLE,369.09,0,0
48126,CA,US,BUSIN,COMPU,361.57,0,0
53108,CA,US,PFERT,RESEA,347.22,0,0
52936,CA,US,PAPER,MEAT1,346.7,0,0
25040,CA,IE,PRIVA,COMPU,346.53,0,0
53137,CA,US,PIGS9,MEATP,345.85,0,0
8279,CA,CN,OILSE,OILSE,343.99,0,0
49055,CA,US,CRUDE,WHOLE,339.64,0,0
5334,CA,BR,PFERT,OILSE,335.07,0,0
47803,CA,US,BASIC,CRUDE,329.28,0,0
53503,CA,US,PUBLI,OFFIC,326.49,0,0
8504,CA,CN,PFERT,VEGET,326.37,0,0
12686,CA,DE,SEACO,SEACO,324.42,0,0
6607,CA,CN,CEREA,POULT,320.75,0,0
48484,CA,US,CHEM1,HEALT,318.93,0,0
49890,CA,US,ELECT,MACHI,314.21,0,0
48217,CA,US,BUSIN,PUBLI,313.67,0,0
7269,CA,CN,FOOD5,POULT,310.91,0,0
48411,CA,US,CEREA,FOOD5,308.19,0,0
53777,CA,US,REALE,CEREA,305.59,0,0
48448,CA,US,CHEM1,CHEM1,304.71,0,0
54197,CA,US,RUBBE,HEALT,299.27,0,0
54264,CA,US,RUBBE,RUBBE,296.94,0,0
48646,CA,US,COMPU,HEALT,295.6,0,0
10954,CA,DE,COPP1,COPP1,295.21,0,0
47593,CA,US,ALUM1,MACHI,288.26,0,0
7939,CA,CN,MOTO1,MOTO1,287.9,0,0
49005,CA,US,CRUDE,PETRO,284.28,0,0
26182,CA,IN,PFERT,PFERT,282.34,0,0
52117,CA,US,MOTO1,PUBLI,280.34,0,0
55106,CA,US,WOODW,EDUCA,280.02,0,0
52185,CA,US,MOTOR,EDUCA,278.7,0,0
7200,CA,CN,FISHF,FISH5,278.41,0,0
49548,CA,US,ELEC4,REALE,276.75,0,0
52023,CA,US,MOTO1,BUSIN,274.87,0,0
18801,CA,FR,OILSE,FOOD5,270.42,0,0
48989,CA,US,CRUDE,NAPHT,269.41,0,0
52546,CA,US,NONF1,MOTO1,266.56,0,0
8303,CA,CN,OILSE,TEXTI,265.46,0,0
48286,CA,US,CEMEN,CEMEN,264.88,0,0
8687,CA,CN,PULP5,PLAST,253.9,0,0
7367,CA,CN,FORES,WOODW,250.89,0,0
48841,CA,US,COPP1,FABRI,247.87,0,0
52214,CA,US,MOTOR,HEALT,246.93,0,0
48651,CA,US,COMPU,INSUR,246.86,0,0
48168,CA,US,BUSIN,INSUR,246.85,0,0
50923,CA,US,HEAVY,PUBLI,243.08,0,0
55167,CA,US,WOODW,PULP5,242.58,0,0
67277,CA,WL,WHEAT,CATTL,240.7,0,0
51779,CA,US,MEATC,MEATC,235.22,0,0
54291,CA,US,RUBBE,WOODW,233.22,0,0
52366,CA,US,NATUR,ELEC2,233.12,0,0
52126,CA,US,MOTO1,RETA1,230.5,0,0
55143,CA,US,WOODW,MOTO1,226.52,0,0
48919,CA,US,CRUDE,BITU1,225.31,0,0
53105,CA,US,PFERT,REALE,215.7,0,0
60244,CA,WA,TRANS,PRIVA,212.84,0,0
52125,CA,US,MOTO1,RESEA,210.12,0,0
20996,CA,GB,HOTEL,BUSIN,208.69,0,0
48958,CA,US,CRUDE,FURNI,208.31,0,0
21575,CA,GB,PUBLI,ELEC2,205.97,0,0
48735,CA,US,COMPU,WHOLE,204.84,0,0
50003,CA,US,FABRI,FABRI,204.33,0,0
30110,CA,JP,MEATP,HOTEL,204.05,0,0
39801,CA,NO,NONF1,NONF1,203.34,0,0
8978,CA,CN,TRANS,TRANS,202.86,0,0
54872,CA,US,VEGET,FOOD5,201.85,0,0
50606,CA,US,GASDI,HEALT,201.33,0,0
48947,CA,US,CRUDE,ETHAN,201.25,0,0
36783,CA,NL,ALUM1,WHOLE,199.79,0,0
50350,CA,US,FOOD5,PUBLI,198.43,0,0
50301,CA,US,FOOD5,DAIRY,195.89,0,0
50221,CA,US,FISH5,HOTEL,195.61,0,0
39762,CA,NO,NONF1,ALUM1,193.28,0,0
53561,CA,US,PULP5,WOODW,193.13,0,0
47357,CA,TR,VEGET,FOOD5,189.51,0,0
48609,CA,US,COMPU,COMPU,189.48,0,0
51323,CA,US,LANDT,CONST,189.3,0,0
27035,CA,IT,CRUDE,GASDI,188.36,0,0
54261,CA,US,RUBBE,RESEA,187.93,0,0
51383,CA,US,LANDT,MOTOR,186.93,0,0
51596,CA,US,LIQUE,ELEC3,186.83,0,0
8077,CA,CN,NONF1,NONF1,186.15,0,0
52424,CA,US,NATUR,PFERT,185.67,0,0
52383,CA,US,NATUR,GASDI,185.13,0,0
50455,CA,US,FURNI,CONST,184.37,0,0
38257,CA,NL,OILSE,FOOD5,184.01,0,0
47632,CA,US,ALUM1,TRANS,182.54,0,0
49068,CA,US,DAIRY,DAIRY,182.14,0,0
52895,CA,US,PAPER,EDUCA,178.21,0,0
51492,CA,US,LEAD1,MOTO1,177.48,0,0
52151,CA,US,MOTO1,WHOLE,177.3,0,0
48840,CA,US,COPP1,ELECT,177.13,0,0
52892,CA,US,PAPER,DAIRY,175.82,0,0
8306,CA,CN,OILSE,VEGE1,175.03,0,0
54954,CA,US,WHEAT,WHEAT,174.43,0,0
31800,CA,JP,WOODW,WOODW,172.04,0,0
54938,CA,US,WHEAT,FOOD5,171.49,0,0
48046,CA,US,BITU1,CONST,170.79,0,0
53956,CA,US,RESEA,CHEM1,167.76,0,0
54288,CA,US,RUBBE,WHOLE,167.2,0,0
20535,CA,GB,CRUDE,KEROS,166.99,0,0
27374,CA,IT,HOTEL,FABRI,165.44,0,0
6839,CA,CN,CRUDE,MOTOR,165.23,0,0
39796,CA,NO,NONF1,MOTO1,163.91,0,0
58676,CA,WA,PFERT,VEGET,163.29,0,0
59018,CA,WA,PRIVA,MEATC,162.98,0,0
49898,CA,US,ELECT,MOTO1,161.9,0,0
48633,CA,US,COMPU,FINAN,161.88,0,0
53696,CA,US,RADIO,WHOLE,161.51,0,0
13894,CA,DK,SEACO,SEACO,161.37,0,0
6702,CA,CN,CHEM1,PLAST,160.23,0,0
69095,CA,WM,OILSE,EDUCA,158.48,0,0
36564,CA,MX,WHEAT,FOOD5,157.98,0,0
52339,CA,US,NATUR,BASIC,156.81,0,0
50070,CA,US,FABRI,PUBLI,155.97,0,0
51676,CA,US,LIQUE,TRAN1,154.37,0,0
27041,CA,IT,CRUDE,MOTOR,151.51,0,0
