trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,material,impact_intensity
49928,KR,JP,RUBBE,MOTO1,364.41,168.0,1.0,1.0,168.0,0.461019
17127,KR,CN,PLAST,MOTO1,394.87,167.0,1.0,1.0,167.0,0.422924
14874,KR,CN,CHEMI,HEALT,6.33,167.0,1.0,1.0,167.0,26.382306
16819,KR,CN,NONME,NONME,54.0,167.0,1.0,1.0,167.0,3.092593
17131,KR,CN,PLAST,OFFIC,391.99,166.0,1.0,1.0,166.0,0.42348
75754,KR,TW,CONST,REALE,77.91,166.0,1.0,1.0,166.0,2.130664
83097,KR,WA,GASDI,PIGS9,405.44,165.0,1.0,1.0,165.0,0.406965
82145,KR,WA,COPP1,PFERT,69.18,163.0,1.0,1.0,163.0,2.356172
79331,KR,US,OFFIC,HEALT,372.81,163.0,1.0,1.0,163.0,0.43722
98000,KR,WM,BASIC,MOTO1,186.27,162.0,1.0,1.0,162.0,0.869705
14818,KR,CN,CHEM1,POULT,511.74,162.0,1.0,1.0,162.0,0.316567
17204,KR,CN,PREC1,ELECT,22.53,160.0,1.0,1.0,160.0,7.101642
85354,KR,WA,PFERT,PADDY,181.46,160.0,1.0,1.0,160.0,0.881737
14338,KR,CN,ALUM1,ELECT,289.9,158.0,1.0,1.0,158.0,0.545016
66110,KR,RU,MOTO1,LANDT,438.51,158.0,1.0,1.0,158.0,0.360311
22498,KR,DE,PREC1,FOUND,22.23,158.0,1.0,1.0,158.0,7.107512
81082,KR,WA,BASIC,NATUR,180.98,158.0,1.0,1.0,158.0,0.873025
85701,KR,WA,PREC1,REALE,21.99,157.0,1.0,1.0,157.0,7.139609
94109,KR,WL,CEMEN,FISH5,11.29,157.0,1.0,1.0,157.0,13.906112
10397,KR,CA,BASIC,CONST,180.18,157.0,1.0,1.0,157.0,0.871351
17664,KR,CN,RUBBE,FABRI,339.22,156.0,1.0,1.0,156.0,0.459879
17760,KR,CN,SANDC,GLASS,2.11,156.0,1.0,1.0,156.0,73.933649
79369,KR,US,OFFIC,POSTT,358.08,156.0,1.0,1.0,156.0,0.435657
71894,KR,SK,MOTO1,MOTO1,433.57,156.0,1.0,1.0,156.0,0.359803
66173,KR,RU,MOTO1,WHEAT,428.69,154.0,1.0,1.0,154.0,0.359234
18627,KR,CZ,CONST,CONST,70.98,152.0,1.0,1.0,152.0,2.141448
17668,KR,CN,RUBBE,FOOD5,329.23,151.0,1.0,1.0,151.0,0.458646
17006,KR,CN,PAPER,FOOD5,178.42,149.0,1.0,1.0,149.0,0.835108
50019,KR,JP,SEACO,LANDT,1117.81,149.0,1.0,1.0,149.0,0.133296
85466,KR,WA,PLAST,MEATC,353.09,149.0,1.0,1.0,149.0,0.421989
40110,KR,ID,TEXTI,WEARI,441.3,148.0,1.0,1.0,148.0,0.335373
20910,KR,DE,CONST,REALE,69.51,148.0,1.0,1.0,148.0,2.12919
82156,KR,WA,COPP1,RADIO,62.3,147.0,1.0,1.0,147.0,2.359551
84633,KR,WA,NAPHT,GASDI,359.91,146.0,1.0,1.0,146.0,0.405657
90754,KR,WF,BASIC,CONST,166.26,145.0,1.0,1.0,145.0,0.872128
14770,KR,CN,CHEM1,FOOD5,458.16,145.0,1.0,1.0,145.0,0.316483
17114,KR,CN,PLAST,BITUM,343.62,145.0,1.0,1.0,145.0,0.421978
53911,KR,MX,SANDC,CONST,1.97,145.0,1.0,1.0,145.0,73.604061
15034,KR,CN,COPP1,BITUM,61.39,145.0,1.0,1.0,145.0,2.361948
15271,KR,CN,FABRI,BASIC,289.69,143.0,1.0,1.0,143.0,0.493631
54726,KR,NL,CONST,REALE,66.96,143.0,1.0,1.0,143.0,2.135603
95704,KR,WL,MOTO1,MOTO1,397.65,143.0,1.0,1.0,143.0,0.359613
94100,KR,WL,CEMEN,CEMEN,10.34,143.0,1.0,1.0,143.0,13.829787
85420,KR,WA,PLAST,CRUDE,336.29,142.0,1.0,1.0,142.0,0.422255
14809,KR,CN,CHEM1,PAPER,449.76,142.0,1.0,1.0,142.0,0.315724
15366,KR,CN,FABRI,REALE,286.46,141.0,1.0,1.0,141.0,0.492215
32036,KR,GB,BASIC,FABRI,161.86,141.0,1.0,1.0,141.0,0.871123
49494,KR,JP,PREC1,MOTO1,19.66,140.0,1.0,1.0,140.0,7.121058
16775,KR,CN,NONME,BASIC,45.11,140.0,1.0,1.0,140.0,3.103525
81501,KR,WA,CEMEN,CEMEN,10.07,140.0,1.0,1.0,140.0,13.902681
16806,KR,CN,NONME,GLASS,45.02,139.0,1.0,1.0,139.0,3.087517
94102,KR,WL,CEMEN,CHEM1,9.96,138.0,1.0,1.0,138.0,13.855422
48166,KR,JP,COPP1,FABRI,58.57,138.0,1.0,1.0,138.0,2.356155
79210,KR,US,NONME,CRUDE,44.64,138.0,1.0,1.0,138.0,3.091398
84653,KR,WA,NAPHT,MOTOR,338.32,137.0,1.0,1.0,137.0,0.404942
14335,KR,CN,ALUM1,CONST,251.82,137.0,1.0,1.0,137.0,0.544039
14575,KR,CN,BITU1,REALE,336.08,137.0,1.0,1.0,137.0,0.407641
79043,KR,US,MOTOR,LANDT,336.36,137.0,1.0,1.0,137.0,0.407302
4898,KR,BE,BASIC,CONST,156.08,136.0,1.0,1.0,136.0,0.871348
17408,KR,CN,RADIO,RESEA,206.15,136.0,1.0,1.0,136.0,0.659714
10571,KR,CA,CEMEN,NONME,9.72,135.0,1.0,1.0,135.0,13.888889
32339,KR,GB,CONST,REALE,63.26,135.0,1.0,1.0,135.0,2.13405
78849,KR,US,MOTO1,BUSIN,375.23,135.0,1.0,1.0,135.0,0.359779
42471,KR,IN,FABRI,MOTO1,270.74,134.0,1.0,1.0,134.0,0.49494
39505,KR,ID,PLAST,RUBBE,316.01,134.0,1.0,1.0,134.0,0.424037
84400,KR,WA,MOTO1,MOTO1,371.81,134.0,1.0,1.0,134.0,0.360399
49493,KR,JP,PREC1,MEMBE,18.67,133.0,1.0,1.0,133.0,7.123728
79281,KR,US,OFFIC,AUXIL,305.54,133.0,1.0,1.0,133.0,0.435295
14873,KR,CN,CHEMI,GLASS,5.03,133.0,1.0,1.0,133.0,26.441352
83883,KR,WA,LEAD1,VEGE1,57.98,133.0,1.0,1.0,133.0,2.293894
78906,KR,US,MOTO1,LANDT,369.73,133.0,1.0,1.0,133.0,0.359722
82177,KR,WA,COPP1,VEGE1,56.29,133.0,1.0,1.0,133.0,2.362764
78141,KR,US,FOOD5,FOOD5,322.67,132.0,1.0,1.0,132.0,0.409087
48165,KR,JP,COPP1,ELECT,55.81,132.0,1.0,1.0,132.0,2.365168
