trade_id,region1,region2,industry1,industry2,amount,total_resources_value,resources_count,unique_resources_factors,natural_resource/land,natural_resource/water,resources_intensity
88567,IN,WM,FURNI,CONST,1703.61,6016.489,2.0,2.0,5972.0,44.489,3.531612
74019,IN,WA,OILSE,VEGE1,426.9,5917.981,2.0,2.0,5907.0,10.981,13.862687
35049,IN,ID,OILSE,VEGE1,240.73,3337.192,2.0,2.0,3331.0,6.192,13.862801
13651,IN,CN,VEGE1,PIGS9,493.0,3086.518,2.0,2.0,3075.0,11.518,6.260686
13135,IN,CN,PLAST,RUBBE,1433.4,2535.094,2.0,2.0,1825.0,710.094,1.768588
11720,IN,CN,FOOD5,POULT,584.92,2383.816,2.0,2.0,2372.0,11.816,4.075456
11212,IN,CN,CHEM1,PLAST,1351.91,2072.983,2.0,2.0,1948.0,124.983,1.533374
68826,IN,WA,BASIC,BASIC,3273.2,1973.502,2.0,2.0,1443.0,530.502,0.602927
71522,IN,WA,FORES,CHEM1,53.06,1965.147,2.0,2.0,1965.0,0.147,37.036317
71639,IN,WA,FURNI,HOTEL,544.99,1924.232,2.0,2.0,1910.0,14.232,3.530766
88638,IN,WM,FURNI,PUBLI,518.24,1830.534,2.0,2.0,1817.0,13.534,3.532213
66636,IN,US,OILSE,OILSE,131.71,1826.388,2.0,2.0,1823.0,3.388,13.866738
11801,IN,CN,FORES,WOODW,48.53,1797.135,2.0,2.0,1797.0,0.135,37.031424
89555,IN,WM,MEATC,HOTEL,50.66,1483.671,2.0,2.0,1483.0,0.671,29.286834
71583,IN,WA,FURNI,93197,388.1,1370.135,2.0,2.0,1360.0,10.135,3.530366
74324,IN,WA,PLANT,CHEM1,581.33,1360.426,2.0,2.0,1348.0,12.426,2.340196
13087,IN,CN,PLANT,WOODW,550.66,1288.77,2.0,2.0,1277.0,11.77,2.34041
11150,IN,CN,CHEM1,CHEM1,836.15,1282.302,2.0,2.0,1205.0,77.302,1.533579
71694,IN,WA,FURNI,RESEA,357.29,1261.33,2.0,2.0,1252.0,9.33,3.53027
71686,IN,WA,FURNI,PUBLI,354.98,1253.27,2.0,2.0,1244.0,9.27,3.530537
68344,IN,US,WOODW,WOODW,134.95,1215.848,2.0,2.0,1208.0,7.848,9.009618
65137,IN,US,FOOD5,FOOD5,296.56,1207.991,2.0,2.0,1202.0,5.991,4.073344
68110,IN,US,VEGE1,FOOD5,192.07,1202.487,2.0,2.0,1198.0,4.487,6.260671
69754,IN,WA,CHEM1,HEALT,753.97,1155.704,2.0,2.0,1086.0,69.704,1.532825
88648,IN,WM,FURNI,RETA1,327.22,1155.545,2.0,2.0,1147.0,8.545,3.531401
87496,IN,WM,CHEM1,HEALT,743.33,1139.72,2.0,2.0,1071.0,68.72,1.533262
71637,IN,WA,FURNI,HEALT,318.32,1124.313,2.0,2.0,1116.0,8.313,3.532021
72412,IN,WA,KEROS,AIRTR,2324.19,1093.201,2.0,2.0,927.0,166.201,0.470358
89037,IN,WM,KEROS,AIRTR,2321.28,1091.993,2.0,2.0,926.0,165.993,0.470427
