trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,impact_intensity
10796,BR,CN,OILSE,PLAST,15888.14,5738391705.694,6,6,361174.543131
9591,BR,CN,CRUDE,MOTOR,12029.09,4306991722.671,6,6,358048.008841
55730,BR,US,BASIC,FABRI,2042.07,2940623323.089,6,6,1440020.823522
9583,BR,CN,CRUDE,GASDI,7418.05,2656015593.393,6,6,358047.680104
61229,BR,WA,KEROS,AIRTR,4410.38,2505513162.083,6,6,568094.622704
55718,BR,US,BASIC,CRUDE,1657.92,2387449747.471,6,6,1440027.11076
55698,BR,US,BASIC,BASIC,1464.69,2109192893.717,6,6,1440026.827327
11045,BR,CN,PULP5,PAPER,2597.66,1982343417.958,6,6,763126.590069
69468,BR,WL,BASIC,FABRI,1316.3,1895498435.703,6,6,1440020.083342
55715,BR,US,BASIC,CONST,1306.42,1881275789.964,6,6,1440023.721287
6043,BR,CA,ALUM1,ALUM1,1244.13,1538603192.464,6,6,1236690.050448
10504,BR,CN,MEATP,MEATP,2875.07,1410176466.99,6,6,490484.220207
9586,BR,CN,CRUDE,KEROS,3643.35,1304494339.314,6,6,358048.043508
69436,BR,WL,BASIC,BASIC,856.25,1233023753.924,6,6,1440027.741809
10483,BR,CN,MEATC,HOTEL,4528.94,1217691788.003,6,6,268869.048387
9588,BR,CN,CRUDE,LIQUE,3179.7,1138484186.96,6,6,358047.673353
10809,BR,CN,OILSE,TEXTI,3095.25,1117926587.039,6,6,361174.892832
70397,BR,WL,CRUDE,MOTOR,3103.03,1111033177.683,6,6,358047.836367
73838,BR,WL,PLAST,RUBBE,861.99,1107772457.29,6,6,1285133.76871
69459,BR,WL,BASIC,CRUDE,742.13,1068690579.929,6,6,1440031.503819
9592,BR,CN,CRUDE,NAPHT,2919.82,1045435832.369,6,6,358048.041444
55784,BR,US,BASIC,REALE,717.84,1033712384.157,6,6,1440031.739882
10785,BR,CN,OILSE,HOTEL,2667.16,963308885.327,6,6,361174.014805
10449,BR,CN,MEAT1,MEAT1,2228.06,897343059.278,6,6,402746.361982
72653,BR,WL,MOTO1,MOTO1,1465.34,889126259.96,6,6,606771.302196
11401,BR,CN,SUGA1,FOOD5,559.87,725157833.205,6,6,1295225.379472
29127,BR,IN,CRUDE,GASDI,1995.9,714626761.653,6,6,358047.377951
57961,BR,US,NONME,CONST,535.3,630306492.495,6,6,1177482.70595
9584,BR,CN,CRUDE,HEAVY,1735.14,621264687.0,6,6,358048.737854
37509,BR,MX,BASIC,MOTO1,404.38,582310056.156,6,6,1440007.06305
10481,BR,CN,MEATC,FOOD5,2137.61,574737903.64,6,6,268869.39322
10792,BR,CN,OILSE,OILSE,1539.17,555909445.012,6,6,361174.818254
70379,BR,WL,CRUDE,GASDI,1518.5,543694419.332,6,6,358047.032817
37489,BR,MX,BASIC,FABRI,361.25,520210110.94,6,6,1440027.988761
62316,BR,WA,OILSE,VEGE1,1359.12,490879745.496,6,6,361174.690606
10812,BR,CN,OILSE,VEGE1,1318.97,476377979.229,6,6,361174.233856
9252,BR,CN,BASIC,BASIC,318.69,458914444.347,6,6,1440002.64943
56412,BR,US,CRUDE,RUBBE,1277.46,457392188.525,6,6,358048.149081
56394,BR,US,CRUDE,GASDI,1276.42,457018828.369,6,6,358047.373411
70162,BR,WL,COPP1,COPP1,471.9,456690012.35,6,6,967768.621212
10922,BR,CN,PLANT,TEXTI,1333.14,415935628.296,6,6,311996.960781
29136,BR,IN,CRUDE,MOTOR,1159.08,415005459.9,6,6,358047.296045
76199,BR,WM,CEREA,FOOD5,853.94,412732185.124,6,6,483326.914214
41886,BR,NO,ALUM1,CRUDE,333.31,412199990.727,6,6,1236686.540239
75802,BR,WM,BASIC,CONST,284.66,409919862.853,6,6,1440033.242651
7110,BR,CA,PREC1,FURNI,328.45,401612697.025,6,6,1222751.399071
55705,BR,US,BASIC,BUSIN,277.46,399541871.98,6,6,1439998.096951
57353,BR,US,KEROS,AIRTR,690.56,392304264.32,6,6,568095.84152
69498,BR,WL,BASIC,MOTO1,272.18,391949760.099,6,6,1440038.798218
59278,BR,US,WOODW,CONST,1533.92,382670613.447,6,6,249472.341091
60225,BR,WA,CRUDE,GASDI,1064.63,381189936.55,6,6,358049.215737
62488,BR,WA,PLANT,CHEM1,1150.05,358811497.529,6,6,311996.432789
60236,BR,WA,CRUDE,MOTOR,1001.39,358545833.074,6,6,358048.146151
58498,BR,US,PULP5,PAPER,463.42,353644761.952,6,6,763119.334409
9261,BR,CN,BASIC,CONST,241.79,348175999.603,6,6,1439993.381046
9593,BR,CN,CRUDE,NONSP,949.67,340025619.854,6,6,358046.079011
35002,BR,KR,CRUDE,GASDI,940.71,336820386.189,6,6,358049.11842
6194,BR,CA,BASIC,CRUDE,220.45,317448709.25,6,6,1440003.217283
73765,BR,WL,PLAST,CRUDE,237.54,305275911.956,6,6,1285155.813572
6181,BR,CA,BASIC,BASIC,210.9,303702622.909,6,6,1440031.403077
71756,BR,WL,KEROS,AIRTR,524.42,297919024.376,6,6,568092.415194
55782,BR,US,BASIC,RAILW,204.18,294020776.808,6,6,1440007.722637
69889,BR,WL,CERAM,CONST,481.31,290871421.787,6,6,604332.803779
58331,BR,US,PLAST,RUBBE,224.67,288731204.487,6,6,1285134.661891
56401,BR,US,CRUDE,MOTOR,804.57,288076339.206,6,6,358050.063022
60230,BR,WA,CRUDE,KEROS,772.83,276710263.228,6,6,358048.035439
69228,BR,WL,ALUM1,ALUM1,223.07,275873856.607,6,6,1236714.289716
59148,BR,US,TRANS,RAILW,448.9,275515593.281,6,6,613757.16926
59162,BR,US,TRANS,TRANS,436.21,267727821.465,6,6,613759.018512
17473,BR,ES,CRUDE,GASDI,728.99,261011645.411,6,6,358045.577321
55732,BR,US,BASIC,FOUND,179.73,258817217.505,6,6,1440033.480805
74624,BR,WL,RUBBE,CONST,389.4,256724050.839,6,6,659281.075601
55803,BR,US,BASIC,TRANS,172.68,248667669.935,6,6,1440049.04989
33258,BR,JP,CEREA,FOOD5,510.93,246948583.162,6,6,483331.538884
16310,BR,DK,SEACO,SEACO,292.38,245776448.631,6,6,840606.226934
59604,BR,WA,BASIC,BASIC,168.7,242928125.278,6,6,1440000.742608
10807,BR,CN,OILSE,RUBBE,671.74,242613808.455,6,6,361172.192299
56468,BR,US,ELECT,CONST,332.57,242127005.412,6,6,728048.246721
64277,BR,WE,ALUM1,ALUM1,192.68,238288468.542,6,6,1236705.77404
73496,BR,WL,PAPER,PRINT,416.04,237518987.413,6,6,570904.209723
55561,BR,US,ALUM1,ALUM1,189.68,234579055.495,6,6,1236709.487004
55722,BR,US,BASIC,EDUCA,155.36,223718489.869,6,6,1440000.578456
