trade_id,region1,region2,industry1,industry2,amount,total_employment_value,employment_count
74476,US,CA,RUBBE,CONST,8340.72,0,0
70616,US,CA,CHEM1,PUBLI,8180.85,0,0
73066,US,CA,MOTO1,MOTO1,6799.11,0,0
71659,US,CA,FABRI,CONST,6386.14,0,0
69785,US,CA,ALUM1,ALUM1,6040.34,0,0
70918,US,CA,CRUDE,GASDI,5541.17,0,0
70573,US,CA,CHEM1,HEALT,4126.5,0,0
71844,US,CA,FINAN,REALE,3967.6,0,0
70931,US,CA,CRUDE,MOTOR,3916.83,0,0
71968,US,CA,FOOD5,FOOD5,3444.95,0,0
72517,US,CA,KEROS,AIRTR,3370.2,0,0
70252,US,CA,BUSIN,CONST,3219.71,0,0
72085,US,CA,GASDI,CRUDE,3180.81,0,0
70826,US,CA,COPP1,COPP1,3004.67,0,0
10838,CN,CA,ELECT,CONST,2717.41,0,0
70003,US,CA,BASIC,CRUDE,2599.49,0,0
70231,US,CA,BUSIN,AUXIL,2511.07,0,0
69988,US,CA,BASIC,BASIC,2486.92,0,0
75278,US,CA,WOODW,CONST,2316.56,0,0
12328,CN,CA,RUBBE,CONST,2168.47,0,0
10918,CN,CA,FABRI,CONST,2122.04,0,0
73977,US,CA,PRINT,EDUCA,1992.69,0,0
70241,US,CA,BUSIN,BUSIN,1967.57,0,0
70328,US,CA,BUSIN,REALE,1874.14,0,0
74467,US,CA,RUBBE,BUSIN,1871.47,0,0
72149,US,CA,GASDI,REALE,1788.21,0,0
73641,US,CA,PAPER,PAPER,1721.95,0,0
70006,US,CA,BASIC,FABRI,1699.24,0,0
70323,US,CA,BUSIN,PUBLI,1676.23,0,0
70251,US,CA,BUSIN,COMPU,1248.42,0,0
6896,BR,CA,ALUM1,ALUM1,1244.13,0,0
71662,US,CA,FABRI,CRUDE,1225.95,0,0
72492,US,CA,INSUR,REALE,1215.19,0,0
75071,US,CA,TRANS,TRANS,1128.85,0,0
70607,US,CA,CHEM1,PFERT,1124.46,0,0
73236,US,CA,NATUR,CRUDE,1117.38,0,0
70000,US,CA,BASIC,CONST,1109.78,0,0
72147,US,CA,GASDI,RAILW,1070.25,0,0
28658,GB,CA,FINAN,REALE,1066.1,0,0
70272,US,CA,BUSIN,FINAN,1023.73,0,0
84944,WM,CA,CRUDE,GASDI,1019.35,0,0
73935,US,CA,PREC1,FURNI,1017.51,0,0
37432,IE,CA,WHOLE,WHOLE,1013.76,0,0
74545,US,CA,RUBBE,RETA1,1005.02,0,0
8725,CH,CA,CHEM1,PUBLI,1004.36,0,0
73780,US,CA,PFERT,WHEAT,995.07,0,0
73415,US,CA,NONME,CONST,984.72,0,0
70402,US,CA,CEMEN,NONME,942.44,0,0
72109,US,CA,GASDI,LANDT,904.02,0,0
80516,WF,CA,CRUDE,GASDI,897.77,0,0
70924,US,CA,CRUDE,KEROS,872.35,0,0
70259,US,CA,BUSIN,EDUCA,843.16,0,0
73240,US,CA,NATUR,ELEC2,819.61,0,0
73081,US,CA,MOTO1,RETA1,803.1,0,0
71974,US,CA,FOOD5,HOTEL,795.58,0,0
10575,CN,CA,CHEM1,PUBLI,784.81,0,0
75092,US,CA,VEGET,HOTEL,761.31,0,0
71947,US,CA,FOOD5,BEVER,755.2,0,0
72082,US,CA,GASDI,CONST,753.91,0,0
10839,CN,CA,ELECT,CRUDE,745.68,0,0
82503,WL,CA,COPP1,COPP1,742.65,0,0
70069,US,CA,BEVER,BEVER,741.43,0,0
10129,CN,CA,ALUM1,ALUM1,740.38,0,0
84956,WM,CA,CRUDE,MOTOR,720.54,0,0
70943,US,CA,CRUDE,REFI1,716.95,0,0
78002,WA,CA,RUBBE,CONST,704.82,0,0
70910,US,CA,CRUDE,CHEM1,700.75,0,0
70082,US,CA,BEVER,HOTEL,694.01,0,0
69800,US,CA,ALUM1,FABRI,683.82,0,0
72454,US,CA,INSUR,INSUR,671.81,0,0
74733,US,CA,SUPPO,EDUCA,670.89,0,0
70335,US,CA,BUSIN,SALEM,647.62,0,0
75089,US,CA,VEGET,FOOD5,647.25,0,0
72201,US,CA,GLASS,GLASS,642.13,0,0
74548,US,CA,RUBBE,SALEM,635.24,0,0
80528,WF,CA,CRUDE,MOTOR,634.6,0,0
72601,US,CA,LANDT,LANDT,610.47,0,0
12840,CN,CA,WOODW,CONST,609.54,0,0
70255,US,CA,BUSIN,CRUDE,602.02,0,0
70363,US,CA,CATTL,MEATC,599.02,0,0
37423,IE,CA,WHOLE,RETA1,587.89,0,0
47602,LU,CA,FINAN,REALE,579.98,0,0
70151,US,CA,BITUM,ELEC1,576.36,0,0
70531,US,CA,CHEM1,93197,568.35,0,0
76255,WA,CA,FABRI,CONST,564.53,0,0
