trade_id,industry_exports_total,destination_share,export_intensity,destination_count,export_concentration_hhi
3303649,431.36,0.000162,0.000789,33,0.057861
3303650,431.36,2.3e-05,0.000789,33,0.057861
3303651,431.36,0.000162,0.000789,33,0.057861
3303652,431.36,2.3e-05,0.000789,33,0.057861
3303653,650.34,1.5e-05,0.00119,31,0.150105
3303654,650.34,0.000123,0.00119,31,0.150105
3303655,95.51,0.000209,0.000175,26,0.077208
3303656,95.51,0.000209,0.000175,26,0.077208
3303657,95.51,0.000524,0.000175,26,0.077208
3303658,651.54,1.5e-05,0.001192,31,0.080527
3303659,651.54,7.7e-05,0.001192,31,0.080527
3303660,651.54,3.1e-05,0.001192,31,0.080527
3303661,651.54,3.1e-05,0.001192,31,0.080527
3303662,651.54,1.5e-05,0.001192,31,0.080527
3303663,651.54,4.6e-05,0.001192,31,0.080527
3303664,651.54,1.5e-05,0.001192,31,0.080527
3303665,651.54,0.000138,0.001192,31,0.080527
3303666,651.54,4.6e-05,0.001192,31,0.080527
3303667,651.54,3.1e-05,0.001192,31,0.080527
3303668,651.54,1.5e-05,0.001192,31,0.080527
3303669,651.54,7.7e-05,0.001192,31,0.080527
3303670,651.54,7.7e-05,0.001192,31,0.080527
3303671,651.54,0.0002,0.001192,31,0.080527
3303672,651.54,3.1e-05,0.001192,31,0.080527
3303673,651.54,0.000445,0.001192,31,0.080527
3303674,651.54,3.1e-05,0.001192,31,0.080527
3303675,651.54,3.1e-05,0.001192,31,0.080527
3303676,651.54,3.1e-05,0.001192,31,0.080527
3303677,651.54,3.1e-05,0.001192,31,0.080527
3303678,651.54,4.6e-05,0.001192,31,0.080527
3303679,651.54,4.6e-05,0.001192,31,0.080527
3303680,651.54,4.6e-05,0.001192,31,0.080527
3303681,651.54,6.1e-05,0.001192,31,0.080527
3303682,651.54,1.5e-05,0.001192,31,0.080527
3303683,651.54,0.000169,0.001192,31,0.080527
3303684,651.54,1.5e-05,0.001192,31,0.080527
3303685,651.54,3.1e-05,0.001192,31,0.080527
3303686,144.18,0.000277,0.000264,26,0.113703
3303687,2.2,0.009091,4e-06,4,0.140496
3303688,178.52,0.000168,0.000327,27,0.042605
3303689,178.52,5.6e-05,0.000327,27,0.042605
3303690,87.11,0.000115,0.000159,16,0.078171
3303691,2926.56,7e-06,0.005354,38,0.095795
3303692,2926.56,1e-05,0.005354,38,0.095795
3303693,2926.56,3e-06,0.005354,38,0.095795
3303694,2926.56,7e-06,0.005354,38,0.095795
3303695,2926.56,4.8e-05,0.005354,38,0.095795
