interstate_id,state_industry_imports_total,state_source_share,state_import_intensity,state_supplier_count,state_import_concentration
3106-US-CA-US-AK-11-21,16601.96,0.000205,0.000759,23,0.057912
3145-US-CA-US-AK-11-22,2895.15,1.8e-05,0.000132,23,0.256132
3094-US-CA-US-AK-11-31ND,7099.53,0.000513,0.000325,23,0.04981
14402-US-CA-US-AK-21-21,16601.96,0.002548,0.000759,23,0.057912
14419-US-CA-US-AK-21-22,2895.15,4.1e-05,0.000132,23,0.256132
7552-US-CA-US-AK-21-31ND,7099.53,0.00038,0.000325,23,0.04981
7517-US-CA-US-AK-22-21,16601.96,1e-05,0.000759,23,0.057912
3578-US-CA-US-AK-22-21,16601.96,0.000173,0.000759,23,0.057912
7542-US-CA-US-AK-22-22,2895.15,0.0,0.000132,23,0.256132
6040-US-CA-US-AK-22-22,2895.15,0.00018,0.000132,23,0.256132
7552-US-CA-US-AK-22-31ND,7099.53,6.3e-05,0.000325,23,0.04981
3558-US-CA-US-AK-22-31ND,7099.53,0.000371,0.000325,23,0.04981
2827-US-CA-US-AK-23-21,16601.96,0.009559,0.000759,23,0.057912
2835-US-CA-US-AK-23-22,2895.15,0.008266,0.000132,23,0.256132
2886-US-CA-US-AK-23-31ND,7099.53,0.00377,0.000325,23,0.04981
16029-US-CA-US-AK-31ND-21,16601.96,0.0,0.000759,23,0.057912
9021-US-CA-US-AK-31ND-21,16601.96,0.004027,0.000759,23,0.057912
2187-US-CA-US-AK-31ND-21,16601.96,0.007353,0.000759,23,0.057912
16059-US-CA-US-AK-31ND-22,2895.15,0.0,0.000132,23,0.256132
9029-US-CA-US-AK-31ND-22,2895.15,0.000827,0.000132,23,0.256132
2251-US-CA-US-AK-31ND-22,2895.15,0.002589,0.000132,23,0.256132
16021-US-CA-US-AK-31ND-31ND,7099.53,0.00052,0.000325,23,0.04981
14049-US-CA-US-AK-31ND-31ND,7099.53,0.003072,0.000325,23,0.04981
11912-US-CA-US-AK-31ND-31ND,7099.53,0.087065,0.000325,23,0.04981
17050-US-CA-US-AK-33DG-21,16601.96,2.1e-05,0.000759,23,0.057912
1620-US-CA-US-AK-33DG-21,16601.96,2.9e-05,0.000759,23,0.057912
5492-US-CA-US-AK-33DG-21,16601.96,0.012478,0.000759,23,0.057912
10624-US-CA-US-AK-33DG-21,16601.96,0.001589,0.000759,23,0.057912
17070-US-CA-US-AK-33DG-22,2895.15,1e-06,0.000132,23,0.256132
5556-US-CA-US-AK-33DG-22,2895.15,0.00406,0.000132,23,0.256132
6797-US-CA-US-AK-33DG-22,2895.15,0.000144,0.000132,23,0.256132
17006-US-CA-US-AK-33DG-31ND,7099.53,0.000277,0.000325,23,0.04981
1593-US-CA-US-AK-33DG-31ND,7099.53,4e-06,0.000325,23,0.04981
5494-US-CA-US-AK-33DG-31ND,7099.53,0.014675,0.000325,23,0.04981
6639-US-CA-US-AK-33DG-31ND,7099.53,0.001095,0.000325,23,0.04981
16571-US-CA-US-AK-44RT-21,16601.96,0.000122,0.000759,23,0.057912
1705-US-CA-US-AK-44RT-21,16601.96,0.006584,0.000759,23,0.057912
16616-US-CA-US-AK-44RT-22,2895.15,2.2e-05,0.000132,23,0.256132
1769-US-CA-US-AK-44RT-22,2895.15,0.000448,0.000132,23,0.256132
