interstate_id,state_industry_exports_total,state_destination_share,state_export_intensity,state_destination_count,state_export_concentration
3106-US-CA-US-AK-11-21,119518.66,2.9e-05,0.005466,39,0.038437
3145-US-CA-US-AK-11-22,119518.66,0.0,0.005466,39,0.038437
3094-US-CA-US-AK-11-31ND,119518.66,3e-05,0.005466,39,0.038437
14402-US-CA-US-AK-21-21,19935.28,0.002122,0.000912,39,0.027059
14419-US-CA-US-AK-21-22,19935.28,6e-06,0.000912,39,0.027059
7552-US-CA-US-AK-21-31ND,19935.28,0.000135,0.000912,39,0.027059
7517-US-CA-US-AK-22-21,20133.35,8e-06,0.000921,39,0.006824
3578-US-CA-US-AK-22-21,20133.35,0.000143,0.000921,39,0.006824
7542-US-CA-US-AK-22-22,20133.35,0.0,0.000921,39,0.006824
6040-US-CA-US-AK-22-22,20133.35,2.6e-05,0.000921,39,0.006824
7552-US-CA-US-AK-22-31ND,20133.35,2.2e-05,0.000921,39,0.006824
3558-US-CA-US-AK-22-31ND,20133.35,0.000131,0.000921,39,0.006824
2827-US-CA-US-AK-23-21,77211.85,0.002055,0.003531,39,0.039645
2835-US-CA-US-AK-23-22,77211.85,0.00031,0.003531,39,0.039645
2886-US-CA-US-AK-23-31ND,77211.85,0.000347,0.003531,39,0.039645
16029-US-CA-US-AK-31ND-21,677651.01,0.0,0.030989,39,0.017134
9021-US-CA-US-AK-31ND-21,677651.01,9.9e-05,0.030989,39,0.017134
2187-US-CA-US-AK-31ND-21,677651.01,0.00018,0.030989,39,0.017134
16059-US-CA-US-AK-31ND-22,677651.01,0.0,0.030989,39,0.017134
9029-US-CA-US-AK-31ND-22,677651.01,4e-06,0.030989,39,0.017134
2251-US-CA-US-AK-31ND-22,677651.01,1.1e-05,0.030989,39,0.017134
16021-US-CA-US-AK-31ND-31ND,677651.01,5e-06,0.030989,39,0.017134
14049-US-CA-US-AK-31ND-31ND,677651.01,3.2e-05,0.030989,39,0.017134
11912-US-CA-US-AK-31ND-31ND,677651.01,0.000912,0.030989,39,0.017134
17050-US-CA-US-AK-33DG-21,1327975.99,0.0,0.060729,39,0.034801
1620-US-CA-US-AK-33DG-21,1327975.99,0.0,0.060729,39,0.034801
5492-US-CA-US-AK-33DG-21,1327975.99,0.000156,0.060729,39,0.034801
