region1,region2,industry_code,direct_jobs,indirect_jobs,induced_jobs,total_output_impact,tax_revenue_impact
US-CA,US-CA,agriculture,0.0,0.0,0.0,479362.63255786564,57523.515906943874
US-CA,US-CA,construction,0.0,0.0,0.0,157683.63812884205,18922.036575461047
US-CA,US-CA,manufacturing,0.0,0.0,0.0,5701148.707465138,684137.8448958165
US-CA,US-CA,services,0.0,0.0,0.0,5448314.825508996,653797.7790610795
US-CA,US-CA,transportation,0.0,0.0,0.0,117667.94065073875,14120.15287808865
US-CA,US-CA,utilities,0.0,0.0,0.0,49771.4000080467,5972.568000965604
US-CO,US-CO,mining,0.0,0.0,0.0,101664.80996282004,12199.777195538405
US-FL,US-FL,agriculture,0.0,0.0,0.0,78429.31971171545,9411.518365405855
US-FL,US-FL,construction,0.0,0.0,0.0,85884.51741101904,10306.142089322284
US-FL,US-FL,services,0.0,0.0,0.0,2243948.5536173414,269273.82643408095
US-FL,US-FL,transportation,0.0,0.0,0.0,47675.05911005056,5721.007093206067
US-FL,US-FL,utilities,0.0,0.0,0.0,25381.60926271674,3045.793111526009
US-GA,US-GA,construction,0.0,0.0,0.0,41596.02894023995,4991.523472828793
US-GA,US-GA,utilities,0.0,0.0,0.0,13739.817139641676,1648.778056757001
US-IA,US-IA,agriculture,0.0,0.0,0.0,147365.47200491934,17683.85664059032
US-IL,US-IL,agriculture,0.0,0.0,0.0,124235.9143508092,14908.309722097103
US-IL,US-IL,construction,0.0,0.0,0.0,39784.66383732645,4774.159660479174
US-IL,US-IL,manufacturing,0.0,0.0,0.0,1778983.6385150955,213478.03662181145
US-IL,US-IL,services,0.0,0.0,0.0,1520822.5634025794,182498.70760830952
US-IL,US-IL,transportation,0.0,0.0,0.0,42639.026665238795,5116.683199828655
US-IL,US-IL,utilities,0.0,0.0,0.0,18020.89522179861,2162.5074266158335
US-IN,US-IN,manufacturing,0.0,0.0,0.0,1690308.179209457,202836.98150513484
US-LA,US-LA,mining,0.0,0.0,0.0,63918.38746835747,7670.206496202896
US-MA,US-MA,utilities,0.0,0.0,0.0,13874.199340883366,1664.9039209060038
US-MI,US-MI,manufacturing,0.0,0.0,0.0,1442238.1306970133,173068.5756836416
US-MN,US-MN,agriculture,0.0,0.0,0.0,90358.71950957757,10843.04634114931
US-NC,US-NC,construction,0.0,0.0,0.0,35824.776479844724,4298.973177581367
US-NC,US-NC,manufacturing,0.0,0.0,0.0,1414745.0510198763,169769.40612238515
US-ND,US-ND,mining,0.0,0.0,0.0,65136.076087283116,7816.329130473974
US-NE,US-NE,agriculture,0.0,0.0,0.0,113625.01002774035,13635.001203328842
US-NJ,US-NJ,services,0.0,0.0,0.0,1183350.0255063262,142002.00306075916
US-NJ,US-NJ,transportation,0.0,0.0,0.0,29465.42954589269,3535.851545507123
US-NM,US-NM,mining,0.0,0.0,0.0,69913.1622076837,8389.579464922042
US-NY,US-NY,construction,0.0,0.0,0.0,68008.11179133733,8160.973414960478
US-NY,US-NY,services,0.0,0.0,0.0,3478830.85310657,417459.7023727884
US-NY,US-NY,transportation,0.0,0.0,0.0,38527.122003763936,4623.2546404516725
US-NY,US-NY,utilities,0.0,0.0,0.0,31103.954868919234,3732.474584270308
US-OH,US-OH,manufacturing,0.0,0.0,0.0,1757873.497322526,210944.81967870312
US-OH,US-OH,services,0.0,0.0,0.0,1158999.282274705,139079.91387296456
US-OH,US-OH,transportation,0.0,0.0,0.0,30177.329991863156,3621.2795990235786
US-OK,US-OK,mining,0.0,0.0,0.0,143019.3888286408,17162.326659436894
US-PA,US-PA,construction,0.0,0.0,0.0,39961.45844477544,4795.375013373053
US-PA,US-PA,manufacturing,0.0,0.0,0.0,1461998.8797812425,175439.8655737491
US-PA,US-PA,mining,0.0,0.0,0.0,87472.77100641644,10496.732520769972
US-PA,US-PA,services,0.0,0.0,0.0,1355900.5905161793,162708.0708619415
US-PA,US-PA,transportation,0.0,0.0,0.0,35691.85647971871,4283.022777566244
US-PA,US-PA,utilities,0.0,0.0,0.0,13894.930189469593,1667.391622736351
US-TX,US-TX,agriculture,0.0,0.0,0.0,134470.2607070029,16136.431284840348
US-TX,US-TX,construction,0.0,0.0,0.0,121433.54707775304,14572.025649330364
US-TX,US-TX,manufacturing,0.0,0.0,0.0,3783916.7093294016,454070.0051195282
US-TX,US-TX,mining,0.0,0.0,0.0,1041921.8748937203,125030.62498724643
US-TX,US-TX,services,0.0,0.0,0.0,3023337.725969831,362800.52711637976
US-TX,US-TX,transportation,0.0,0.0,0.0,86330.89306379136,10359.707167654962
US-TX,US-TX,utilities,0.0,0.0,0.0,35489.10812494308,4258.692974993169
US-WA,US-WA,agriculture,0.0,0.0,0.0,87127.04911950813,10455.245894340975
US-WV,US-WV,mining,0.0,0.0,0.0,72847.67629776057,8741.721155731268
