trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,impact_intensity
134771,FR,TW,SEACO,93197,1155.89,1954343809.519,7,7,1690769.718156
34876,FR,DE,BASIC,BASIC,1105.51,970570659.851,7,7,877939.285806
134777,FR,TW,SEACO,SEACO,561.26,948958560.747,7,7,1690764.638041
30235,FR,CN,WHEAT,PIGS9,937.02,683598852.298,7,7,729545.636484
38530,FR,DE,MOTO1,MOTO1,4521.63,670850164.422,7,7,148364.674779
29714,FR,CN,SEACO,SEACO,342.77,579539446.921,7,7,1690753.119938
145336,FR,WA,SEACO,SEACO,323.12,546327997.88,7,7,1690789.792894
8420,FR,BE,HOTEL,CONST,5700.24,514026071.305,7,7,90176.215616
9377,FR,BE,MOTO1,MOTO1,3335.22,494827894.79,7,7,148364.39419
34912,FR,DE,BASIC,FABRI,484.36,425235797.083,7,7,877933.349333
5617,FR,BE,AIRTR,CONST,387.3,413136176.825,7,7,1066708.43487
11586,FR,BE,SEACO,CONST,236.64,400106588.996,7,7,1690781.731728
5860,FR,BE,BASIC,BASIC,445.99,391553481.49,7,7,877942.289042
11650,FR,BE,SEACO,SEACO,223.97,378684780.278,7,7,1690783.499031
40769,FR,DE,SEACO,SEACO,223.73,378274313.935,7,7,1690762.588544
134772,FR,TW,SEACO,EDUCA,215.46,364285345.135,7,7,1690733.060127
75827,FR,IT,BASIC,BASIC,412.86,362467300.616,7,7,877942.403275
45902,FR,ES,BASIC,BASIC,409.8,359781607.037,7,7,877944.380276
134775,FR,TW,SEACO,PUBLI,207.13,350200254.092,7,7,1690726.857973
29655,FR,CN,SEACO,COKEO,205.24,347017382.194,7,7,1690788.258595
29686,FR,CN,SEACO,MACHI,200.69,339327213.991,7,7,1690802.800294
5878,FR,BE,BASIC,FABRI,372.55,327074695.542,7,7,877935.03031
139278,FR,US,SEACO,MOTO1,191.06,323037446.127,7,7,1690764.399283
142685,FR,WA,LEAD1,LEAD1,46.23,316585249.454,7,7,6848047.792645
29683,FR,CN,SEACO,LANDT,185.82,314182999.655,7,7,1690792.162604
45932,FR,ES,BASIC,FABRI,352.49,309464671.071,7,7,877938.866552
29717,FR,CN,SEACO,SUPPO,178.7,302132697.577,7,7,1690725.783867
139223,FR,US,SEACO,BUSIN,170.39,288093593.371,7,7,1690789.326668
139231,FR,US,SEACO,CONST,163.41,276292515.647,7,7,1690793.192871
30056,FR,CN,TRANS,TRANS,2657.73,262245162.951,7,7,98672.6127
29690,FR,CN,SEACO,MOTO1,153.18,258989008.555,7,7,1690749.500947
139660,FR,US,TRANS,TRANS,2570.55,253642600.132,7,7,98672.502045
29723,FR,CN,SEACO,WHOLE,145.74,246408713.466,7,7,1690741.824249
49625,FR,ES,MOTO1,MOTO1,1642.97,243757946.711,7,7,148364.21037
34935,FR,DE,BASIC,MACHI,274.1,240646594.188,7,7,877951.821189
76215,FR,IT,CATTL,MEATC,529.18,238167261.757,7,7,450068.524428
75084,FR,IN,SEACO,BASIC,140.53,237598446.864,7,7,1690731.138291
26166,FR,CN,CEREA,FOOD5,465.53,235607776.141,7,7,506106.536939
29722,FR,CN,SEACO,WEARI,136.98,231607013.665,7,7,1690808.976967
150026,FR,WF,BASIC,CONST,250.02,219497822.919,7,7,877921.057991
102475,FR,NL,SEACO,SEACO,127.86,216172848.761,7,7,1690699.583615
44165,FR,DK,SEACO,SEACO,127.12,214927603.231,7,7,1690745.777462
155629,FR,WF,WHEAT,CATTL,294.05,214524827.051,7,7,729552.208981
161241,FR,WM,BASIC,CONST,243.65,213911601.959,7,7,877946.242393
134774,FR,TW,SEACO,POSTT,126.29,213520805.009,7,7,1690718.227959
29712,FR,CN,SEACO,RUBBE,126.26,213476067.406,7,7,1690765.62178
16898,FR,BR,SEACO,CRUDE,125.03,211390421.473,7,7,1690717.59956
29687,FR,CN,SEACO,MEATP,123.72,209188563.826,7,7,1690822.533349
27908,FR,CN,LEATH,LEATH,476.7,201383464.57,7,7,422453.250619
28699,FR,CN,PLAST,RUBBE,315.36,201257019.033,7,7,638181.820881
145823,FR,WA,TRANS,PRIVA,1967.85,194172435.424,7,7,98672.376159
139292,FR,US,SEACO,PLAST,113.75,192327012.168,7,7,1690786.920158
48627,FR,ES,HOTEL,CONST,2114.45,190673222.24,7,7,90176.273849
29721,FR,CN,SEACO,TRANS,110.37,186615482.855,7,7,1690817.095723
129474,FR,TR,AIRTR,RADIO,174.56,186205653.525,7,7,1066714.330459
9001,FR,BE,LEAD1,OFFIC,26.57,181969618.26,7,7,6848687.175762
69779,FR,IE,CHEM1,CHEM1,1171.91,180361821.107,7,7,153904.157407
154869,FR,WF,SEACO,SEACO,104.21,176201990.186,7,7,1690835.718127
80059,FR,IT,PLAST,RUBBE,272.47,173884707.871,7,7,638179.277979
10199,FR,BE,PLAST,RUBBE,270.81,172825359.507,7,7,638179.385942
29671,FR,CN,SEACO,FABRI,100.14,169313396.215,7,7,1690766.888506
138321,FR,US,PLAST,RUBBE,260.13,166011445.209,7,7,638186.465264
26271,FR,CN,CHEM1,PLAST,1059.88,163119925.132,7,7,153904.144933
100128,FR,NL,HOTEL,BUSIN,1798.9,162217900.788,7,7,90176.163649
58663,FR,GB,PLAST,RUBBE,252.41,161085325.246,7,7,638189.157506
17323,FR,CA,AIRTR,LANDT,148.29,158178209.825,7,7,1066681.568717
75873,FR,IT,BASIC,MACHI,178.68,156873233.727,7,7,877956.311434
78431,FR,IT,HOTEL,FABRI,1712.17,154396935.395,7,7,90176.171405
59380,FR,GB,SEACO,SEACO,91.14,154093222.214,7,7,1690730.987645
142881,FR,WA,LEATH,WHOLE,361.69,152795399.004,7,7,422448.502873
139279,FR,US,SEACO,MOTOR,84.22,142398383.001,7,7,1690790.584196
59381,FR,GB,SEACO,SUPPO,82.44,139392249.024,7,7,1690832.714993
26196,FR,CN,CHEM1,CHEM1,896.17,137923556.491,7,7,153903.340316
12260,FR,BE,WHEAT,FOOD5,185.35,135219343.926,7,7,729535.170898
41227,FR,DE,TRANS,TRANS,1332.36,131467487.962,7,7,98672.647004
102926,FR,NL,WHEAT,FOOD5,180.15,131426682.865,7,7,729540.287899
29658,FR,CN,SEACO,COPP1,76.38,129147609.493,7,7,1690856.369377
139305,FR,US,SEACO,RESEA,74.87,126580266.757,7,7,1690667.380219
38044,FR,DE,LEAD1,LEAD1,18.37,125796120.94,6,6,6847910.775177
26170,FR,CN,CEREA,POULT,247.6,125310635.346,7,7,506101.11206
155735,FR,WF,WHEAT,WHEAT,164.79,120222037.282,7,7,729546.922034
37579,FR,DE,HOTEL,SUPPO,1330.1,119943637.301,7,7,90176.40576
38305,FR,DE,MACHI,MACHI,1310.6,119364645.178,7,7,91076.335402
69418,FR,IE,AIRTR,SUPPO,109.52,116828517.331,7,7,1066732.26197
25867,FR,CN,BASIC,BASIC,131.88,115783506.543,7,7,877945.909486
128357,FR,SK,MOTO1,MOTO1,780.12,115741794.586,7,7,148364.090891
40493,FR,DE,RUBBE,MOTO1,557.12,114292797.946,7,7,205149.335773
46462,FR,ES,CEREA,FOOD5,224.53,113637442.619,7,7,506112.513335
6387,FR,BE,CEREA,FOOD5,223.42,113075407.083,7,7,506111.391473
129589,FR,TR,BASIC,BASIC,128.12,112483080.003,7,7,877950.983476
29694,FR,CN,SEACO,NONME,66.12,111787688.821,7,7,1690678.899289
40438,FR,DE,RUBBE,CONST,544.57,111718729.459,7,7,205150.356169
