trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,material,impact_intensity
62759,ID,US,PAPER,TEXTI,0.86,1.0,1.0,1.0,1.0,1.162791
1513,AT,US,NONF1,CEMEN,0.85,1.0,1.0,1.0,1.0,1.176471
3265,AU,US,CHEM1,POSTT,0.86,1.0,1.0,1.0,1.0,1.162791
93108,NL,US,CERAM,HEALT,0.86,1.0,1.0,1.0,1.0,1.162791
62541,ID,US,NONME,COMPU,0.11,1.0,1.0,1.0,1.0,9.090909
67913,IN,US,ELECT,ELEC6,0.05,1.0,1.0,1.0,1.0,20.0
17179,CA,US,ELEC5,RUBBE,0.86,1.0,1.0,1.0,1.0,1.162791
118640,TR,US,RUBBE,MEATP,0.86,1.0,1.0,1.0,1.0,1.162791
27859,CN,US,PAPER,SANDC,0.86,1.0,1.0,1.0,1.0,1.162791
25305,CN,US,BUSIN,RAILW,0.87,1.0,1.0,1.0,1.0,1.149425
67504,IN,US,CHEM1,LIQUE,0.86,1.0,1.0,1.0,1.0,1.162791
127964,WE,US,NONME,NATU1,0.11,1.0,1.0,1.0,1.0,9.090909
136291,WL,US,PROCE,PROCE,0.87,1.0,1.0,1.0,1.0,1.149425
17970,CA,US,FURNI,INSUR,0.87,1.0,1.0,1.0,1.0,1.149425
125695,WA,US,SUPPO,INTER,0.87,1.0,1.0,1.0,1.0,1.149425
25524,CN,US,CHEM1,ELEC2,0.87,1.0,1.0,1.0,1.0,1.149425
97620,NO,US,GLASS,BEVER,0.11,1.0,1.0,1.0,1.0,9.090909
121423,WA,US,CEMEN,FABRI,0.86,1.0,1.0,1.0,1.0,1.162791
122630,WA,US,FOOD5,FISH5,0.86,1.0,1.0,1.0,1.0,1.162791
141211,WM,US,RESEA,HEAVY,0.86,1.0,1.0,1.0,1.0,1.162791
128024,WE,US,OFFIC,RENTI,0.86,1.0,1.0,1.0,1.0,1.162791
61251,ID,US,COPP1,PUBLI,0.86,1.0,1.0,1.0,1.0,1.162791
97463,NO,US,FOOD5,MEMBE,0.86,1.0,1.0,1.0,1.0,1.162791
144005,ZA,US,SEACO,POSTT,0.86,1.0,1.0,1.0,1.0,1.162791
13566,BR,US,MEDIC,POSTT,0.86,1.0,1.0,1.0,1.0,1.162791
130915,WF,US,MOTOR,SEWAG,0.86,1.0,1.0,1.0,1.0,1.162791
131295,WF,US,PFERT,BIODI,0.11,1.0,1.0,1.0,1.0,9.090909
102750,PT,US,CERAM,ELECT,0.11,1.0,1.0,1.0,1.0,9.090909
21240,CA,US,TEXTI,FISHF,0.86,1.0,1.0,1.0,1.0,1.162791
25296,CN,US,BUSIN,PLAST,0.86,1.0,1.0,1.0,1.0,1.162791
142178,ZA,US,BASIC,NONF1,0.86,1.0,1.0,1.0,1.0,1.162791
18875,CA,US,LIQUE,RUBBE,0.86,1.0,1.0,1.0,1.0,1.162791
119607,TW,US,CONST,NATU1,0.86,1.0,1.0,1.0,1.0,1.162791
133256,WL,US,CHEM1,ELEC3,0.11,1.0,1.0,1.0,1.0,9.090909
29077,CN,US,WEARI,OFFIC,0.86,1.0,1.0,1.0,1.0,1.162791
19619,CA,US,NFERT,NFERT,0.05,1.0,1.0,1.0,1.0,20.0
139087,WM,US,FURNI,WOODW,0.85,1.0,1.0,1.0,1.0,1.176471
442,AT,US,CHEM1,NONME,0.9,1.0,1.0,1.0,1.0,1.111111
116964,TR,US,CHEMI,BIODI,0.01,1.0,1.0,1.0,1.0,100.0
122918,WA,US,GASDI,RETA1,0.84,1.0,1.0,1.0,1.0,1.190476
129014,WF,US,AIRTR,PAPER,0.84,1.0,1.0,1.0,1.0,1.190476
130151,WF,US,GASDI,SALEM,0.84,1.0,1.0,1.0,1.0,1.190476
135287,WL,US,MOTO1,DAIRY,0.84,1.0,1.0,1.0,1.0,1.190476
75680,JP,US,BUSIN,SEACO,24.99,1.0,1.0,1.0,1.0,0.040016
117955,TR,US,MOTO1,RADIO,0.84,1.0,1.0,1.0,1.0,1.190476
109341,RU,US,PRINT,PUBLI,0.84,1.0,1.0,1.0,1.0,1.190476
128432,WE,US,RESEA,RESEA,0.84,1.0,1.0,1.0,1.0,1.190476
80177,KR,US,ELECT,COPP1,0.84,1.0,1.0,1.0,1.0,1.190476
124325,WA,US,OFFIC,INTER,0.84,1.0,1.0,1.0,1.0,1.190476
141960,WM,US,WOODW,HEALT,0.84,1.0,1.0,1.0,1.0,1.190476
124527,WA,US,PAPER,TRAN1,0.84,1.0,1.0,1.0,1.0,1.190476
4618,AU,US,MOTO1,WHOLE,0.84,1.0,1.0,1.0,1.0,1.190476
9032,BE,US,PREC1,TRANS,0.84,1.0,1.0,1.0,1.0,1.190476
112175,SE,US,NONF1,ELEC3,0.84,1.0,1.0,1.0,1.0,1.190476
30408,CZ,US,CEMEN,MEMBE,0.11,1.0,1.0,1.0,1.0,9.090909
917,AT,US,GLASS,FOOD5,0.84,1.0,1.0,1.0,1.0,1.190476
25384,CN,US,CEMEN,MOTOR,0.83,1.0,1.0,1.0,1.0,1.204819
122916,WA,US,GASDI,RENTI,0.83,1.0,1.0,1.0,1.0,1.204819
117538,TR,US,GLASS,SUPPO,0.11,1.0,1.0,1.0,1.0,9.090909
137428,WM,US,AIRTR,RUBBE,0.83,1.0,1.0,1.0,1.0,1.204819
66541,IE,US,SUPPO,BUSIN,0.83,1.0,1.0,1.0,1.0,1.204819
102722,PT,US,CEMEN,NATU1,0.11,1.0,1.0,1.0,1.0,9.090909
132338,WF,US,WOODW,RUBBE,0.83,1.0,1.0,1.0,1.0,1.204819
124096,WA,US,NAPHT,BIOGA,0.83,1.0,1.0,1.0,1.0,1.204819
63118,ID,US,RUBBE,COPP1,0.11,1.0,1.0,1.0,1.0,9.090909
42802,ES,US,NONME,CHEM1,0.83,1.0,1.0,1.0,1.0,1.204819
70441,IN,US,RUBBE,IRONO,0.83,1.0,1.0,1.0,1.0,1.204819
143413,ZA,US,NONF1,DIST1,0.11,1.0,1.0,1.0,1.0,9.090909
112777,SE,US,REALE,RETA1,0.83,1.0,1.0,1.0,1.0,1.204819
18737,CA,US,LEAD1,TRANS,0.83,1.0,1.0,1.0,1.0,1.204819
14307,BR,US,PREC1,NONME,0.01,1.0,1.0,1.0,1.0,100.0
41964,ES,US,GLASS,CEMEN,0.84,1.0,1.0,1.0,1.0,1.190476
96968,NO,US,BUSIN,CRUDE,24.94,1.0,1.0,1.0,1.0,0.040096
12734,BR,US,FISH5,RESEA,0.85,1.0,1.0,1.0,1.0,1.176471
7000,BE,US,FINAN,INSUR,24.75,1.0,1.0,1.0,1.0,0.040404
79517,KR,US,BASIC,CATTL,0.85,1.0,1.0,1.0,1.0,1.176471
79547,KR,US,BASIC,GLASS,0.85,1.0,1.0,1.0,1.0,1.176471
139177,WM,US,GASDI,PLAS2,0.85,1.0,1.0,1.0,1.0,1.176471
134274,WL,US,GASDI,AUXIL,0.85,1.0,1.0,1.0,1.0,1.176471
136716,WL,US,RUBBE,PLAS1,0.85,1.0,1.0,1.0,1.0,1.176471
10967,BG,US,NONME,REALE,0.85,1.0,1.0,1.0,1.0,1.176471
135784,WL,US,OFFIC,RECRE,0.85,1.0,1.0,1.0,1.0,1.176471
130409,WF,US,INSUR,EDUCA,0.85,1.0,1.0,1.0,1.0,1.176471
18838,CA,US,LIQUE,HOTEL,0.85,1.0,1.0,1.0,1.0,1.176471
132646,WL,US,BASIC,PAPER,0.85,1.0,1.0,1.0,1.0,1.176471
99136,NO,US,TRANS,HEALT,0.85,1.0,1.0,1.0,1.0,1.176471
107796,RU,US,COPP1,RADIO,0.85,1.0,1.0,1.0,1.0,1.176471
116588,TR,US,BASIC,DIST1,0.85,1.0,1.0,1.0,1.0,1.176471
102795,PT,US,CHEM1,EDUCA,0.85,1.0,1.0,1.0,1.0,1.176471
64649,IE,US,FINAN,INSUR,24.76,1.0,1.0,1.0,1.0,0.040388
126876,WE,US,COPP1,FURNI,0.11,1.0,1.0,1.0,1.0,9.090909
137356,WM,US,AIRTR,CEMEN,0.84,1.0,1.0,1.0,1.0,1.190476
93377,NL,US,CONST,DISTR,0.84,1.0,1.0,1.0,1.0,1.190476
131608,WF,US,RAILW,SUPPO,0.84,1.0,1.0,1.0,1.0,1.190476
108500,RU,US,HOTEL,FINAN,24.92,1.0,1.0,1.0,1.0,0.040128
10928,BG,US,NONME,BASIC,0.84,1.0,1.0,1.0,1.0,1.190476
116960,TR,US,CHEM1,WEARI,0.84,1.0,1.0,1.0,1.0,1.190476
125480,WA,US,RUBBE,WOOD1,0.84,1.0,1.0,1.0,1.0,1.190476
44536,FI,US,BUSIN,EDUCA,24.92,1.0,1.0,1.0,1.0,0.040128
14418,BR,US,RADIO,MACHI,0.84,1.0,1.0,1.0,1.0,1.190476
1592,AT,US,NONME,MOTO1,0.85,1.0,1.0,1.0,1.0,1.176471
137085,WL,US,VEGE1,DAIRY,0.85,1.0,1.0,1.0,1.0,1.176471
110142,SE,US,BASIC,RECRE,0.85,1.0,1.0,1.0,1.0,1.176471
123885,WA,US,MOTO1,GLASS,0.85,1.0,1.0,1.0,1.0,1.176471
25702,CN,US,COMPU,MOTOR,0.85,1.0,1.0,1.0,1.0,1.176471
62636,ID,US,OFFIC,NATUR,0.85,1.0,1.0,1.0,1.0,1.176471
122881,WA,US,GASDI,MEMBE,0.85,1.0,1.0,1.0,1.0,1.176471
18079,CA,US,GASDI,FURNI,0.87,1.0,1.0,1.0,1.0,1.149425
136547,WL,US,RESEA,FINAN,0.87,1.0,1.0,1.0,1.0,1.149425
135933,WL,US,PAPER,VEGE1,0.87,1.0,1.0,1.0,1.0,1.149425
18024,CA,US,FURNI,TEXTI,0.89,1.0,1.0,1.0,1.0,1.123596
119054,TR,US,WOODW,FURNI,0.89,1.0,1.0,1.0,1.0,1.123596
41467,ES,US,FABRI,FISHF,0.89,1.0,1.0,1.0,1.0,1.123596
98557,NO,US,PLAST,RADIO,0.89,1.0,1.0,1.0,1.0,1.123596
