trade_id,industry_imports_total,source_share,import_intensity,supplier_count,import_concentration_hhi
34170,531.96,1.9e-05,0.00105,48,0.011346
34171,534.09,1.9e-05,0.001055,48,0.006551
34172,1486.42,3.4e-05,0.002935,48,0.023224
34173,13060.04,4e-06,0.025787,48,0.017442
34174,164.95,6.1e-05,0.000326,48,0.008202
34175,540.25,7.4e-05,0.001067,48,0.013692
34176,808.04,6.2e-05,0.001595,48,0.021055
34177,1865.54,4.3e-05,0.003684,48,0.018932
34178,209.73,4.8e-05,0.000414,47,0.016339
34179,1478.94,0.000581,0.00292,48,0.011859
34180,766.1,7.8e-05,0.001513,48,0.018588
34181,854.71,2.3e-05,0.001688,47,0.031796
34182,568.74,0.000158,0.001123,48,0.020378
34183,5267.56,1.1e-05,0.010401,48,0.024451
34184,500.47,0.00014,0.000988,48,0.007374
34185,10510.86,0.000202,0.020754,48,0.007337
34186,6060.67,8.6e-05,0.011967,48,0.00672
34187,953.47,0.000461,0.001883,48,0.009314
34188,22234.83,2.3e-05,0.043903,48,0.009138
34189,9599.1,3.4e-05,0.018954,48,0.007896
34190,6882.45,0.000696,0.01359,48,0.010853
34191,9975.33,2e-06,0.019697,48,0.017256
34192,16278.73,5e-06,0.032143,48,0.019878
34193,22176.73,2e-06,0.043789,48,0.050837
34194,7350.02,1e-05,0.014513,48,0.033148
34195,4037.95,1.7e-05,0.007973,48,0.009089
34196,13038.72,2e-06,0.025745,48,0.013304
34197,6914.31,3e-06,0.013652,48,0.014134
34198,5173.1,2e-06,0.010214,48,0.009854
34199,15069.75,8e-06,0.029756,48,0.03846
34200,7437.85,3.2e-05,0.014686,48,0.006877
34201,13638.11,2.3e-05,0.026929,48,0.007535
34202,7756.54,3.4e-05,0.015315,48,0.007878
34203,19876.11,3e-05,0.039246,48,0.009232
34204,20831.23,1.5e-05,0.041132,48,0.011163
34205,16402.69,9.3e-05,0.032388,48,0.006881
34206,12521.54,4.9e-05,0.024724,48,0.007571
34207,1636.46,7.3e-05,0.003231,48,0.007205
34208,2445.96,0.000102,0.00483,48,0.004815
34209,10510.86,7e-06,0.020754,48,0.007337
34210,6060.67,3e-06,0.011967,48,0.00672
34211,953.47,2.1e-05,0.001883,48,0.009314
34212,22234.83,0.0,0.043903,48,0.009138
34213,6882.45,1.6e-05,0.01359,48,0.010853
34214,19876.11,1e-06,0.039246,48,0.009232
34215,16402.69,2e-06,0.032388,48,0.006881
34216,12521.54,1e-06,0.024724,48,0.007571
34217,10510.86,2e-06,0.020754,48,0.007337
34218,6882.45,4e-06,0.01359,48,0.010853
34219,10510.86,6e-06,0.020754,48,0.007337
34220,6060.67,3e-06,0.011967,48,0.00672
34221,953.47,2.1e-05,0.001883,48,0.009314
34222,6882.45,1e-05,0.01359,48,0.010853
34223,16402.69,1e-06,0.032388,48,0.006881
34224,10510.86,5e-06,0.020754,48,0.007337
34225,6060.67,2e-06,0.011967,48,0.00672
34226,1356.94,2.2e-05,0.002679,48,0.029353
34227,708.77,0.000127,0.001399,48,0.019987
34228,1103.94,0.000154,0.00218,48,0.017734
34229,223.06,9e-05,0.00044,47,0.017618
34230,2003.85,0.0001,0.003957,48,0.019194
34231,540.25,3.7e-05,0.001067,48,0.013692
34232,808.04,3.7e-05,0.001595,48,0.021055
34233,1865.54,2.7e-05,0.003684,48,0.018932
34234,1478.94,1.4e-05,0.00292,48,0.011859
34235,766.1,3.9e-05,0.001513,48,0.018588
34236,568.74,7e-05,0.001123,48,0.020378
34237,5267.56,0.001319,0.010401,48,0.024451
34238,500.47,6e-05,0.000988,48,0.007374
34239,10510.86,0.000116,0.020754,48,0.007337
34240,6060.67,3.6e-05,0.011967,48,0.00672
34241,953.47,0.000147,0.001883,48,0.009314
34242,22234.83,1.5e-05,0.043903,48,0.009138
34243,9599.1,2.2e-05,0.018954,48,0.007896
34244,6882.45,0.0005,0.01359,48,0.010853
34245,9975.33,2e-06,0.019697,48,0.017256
34246,16278.73,3e-06,0.032143,48,0.019878
34247,22176.73,1e-06,0.043789,48,0.050837
34248,7350.02,5e-06,0.014513,48,0.033148
34249,4037.95,1.2e-05,0.007973,48,0.009089
34250,13038.72,2e-06,0.025745,48,0.013304
34251,15069.75,5e-06,0.029756,48,0.03846
34252,7437.85,2e-05,0.014686,48,0.006877
34253,13638.11,1.5e-05,0.026929,48,0.007535
34254,7756.54,2.2e-05,0.015315,48,0.007878
34255,19876.11,2e-05,0.039246,48,0.009232
34256,20831.23,8e-06,0.041132,48,0.011163
34257,16402.69,6.3e-05,0.032388,48,0.006881
34258,12521.54,3.3e-05,0.024724,48,0.007571
34259,1636.46,4.3e-05,0.003231,48,0.007205
34260,2445.96,6.1e-05,0.00483,48,0.004815
34261,10510.86,4e-06,0.020754,48,0.007337
34262,6060.67,2e-06,0.011967,48,0.00672
34263,2003.85,1e-05,0.003957,48,0.019194
34264,5267.56,1.9e-05,0.010401,48,0.024451
34265,10510.86,2e-05,0.020754,48,0.007337
34266,6060.67,3e-05,0.011967,48,0.00672
34267,953.47,3.1e-05,0.001883,48,0.009314
34268,22234.83,1e-06,0.043903,48,0.009138
34269,9599.1,1e-06,0.018954,48,0.007896
34270,6882.45,2e-05,0.01359,48,0.010853
34271,19876.11,1e-06,0.039246,48,0.009232
34272,16402.69,2e-06,0.032388,48,0.006881
34273,12521.54,2e-06,0.024724,48,0.007571
34274,57.16,0.00035,0.000113,46,0.008857
34275,1356.94,0.002307,0.002679,48,0.029353
34276,708.77,0.003499,0.001399,48,0.019987
34277,1103.94,0.003306,0.00218,48,0.017734
34278,223.06,0.002376,0.00044,47,0.017618
34279,26.8,0.002612,5.3e-05,42,0.02079
34280,2003.85,0.002445,0.003957,48,0.019194
34281,540.25,0.000463,0.001067,48,0.013692
34282,808.04,0.000408,0.001595,48,0.021055
34283,1865.54,0.000295,0.003684,48,0.018932
34284,209.73,0.000429,0.000414,47,0.016339
34285,1478.94,0.001474,0.00292,48,0.011859
34286,766.1,0.001553,0.001513,48,0.018588
34287,854.71,0.004504,0.001688,47,0.031796
34288,568.74,0.003552,0.001123,48,0.020378
34289,5267.56,0.000556,0.010401,48,0.024451
34290,500.47,0.000559,0.000988,48,0.007374
34291,10510.86,0.001095,0.020754,48,0.007337
34292,6060.67,0.000983,0.011967,48,0.00672
34293,953.47,0.00065,0.001883,48,0.009314
34294,104.66,0.001338,0.000207,45,0.012727
34295,3052.39,0.000147,0.006027,48,0.030056
34296,2840.47,8.8e-05,0.005609,48,0.017622
34297,1163.8,0.000567,0.002298,48,0.02004
34298,2581.8,6.6e-05,0.005098,48,0.030313
34299,2136.02,0.000192,0.004218,48,0.020086
34300,917.24,6.5e-05,0.001811,48,0.021254
34301,9229.5,4e-06,0.018224,47,0.203082
34302,3057.49,3e-06,0.006037,42,0.203267
34303,10142.89,5e-06,0.020027,48,0.203139
34304,3590.55,6e-06,0.00709,42,0.203305
34305,7995.38,0.000447,0.015787,48,0.022582
34306,3260.94,0.000377,0.006439,48,0.008452
34307,10065.68,3.9e-05,0.019875,48,0.033337
34308,442.24,6.8e-05,0.000873,48,0.008833
34309,306.24,0.000294,0.000605,48,0.00988
34310,534.09,0.000187,0.001055,48,0.006551
34311,4959.1,8.9e-05,0.009792,48,0.022905
34312,11717.95,1.8e-05,0.023137,48,0.028457
34313,13060.04,2.5e-05,0.025787,48,0.017442
34314,16236.16,2.6e-05,0.032059,48,0.017746
34315,14075.61,2e-06,0.027793,48,0.052377
34316,709.81,4.2e-05,0.001402,47,0.026445
34317,751.36,4e-05,0.001484,44,0.644673
34318,5470.45,4.4e-05,0.010802,48,0.027172
34319,1630.82,8e-05,0.00322,48,0.041847
34320,41659.12,3.6e-05,0.082257,48,0.015934
34321,164.95,0.001152,0.000326,48,0.008202
34322,22234.83,0.000199,0.043903,48,0.009138
34323,9599.1,0.000281,0.018954,48,0.007896
34324,6882.45,0.001101,0.01359,48,0.010853
34325,9975.33,2.2e-05,0.019697,48,0.017256
34326,16278.73,4.8e-05,0.032143,48,0.019878
34327,22176.73,1.4e-05,0.043789,48,0.050837
34328,377.96,2.6e-05,0.000746,48,0.008274
34329,7350.02,6.8e-05,0.014513,48,0.033148
34330,768.87,6.5e-05,0.001518,48,0.009864
34331,4037.95,0.000173,0.007973,48,0.009089
34332,13038.72,2.1e-05,0.025745,48,0.013304
34333,6914.31,2.2e-05,0.013652,48,0.014134
34334,5173.1,2.7e-05,0.010214,48,0.009854
34335,15069.75,0.000106,0.029756,48,0.03846
34336,7437.85,0.000274,0.014686,48,0.006877
34337,13638.11,0.000267,0.026929,48,0.007535
34338,7756.54,0.000268,0.015315,48,0.007878
34339,19876.11,0.000286,0.039246,48,0.009232
34340,20831.23,0.000124,0.041132,48,0.011163
34341,16402.69,0.001062,0.032388,48,0.006881
34342,12521.54,0.000456,0.024724,48,0.007571
34343,1835.49,1.6e-05,0.003624,48,0.015078
34344,1941.03,1e-05,0.003833,48,0.015424
34345,2453.5,2e-05,0.004845,48,0.015404
34346,2256.13,1.3e-05,0.004455,48,0.015492
