flow_uuid,flowable,context,unit,compartment,flow_class,preferred,external_reference,cas_number,formula,synonyms,trade_relevance
39368f6a-7fbb-5814-821e-bdcb3b66c9e7,Employment hours: High-skilled female,economic,M.hr,economic,economic,True,Exiobase,,,factor_id:430; extension:employment,20
78055096-9c27-5ac1-93f6-5ed480aeda3d,Employment hours: High-skilled male,economic,M.hr,economic,economic,True,Exiobase,,,factor_id:429; extension:employment,20
55694695-9a44-53d3-b64b-23f4b1db8add,Employment hours: Low-skilled female,economic,M.hr,economic,economic,True,Exiobase,,,factor_id:426; extension:employment,20
7ff3363a-6953-570e-acd3-f9579f79d299,Employment hours: Low-skilled male,economic,M.hr,economic,economic,True,Exiobase,,,factor_id:425; extension:employment,20
727cfc22-1de0-5675-95b6-0f48f3f64480,Employment hours: Medium-skilled female,economic,M.hr,economic,economic,True,Exiobase,,,factor_id:428; extension:employment,20
595788b9-f726-57c8-80bf-6a2d83252da5,Employment hours: Medium-skilled male,economic,M.hr,economic,economic,True,Exiobase,,,factor_id:427; extension:employment,20
2f7020ee-9432-59b8-ba44-cbdfa999f603,Employment people: High-skilled female,economic,1000 p,economic,economic,True,Exiobase,,,factor_id:424; extension:employment,20
66a60968-0e33-58f7-bec9-a47b7e8b84f5,Employment people: High-skilled male,economic,1000 p,economic,economic,True,Exiobase,,,factor_id:423; extension:employment,20
7b4918d5-5184-5b98-8846-01c7fa8ae782,Employment people: Low-skilled female,economic,1000 p,economic,economic,True,Exiobase,,,factor_id:420; extension:employment,20
172a85ee-2126-578e-b591-4b871f7109bd,Employment people: Low-skilled male,economic,1000 p,economic,economic,True,Exiobase,,,factor_id:419; extension:employment,20
32eb3755-ce2e-5be8-974b-217d20b2e5c3,Employment people: Medium-skilled female,economic,1000 p,economic,economic,True,Exiobase,,,factor_id:422; extension:employment,20
aed9fddb-3748-574f-b64f-1ea37f745d73,Employment people: Medium-skilled male,economic,1000 p,economic,economic,True,Exiobase,,,factor_id:421; extension:employment,20
5e014042-c97a-58b5-b601-2c956b0f3d77,Energy use - Emission relevant,resource/energy,TJ,energy,resource,True,Exiobase,,,factor_id:431; extension:energy,14
dadd1eb1-6ea9-57c5-8917-1fda5563a220,Energy use - Final,resource/energy,TJ,energy,resource,True,Exiobase,,,factor_id:432; extension:energy,14
8d7f4481-c255-5705-ba3b-2e3ca481e3cf,Energy use - Gross,resource/energy,TJ,energy,resource,True,Exiobase,,,factor_id:433; extension:energy,14
62a22f01-c0cb-5466-9b6b-2c57204714e3,Energy use - Net,resource/energy,TJ,energy,resource,True,Exiobase,,,factor_id:434; extension:energy,14
edeb3ae5-0abd-511b-854c-f913768cdc13,Water Consumption Blue - Agriculture - fibres,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:551; extension:water,14
b1635ecf-6ac0-5f36-9cc7-6933985591eb,Water Consumption Blue - Agriculture - fodder crops,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:553; extension:water,14
8a12bb27-c563-5625-9732-afa7ceead3ca,Water Consumption Blue - Agriculture - fruits,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:550; extension:water,14
1f0d3726-30d0-5519-962c-350e52c01a14,Water Consumption Blue - Agriculture - nuts,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:547; extension:water,14
3d9e2730-4b52-5c47-ae07-d758338032e5,Water Consumption Blue - Agriculture - oil crops,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:548; extension:water,14
f5ff77b2-0e4b-51b5-a88e-16715c679319,Water Consumption Blue - Agriculture - other cereals,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:543; extension:water,14
d682fc05-d724-580b-af3e-221992ea8627,Water Consumption Blue - Agriculture - other crops,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:552; extension:water,14
d770a38d-b083-55f9-8ca2-ee8e541f7e0f,Water Consumption Blue - Agriculture - pulses,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:546; extension:water,14
30af2589-16f2-518f-8b97-0c763445c55e,Water Consumption Blue - Agriculture - rice,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:541; extension:water,14
be573947-a761-5b47-b96b-ece712aca852,Water Consumption Blue - Agriculture - roots and tubers,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:544; extension:water,14
f9130709-8bb2-5faa-bc93-03e627f6b738,Water Consumption Blue - Agriculture - sugar crops,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:545; extension:water,14
3cc51393-2216-572e-9907-2073c531c64a,Water Consumption Blue - Agriculture - vegetables,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:549; extension:water,14
fba9b1e8-7ad9-582a-9894-2749a9f35c02,Water Consumption Blue - Agriculture - wheat,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:542; extension:water,14
5578b45a-ef72-5db0-93b8-062951f3e15d,Water Consumption Blue - Domestic - domestic Water Consumption Blue,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:643; extension:water,14
fd82b41e-8ff7-560d-a17b-8473ce3de9d7,Water Consumption Blue - Electricity - once-through - Electricity by Geothermal,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:641; extension:water,14
538a06eb-3f6b-5305-a2a8-481a8bc6b4f8,Water Consumption Blue - Electricity - once-through - Electricity by biomass and waste,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:637; extension:water,14
8a6abf01-9403-5102-8f2b-89159ceff76b,Water Consumption Blue - Electricity - once-through - Electricity by coal,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:631; extension:water,14
d3818d75-0376-5959-b2a1-8b4b528bad0a,Water Consumption Blue - Electricity - once-through - Electricity by gas,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:632; extension:water,14
769959c3-1a98-5c3d-b5a6-d6ca85cc35a3,Water Consumption Blue - Electricity - once-through - Electricity by hydro,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:634; extension:water,14
62c55bba-93f7-5e83-bf32-a6a57e5f933e,Water Consumption Blue - Electricity - once-through - Electricity by nuclear,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:633; extension:water,14
930abec9-60e5-5aa2-844f-25d8bb94eb11,Water Consumption Blue - Electricity - once-through - Electricity by petroleum and other oil derivatives,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:636; extension:water,14
4a8068d8-679e-54d8-830a-14ec2ecf50a9,Water Consumption Blue - Electricity - once-through - Electricity by solar photovoltaic,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:638; extension:water,14
