bea_detail,country,region,import_value_usd,cntry_cntrb_to_national_detail,cntry_cntrb_to_region_detail
1111A0,CA,CA,435353252.0,0.7269970726759325,1.0
1111A0,IN,APAC,122848492.0,0.20514488787292376,0.9932904006687542
1111A0,CN,CN,18109112.0,0.030240434296240428,1.0
1111A0,RU,EU,15342401.0,0.02562029929391753,0.7384456159751905
1111A0,DE,EU,2641615.0,0.0044112369973449365,0.12714365996849536
1111A0,FR,EU,1472222.0,0.002458465807736993,0.07085956635093993
1111A0,GB,EU,1175578.0,0.001963099530728273,0.056581784059540785
1111A0,AU,APAC,764646.0,0.001276883544752667,0.006182538502057968
1111A0,BR,ROW,692437.0,0.0011563016233366846,1.0
1111A0,JP,JP,227955.0,0.00038066240906784864,1.0
1111A0,IT,EU,144800.0,0.00024180174522613887,0.006969373645833374
1111A0,KR,APAC,65186.0,0.00010885420279220366,0.0005270608291878211
1111B0,CA,CA,1118944404.0,0.8371429192674417,1.0
1111B0,BR,ROW,95456213.0,0.07141596358797708,1.0
1111B0,IN,APAC,37506481.0,0.028060630075584018,0.843289364628757
1111B0,DE,EU,35398869.0,0.026483811373907852,0.6566263862354543
1111B0,CN,CN,23739926.0,0.01776112457758271,1.0
1111B0,FR,EU,8958489.0,0.006702330881566538,0.16617424297369696
1111B0,AU,APAC,6826083.0,0.005106962445456634,0.15347649372846148
1111B0,RU,EU,6265827.0,0.0046878045840825855,0.11622708453726413
1111B0,IT,EU,1735787.0,0.0012986362782743536,0.03219773900359587
1111B0,GB,EU,1551242.0,0.0011605681673977652,0.028774547249988656
1111B0,KR,APAC,143843.0,0.0001076167399432176,0.0032341416427815314
1111B0,JP,JP,95745.0,7.163202078560214e-05,1.0
111200,CA,CA,1438549334.0,0.8444091120282,1.0
111200,CN,CN,160322879.0,0.09410737379285078,1.0
111200,IN,APAC,26569677.0,0.015596043063786987,0.6682550303464913
111200,FR,EU,24623822.0,0.014453852348563567,0.5286391423961567
111200,IT,EU,16470707.0,0.009668083494692756,0.3536031255886424
111200,JP,JP,11262572.0,0.006610978293827265,1.0
111200,KR,APAC,9238001.0,0.005422582345254225,0.23234534008809807
111200,BR,ROW,7142332.0,0.004192452826877189,1.0
111200,DE,EU,4136581.0,0.0024281174141801963,0.08880662929955538
111200,AU,APAC,3952108.0,0.0023198342441549838,0.09939962956541064
111200,GB,EU,1348532.0,0.0007915701476120614,0.028951102715645605
111300,BR,ROW,1155288301.0,0.637703371262974,1.0
111300,CA,CA,266099444.0,0.14688326055333523,1.0
111300,CN,CN,126796636.0,0.06999001216580673,1.0
111300,IN,APAC,75996830.0,0.041949212724087935,0.4318805198621725
111300,IT,EU,73199151.0,0.04040493210732124,0.8403724642844449
111300,AU,APAC,58225469.0,0.03213966404968191,0.3308880886339445
111300,KR,APAC,41744957.0,0.02304264640184207,0.23723139150388298
111300,DE,EU,6653511.0,0.003672647244642428,0.07638650665789362
111300,RU,EU,5459755.0,0.0030137102286556254,0.06268143415678851
111300,FR,EU,1527473.0,0.0008431442444020463,0.017536354337469758
111300,JP,JP,384144.0,0.00021204224403415293,1.0
111300,GB,EU,263334.0,0.0001453567732165272,0.003023240563403256
111400,CA,CA,693492463.0,0.8120401557483482,1.0
111400,CN,CN,68390443.0,0.08008131154760442,1.0
111400,IT,EU,26602794.0,0.031150355823119053,0.5508285008902918
111400,KR,APAC,19070795.0,0.022330814202439028,0.5876034822266292
111400,JP,JP,10194445.0,0.01193711416812899,1.0
111400,IN,APAC,9979952.0,0.011685955087937329,0.30749921792220053
111400,DE,EU,9205792.0,0.01077945784317327,0.19061203146059924
111400,FR,EU,6763694.0,0.007919900247270847,0.1400467720232943
111400,GB,EU,5723685.0,0.006702108972818764,0.1185126956258147
111400,AU,APAC,3404464.0,0.003986433341813615,0.10489729985117027
111400,BR,ROW,1183997.0,0.0013863930173464295,1.0
111900,CA,CA,416637834.0,0.42954855277413023,1.0
111900,BR,ROW,231735018.0,0.2389159924659819,1.0
111900,IN,APAC,128904612.0,0.13289909127770375,0.8160866977461543
111900,CN,CN,84091910.0,0.08669773912206065,1.0
111900,DE,EU,56726333.0,0.058484161196780286,0.733547577211035
111900,AU,APAC,27978796.0,0.028845799275546886,0.1771319340734939
111900,IT,EU,9040927.0,0.00932108606484969,0.11691131342108489
111900,FR,EU,5745094.0,0.005923122222384007,0.07429177176937656
111900,GB,EU,5517440.0,0.005688413709970701,0.07134790017904477
111900,JP,JP,2192701.0,0.0022606481321530395,1.0
111900,KR,APAC,1071148.0,0.0011043405942987503,0.006781368180351822
111900,RU,EU,301704.0,0.0003110531641400723,0.0039014374194587566
112120,CA,CA,950153864.0,0.9950349533837001,1.0
112120,FR,EU,2579021.0,0.0027008426084878644,0.6135928626812244
112120,GB,EU,1059660.0,0.0011097136775971388,0.2521110967567872
112120,AU,APAC,528011.0,0.0005529519172392492,1.0
112120,IT,EU,445788.0,0.00046684506436845145,0.10606053035975187
112120,DE,EU,118678.0,0.00012428382672732125,0.028235510202236563
112120,BR,ROW,9940.0,1.0409521879957306e-05,1.0
112300,CA,CA,71902775.0,0.7869244233899759,1.0
112300,FR,EU,8708116.0,0.09530409865423169,0.47846948945985535
112300,GB,EU,8552304.0,0.09359884780324243,0.46990836233526045
112300,AU,APAC,1269179.0,0.013890256012423252,1.0
112300,DE,EU,939520.0,0.010282374140126721,0.05162214820488419
112A00,CA,CA,1212233291.0,0.6059196673782918,1.0
112A00,DE,EU,277846418.0,0.13887806120052335,0.507271202493444
112A00,GB,EU,235855997.0,0.1178896738048876,0.430608233407134
112A00,IN,APAC,85691367.0,0.04283175934477049,0.6802426534250962
112A00,BR,ROW,66452592.0,0.033215497990366064,1.0
112A00,CN,CN,39550666.0,0.019768906336123642,1.0
112A00,FR,EU,29135495.0,0.01456301321731469,0.05319340695582307
112A00,KR,APAC,24616664.0,0.012304331990865256,0.1954141405847107
112A00,AU,APAC,15663733.0,0.00782932126986304,0.12434320599019316
112A00,JP,JP,8714306.0,0.0043557369956379564,1.0
112A00,IT,EU,3476768.0,0.001737819053272881,0.006347622894856706
112A00,RU,EU,1412882.0,0.0007062114180832011,0.002579534248742203
113000,IN,APAC,285539892.0,0.3079582638288827,0.8678418192743255
113000,CN,CN,267244018.0,0.2882259400796253,1.0
113000,FR,EU,127308939.0,0.13730424687678014,0.6220637719822292
113000,CA,CA,101850319.0,0.10984681401244582,1.0
113000,AU,APAC,39349309.0,0.0424387107441584,0.1195944134830295
113000,DE,EU,36867027.0,0.039761539264897325,0.18014164643529618
113000,IT,EU,34370315.0,0.037068804854250646,0.16794207823157958
113000,BR,ROW,12992837.0,0.014012933522898681,1.0
113000,JP,JP,11437303.0,0.012335271089774285,1.0
113000,GB,EU,5797714.0,0.006252905417560384,0.028329101381594092
113000,KR,APAC,4133768.0,0.004458319317258104,0.012563767242644996
113000,RU,EU,311773.0,0.00033625099146819825,0.001523401969300958
114000,IN,APAC,2736778322.0,0.3288961765494511,0.9442944635160949
114000,CA,CA,2609507237.0,0.313601195255091,1.0
114000,CN,CN,1629055423.0,0.1957740222161292,1.0
114000,RU,EU,679019027.0,0.0816020647304106,0.9383607294098373
114000,JP,JP,293895934.0,0.03531935641955506,1.0
114000,BR,ROW,166794336.0,0.020044743463334284,1.0
114000,KR,APAC,98584288.0,0.011847505196312329,0.03401539562036775
