trade_id,industry_imports_total,source_share,import_intensity,supplier_count,import_concentration_hhi
82869,3831.24,3e-06,0.002367,41,0.19536
82870,6011.04,3e-06,0.003713,42,0.19531
82871,55865.34,5e-06,0.034509,48,0.038525
82872,38480.09,1e-05,0.02377,48,0.048112
82873,62800.83,0.0,0.038793,48,0.086963
82874,69277.89,0.0,0.042794,48,0.054299
82875,34144.73,5e-06,0.021092,48,0.021903
82876,56483.56,5e-06,0.034891,48,0.014941
82877,56812.9,3e-06,0.035094,48,0.103485
82878,55962.21,3e-06,0.034569,48,0.029047
82879,21343.61,1e-06,0.013184,48,0.161725
82880,70656.76,2e-06,0.043646,48,0.092011
82881,28673.03,6e-06,0.017712,48,0.056484
82882,30348.81,1.2e-05,0.018747,48,0.014604
82883,929.5,0.000118,0.000574,47,0.014475
82884,17998.39,3e-06,0.011118,48,0.170138
82885,894.74,1.1e-05,0.000553,47,0.026942
82886,2692.1,1.1e-05,0.001663,48,0.031764
82887,921.48,1.1e-05,0.000569,46,0.04086
82888,2062.07,1e-05,0.001274,48,0.019231
82889,7191.86,7e-06,0.004443,48,0.066626
82890,9689.6,0.000314,0.005985,48,0.012337
82891,7164.17,3e-06,0.004425,48,0.014448
82892,10486.24,0.000465,0.006478,48,0.019415
82893,2149.04,0.000121,0.001328,48,0.029597
82894,6416.5,4.4e-05,0.003964,48,0.018097
82895,5401.51,9e-06,0.003337,48,0.061622
82896,4306.84,3.5e-05,0.00266,48,0.037568
82897,2131.66,2.8e-05,0.001317,48,0.055345
82898,5824.18,5.8e-05,0.003598,48,0.027596
82899,891.5,2.2e-05,0.000551,47,0.015615
82900,7823.2,1.9e-05,0.004833,48,0.030987
82901,3558.26,7e-05,0.002198,48,0.015461
82902,20004.74,0.000462,0.012357,48,0.018462
82903,9718.71,0.000605,0.006003,48,0.027006
82904,13734.81,0.000181,0.008484,48,0.017983
82905,1639.67,2.4e-05,0.001013,48,0.041818
82906,2973.38,0.000767,0.001837,48,0.031753
82907,1803.35,0.000305,0.001114,48,0.042818
82908,1861.83,0.0005,0.00115,45,0.028419
82909,21083.54,0.000964,0.013024,48,0.056159
82910,26184.86,0.001929,0.016175,47,0.039925
82911,1104.87,0.000987,0.000683,46,0.021918
82912,184.45,0.000867,0.000114,46,0.021782
82913,1440.45,0.00043,0.00089,47,0.026934
82914,416.58,0.000336,0.000257,46,0.059354
82915,3045.2,6.6e-05,0.001881,47,0.020324
82916,3830.14,3e-06,0.002366,42,0.202005
82917,8515.62,1.4e-05,0.00526,46,0.071929
82918,6744.95,4e-06,0.004166,48,0.458926
82919,773.1,3.9e-05,0.000478,45,0.081985
82920,45278.87,3.4e-05,0.02797,48,0.221046
82921,1306.17,2.3e-05,0.000807,48,0.091109
82922,5700.83,5e-06,0.003522,48,0.070365
82923,32301.43,2e-06,0.019953,48,0.043041
82924,50510.26,6e-06,0.031201,48,0.026101
82925,14288.4,2.9e-05,0.008826,48,0.036111
82926,16125.2,1e-06,0.009961,48,0.042456
82927,38480.09,1e-06,0.02377,48,0.048112
82928,62800.83,0.0,0.038793,48,0.086963
82929,6365.79,3e-06,0.003932,48,0.018551
82930,10486.24,7.2e-05,0.006478,48,0.019415
82931,3558.26,6e-06,0.002198,48,0.015461
82932,20004.74,0.0,0.012357,48,0.018462
82933,9718.71,1e-06,0.006003,48,0.027006
82934,13734.81,1.1e-05,0.008484,48,0.017983
82935,1639.67,6e-06,0.001013,48,0.041818
82936,2973.38,2e-05,0.001837,48,0.031753
82937,3045.2,3.3e-05,0.001881,47,0.020324
82938,45278.87,0.0,0.02797,48,0.221046
82939,1306.17,2.3e-05,0.000807,48,0.091109
82940,50510.26,0.0,0.031201,48,0.026101
82941,55865.34,0.0,0.034509,48,0.038525
82942,38480.09,1e-06,0.02377,48,0.048112
82943,109644.31,1e-06,0.06773,48,0.014331
82944,9689.6,1.2e-05,0.005985,48,0.012337
82945,7164.17,9.2e-05,0.004425,48,0.014448
82946,10486.24,6.4e-05,0.006478,48,0.019415
82947,20004.74,3e-06,0.012357,48,0.018462
82948,9718.71,7e-06,0.006003,48,0.027006
82949,13734.81,1e-06,0.008484,48,0.017983
82950,2973.38,1e-05,0.001837,48,0.031753
82951,3045.2,7e-06,0.001881,47,0.020324
82952,32301.43,0.000605,0.019953,48,0.043041
82953,23347.42,0.000641,0.014422,48,0.057318
82954,9688.3,5.5e-05,0.005985,48,0.05764
82955,50510.26,4e-06,0.031201,48,0.026101
82956,14288.4,1e-05,0.008826,48,0.036111
82957,8315.27,1e-06,0.005137,48,0.034813
82958,55865.34,1e-06,0.034509,48,0.038525
82959,16125.2,8e-06,0.009961,48,0.042456
82960,38480.09,1.1e-05,0.02377,48,0.048112
82961,62800.83,1.3e-05,0.038793,48,0.086963
82962,15103.3,2e-06,0.00933,48,0.095089
82963,69277.89,2e-06,0.042794,48,0.054299
