trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,land,material,water,impact_intensity
2071909,NL,BR,PAPE1,WHEAT,0.01,1492.276,3.0,3.0,1492.276,0.0,0.0,0.0,0.0,149227.6
2072647,NL,BR,PAPE2,HEALT,0.01,1491.446,3.0,3.0,1491.446,0.0,0.0,0.0,0.0,149144.6
1719546,IT,BR,FINAN,AIRTR,0.03,1490.766,3.0,3.0,1490.766,0.0,0.0,0.0,0.0,49692.2
3115575,JP,BR,REALE,RECRE,0.03,1490.564,3.0,3.0,1490.564,0.0,0.0,0.0,0.0,49685.466667
2982564,US,BR,93197,MEDIC,0.02,1490.316,3.0,3.0,1490.316,0.0,0.0,0.0,0.0,74515.8
2981538,US,BR,INSUR,NONFE,0.03,1490.195,3.0,3.0,1490.195,0.0,0.0,0.0,0.0,49673.166667
1215066,FR,BR,LANDT,NONF1,0.01,1489.853,3.0,3.0,1489.853,0.0,0.0,0.0,0.0,148985.3
1216135,FR,BR,PUBLI,CATTL,0.02,1489.851,3.0,3.0,1489.851,0.0,0.0,0.0,0.0,74492.55
1064741,FI,BR,FINAN,EDUCA,0.02,1489.609,3.0,3.0,1489.609,0.0,0.0,0.0,0.0,74480.45
4734993,WE,BR,BUSIN,MEDIC,0.01,1489.359,3.0,3.0,1489.359,0.0,0.0,0.0,0.0,148935.9
2513854,SE,BR,POSTT,CEMEN,0.03,1489.153,3.0,3.0,1489.153,0.0,0.0,0.0,0.0,49638.433333
1720343,IT,BR,FOOD2,WHOLE,0.01,1489.118,3.0,3.0,1489.118,0.0,0.0,0.0,0.0,148911.8
634823,DE,BR,FINAN,FOOD5,0.03,1489.104,3.0,3.0,1489.104,0.0,0.0,0.0,0.0,49636.8
1566691,IE,BR,SALEM,FISHF,0.03,1488.864,3.0,3.0,1488.864,0.0,0.0,0.0,0.0,49628.8
1719029,IT,BR,HOTEL,FISHF,0.02,1487.042,3.0,3.0,1487.042,0.0,0.0,0.0,0.0,74352.1
1719777,IT,BR,COMPU,FOOD3,0.02,1486.833,3.0,3.0,1486.833,0.0,0.0,0.0,0.0,74341.65
2807207,GB,BR,OILHA,SUGA1,0.01,1486.112,3.0,3.0,1486.112,0.0,0.0,0.0,0.0,148611.2
1215437,FR,BR,SUPPO,REFI1,0.02,1486.077,3.0,3.0,1486.077,0.0,0.0,0.0,0.0,74303.85
4460878,WA,BR,FINAN,FOOD4,0.01,1485.44,3.0,3.0,1485.44,0.0,0.0,0.0,0.0,148544.0
3792769,RU,BR,FINAN,FINAN,0.01,1484.683,3.0,3.0,1484.683,0.0,0.0,0.0,0.0,148468.3
231099,BE,BR,COMPU,TRAN2,0.01,1483.854,3.0,3.0,1483.854,0.0,0.0,0.0,0.0,148385.4
1719220,IT,BR,LANDT,93197,0.01,1483.638,3.0,3.0,1483.638,0.0,0.0,0.0,0.0,148363.8
2317602,PT,BR,RETA1,PRECI,0.01,1483.344,3.0,3.0,1483.344,0.0,0.0,0.0,0.0,148334.4
1867954,LU,BR,TRANS,MACHI,0.01,1483.247,3.0,3.0,1483.247,0.0,0.0,0.0,0.0,148324.7
1720470,IT,BR,INERT,PRINT,0.01,1483.146,3.0,3.0,1483.146,0.0,0.0,0.0,0.0,148314.6
2806697,GB,BR,AUXIL,RECRE,0.02,1483.117,3.0,3.0,1483.117,0.0,0.0,0.0,0.0,74155.85
1567092,IE,BR,POSTT,MACHI,0.04,1482.982,3.0,3.0,1482.982,0.0,0.0,0.0,0.0,37074.55
635551,DE,BR,PUBLI,SECO9,0.01,1482.569,3.0,3.0,1482.569,0.0,0.0,0.0,0.0,148256.9
3115076,JP,BR,RETA1,RADIO,0.01,1481.97,3.0,3.0,1481.97,0.0,0.0,0.0,0.0,148197.0
2806644,GB,BR,AUXIL,FOOD5,0.02,1481.696,3.0,3.0,1481.696,0.0,0.0,0.0,0.0,74084.8
2806930,GB,BR,BUSIN,CHEMI,0.02,1481.366,3.0,3.0,1481.366,0.0,0.0,0.0,0.0,74068.3
89466,AT,BR,HOTEL,ELECT,0.01,1481.35,3.0,3.0,1481.35,0.0,0.0,0.0,0.0,148135.0
1215626,FR,BR,FINAN,CEMEN,0.03,1480.935,3.0,3.0,1480.935,0.0,0.0,0.0,0.0,49364.5
1719106,IT,BR,HOTEL,INERT,0.01,1478.928,3.0,3.0,1478.928,0.0,0.0,0.0,0.0,147892.8
2806496,GB,BR,FINAN,CEMEN,0.03,1478.886,3.0,3.0,1478.886,0.0,0.0,0.0,0.0,49296.2
3991408,CH,BR,FOOD5,93197,0.01,1478.521,3.0,3.0,1478.521,0.0,0.0,0.0,0.0,147852.1
634393,DE,BR,RETA1,CROPS,0.02,1477.709,3.0,3.0,1477.709,0.0,0.0,0.0,0.0,73885.45
1566982,IE,BR,AIRTR,HOTEL,0.02,1477.478,3.0,3.0,1477.478,0.0,0.0,0.0,0.0,73873.9
