trade_id,region1,region2,industry1,industry2,amount
140240,WF,FR,CRUDE,GASDI,2777.87
35555,DE,FR,MACHI,CONST,2694.58
132810,WA,FR,CRUDE,GASDI,2684.39
140259,WF,FR,CRUDE,MOTOR,2629.85
151611,WM,FR,SEACO,SEACO,2578.53
132829,WA,FR,CRUDE,MOTOR,2541.35
127301,TW,FR,SEACO,SEACO,2421.44
135824,WA,FR,SEACO,SEACO,1934.38
27349,CN,FR,SEACO,SEACO,1844.79
35602,DE,FR,MACHI,MOTO1,1820.72
67553,IE,FR,LANDT,LANDT,1745.23
38295,DE,FR,TRANS,TRANS,1728.10
142607,WF,FR,PRIVA,REALE,1600.82
33982,DE,FR,FABRI,CONST,1554.73
23543,CH,FR,SEACO,SEACO,1540.04
128565,US,FR,CRUDE,GASDI,1420.21
37613,DE,FR,RUBBE,CONST,1395.90
38277,DE,FR,TRANS,PUBLI,1352.40
150931,WM,FR,PRIVA,REALE,1348.13
128580,US,FR,CRUDE,MOTOR,1344.53
8880,BE,FR,LANDT,LANDT,1340.25
95211,NL,FR,LANDT,LANDT,1326.85
100313,NO,FR,NATUR,ELEC2,1283.46
76350,IT,FR,MACHI,CONST,1276.15
148544,WM,FR,CRUDE,GASDI,1216.95
31991,DE,FR,BASIC,CONST,1216.76
131486,US,FR,TRANS,TRANS,1204.08
148559,WM,FR,CRUDE,MOTOR,1152.10
140243,WF,FR,CRUDE,HEAVY,1130.86
142152,WF,FR,NATU1,RUBBE,1106.45
40660,DK,FR,SEACO,SEACO,1102.95
132813,WA,FR,CRUDE,HEAVY,1092.80
11334,BE,FR,SEACO,SEACO,1032.20
74876,IT,FR,FABRI,CONST,983.36
32002,DE,FR,BASIC,FABRI,974.78
128830,US,FR,FINAN,FINAN,962.24
56814,GB,FR,SEACO,SEACO,955.14
131470,US,FR,TRANS,PUBLI,942.31
69412,IE,FR,WHOLE,WHOLE,915.31
37827,DE,FR,SEACO,SEACO,907.95
35298,DE,FR,LANDT,LANDT,907.68
127964,US,FR,BUSIN,BUSIN,898.98
54212,GB,FR,FINAN,FINAN,889.74
76395,IT,FR,MACHI,MOTO1,862.29
146547,WL,FR,PRIVA,REALE,843.71
86773,LU,FR,FINAN,FINAN,798.20
55059,GB,FR,LANDT,LANDT,795.10
44809,ES,FR,FABRI,CONST,788.59
38636,DE,FR,WHOLE,WHOLE,776.99
130051,US,FR,NATU1,RUBBE,775.33
24960,CN,FR,ELECT,CONST,765.02
84297,KR,FR,SEACO,SEACO,757.83
73173,IT,FR,BASIC,CONST,735.28
36636,DE,FR,PLAST,RUBBE,727.64
95445,NL,FR,MACHI,CONST,712.24
128205,US,FR,CHEM1,DIST1,709.34
42674,ES,FR,BASIC,CONST,708.41
23931,CH,FR,WHOLE,WHOLE,707.48
93137,NL,FR,BUSIN,BUSIN,700.69
52550,GB,FR,BUSIN,BUSIN,698.93
7415,BE,FR,FABRI,CONST,692.08
100328,NO,FR,NATUR,PLAST,683.86
128895,US,FR,FINAN,REALE,682.40
32332,DE,FR,BUSIN,BUSIN,677.73
99048,NO,FR,CRUDE,GASDI,648.54
103589,PL,FR,LANDT,LANDT,647.20
66394,IE,FR,CHEM1,DIST1,646.62
72441,IN,FR,SEACO,SEACO,633.72
93863,NL,FR,FABRI,CONST,631.87
46094,ES,FR,LANDT,LANDT,631.63
54276,GB,FR,FINAN,REALE,630.99
78130,IT,FR,RUBBE,CONST,625.70
25094,CN,FR,FABRI,CONST,620.89
27595,CN,FR,TRANS,TRANS,618.19
12147,BE,FR,WHOLE,WHOLE,617.08
113944,RU,FR,KEROS,AIRTR,615.71
47388,ES,FR,PRIVA,REALE,614.20
99062,NO,FR,CRUDE,MOTOR,613.99
73183,IT,FR,BASIC,FABRI,589.05
76104,IT,FR,LANDT,LANDT,588.22
134135,WA,FR,LANDT,LANDT,585.62
35543,DE,FR,MACHI,BUSIN,580.86
114255,RU,FR,NAPHT,PLAST,578.47
128568,US,FR,CRUDE,HEAVY,578.16
10626,BE,FR,RAILW,RAILW,568.89
42684,ES,FR,BASIC,FABRI,567.53
86837,LU,FR,FINAN,REALE,566.07
22934,CH,FR,RAILW,RAILW,563.59
65879,IE,FR,AIRTR,FINAN,562.31
48113,ES,FR,RUBBE,CONST,547.30
96476,NL,FR,PLAST,RUBBE,540.06
32018,DE,FR,BASIC,MACHI,538.78
48696,ES,FR,TRANS,TRANS,538.11
24564,CN,FR,CHEM1,DIST1,537.88
97805,NL,FR,SUPPO,WHOLE,537.54
33008,DE,FR,COPP1,CONST,536.64
11115,BE,FR,RUBBE,CONST,531.56
33997,DE,FR,FABRI,FABRI,527.87
53175,GB,FR,CRUDE,GASDI,515.29
37064,DE,FR,RAILW,RAILW,514.04
149882,WM,FR,KEROS,AIRTR,511.24
97534,NL,FR,SEACO,SEACO,507.04
35643,DE,FR,MACHI,SALEM,503.39
10199,BE,FR,PLAST,RUBBE,502.46
9110,BE,FR,MACHI,CONST,497.57
32023,DE,FR,BASIC,MOTO1,496.73
148547,WM,FR,CRUDE,HEAVY,495.41
35554,DE,FR,MACHI,COMPU,492.05
38084,DE,FR,SUPPO,WHOLE,488.60
53188,GB,FR,CRUDE,MOTOR,487.84
27580,CN,FR,TRANS,PUBLI,483.80
21894,CH,FR,LANDT,LANDT,481.46
95490,NL,FR,MACHI,MOTO1,481.26
93751,NL,FR,DAIRY,DAIRY,473.73
46010,ES,FR,KEROS,AIRTR,459.74
48531,ES,FR,SUPPO,WHOLE,455.54
35656,DE,FR,MACHI,TRANS,454.29
87257,LU,FR,LANDT,LANDT,450.69
105044,PL,FR,RUBBE,CONST,447.64
27205,CN,FR,RUBBE,CONST,443.61
38696,DE,FR,WOODW,CONST,443.51
144817,WL,FR,COPP1,CONST,442.87
140249,WF,FR,CRUDE,KEROS,442.19
128230,US,FR,CHEM1,HEALT,441.15
31845,DE,FR,ALUM1,FABRI,438.42
5588,BE,FR,BASIC,CONST,436.82
66529,IE,FR,COMPU,COMPU,436.29
128274,US,FR,CHEM1,PLAST,436.20
114804,RU,FR,SEACO,SEACO,435.09
46311,ES,FR,MACHI,CONST,433.67
62562,HU,FR,LANDT,LANDT,428.39
132819,WA,FR,CRUDE,KEROS,427.31
136386,WA,FR,WHOLE,WHOLE,425.95
100331,NO,FR,NATUR,STEAM,425.44
97342,NL,FR,RUBBE,CONST,423.43
34055,DE,FR,FABRI,PUBLI,422.37
131212,US,FR,SEACO,SEACO,422.32
48682,ES,FR,TRANS,PUBLI,421.12
12229,BE,FR,WOODW,CONST,419.07
34029,DE,FR,FABRI,MOTO1,418.17
16312,BR,FR,SEACO,SEACO,415.16
81587,JP,FR,SEACO,SEACO,413.51
37661,DE,FR,RUBBE,MOTO1,410.85
78705,IT,FR,TRANS,TRANS,408.64
35638,DE,FR,MACHI,RENTI,407.05
35633,DE,FR,MACHI,RAILW,404.76
5952,BE,FR,BUSIN,BUSIN,404.51
66419,IE,FR,CHEM1,HEALT,402.15
