trade_id,industry_imports_total,source_share,import_intensity,supplier_count,import_concentration_hhi
80694,63.27,0.000474,0.000178,46,0.045793
80695,139.9,0.000715,0.000392,48,0.027102
80696,41.87,0.001194,0.000117,47,0.026535
80697,77.61,0.001546,0.000218,47,0.02812
80698,57.77,0.001385,0.000162,46,0.03175
80699,343.72,0.003258,0.000964,48,0.059385
80700,5629.79,1.6e-05,0.015795,48,0.013417
80701,2786.09,1.8e-05,0.007816,48,0.013354
80702,11251.17,3e-06,0.031565,48,0.012077
80703,9110.19,2e-06,0.025559,48,0.012009
80704,187.17,0.000534,0.000525,48,0.046312
80705,5629.79,2e-05,0.015795,48,0.013417
80706,2786.09,1.4e-05,0.007816,48,0.013354
80707,220.66,0.001133,0.000619,44,0.117041
80708,5629.79,4e-06,0.015795,48,0.013417
80709,718.4,0.000209,0.002015,48,0.100971
80710,5629.79,1.1e-05,0.015795,48,0.013417
80711,9095.95,1e-06,0.025519,48,0.035755
80712,9110.19,2e-06,0.025559,48,0.012009
80713,2442.62,2e-05,0.006853,48,0.160918
80714,2786.09,4e-06,0.007816,48,0.013354
80715,5189.58,2.1e-05,0.01456,48,0.02717
80716,3257.42,3e-06,0.009139,48,0.013365
80717,1114.79,9e-06,0.003128,48,0.037558
80718,848.61,1.2e-05,0.002381,48,0.013151
80719,271.92,7.4e-05,0.000763,48,0.018217
80720,2466.37,2.8e-05,0.006919,48,0.033159
80721,1768.13,2.3e-05,0.004961,48,0.10386
80722,9095.95,2.4e-05,0.025519,48,0.035755
80723,441.85,2.3e-05,0.00124,48,0.039895
80724,545.92,1.8e-05,0.001532,48,0.037034
80725,848.61,2.4e-05,0.002381,48,0.013151
80726,392.58,2.5e-05,0.001101,48,0.009581
80727,756.19,0.000225,0.002122,48,0.044752
80728,3495.85,2.6e-05,0.009808,48,0.176801
80729,17616.41,1e-06,0.049423,48,0.014207
80730,24118.97,1e-06,0.067666,48,0.041439
80731,310.15,0.000129,0.00087,48,0.039862
80732,5629.79,1.1e-05,0.015795,48,0.013417
80733,2786.09,1.1e-05,0.007816,48,0.013354
80734,344.01,2.9e-05,0.000965,48,0.038128
80735,9110.19,3.2e-05,0.025559,48,0.012009
80736,718.4,0.000111,0.002015,48,0.100971
80737,183.95,0.000381,0.000516,48,0.036346
80738,326.61,0.000122,0.000916,48,0.020783
80739,52.24,0.000383,0.000147,46,0.01596
80740,53.79,0.000558,0.000151,47,0.015847
80741,841.13,5.9e-05,0.00236,48,0.011558
80742,89.51,0.000447,0.000251,47,0.105751
80743,5629.79,0.000494,0.015795,48,0.013417
80744,2786.09,0.000538,0.007816,48,0.013354
80745,344.01,8.7e-05,0.000965,48,0.038128
80746,4099.89,5e-06,0.011502,48,0.021892
80747,9095.95,2e-06,0.025519,48,0.035755
80748,11251.17,1e-06,0.031565,48,0.012077
80749,5102.6,4e-06,0.014315,48,0.044445
80750,9110.19,6.7e-05,0.025559,48,0.012009
80751,4951.4,6e-06,0.013891,48,0.023699
80752,24118.97,0.0,0.067666,48,0.041439
80753,10902.96,2e-06,0.030589,48,0.032683
80754,9011.73,1e-06,0.025283,48,0.037054
80755,5629.79,2.5e-05,0.015795,48,0.013417
80756,2786.09,2.9e-05,0.007816,48,0.013354
80757,9110.19,2e-06,0.025559,48,0.012009
80758,5629.79,2.5e-05,0.015795,48,0.013417
80759,2786.09,2.9e-05,0.007816,48,0.013354
80760,9110.19,1e-06,0.025559,48,0.012009
80761,718.4,5.6e-05,0.002015,48,0.100971
80762,183.95,0.000163,0.000516,48,0.036346
80763,326.61,6.1e-05,0.000916,48,0.020783
80764,52.24,0.000191,0.000147,46,0.01596
80765,53.79,0.000372,0.000151,47,0.015847
80766,841.13,0.000868,0.00236,48,0.011558
80767,89.51,0.000223,0.000251,47,0.105751
80768,5629.79,0.000242,0.015795,48,0.013417
80769,2786.09,0.000258,0.007816,48,0.013354
80770,344.01,5.8e-05,0.000965,48,0.038128
80771,4099.89,5e-06,0.011502,48,0.021892
80772,9095.95,1e-06,0.025519,48,0.035755
80773,11251.17,2e-06,0.031565,48,0.012077
80774,5102.6,6e-06,0.014315,48,0.044445
80775,9110.19,0.000116,0.025559,48,0.012009
80776,4951.4,8e-06,0.013891,48,0.023699
80777,5292.62,2e-06,0.014849,48,0.009764
80778,24118.97,1e-06,0.067666,48,0.041439
80779,10902.96,2e-06,0.030589,48,0.032683
80780,9011.73,2e-06,0.025283,48,0.037054
80781,2442.62,4e-06,0.006853,48,0.160918
