region1,region2,industry_code,direct_jobs,indirect_jobs,induced_jobs,total_output_impact,tax_revenue_impact
US-AK,US-AK,mining,0.0,0.0,0.0,55821.77506172027,6698.613007406432
US-CA,US-CA,agriculture,0.0,0.0,0.0,481915.57335672673,57829.86880280721
US-CA,US-CA,construction,0.0,0.0,0.0,133062.72069620682,15967.526483544818
US-CA,US-CA,manufacturing,0.0,0.0,0.0,2074476.8532204446,248937.22238645333
US-CA,US-CA,mining,0.0,0.0,0.0,63862.40356139881,7663.488427367856
US-CA,US-CA,services,0.0,0.0,0.0,2804561.7332950127,336547.40799540153
US-CA,US-CA,transportation,0.0,0.0,0.0,264856.8575177369,31782.822902128428
US-CA,US-CA,utilities,0.0,0.0,0.0,78039.62603667809,9364.75512440137
US-CO,US-CO,mining,0.0,0.0,0.0,108129.35779669184,12975.522935603021
US-FL,US-FL,agriculture,0.0,0.0,0.0,78602.77575627863,9432.333090753436
US-FL,US-FL,construction,0.0,0.0,0.0,66215.01907052932,7945.802288463518
US-FL,US-FL,services,0.0,0.0,0.0,1139272.840508436,136712.7408610123
US-FL,US-FL,transportation,0.0,0.0,0.0,117257.88622070737,14070.946346484885
US-FL,US-FL,utilities,0.0,0.0,0.0,35058.1510692684,4206.978128312207
US-GA,US-GA,construction,0.0,0.0,0.0,31489.212263703,3778.70547164436
US-GA,US-GA,transportation,0.0,0.0,0.0,85037.96652740706,10204.555983288847
US-GA,US-GA,utilities,0.0,0.0,0.0,20545.76111809733,2465.4913341716797
US-IA,US-IA,agriculture,0.0,0.0,0.0,110578.64234538042,13269.43708144565
US-IL,US-IL,agriculture,0.0,0.0,0.0,79505.93064435346,9540.711677322415
US-IL,US-IL,construction,0.0,0.0,0.0,33820.33559365739,4058.440271238887
US-IL,US-IL,manufacturing,0.0,0.0,0.0,691336.6042258732,82960.39250710479
US-IL,US-IL,services,0.0,0.0,0.0,868591.9514741158,104231.0341768939
US-IL,US-IL,transportation,0.0,0.0,0.0,114696.18777152481,13763.542532582976
US-IL,US-IL,utilities,0.0,0.0,0.0,27820.348119116738,3338.441774294008
US-IN,US-IN,manufacturing,0.0,0.0,0.0,630931.6320820334,75711.79584984401
US-LA,US-LA,mining,0.0,0.0,0.0,75015.96849943315,9001.916219931976
US-MI,US-MI,manufacturing,0.0,0.0,0.0,615879.2913130064,73905.51495756076
US-MN,US-MN,agriculture,0.0,0.0,0.0,66261.2995609236,7951.355947310832
US-NC,US-NC,manufacturing,0.0,0.0,0.0,590517.6517951282,70862.1182154154
US-ND,US-ND,mining,0.0,0.0,0.0,74414.42185666594,8929.730622799912
US-NE,US-NE,agriculture,0.0,0.0,0.0,71586.71421431308,8590.405705717569
US-NJ,US-NJ,services,0.0,0.0,0.0,645317.4735204616,77438.09682245538
US-NJ,US-NJ,transportation,0.0,0.0,0.0,76251.84915827133,9150.22189899256
US-NY,US-NY,construction,0.0,0.0,0.0,62234.24281069034,7468.1091372828405
US-NY,US-NY,services,0.0,0.0,0.0,1903376.4585142967,228405.1750217156
US-NY,US-NY,transportation,0.0,0.0,0.0,113038.26088303601,13564.59130596432
US-NY,US-NY,utilities,0.0,0.0,0.0,46487.56546295266,5578.507855554319
US-OH,US-OH,construction,0.0,0.0,0.0,28743.50363968849,3449.2204367626186
US-OH,US-OH,manufacturing,0.0,0.0,0.0,679138.7540869359,81496.65049043231
US-OH,US-OH,services,0.0,0.0,0.0,622098.0096367649,74651.76115641178
US-OH,US-OH,utilities,0.0,0.0,0.0,21025.724134767264,2523.0868961720716
US-OK,US-OK,mining,0.0,0.0,0.0,189412.3363311424,22729.48035973709
US-PA,US-PA,construction,0.0,0.0,0.0,34883.97744561335,4186.077293473602
US-PA,US-PA,manufacturing,0.0,0.0,0.0,559081.9365681774,67089.83238818128
US-PA,US-PA,mining,0.0,0.0,0.0,72779.05121909818,8733.486146291782
US-PA,US-PA,services,0.0,0.0,0.0,776310.3466956931,93157.24160348317
US-PA,US-PA,transportation,0.0,0.0,0.0,97721.13919362692,11726.53670323523
US-PA,US-PA,utilities,0.0,0.0,0.0,24478.31055632079,2937.397266758495
US-TX,US-TX,agriculture,0.0,0.0,0.0,115976.65391756613,13917.198470107935
US-TX,US-TX,construction,0.0,0.0,0.0,100852.49537273723,12102.29944472847
US-TX,US-TX,manufacturing,0.0,0.0,0.0,1489512.7148922498,178741.52578707
US-TX,US-TX,mining,0.0,0.0,0.0,1028761.4268103756,123451.37121724508
US-TX,US-TX,services,0.0,0.0,0.0,1536443.2547623913,184373.19057148695
US-TX,US-TX,transportation,0.0,0.0,0.0,217118.72936046918,26054.2475232563
US-TX,US-TX,utilities,0.0,0.0,0.0,58681.773384838845,7041.812806180661
US-WA,US-WA,agriculture,0.0,0.0,0.0,93722.62216590201,11246.71465990824
