trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,land,material,water,impact_intensity
4476527,WA,AU,GASDI,RAILW,212.96,178974701.817,7,7,178974279.335,9.0,130.0,265.0,18.482,840414.640388
2818580,GB,AU,SEACO,SUPPO,136.64,172850280.308,7,7,172850257.996,3.0,9.0,10.0,0.312,1265004.978835
3258738,CN,AU,OFFIC,PUBLI,173.67,170993091.464,7,7,170992514.156,8.0,155.0,408.0,6.308,984586.235182
4477442,WA,AU,NONME,CONST,89.81,170222048.323,7,7,170220797.271,7.0,75.0,1155.0,14.052,1895357.40255
4479743,WA,AU,SUPPO,SUPPO,646.33,169767341.364,7,7,169766719.645,60.0,185.0,363.0,13.719,262663.564068
3256371,CN,AU,TEXTI,FURNI,297.02,164706559.363,7,7,164705752.614,15.0,244.0,540.0,7.749,554530.197842
4476428,WA,AU,GASDI,BITUM,195.6,164380600.814,7,7,164380212.839,8.0,119.0,244.0,16.975,840391.619703
4476965,WA,AU,PFERT,ELEC2,75.69,163692037.91,7,7,163691346.181,7.0,415.0,246.0,23.729,2162663.996697
3258529,CN,AU,FABRI,WOODW,113.49,156350029.047,7,7,156349672.704,6.0,95.0,250.0,5.343,1377654.674835
3258834,CN,AU,ELECT,ELECT,124.29,155446541.168,7,7,155446057.912,6.0,108.0,364.0,5.256,1250676.16999
3257807,CN,AU,RUBBE,RUBBE,106.23,152473953.493,7,7,152473310.991,6.0,202.0,428.0,6.502,1435319.151774
3258766,CN,AU,ELECT,BITUM,120.53,150734329.984,7,7,150733860.888,6.0,105.0,353.0,5.096,1250595.951083
4478350,WA,AU,CONST,PREC1,414.47,148356124.913,7,7,148355519.692,56.0,258.0,279.0,12.221,357941.768796
4478866,WA,AU,HOTEL,BEVER,388.78,144903068.501,7,7,144902127.028,60.0,631.0,233.0,17.473,372712.249861
2818571,GB,AU,SEACO,WHOLE,111.64,141228638.313,7,7,141228621.058,2.0,7.0,8.0,0.255,1265036.172635
2998621,US,AU,RUBBE,CONST,330.65,141118969.414,7,7,141118387.628,5.0,453.0,118.0,5.786,426792.58858
