trade_id,region1,region2,industry1,industry2,amount,total_resources_value,resources_count
138096,TR,IT,TEXTI,TEXTI,305.27,0,0
28822,CN,IT,LEATH,LEATH,304.29,0,0
2330,AT,IT,LANDT,LANDT,302.87,0,0
84196,IN,IT,BASIC,MACHI,301.43,0,0
43073,DE,IT,TRANS,TRANS,300.47,0,0
56479,FR,IT,BASIC,CONST,296.0,0,0
134895,TR,IT,BASIC,BASIC,293.78,0,0
64116,GB,IT,BUSIN,CONST,293.7,0,0
146830,WA,IT,CRUDE,WHOLE,292.29,0,0
57509,FR,IT,DAIRY,DAIRY,290.58,0,0
119810,RO,IT,MACHI,MACHI,290.5,0,0
145951,WA,IT,BASIC,MACHI,290.45,0,0
62466,FR,IT,RUBBE,RUBBE,288.95,0,0
162027,WL,IT,FISH5,HOTEL,287.63,0,0
59441,FR,IT,HOTEL,CONST,287.19,0,0
57903,FR,IT,ELEC3,RETA1,286.73,0,0
59863,FR,IT,LANDT,LANDT,286.57,0,0
30317,CN,IT,RUBBE,RUBBE,286.42,0,0
101956,NL,IT,BUSIN,CONST,282.73,0,0
40167,DE,IT,MACHI,MOTO1,282.31,0,0
64115,GB,IT,BUSIN,COMPU,282.22,0,0
38956,DE,IT,FOOD5,FOOD5,281.01,0,0
4927,AT,IT,WOODW,WOODW,280.82,0,0
114328,PL,IT,WOODW,CONST,280.75,0,0
166813,WM,IT,GASDI,WHOLE,279.62,0,0
39792,DE,IT,LANDT,LANDT,278.55,0,0
76505,HU,IT,LANDT,LANDT,278.47,0,0
164665,WM,IT,AIRTR,PUBLI,277.89,0,0
40461,DE,IT,MOTO1,MACHI,277.47,0,0
43049,DE,IT,TRANS,PUBLI,277.01,0,0
126531,SE,IT,MACHI,MACHI,275.61,0,0
150367,WA,IT,TEXTI,TEXTI,275.13,0,0
107479,NO,IT,CRUDE,GASDI,273.91,0,0
101955,NL,IT,BUSIN,COMPU,271.68,0,0
146803,WA,IT,CRUDE,REFI1,271.23,0,0
26754,CN,IT,BASIC,FABRI,270.59,0,0
65398,GB,IT,HOTEL,CONST,263.56,0,0
37498,DE,IT,DAIRY,HOTEL,263.23,0,0
24749,CH,IT,PLAST,RUBBE,263.17,0,0
95637,LU,IT,FINAN,CONST,262.44,0,0
91022,KR,IT,BASIC,BASIC,260.66,0,0
25990,CH,IT,SUPPO,LANDT,259.72,0,0
84153,IN,IT,BASIC,CONST,259.07,0,0
141282,US,IT,BUSIN,CONST,258.43,0,0
64688,GB,IT,CRUDE,MOTOR,257.4,0,0
65075,GB,IT,FINAN,REALE,256.71,0,0
60471,FR,IT,MOTO1,MOTO1,256.57,0,0
38540,DE,IT,FABRI,MOTO1,256.11,0,0
146809,WA,IT,CRUDE,RUBBE,252.5,0,0
165869,WM,IT,CRUDE,KEROS,252.3,0,0
48976,ES,IT,FISH5,FOOD5,249.97,0,0
27856,CN,IT,FABRI,CONST,249.64,0,0
145908,WA,IT,BASIC,CONST,249.63,0,0
141281,US,IT,BUSIN,COMPU,248.33,0,0
169532,WM,IT,RUBBE,RUBBE,247.69,0,0
139210,TW,IT,HOTEL,CONST,246.71,0,0
156911,WF,IT,CRUDE,KEROS,243.53,0,0
95619,LU,IT,FINAN,AUXIL,239.88,0,0
157384,WF,IT,FISH5,HOTEL,239.65,0,0
71841,GR,IT,VEGE1,FOOD5,237.56,0,0
64105,GB,IT,BUSIN,BUSIN,237.47,0,0
167313,WM,IT,KEROS,AIRTR,236.48,0,0
142837,US,IT,HOTEL,REALE,236.12,0,0
27874,CN,IT,FABRI,FABRI,235.85,0,0
127456,SE,IT,PULP5,PAPER,235.05,0,0
165844,WM,IT,CRUDE,CRUDE,234.49,0,0
113659,PL,IT,RUBBE,RUBBE,231.6,0,0
51184,ES,IT,PLAST,PLAST,231.29,0,0
121809,RU,IT,BASIC,FABRI,230.82,0,0
21769,CH,IT,AIRTR,PUBLI,229.89,0,0
142790,US,IT,HOTEL,HEALT,229.87,0,0
151239,WE,IT,BASIC,FABRI,229.68,0,0
111855,PL,IT,LANDT,LANDT,229.67,0,0
50615,ES,IT,MOTO1,MOTO1,228.92,0,0
64123,GB,IT,BUSIN,EDUCA,228.61,0,0
101945,NL,IT,BUSIN,BUSIN,228.61,0,0
141240,US,IT,BITUM,ELEC1,228.12,0,0
58896,FR,IT,FOOD5,FOOD5,227.15,0,0
167041,WM,IT,HOTEL,CONST,226.65,0,0
156886,WF,IT,CRUDE,CRUDE,226.34,0,0
168018,WM,IT,NATU1,GASDI,222.84,0,0
25804,CH,IT,SEACO,LANDT,222.3,0,0
59522,FR,IT,HOTEL,REALE,222.05,0,0
141834,US,IT,COPP1,COPP1,221.85,0,0
26390,CH,IT,WOODW,CONST,221.02,0,0
38962,DE,IT,FOOD5,HOTEL,220.65,0,0
101963,NL,IT,BUSIN,EDUCA,220.08,0,0
40409,DE,IT,MOTO1,BUSIN,220.06,0,0
34310,CZ,IT,MACHI,MACHI,218.65,0,0
64199,GB,IT,BUSIN,REALE,216.51,0,0
59475,FR,IT,HOTEL,HEALT,216.17,0,0
42336,DE,IT,RUBBE,MOTO1,215.05,0,0
101612,NL,IT,AIRTR,PUBLI,214.38,0,0
26726,CN,IT,BASIC,BASIC,213.97,0,0
146707,WA,IT,CRUDE,BITU1,212.21,0,0
156085,WF,IT,ALUM1,ALUM1,209.78,0,0
141273,US,IT,BUSIN,BUSIN,208.96,0,0
164949,WM,IT,BASIC,MACHI,208.71,0,0
102038,NL,IT,BUSIN,REALE,208.43,0,0
63484,FR,IT,WOODW,CONST,208.22,0,0
153820,WE,IT,LEATH,LEATH,207.61,0,0
144034,US,IT,PLAST,RUBBE,207.13,0,0
92935,KR,IT,PLAST,RUBBE,207.12,0,0
41085,DE,IT,PAPER,PAPER,206.26,0,0
142325,US,IT,FINAN,REALE,205.02,0,0
130508,SI,IT,LANDT,LANDT,204.78,0,0
107495,NO,IT,CRUDE,MOTOR,204.56,0,0
65477,GB,IT,HOTEL,REALE,203.78,0,0
169863,WM,IT,TEXTI,WEARI,203.44,0,0
49706,ES,IT,HOTEL,CONST,203.15,0,0
62963,FR,IT,TEXTI,TEXTI,201.72,0,0
141289,US,IT,BUSIN,EDUCA,201.16,0,0
161613,WL,IT,COPP1,REALE,198.85,0,0
164698,WM,IT,ALUM1,ALUM1,198.49,0,0
65431,GB,IT,HOTEL,HEALT,198.39,0,0
57467,FR,IT,COPP1,REALE,198.37,0,0
141833,US,IT,COPP1,CONST,197.2,0,0
40108,DE,IT,MACHI,BUSIN,196.93,0,0
23706,CH,IT,INSUR,LANDT,195.94,0,0
106486,NL,IT,TEXTI,TEXTI,194.66,0,0
138871,TW,IT,CONST,CONST,194.27,0,0
1019,AT,IT,COPP1,REALE,194.08,0,0
141850,US,IT,COPP1,FABRI,193.85,0,0
77954,HU,IT,TEXTI,TEXTI,192.96,0,0
42944,DE,IT,TEXTI,WEARI,192.77,0,0
56187,FR,IT,AIRTR,PUBLI,192.65,0,0
95722,LU,IT,FINAN,PUBLI,192.55,0,0
160367,WF,IT,VEGE1,FOOD5,192.38,0,0
