trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,material,impact_intensity
8840,CN,CN,SANDC,RAILW,8.85,2985139.0,1.0,1.0,2985139.0,337303.841808
8825,CN,CN,SANDC,COPP1,7.71,2600181.0,1.0,1.0,2600181.0,337247.859922
8830,CN,CN,SANDC,ELEC5,6.33,2134305.0,1.0,1.0,2134305.0,337172.985782
8829,CN,CN,SANDC,ELEC3,5.37,1810505.0,1.0,1.0,1810505.0,337151.769088
8839,CN,CN,SANDC,RADIO,4.82,1626901.0,1.0,1.0,1626901.0,337531.327801
7656,CN,CN,PREC1,PREC1,37954.48,1413841.0,1.0,1.0,1413841.0,37.250965
1949,CN,CN,COPP1,COPP1,42700.51,1354800.0,1.0,1.0,1354800.0,31.727958
6903,CN,CN,OFFIC,OFFIC,996763.47,1347354.0,1.0,1.0,1347354.0,1.351729
1951,CN,CN,COPP1,ELECT,38881.86,1233642.0,1.0,1.0,1233642.0,31.727957
2247,CN,CN,DISTR,DISTR,94654.82,1214168.0,1.0,1.0,1214168.0,12.827324
8818,CN,CN,SANDC,93197,3.57,1203934.0,1.0,1.0,1203934.0,337236.414566
1226,CN,CN,CERAM,CONST,475704.03,1133059.0,1.0,1.0,1133059.0,2.381857
8828,CN,CN,SANDC,ELEC2,3.27,1102067.0,1.0,1.0,1102067.0,337023.547401
8835,CN,CN,SANDC,MEMBE,2.55,860750.0,1.0,1.0,860750.0,337549.019608
5545,CN,CN,LEAD1,LEAD1,39725.3,842441.0,1.0,1.0,842441.0,21.206662
5259,CN,CN,IRONO,RESEA,232.42,713690.0,1.0,1.0,713690.0,3070.69099
8837,CN,CN,SANDC,PREC1,1.86,628891.0,1.0,1.0,628891.0,338113.44086
8834,CN,CN,SANDC,LEAD1,1.86,627964.0,1.0,1.0,627964.0,337615.053763
3504,CN,CN,ELECT,CONST,236972.01,624014.0,1.0,1.0,624014.0,2.633281
9010,CN,CN,STONE,ELEC5,4.53,612067.0,1.0,1.0,612067.0,135114.128035
8841,CN,CN,SANDC,STEAM,1.71,577062.0,1.0,1.0,577062.0,337463.157895
6185,CN,CN,MOTO1,MOTO1,452784.12,523422.0,1.0,1.0,523422.0,1.156008
484,CN,CN,BASIC,BASIC,351180.85,513124.0,1.0,1.0,513124.0,1.461139
1952,CN,CN,COPP1,FABRI,15742.75,499485.0,1.0,1.0,499485.0,31.727938
3650,CN,CN,FABRI,FABRI,218974.03,494492.0,1.0,1.0,494492.0,2.258222
8111,CN,CN,RAILW,PUBLI,39922.49,486529.0,1.0,1.0,486529.0,12.18684
510,CN,CN,BASIC,FABRI,325815.35,476062.0,1.0,1.0,476062.0,1.46114
