trade_id,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_intensity
3350378,CN,WA,STONE,CHEM1,22.14,221954.0,1.0,1.0,221954.0,10025.022584
3350411,CN,WA,SANDC,CHEM1,4.53,143342.0,1.0,1.0,143342.0,31642.825607
3373713,CN,WM,SANDC,EDUCA,2.96,93786.0,1.0,1.0,93786.0,31684.459459
3360871,CN,WL,SANDC,COPP1,2.93,92648.0,1.0,1.0,92648.0,31620.477816
3369129,CN,WF,STONE,REALE,8.8,88216.0,1.0,1.0,88216.0,10024.545455
3373699,CN,WM,SANDC,PFERT,2.53,80233.0,1.0,1.0,80233.0,31712.648221
3350385,CN,WA,STONE,NONF1,7.71,77343.0,1.0,1.0,77343.0,10031.51751
3373708,CN,WM,SANDC,REALE,1.93,61023.0,1.0,1.0,61023.0,31618.134715
3369133,CN,WF,STONE,EDUCA,5.97,59903.0,1.0,1.0,59903.0,10034.00335
3288319,CN,US,STONE,BITUM,5.33,53407.0,1.0,1.0,53407.0,10020.075047
3294124,CN,JP,STONE,REALE,5.13,51414.0,1.0,1.0,51414.0,10022.222222
3350416,CN,WA,SANDC,NONF1,1.58,49950.0,1.0,1.0,49950.0,31613.924051
3324788,CN,IN,STONE,CONST,4.73,47418.0,1.0,1.0,47418.0,10024.947146
3318829,CN,KR,STONE,TRANS,4.65,46644.0,1.0,1.0,46644.0,10030.967742
3350393,CN,WA,STONE,WHOLE,4.62,46315.0,1.0,1.0,46315.0,10024.891775
3373700,CN,WM,SANDC,CHEM1,1.27,40103.0,1.0,1.0,40103.0,31577.165354
3350379,CN,WA,STONE,CHARC,3.85,38561.0,1.0,1.0,38561.0,10015.844156
3360866,CN,WL,SANDC,CHEM1,1.21,38407.0,1.0,1.0,38407.0,31741.322314
3344783,CN,ID,STONE,WHOLE,3.77,37841.0,1.0,1.0,37841.0,10037.400531
3354900,CN,WA,BASIC,BASIC,12001.5,35754.0,1.0,1.0,35754.0,2.979128
3350364,CN,WA,STONE,SANDC,3.52,35252.0,1.0,1.0,35252.0,10014.772727
3294116,CN,JP,STONE,RETA1,3.45,34626.0,1.0,1.0,34626.0,10036.521739
3344779,CN,ID,STONE,CEMEN,3.25,32568.0,1.0,1.0,32568.0,10020.923077
3350419,CN,WA,SANDC,WHOLE,0.94,29911.0,1.0,1.0,29911.0,31820.212766
3369128,CN,WF,STONE,INSUR,2.91,29127.0,1.0,1.0,29127.0,10009.278351
3350359,CN,WA,STONE,ANIMA,2.84,28440.0,1.0,1.0,28440.0,10014.084507
3350384,CN,WA,STONE,LEAD1,2.62,26301.0,1.0,1.0,26301.0,10038.549618
3350412,CN,WA,SANDC,CHARC,0.79,24903.0,1.0,1.0,24903.0,31522.78481
3350363,CN,WA,STONE,STONE,2.48,24898.0,1.0,1.0,24898.0,10039.516129
3285238,CN,GB,STONE,CEMEN,2.47,24757.0,1.0,1.0,24757.0,10023.076923
3369134,CN,WF,STONE,HEALT,2.45,24552.0,1.0,1.0,24552.0,10021.22449
3350407,CN,WA,SANDC,SANDC,0.72,22767.0,1.0,1.0,22767.0,31620.833333
3373680,CN,WM,STONE,EDUCA,2.23,22373.0,1.0,1.0,22373.0,10032.735426
3373716,CN,WM,SANDC,93197,0.69,21723.0,1.0,1.0,21723.0,31482.608696
3373694,CN,WM,SANDC,GASDI,0.68,21392.0,1.0,1.0,21392.0,31458.823529
3360850,CN,WL,STONE,CHEM1,2.13,21388.0,1.0,1.0,21388.0,10041.314554
3294115,CN,JP,STONE,WHOLE,2.02,20226.0,1.0,1.0,20226.0,10012.871287
3373714,CN,WM,SANDC,HEALT,0.62,19647.0,1.0,1.0,19647.0,31688.709677
3354907,CN,WA,BASIC,FABRI,6406.74,19086.0,1.0,1.0,19086.0,2.97905
3373663,CN,WM,STONE,PFERT,1.86,18683.0,1.0,1.0,18683.0,10044.623656
3377019,CN,WM,BASIC,CONST,6199.22,18468.0,1.0,1.0,18468.0,2.979084
3355048,CN,WA,PREC1,PREC1,962.38,18379.0,1.0,1.0,18379.0,19.097446
3350403,CN,WA,SANDC,ANIMA,0.58,18367.0,1.0,1.0,18367.0,31667.241379
3285231,CN,GB,STONE,DAIRY,1.8,18085.0,1.0,1.0,18085.0,10047.222222
3373676,CN,WM,STONE,REALE,1.77,17729.0,1.0,1.0,17729.0,10016.384181
3285255,CN,GB,STONE,EDUCA,1.7,17074.0,1.0,1.0,17074.0,10043.529412
3350415,CN,WA,SANDC,LEAD1,0.54,16986.0,1.0,1.0,16986.0,31455.555556
3344784,CN,ID,STONE,RETA1,1.67,16730.0,1.0,1.0,16730.0,10017.964072
3324794,CN,IN,SANDC,CONST,0.52,16547.0,1.0,1.0,16547.0,31821.153846
3350394,CN,WA,STONE,RETA1,1.64,16417.0,1.0,1.0,16417.0,10010.365854
3350406,CN,WA,SANDC,STONE,0.51,16080.0,1.0,1.0,16080.0,31529.411765
3294120,CN,JP,STONE,SUPPO,1.6,15999.0,1.0,1.0,15999.0,9999.375
3321235,CN,KR,NONME,CONST,1130.37,15707.0,1.0,1.0,15707.0,13.89545
