trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,material,impact_intensity
36721,FR,DE,COPP1,FABRI,239.51,122.0,1.0,1.0,122.0,0.509373
139665,FR,US,RUBBE,REALE,456.99,122.0,1.0,1.0,122.0,0.266964
35443,FR,DE,ALUM1,MACHI,417.96,120.0,1.0,1.0,120.0,0.287109
16562,FR,BR,CONST,REALE,344.45,118.0,1.0,1.0,118.0,0.342575
42174,FR,DE,STONE,CONST,14.98,116.0,1.0,1.0,116.0,7.743658
28179,FR,CN,CHEM1,PUBLI,232.94,115.0,1.0,1.0,115.0,0.493689
29873,FR,CN,MEATP,MEATP,803.68,114.0,1.0,1.0,114.0,0.141848
41800,FR,DE,RUBBE,MOTO1,427.2,114.0,1.0,1.0,114.0,0.266854
88463,FR,KR,SEACO,SEACO,311.79,113.0,1.0,1.0,113.0,0.362423
6699,FR,BE,BASIC,CONST,521.06,113.0,1.0,1.0,113.0,0.216866
82207,FR,IT,SANDC,WHOLE,2.35,111.0,1.0,1.0,111.0,47.234043
39083,FR,DE,KEROS,AIRTR,300.14,110.0,1.0,1.0,110.0,0.366496
31195,FR,CN,SANDC,RUBBE,2.3,109.0,1.0,1.0,109.0,47.391304
129516,FR,TR,BASIC,BASIC,504.61,109.0,1.0,1.0,109.0,0.216008
156855,FR,WF,SANDC,HEALT,2.25,107.0,1.0,1.0,107.0,47.555556
37764,FR,DE,FABRI,CONST,568.71,106.0,1.0,1.0,106.0,0.186387
41963,FR,DE,SANDC,BUSIN,2.22,106.0,1.0,1.0,106.0,47.747748
98049,FR,NL,KEROS,AIRTR,289.25,106.0,1.0,1.0,106.0,0.366465
60962,FR,GB,SEACO,SEACO,288.43,105.0,1.0,1.0,105.0,0.36404
140891,FR,WA,BEVER,HOTEL,733.99,104.0,1.0,1.0,104.0,0.141691
35415,FR,DE,ALUM1,FABRI,352.9,102.0,1.0,1.0,102.0,0.289034
112523,FR,PT,SANDC,STONE,2.14,101.0,1.0,1.0,101.0,47.196262
28133,FR,CN,CHEM1,GLASS,203.67,101.0,1.0,1.0,101.0,0.4959
76522,FR,IT,CATTL,MEATC,460.62,101.0,1.0,1.0,101.0,0.21927
106523,FR,PL,MOTO1,MOTO1,591.45,101.0,1.0,1.0,101.0,0.170767
77102,FR,IT,COPP1,REALE,198.37,101.0,1.0,1.0,101.0,0.50915
82165,FR,IT,SANDC,CONST,2.1,100.0,1.0,1.0,100.0,47.619048
30458,FR,CN,PLAST,RUBBE,541.5,99.0,1.0,1.0,99.0,0.182825
88380,FR,KR,SANDC,CERAM,2.06,98.0,1.0,1.0,98.0,47.572816
40534,FR,DE,PAPER,PAPER,186.93,98.0,1.0,1.0,98.0,0.52426
164312,FR,WM,CHEM1,PUBLI,193.44,96.0,1.0,1.0,96.0,0.496278
46539,FR,ES,BASIC,MACHI,445.27,96.0,1.0,1.0,96.0,0.2156
42561,FR,DE,TRANS,TRANS,544.2,96.0,1.0,1.0,96.0,0.176406
31727,FR,CN,WHEAT,WHEAT,342.54,95.0,1.0,1.0,95.0,0.27734
36019,FR,DE,CEMEN,CEMEN,38.81,95.0,1.0,1.0,95.0,2.447823
41839,FR,DE,RUBBE,RUBBE,348.09,93.0,1.0,1.0,93.0,0.267172
100324,FR,NL,SEACO,SEACO,255.44,93.0,1.0,1.0,93.0,0.364078
41965,FR,DE,SANDC,CERAM,1.97,93.0,1.0,1.0,93.0,47.208122
12648,FR,BE,SEACO,SEACO,253.1,92.0,1.0,1.0,92.0,0.363493
41997,FR,DE,SANDC,MACHI,1.92,91.0,1.0,1.0,91.0,47.395833
153335,FR,WF,FABRI,CONST,484.9,91.0,1.0,1.0,91.0,0.187668
35574,FR,DE,BASIC,CONST,416.07,90.0,1.0,1.0,90.0,0.21631
131333,FR,TR,MOTO1,MOTO1,526.81,90.0,1.0,1.0,90.0,0.17084
75314,FR,IN,SEACO,PADDY,245.38,89.0,1.0,1.0,89.0,0.362703
131825,FR,TR,PLAST,RUBBE,484.2,88.0,1.0,1.0,88.0,0.181743
26718,FR,CH,SANDC,CERAM,1.83,87.0,1.0,1.0,87.0,47.540984
123809,FR,SE,SANDC,CONST,1.82,87.0,1.0,1.0,87.0,47.802198
46937,FR,ES,CEMEN,CEMEN,35.8,87.0,1.0,1.0,87.0,2.430168
152572,FR,WF,CEMEN,CONST,35.5,87.0,1.0,1.0,87.0,2.450704
28160,FR,CN,CHEM1,NONME,172.4,85.0,1.0,1.0,85.0,0.493039
35866,FR,DE,BUSIN,BUSIN,2006.17,85.0,1.0,1.0,85.0,0.042369
162440,FR,WL,SANDC,CHEM1,1.79,85.0,1.0,1.0,85.0,47.486034
7298,FR,BE,CEREA,FOOD5,303.58,85.0,1.0,1.0,85.0,0.279992
22963,FR,CH,ELEC3,EDUCA,515.88,85.0,1.0,1.0,85.0,0.164767
31228,FR,CN,SEACO,SEACO,233.14,85.0,1.0,1.0,85.0,0.364588
28062,FR,CN,CERAM,CONST,73.16,84.0,1.0,1.0,84.0,1.148168
9166,FR,BE,GLASS,BUSIN,152.41,84.0,1.0,1.0,84.0,0.551145
45012,FR,DK,SEACO,SEACO,226.46,82.0,1.0,1.0,82.0,0.362095
36261,FR,DE,CHEM1,HEALT,166.18,82.0,1.0,1.0,82.0,0.493441
31459,FR,CN,TRANS,CONST,461.69,82.0,1.0,1.0,82.0,0.177608
136477,FR,US,CEMEN,CONST,33.52,82.0,1.0,1.0,82.0,2.446301
53404,FR,FI,CEMEN,CONST,32.73,80.0,1.0,1.0,80.0,2.444241
28113,FR,CN,CHEM1,CONST,159.91,79.0,1.0,1.0,79.0,0.494028
50742,FR,ES,PAPER,EDUCA,150.12,79.0,1.0,1.0,79.0,0.526246
31181,FR,CN,SANDC,CONST,1.65,79.0,1.0,1.0,79.0,47.878788
136223,FR,US,BEVER,BEVER,550.85,78.0,1.0,1.0,78.0,0.141599
139017,FR,US,PLAST,RUBBE,422.72,77.0,1.0,1.0,77.0,0.182154
82101,FR,IT,RUBBE,RUBBE,288.95,77.0,1.0,1.0,77.0,0.266482
13064,FR,BE,TRAN2,TRAN2,209.13,76.0,1.0,1.0,76.0,0.36341
31468,FR,CN,TRANS,FISHF,428.22,76.0,1.0,1.0,76.0,0.177479
76157,FR,IT,BASIC,MACHI,344.4,75.0,1.0,1.0,75.0,0.21777
135421,FR,TW,SEACO,POSTT,205.28,75.0,1.0,1.0,75.0,0.365355
31192,FR,CN,SANDC,PUBLI,1.59,75.0,1.0,1.0,75.0,47.169811
28088,FR,CN,CHEM1,93197,152.24,75.0,1.0,1.0,75.0,0.492643
46356,FR,ES,ALUM1,MACHI,260.27,75.0,1.0,1.0,75.0,0.288162
28105,FR,CN,CHEM1,CERAM,148.83,74.0,1.0,1.0,74.0,0.497212
156857,FR,WF,SANDC,INSUR,1.56,74.0,1.0,1.0,74.0,47.435897
82182,FR,IT,SANDC,GLASS,1.55,74.0,1.0,1.0,74.0,47.741935
26856,FR,CH,SEACO,SEACO,201.76,73.0,1.0,1.0,73.0,0.361816
80970,FR,IT,PLAST,PLAST,398.1,73.0,1.0,1.0,73.0,0.183371
28331,FR,CN,COPP1,CONST,143.29,73.0,1.0,1.0,73.0,0.509456
10367,FR,BE,MOTO1,MOTO1,426.76,73.0,1.0,1.0,73.0,0.171056
12536,FR,BE,SANDC,CEMEN,1.51,72.0,1.0,1.0,72.0,47.682119
163760,FR,WM,BASIC,CRUDE,331.33,72.0,1.0,1.0,72.0,0.217306
