trade_id,year,region1,region2,industry1,industry2,amount
1822,2020,US,US,BUSIN,BUSIN,385049.60
1874,2020,US,US,BUSIN,HEALT,282949.56
1941,2020,US,US,BUSIN,REALE,276504.13
6125,2020,US,US,FINAN,FINAN,210867.51
6207,2020,US,US,FINAN,REALE,209408.73
3140,2020,US,US,CONST,REALE,184643.97
600,2020,US,US,AUXIL,AUXIL,174835.85
15077,2020,US,US,REALE,HEALT,174749.08
1859,2020,US,US,BUSIN,FINAN,166719.83
668,2020,US,US,AUXIL,INSUR,160730.92
15143,2020,US,US,REALE,REALE,154541.33
1974,2020,US,US,BUSIN,WHOLE,149590.77
6146,2020,US,US,FINAN,INSUR,133760.20
15026,2020,US,US,REALE,BUSIN,122904.07
11080,2020,US,US,MOTO1,MOTO1,119056.34
8791,2020,US,US,INSUR,HEALT,116365.59
1936,2020,US,US,BUSIN,PUBLI,114025.43
1835,2020,US,US,BUSIN,COMPU,109107.64
2853,2020,US,US,COMPU,BUSIN,101398.28
1946,2020,US,US,BUSIN,RETA1,100320.43
18913,2020,US,US,WHOLE,CONST,95597.81
15735,2020,US,US,RETA1,CONST,95407.98
15148,2020,US,US,REALE,RETA1,94698.79
15309,2020,US,US,RECRE,RECRE,88092.78
18951,2020,US,US,WHOLE,HEALT,82261.58
15062,2020,US,US,REALE,FINAN,78232.07
6089,2020,US,US,FINAN,BUSIN,76959.00
1876,2020,US,US,BUSIN,HOTEL,76445.16
3135,2020,US,US,CONST,PUBLI,76145.93
13929,2020,US,US,POSTT,BUSIN,74416.00
15083,2020,US,US,REALE,INSUR,70336.87
1945,2020,US,US,BUSIN,RESEA,70120.76
2964,2020,US,US,COMPU,PUBLI,68160.67
8856,2020,US,US,INSUR,REALE,67525.78
3501,2020,US,US,CRUDE,MOTOR,66166.39
8851,2020,US,US,INSUR,PUBLI,64163.83
14078,2020,US,US,POSTT,WHOLE,58876.03
15176,2020,US,US,REALE,WHOLE,58802.88
1880,2020,US,US,BUSIN,INSUR,58089.24
7946,2020,US,US,HEALT,HEALT,55992.42
19409,2020,US,US,WOODW,CONST,55011.15
15079,2020,US,US,REALE,HOTEL,54714.10
17277,2020,US,US,SUPPO,RETA1,52170.31
15047,2020,US,US,REALE,EDUCA,51690.77
8223,2020,US,US,HOTEL,HEALT,51607.50
18978,2020,US,US,WHOLE,MOTO1,50911.06
13980,2020,US,US,POSTT,HEALT,50724.36
19013,2020,US,US,WHOLE,PUBLI,50598.19
17305,2020,US,US,SUPPO,WHOLE,50310.88
13903,2020,US,US,PLAST,RUBBE,49869.08
2904,2020,US,US,COMPU,HEALT,49861.92
3448,2020,US,US,CRUDE,CRUDE,49828.14
6140,2020,US,US,FINAN,HEALT,48703.47
6951,2020,US,US,FOOD5,FOOD5,48454.99
14040,2020,US,US,POSTT,PUBLI,47583.88
15408,2020,US,US,RENTI,BUSIN,47124.74
2048,2020,US,US,CEMEN,CONST,46554.00
3473,2020,US,US,CRUDE,GASDI,46395.59
18943,2020,US,US,WHOLE,FOOD5,44901.22
9272,2020,US,US,LANDT,CONST,44480.39
19051,2020,US,US,WHOLE,WHOLE,43676.99
3982,2020,US,US,DISTR,REALE,43558.72
14947,2020,US,US,RAWMI,DAIRY,42311.19
13965,2020,US,US,POSTT,FINAN,41510.09
8173,2020,US,US,HOTEL,BUSIN,40125.76
1942,2020,US,US,BUSIN,RECRE,39588.89
5955,2020,US,US,FABRI,FABRI,39071.45
16155,2020,US,US,SALEM,MOTO1,38651.58
3437,2020,US,US,CRUDE,CHEM1,37792.76
6202,2020,US,US,FINAN,PUBLI,36976.88
2397,2020,US,US,CHEM1,HEALT,36409.00
2006,2020,US,US,CATTL,MEATC,35512.38
10063,2020,US,US,MACHI,CONST,35198.73
15198,2020,US,US,RECRE,BUSIN,35181.42
2889,2020,US,US,COMPU,FINAN,35120.94
14034,2020,US,US,POSTT,POSTT,34935.52
15138,2020,US,US,REALE,PUBLI,34816.09
5736,2020,US,US,ELECT,CONST,34501.84
18989,2020,US,US,WHOLE,OFFIC,33593.43
1844,2020,US,US,BUSIN,EDUCA,33316.22
9302,2020,US,US,LANDT,FOOD5,33145.39
14045,2020,US,US,POSTT,REALE,33051.92
11277,2020,US,US,MOTOR,PUBLI,32110.31
18899,2020,US,US,WHOLE,BUSIN,32106.38
8286,2020,US,US,HOTEL,REALE,31925.00
2865,2020,US,US,COMPU,COMPU,31879.94
18174,2020,US,US,TRANS,TRANS,31690.42
1858,2020,US,US,BUSIN,FABRI,31602.78
1911,2020,US,US,BUSIN,OFFIC,31432.25
18149,2020,US,US,TRANS,PUBLI,30795.54
13950,2020,US,US,POSTT,EDUCA,30412.35
1944,2020,US,US,BUSIN,RENTI,30360.95
9280,2020,US,US,LANDT,EDUCA,29645.89
15103,2020,US,US,REALE,MEMBE,29557.47
3504,2020,US,US,CRUDE,NATUR,29416.14
6210,2020,US,US,FINAN,RENTI,29252.21
1900,2020,US,US,BUSIN,MOTO1,28542.76
6166,2020,US,US,FINAN,MEMBE,28356.55
13376,2020,US,US,PFERT,PFERT,28173.06
3814,2020,US,US,DIST1,REALE,27397.79
13990,2020,US,US,POSTT,LANDT,27276.07
9371,2020,US,US,LANDT,PUBLI,27247.61
1866,2020,US,US,BUSIN,FOOD5,27166.78
15039,2020,US,US,REALE,CONST,27117.03
2281,2020,US,US,CEREA,FOOD5,27106.59
18970,2020,US,US,WHOLE,MACHI,26350.41
15421,2020,US,US,RENTI,CONST,26346.55
15144,2020,US,US,REALE,RECRE,25843.34
18905,2020,US,US,WHOLE,CHEM1,25542.62
18935,2020,US,US,WHOLE,FABRI,25366.66
14322,2020,US,US,PRINT,BUSIN,25339.32
19535,2020,US,US,WOODW,WOODW,24918.35
18921,2020,US,US,WHOLE,EDUCA,24783.39
17154,2020,US,US,SUPPO,BUSIN,24532.70
15988,2020,US,US,RUBBE,MOTO1,24235.46
7454,2020,US,US,FURNI,CONST,24028.61
9310,2020,US,US,LANDT,HEALT,23423.04
10126,2020,US,US,MACHI,MOTO1,23247.98
14050,2020,US,US,POSTT,RETA1,23010.11
1934,2020,US,US,BUSIN,PRINT,22980.79
8776,2020,US,US,INSUR,FINAN,22847.75
13941,2020,US,US,POSTT,COMPU,22672.27
15926,2020,US,US,RUBBE,CONST,22599.45
14120,2020,US,US,POULT,MEAT1,22546.21
19017,2020,US,US,WHOLE,RAWMI,21995.07
1899,2020,US,US,BUSIN,MEMBE,21962.09
1840,2020,US,US,BUSIN,CRUDE,21921.89
15147,2020,US,US,REALE,RESEA,21124.09
18890,2020,US,US,WHOLE,BASIC,21062.97
17217,2020,US,US,SUPPO,LANDT,20871.17
14558,2020,US,US,PUBLI,FINAN,20509.43
15557,2020,US,US,RENTI,WHOLE,20487.34
14131,2020,US,US,POULT,POULT,20465.26
1892,2020,US,US,BUSIN,MACHI,20419.86
9258,2020,US,US,LANDT,BUSIN,20022.91
17290,2020,US,US,SUPPO,SUPPO,19939.13
15038,2020,US,US,REALE,COMPU,19869.47
10118,2020,US,US,MACHI,MACHI,19768.63
849,2020,US,US,BASIC,BASIC,19745.06
8797,2020,US,US,INSUR,INSUR,19381.72
19023,2020,US,US,WHOLE,RETA1,19216.43
930,2020,US,US,BASIC,MOTO1,19033.58
12155,2020,US,US,OFFIC,OFFIC,18893.67
3074,2020,US,US,CONST,HEALT,18836.79
15298,2020,US,US,RECRE,POSTT,18537.93
4047,2020,US,US,EDUCA,EDUCA,18435.13
4691,2020,US,US,ELEC2,REALE,18410.55
14342,2020,US,US,PRINT,EDUCA,18360.29
7387,2020,US,US,FOUND,MOTO1,18312.12
19022,2020,US,US,WHOLE,RESEA,18310.70
8740,2020,US,US,INSUR,BUSIN,18270.68
15444,2020,US,US,RENTI,FINAN,18060.37
6913,2020,US,US,FOOD5,BEVER,17551.78
3591,2020,US,US,DAIRY,DAIRY,17485.91
8209,2020,US,US,HOTEL,FINAN,17262.73
9337,2020,US,US,LANDT,MOTO1,17203.50
17206,2020,US,US,SUPPO,HEALT,17198.08
15459,2020,US,US,RENTI,HEALT,16937.75
18997,2020,US,US,WHOLE,PAPER,16919.29
17276,2020,US,US,SUPPO,RESEA,16847.77
5987,2020,US,US,FABRI,MACHI,16723.84
14371,2020,US,US,PRINT,HEALT,16308.68
7616,2020,US,US,GASDI,CONST,16234.15
6212,2020,US,US,FINAN,RETA1,16149.94
15030,2020,US,US,REALE,CEREA,15671.83
155,2020,US,US,AIRTR,BUSIN,15500.68
11191,2020,US,US,MOTOR,EDUCA,15425.22
18881,2020,US,US,WHOLE,93197,15386.99
1828,2020,US,US,BUSIN,CHEM1,15380.06
18953,2020,US,US,WHOLE,HOTEL,15322.22
17267,2020,US,US,SUPPO,PUBLI,15165.30
13111,2020,US,US,PAPER,PAPER,14947.71
1966,2020,US,US,BUSIN,TRANS,14693.85
19483,2020,US,US,WOODW,PAPER,14472.61
6240,2020,US,US,FINAN,WHOLE,14352.86
13453,2020,US,US,PIGS9,MEATP,14145.38
7714,2020,US,US,GASDI,PUBLI,13913.04
15146,2020,US,US,REALE,RENTI,13908.06
7972,2020,US,US,HEALT,PUBLI,13801.92
15963,2020,US,US,RUBBE,HEALT,13766.87
3543,2020,US,US,CRUDE,RUBBE,13745.63
8888,2020,US,US,INSUR,WHOLE,13691.08
14901,2020,US,US,RAILW,PUBLI,13627.51
1983,2020,US,US,CATTL,CATTL,13624.09
18305,2020,US,US,VEGET,FOOD5,13594.12
1929,2020,US,US,BUSIN,PLAST,13524.50
11405,2020,US,US,NATUR,ELEC2,13469.59
