interstate_id,state_industry_exports_total,state_destination_share,state_export_intensity,state_destination_count,state_export_concentration
1,120517.6,9e-06,0.010015,41,0.043026
2,120517.6,0.0,0.010015,41,0.043026
3,120517.6,5e-06,0.010015,41,0.043026
4,120517.6,0.0,0.010015,41,0.043026
5,120517.6,3.7e-05,0.010015,41,0.043026
6,120517.6,1e-05,0.010015,41,0.043026
7,13508.87,0.007239,0.001123,41,0.051753
8,13508.87,8e-06,0.001123,41,0.051753
9,13508.87,0.001822,0.001123,41,0.051753
10,13508.87,0.0,0.001123,41,0.051753
11,13508.87,0.009025,0.001123,41,0.051753
12,13508.87,0.000105,0.001123,41,0.051753
13,51974.63,0.000102,0.004319,41,0.008223
14,51974.63,1e-06,0.004319,41,0.008223
15,51974.63,0.000555,0.004319,41,0.008223
16,51974.63,6.9e-05,0.004319,41,0.008223
17,51974.63,0.0,0.004319,41,0.008223
18,51974.63,0.000644,0.004319,41,0.008223
19,51974.63,4.6e-05,0.004319,41,0.008223
20,51974.63,8e-06,0.004319,41,0.008223
21,51974.63,0.000443,0.004319,41,0.008223
22,70020.88,0.000377,0.005819,41,0.021451
23,70020.88,0.000233,0.005819,41,0.021451
24,70020.88,0.000678,0.005819,41,0.021451
25,293825.24,0.0,0.024417,41,0.005647
26,293825.24,3.2e-05,0.024417,41,0.005647
27,293825.24,3.1e-05,0.024417,41,0.005647
28,293825.24,3e-05,0.024417,41,0.005647
29,293825.24,4e-06,0.024417,41,0.005647
30,293825.24,1.3e-05,0.024417,41,0.005647
31,293825.24,8e-06,0.024417,41,0.005647
32,293825.24,2.5e-05,0.024417,41,0.005647
33,293825.24,1.6e-05,0.024417,41,0.005647
34,293825.24,4.4e-05,0.024417,41,0.005647
35,293825.24,3.8e-05,0.024417,41,0.005647
36,293825.24,0.000169,0.024417,41,0.005647
37,368917.6,1.5e-05,0.030657,41,0.010956
38,368917.6,0.0,0.030657,41,0.010956
39,368917.6,0.000373,0.030657,41,0.010956
40,368917.6,1.9e-05,0.030657,41,0.010956
