region1,region2,industry_code,direct_jobs,indirect_jobs,induced_jobs,total_output_impact,tax_revenue_impact
US-CA,US-CA,agriculture,0.0,0.0,0.0,477644.33187408594,57317.319824890306
US-CA,US-CA,construction,0.0,0.0,0.0,135348.99685629227,16241.879622755072
US-CA,US-CA,manufacturing,0.0,0.0,0.0,2111140.747424785,253336.8896909742
US-CA,US-CA,mining,0.0,0.0,0.0,59870.43989854917,7184.4527878259005
US-CA,US-CA,services,0.0,0.0,0.0,2969276.1099523217,356313.1331942786
US-CA,US-CA,transportation,0.0,0.0,0.0,242232.4182304368,29067.890187652414
US-CA,US-CA,utilities,0.0,0.0,0.0,82485.99644082929,9898.319572899514
US-CO,US-CO,mining,0.0,0.0,0.0,73527.15896657124,8823.259075988548
US-FL,US-FL,agriculture,0.0,0.0,0.0,74052.4261887105,8886.29114264526
US-FL,US-FL,construction,0.0,0.0,0.0,71992.87449634513,8639.144939561416
US-FL,US-FL,services,0.0,0.0,0.0,1191875.0447352524,143025.00536823028
US-FL,US-FL,transportation,0.0,0.0,0.0,93723.76820234636,11246.852184281563
US-FL,US-FL,utilities,0.0,0.0,0.0,37856.50775465856,4542.780930559027
US-GA,US-GA,construction,0.0,0.0,0.0,34464.42032150453,4135.730438580543
US-GA,US-GA,transportation,0.0,0.0,0.0,61387.35625153092,7366.48275018371
US-GA,US-GA,utilities,0.0,0.0,0.0,22595.41153623981,2711.449384348777
US-IA,US-IA,agriculture,0.0,0.0,0.0,66260.68814616371,7951.282577539646
US-IL,US-IL,agriculture,0.0,0.0,0.0,72950.40504654852,8754.048605585824
US-IL,US-IL,construction,0.0,0.0,0.0,33384.65178447539,4006.1582141370473
US-IL,US-IL,manufacturing,0.0,0.0,0.0,652559.5226282949,78307.14271539538
US-IL,US-IL,services,0.0,0.0,0.0,850075.7657666212,102009.09189199454
US-IL,US-IL,transportation,0.0,0.0,0.0,93807.58840097817,11256.91060811738
US-IL,US-IL,utilities,0.0,0.0,0.0,30530.753515866127,3663.690421903935
US-IN,US-IN,manufacturing,0.0,0.0,0.0,591862.3009671771,71023.47611606125
US-LA,US-LA,mining,0.0,0.0,0.0,52486.73169291776,6298.407803150131
US-MI,US-MI,manufacturing,0.0,0.0,0.0,586375.9664300598,70365.11597160717
US-MN,US-MN,agriculture,0.0,0.0,0.0,62834.60261508589,7540.152313810306
US-NC,US-NC,manufacturing,0.0,0.0,0.0,580787.9123555297,69694.54948266357
US-NE,US-NE,agriculture,0.0,0.0,0.0,77804.63238782086,9336.555886538503
US-NJ,US-NJ,services,0.0,0.0,0.0,653893.1225471607,78467.17470565929
US-NM,US-NM,mining,0.0,0.0,0.0,50387.63098238885,6046.515717886662
US-NY,US-NY,construction,0.0,0.0,0.0,58462.68953508189,7015.522744209826
US-NY,US-NY,services,0.0,0.0,0.0,1961919.7513383129,235430.37016059755
US-NY,US-NY,transportation,0.0,0.0,0.0,84242.70926015693,10109.125111218833
US-NY,US-NY,utilities,0.0,0.0,0.0,53669.59900044588,6440.351880053506
US-OH,US-OH,construction,0.0,0.0,0.0,30172.410194805485,3620.6892233766584
US-OH,US-OH,manufacturing,0.0,0.0,0.0,638593.2997318703,76631.19596782443
US-OH,US-OH,services,0.0,0.0,0.0,646006.8527335079,77520.82232802093
US-OH,US-OH,transportation,0.0,0.0,0.0,69336.92071702408,8320.43048604289
US-OH,US-OH,utilities,0.0,0.0,0.0,21271.16826649342,2552.5401919792102
US-OK,US-OK,mining,0.0,0.0,0.0,108390.15604275787,13006.818725130945
US-PA,US-PA,construction,0.0,0.0,0.0,33492.47828250376,4019.097393900451
US-PA,US-PA,manufacturing,0.0,0.0,0.0,566234.845974032,67948.18151688384
US-PA,US-PA,mining,0.0,0.0,0.0,67421.67409863621,8090.600891836345
US-PA,US-PA,services,0.0,0.0,0.0,764985.6859756575,91798.2823170789
US-PA,US-PA,transportation,0.0,0.0,0.0,81094.19529053332,9731.303434863998
US-PA,US-PA,utilities,0.0,0.0,0.0,24310.351321656304,2917.2421585987563
US-TX,US-TX,agriculture,0.0,0.0,0.0,101960.59636755395,12235.271564106475
US-TX,US-TX,construction,0.0,0.0,0.0,105195.59591462526,12623.47150975503
US-TX,US-TX,manufacturing,0.0,0.0,0.0,1222245.0082945572,146669.40099534686
US-TX,US-TX,mining,0.0,0.0,0.0,736192.9826352183,88343.15791622619
US-TX,US-TX,services,0.0,0.0,0.0,1636290.353680514,196354.8424416617
US-TX,US-TX,transportation,0.0,0.0,0.0,186575.5222026555,22389.06266431866
US-TX,US-TX,utilities,0.0,0.0,0.0,55861.235231774604,6703.348227812953
US-WA,US-WA,agriculture,0.0,0.0,0.0,92089.68752323842,11050.76250278861
US-WV,US-WV,mining,0.0,0.0,0.0,57439.63771899813,6892.756526279775
