trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,impact_intensity
1909,KR,KR,ELEC2,MOTOR,27.49,2290611505.989,6,6,83325263.950127
1884,KR,KR,ELEC2,FOOD5,27.39,2281713178.773,6,6,83304606.746002
1920,KR,KR,ELEC2,PAPER,27.11,2259072696.934,6,6,83329867.094578
1878,KR,KR,ELEC2,EDUCA,26.88,2239857290.144,6,6,83328024.186905
211,KR,KR,AIRTR,WHOLE,1545.89,2238527496.41,6,6,1448050.958613
3493,KR,KR,HEAVY,NAPHT,2477.54,2235059001.396,6,6,902128.321398
4034,KR,KR,LANDT,PAPER,3974.19,2214542284.243,6,6,557231.104764
575,KR,KR,BEVER,HOTEL,5635.09,2206736070.811,6,6,391606.180347
1855,KR,KR,ELEC2,ALUM1,26.22,2184808565.243,6,6,83326032.236575
1851,KR,KR,ELEC1,WOODW,12.18,2179021748.651,5,5,178901621.399918
5037,KR,KR,OFFIC,COMPU,4782.41,2170262854.531,6,6,453801.086593
6410,KR,KR,RUBBE,OFFIC,3847.64,2159574230.955,6,6,561272.424384
5528,KR,KR,POSTT,POSTT,7533.62,2083606215.3,6,6,276574.371325
5611,KR,KR,PRINT,EDUCA,2983.48,2047612242.16,6,6,686316.731522
3280,KR,KR,GLASS,RADIO,4976.19,2030422327.743,6,6,408027.492468
1896,KR,KR,ELEC2,KEROS,23.59,1965087109.879,6,6,83301700.291607
2860,KR,KR,FOOD5,PIGS9,3404.18,1943986414.574,6,6,571058.643954
2809,KR,KR,FISH5,FISH5,4086.69,1922614807.866,6,6,470457.707305
5741,KR,KR,PULP5,PAPER,1419.19,1895950497.01,6,6,1335938.455746
5367,KR,KR,PFERT,PLAST,2525.77,1875286749.065,6,6,742461.407438
2779,KR,KR,FINAN,REALE,19330.03,1844072409.537,6,6,95399.355797
1917,KR,KR,ELEC2,OFFIC,21.72,1809548105.468,6,6,83312527.876059
1819,KR,KR,ELEC1,PRINT,9.81,1755239005.403,5,5,178923446.014577
4037,KR,KR,LANDT,PFERT,3149.82,1755175033.576,6,6,557230.265087
5669,KR,KR,PRINT,PUBLI,2460.02,1688353400.231,6,6,686316.940607
6446,KR,KR,RUBBE,TEXTI,2984.92,1675350692.192,6,6,561271.555751
1769,KR,KR,ELEC1,FABRI,9.24,1652798502.946,5,5,178874296.855628
1942,KR,KR,ELEC2,RESEA,19.79,1648681885.663,6,6,83308837.07241
889,KR,KR,CATTL,MEATC,4242.34,1645455129.406,6,6,387864.982393
5565,KR,KR,POULT,MEAT1,3275.34,1628466614.084,6,6,497190.097542
3492,KR,KR,HEAVY,MOTOR,1788.61,1613562160.78,6,6,902131.912927
1804,KR,KR,ELEC1,NONME,8.91,1595291513.197,5,5,179045063.20954
6575,KR,KR,STEAM,CHEM1,114.63,1590114636.324,6,6,13871714.52782
5577,KR,KR,PREC1,PREC1,3012.62,1578910089.984,6,6,524098.654986
1797,KR,KR,ELEC1,MOTO1,8.67,1551106826.647,5,5,178905054.976586
5363,KR,KR,PFERT,PADDY,2085.1,1548105140.782,6,6,742460.860765
3194,KR,KR,GASDI,SEACO,1711.5,1543993215.789,6,6,902128.668296
6233,KR,KR,RESEA,CONST,7038.94,1537384293.891,6,6,218411.336635
1834,KR,KR,ELEC1,RUBBE,8.3,1485563339.4,5,5,178983534.86747
1891,KR,KR,ELEC2,HEAVY,17.8,1482930309.094,6,6,83310691.522135
14,KR,KR,93197,BUSIN,3164.33,1482173181.249,6,6,468400.318946
2921,KR,KR,FOUND,BASIC,792.73,1472859752.61,6,6,1857958.892195
1933,KR,KR,ELEC2,PUBLI,17.56,1462799697.113,6,6,83302944.026936
5689,KR,KR,PRINT,TOBAC,2120.15,1455093077.846,6,6,686316.09926
1840,KR,KR,ELEC1,SUPPO,7.96,1424558763.817,5,5,178964668.821231
2939,KR,KR,FOUND,ELECT,763.19,1417976886.828,6,6,1857960.516815
99,KR,KR,93197,TEXTI,3018.39,1413811191.525,6,6,468399.110627
