trade_id,region1,region2,industry1,industry2,amount,total_materials_value,materials_count
76639,WM,KR,CRUDE,GASDI,8383.27,0,0
12215,CN,KR,OFFIC,OFFIC,5772.71,0,0
1723,AU,KR,BITUM,BASIC,5299.01,0,0
76649,WM,KR,CRUDE,MOTOR,5251.06,0,0
69232,WA,KR,OFFIC,OFFIC,4553.65,0,0
17136,DE,KR,MOTO1,MOTO1,4186.97,0,0
12905,CN,KR,RADIO,RADIO,3839.75,0,0
13212,CN,KR,TEXTI,TEXTI,3085.35,0,0
62265,US,KR,CRUDE,GASDI,2674.69,0,0
76640,WM,KR,CRUDE,HEAVY,2531.98,0,0
9821,CN,KR,BASIC,BASIC,2395.27,0,0
76650,WM,KR,CRUDE,NAPHT,2370.47,0,0
76632,WM,KR,CRUDE,CHEM1,2095.49,0,0
12891,CN,KR,RADIO,OFFIC,2053.64,0,0
63491,US,KR,MOTO1,MOTO1,1891.77,0,0
41619,JP,KR,BASIC,BASIC,1868.88,0,0
16917,DE,KR,MACHI,MACHI,1866.54,0,0
10599,CN,KR,ELECT,ELECT,1695.72,0,0
44788,JP,KR,RADIO,RADIO,1686.83,0,0
74316,WL,KR,COPP1,COPP1,1678.02,0,0
62274,US,KR,CRUDE,MOTOR,1675.35,0,0
11110,CN,KR,FURNI,FURNI,1603.72,0,0
55597,RU,KR,CRUDE,GASDI,1598.8,0,0
10285,CN,KR,CHEM1,HEALT,1542.55,0,0
10250,CN,KR,CHEM1,CHEM1,1527.88,0,0
12058,CN,KR,NONME,CONST,1520.65,0,0
9835,CN,KR,BASIC,CONST,1372.74,0,0
66520,WA,KR,CRUDE,GASDI,1343.72,0,0
76643,WM,KR,CRUDE,KEROS,1320.76,0,0
10634,CN,KR,ELECT,MOTO1,1282.92,0,0
71675,WA,KR,WOODW,WOODW,1220.99,0,0
11877,CN,KR,MOTO1,MOTO1,1211.81,0,0
71080,WA,KR,TEXTI,TEXTI,1184.03,0,0
10582,CN,KR,ELECT,CONST,1164.29,0,0
42046,JP,KR,CHEM1,HEALT,1158.27,0,0
42011,JP,KR,CHEM1,CHEM1,1147.26,0,0
10714,CN,KR,FABRI,CONST,1122.55,0,0
10148,CN,KR,CERAM,CONST,1101.74,0,0
64223,US,KR,PLAST,RUBBE,1089.92,0,0
41632,JP,KR,BASIC,CONST,1071.07,0,0
10351,CN,KR,CHEM1,RUBBE,1047.74,0,0
55606,RU,KR,CRUDE,MOTOR,1001.44,0,0
10628,CN,KR,ELECT,MACHI,987.83,0,0
12602,CN,KR,PLAST,RUBBE,975.12,0,0
76642,WM,KR,CRUDE,KERO1,965.02,0,0
10972,CN,KR,FOOD5,FOOD5,962.2,0,0
10644,CN,KR,ELECT,OFFIC,944.8,0,0
9848,CN,KR,BASIC,FABRI,939.3,0,0
70021,WA,KR,RADIO,RADIO,917.25,0,0
44776,JP,KR,RADIO,OFFIC,902.18,0,0
62649,US,KR,FOOD5,FOOD5,898.47,0,0
62064,US,KR,CHEM1,HEALT,873.69,0,0
62030,US,KR,CHEM1,CHEM1,865.38,0,0
16978,DE,KR,MACHI,TRANS,860.61,0,0
12964,CN,KR,RUBBE,CONST,849.55,0,0
10729,CN,KR,FABRI,FABRI,842.94,0,0
66528,WA,KR,CRUDE,MOTOR,841.67,0,0
77885,WM,KR,NATU1,GASDI,818.63,0,0
55155,RU,KR,BITUM,BASIC,814.66,0,0
62266,US,KR,CRUDE,HEAVY,807.83,0,0
13055,CN,KR,RUBBE,RUBBE,791.26,0,0
63381,US,KR,MEATC,HOTEL,790.73,0,0
42109,JP,KR,CHEM1,RUBBE,786.73,0,0
61982,US,KR,CEREA,FOOD5,768.43,0,0
62275,US,KR,CRUDE,NAPHT,756.3,0,0
10684,CN,KR,ELECT,TRANS,741.52,0,0
77346,WM,KR,KEROS,AIRTR,739.01,0,0
41645,JP,KR,BASIC,FABRI,732.88,0,0
74152,WL,KR,CEREA,FOOD5,692.17,0,0
62259,US,KR,CRUDE,CHEM1,668.57,0,0
11590,CN,KR,LEATH,LEATH,658.29,0,0
