trade_id,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_intensity
11919,WM,WM,SANDC,CRUDE,64.56,89004.0,1.0,1.0,89004.0,1378.624535
11977,WM,WM,SANDC,PAPER,58.79,81056.0,1.0,1.0,81056.0,1378.737881
11998,WM,WM,SANDC,RESEA,57.29,78987.0,1.0,1.0,78987.0,1378.72229
12001,WM,WM,SANDC,RUBBE,57.17,78811.0,1.0,1.0,78811.0,1378.537695
11988,WM,WM,SANDC,PROCE,49.17,67788.0,1.0,1.0,67788.0,1378.645516
11992,WM,WM,SANDC,RAILW,46.71,64401.0,1.0,1.0,64401.0,1378.741169
11904,WM,WM,SANDC,BRICK,46.16,63639.0,1.0,1.0,63639.0,1378.661179
1072,WM,WM,BRICK,CONST,1201.21,53041.0,1.0,1.0,53041.0,44.156309
11894,WM,WM,SANDC,93197,32.2,44392.0,1.0,1.0,44392.0,1378.63354
11923,WM,WM,SANDC,EDUCA,31.35,43222.0,1.0,1.0,43222.0,1378.692185
11899,WM,WM,SANDC,BASIC,27.94,38517.0,1.0,1.0,38517.0,1378.561203
12017,WM,WM,SANDC,WHOLE,24.39,33622.0,1.0,1.0,33622.0,1378.515785
11938,WM,WM,SANDC,FOUND,24.1,33226.0,1.0,1.0,33226.0,1378.672199
12006,WM,WM,SANDC,SUPPO,23.76,32750.0,1.0,1.0,32750.0,1378.367003
11959,WM,WM,SANDC,MEATA,23.43,32304.0,1.0,1.0,32304.0,1378.745198
13737,WM,WM,WHOLE,CONST,43199.08,31903.0,1.0,1.0,31903.0,0.738511
11994,WM,WM,SANDC,REALE,22.06,30409.0,1.0,1.0,30409.0,1378.467815
11957,WM,WM,SANDC,MEAT1,21.51,29654.0,1.0,1.0,29654.0,1378.614598
11932,WM,WM,SANDC,FABRI,21.25,29290.0,1.0,1.0,29290.0,1378.352941
5046,WM,WM,FOUND,CONST,4186.98,28727.0,1.0,1.0,28727.0,6.861031
2342,WM,WM,CONST,CONST,26219.38,27940.0,1.0,1.0,27940.0,1.065624
12011,WM,WM,SANDC,TRANS,20.07,27663.0,1.0,1.0,27663.0,1378.325859
11936,WM,WM,SANDC,FOOD5,19.7,27164.0,1.0,1.0,27164.0,1378.883249
11941,WM,WM,SANDC,GASDI,19.28,26582.0,1.0,1.0,26582.0,1378.73444
11948,WM,WM,SANDC,INLAN,18.05,24879.0,1.0,1.0,24879.0,1378.33795
11999,WM,WM,SANDC,RETA1,16.54,22808.0,1.0,1.0,22808.0,1378.960097
11990,WM,WM,SANDC,PULP5,16.2,22338.0,1.0,1.0,22338.0,1378.888889
11987,WM,WM,SANDC,PRIVA,16.01,22072.0,1.0,1.0,22072.0,1378.638351
11968,WM,WM,SANDC,NATUR,15.85,21857.0,1.0,1.0,21857.0,1378.990536
12010,WM,WM,SANDC,TRAN2,15.69,21625.0,1.0,1.0,21625.0,1378.266412
11973,WM,WM,SANDC,OFFIC,15.29,21083.0,1.0,1.0,21083.0,1378.875082
11952,WM,WM,SANDC,LANDT,15.27,21048.0,1.0,1.0,21048.0,1378.388998
11896,WM,WM,SANDC,ALUM1,14.43,19888.0,1.0,1.0,19888.0,1378.239778
11944,WM,WM,SANDC,HEALT,14.38,19828.0,1.0,1.0,19828.0,1378.859527
11960,WM,WM,SANDC,MEATC,13.43,18513.0,1.0,1.0,18513.0,1378.481013
12244,WM,WM,STONE,PUBLI,58.16,18449.0,1.0,1.0,18449.0,317.211142
11958,WM,WM,SANDC,MEAT4,12.73,17549.0,1.0,1.0,17549.0,1378.554595
11939,WM,WM,SANDC,FURNI,12.66,17452.0,1.0,1.0,17452.0,1378.515008
11982,WM,WM,SANDC,PLAST,12.5,17227.0,1.0,1.0,17227.0,1378.16
12174,WM,WM,STONE,CRUDE,52.4,16620.0,1.0,1.0,16620.0,317.175573
11965,WM,WM,SANDC,MOTOR,11.98,16515.0,1.0,1.0,16515.0,1378.547579
11983,WM,WM,SANDC,POSTT,11.92,16434.0,1.0,1.0,16434.0,1378.691275
11955,WM,WM,SANDC,LIQUE,11.82,16292.0,1.0,1.0,16292.0,1378.341794
12014,WM,WM,SANDC,WEARI,11.81,16280.0,1.0,1.0,16280.0,1378.492803
12007,WM,WM,SANDC,TEXTI,11.74,16186.0,1.0,1.0,16186.0,1378.705281
11895,WM,WM,SANDC,AIRTR,11.55,15925.0,1.0,1.0,15925.0,1378.787879
